Lipid,Retention_Time,OzESI_Intensity,group_by_ion,group_by_lipid,Sample_ID,Transition,Sample,Parent_Ion,Product_Ion,Species,Class,Possible_Lipids,Peak_Height,FWHM,Peak_Width,Peak_Area,Filter_Column,STD_RT_ON,STD_RT_OFF,STD_RT_Dif,Biology,Genotype,Cage,Mouse,n_value
FA(18:2)_<F>_n-4 ,7.19,217628.0,25,147,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,409.3 -> 183.0,cereb_WT_m1_FAD245,409.3,183.0,18:2,FA,FA(16:1)_<>_n-2 | FA(16:2)_<F>_n-2 | FA(17:1)_<>_n-3 | FA(18:1)_<>_n-4 | FA(18:2)_<F>_n-4 | FA(18:3)_<FF>_n-4 | FA(18:4)_<FFF>_n-4 | FA(20:1)_<>_n-6 | FA(20:2)_<F>_n-6 | FA(20:5)_<FFFF>_n-6 | FA(22:1)_<>_n-8 | FA(22:6)_<FFFFF>_n-8,217628.0,0.08998348871600068,0.0904499999999997,19684.452599999935,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,4
FA(18:2)_<F>_n-4 ,7.551766666666667,1780.0,25,147,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,409.3 -> 183.0,cereb_WT_m1_FAD245,409.3,183.0,18:2,FA,FA(16:1)_<>_n-2 | FA(16:2)_<F>_n-2 | FA(17:1)_<>_n-3 | FA(18:1)_<>_n-4 | FA(18:2)_<F>_n-4 | FA(18:3)_<FF>_n-4 | FA(18:4)_<FFF>_n-4 | FA(20:1)_<>_n-6 | FA(20:2)_<F>_n-6 | FA(20:5)_<FFFF>_n-6 | FA(22:1)_<>_n-8 | FA(22:6)_<FFFFF>_n-8,1780.0,0.02922235973597314,0.012916666666667354,22.99166666666789,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,4
FA(18:2)_<F>_n-4 ,7.642200000000001,1678.0,25,147,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,409.3 -> 183.0,cereb_WT_m1_FAD245,409.3,183.0,18:2,FA,FA(16:1)_<>_n-2 | FA(16:2)_<F>_n-2 | FA(17:1)_<>_n-3 | FA(18:1)_<>_n-4 | FA(18:2)_<F>_n-4 | FA(18:3)_<FF>_n-4 | FA(18:4)_<FFF>_n-4 | FA(20:1)_<>_n-6 | FA(20:2)_<F>_n-6 | FA(20:5)_<FFFF>_n-6 | FA(22:1)_<>_n-8 | FA(22:6)_<FFFFF>_n-8,1678.0,0.07486194015293265,0.038766666666666616,65.05046666666658,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,4
FA(18:2)_<F>_n-5 ,7.126216666666667,1418.0,21,148,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,395.3 -> 183.0,cereb_WT_m1_FAD245,395.3,183.0,18:2,FA,FA(15:1)_<>_n-2 | FA(15:2)_<F>_n-2 | FA(16:1)_<>_n-3 | FA(16:2)_<F>_n-3 | FA(17:1)_<>_n-4 | FA(18:1)_<>_n-5 | FA(18:2)_<F>_n-5 | FA(18:3)_<FF>_n-5 | FA(18:4)_<FFF>_n-5 | FA(20:1)_<>_n-7 | FA(20:2)_<F>_n-7 | FA(20:5)_<FFFF>_n-7 | FA(22:1)_<>_n-9 | FA(22:6)_<FFFFF>_n-9,1418.0,0.056077462257367934,0.05168333333333308,73.2869666666663,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,5
FA(18:2)_<F>_n-5 ,7.1779,1349.0,21,148,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,395.3 -> 183.0,cereb_WT_m1_FAD245,395.3,183.0,18:2,FA,FA(15:1)_<>_n-2 | FA(15:2)_<F>_n-2 | FA(16:1)_<>_n-3 | FA(16:2)_<F>_n-3 | FA(17:1)_<>_n-4 | FA(18:1)_<>_n-5 | FA(18:2)_<F>_n-5 | FA(18:3)_<FF>_n-5 | FA(18:4)_<FFF>_n-5 | FA(20:1)_<>_n-7 | FA(20:2)_<F>_n-7 | FA(20:5)_<FFFF>_n-7 | FA(22:1)_<>_n-9 | FA(22:6)_<FFFFF>_n-9,1349.0,0.02920058936403463,0.038766666666666616,52.29623333333326,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,5
FA(18:2)_<B>_n-6 ,7.514633333333333,4031.0,17,135,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,379.3 -> 183.0,cereb_WT_m1_FAD245,379.3,183.0,18:2,FA,FA(15:2)_<B>_n-3 | FA(16:2)_<B>_n-4 | FA(18:2)_<B>_n-6 | FA(18:3)_<BF>_n-6 | FA(18:4)_<BFF>_n-6 | FA(20:2)_<B>_n-8 | FA(20:5)_<BFFF>_n-8 | FA(22:6)_<BFFFF>_n-10,4031.0,0.2178860284154208,0.10336666666666616,416.6710333333313,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,6
FA(18:2)_<F>_n-9 ,7.270583333333334,1121.0,10,152,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,339.3 -> 183.0,cereb_WT_m1_FAD245,339.3,183.0,18:2,FA,FA(12:1)_<>_n-3 | FA(13:1)_<>_n-4 | FA(14:1)_<>_n-5 | FA(15:1)_<>_n-6 | FA(15:2)_<F>_n-6 | FA(16:1)_<>_n-7 | FA(16:2)_<F>_n-7 | FA(17:1)_<>_n-8 | FA(18:1)_<>_n-9 | FA(18:2)_<F>_n-9 | FA(18:3)_<FF>_n-9 | FA(18:4)_<FFF>_n-9 | FA(20:1)_<>_n-11 | FA(20:2)_<F>_n-11 | FA(20:5)_<FFFF>_n-11 | FA(22:1)_<>_n-13 | FA(22:6)_<FFFFF>_n-13,1121.0,0.08008922869245669,0.0775166666666669,86.8961833333336,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,9
FA(18:2)_<F>_n-9 ,7.503150000000001,1995.0,10,152,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,339.3 -> 183.0,cereb_WT_m1_FAD245,339.3,183.0,18:2,FA,FA(12:1)_<>_n-3 | FA(13:1)_<>_n-4 | FA(14:1)_<>_n-5 | FA(15:1)_<>_n-6 | FA(15:2)_<F>_n-6 | FA(16:1)_<>_n-7 | FA(16:2)_<F>_n-7 | FA(17:1)_<>_n-8 | FA(18:1)_<>_n-9 | FA(18:2)_<F>_n-9 | FA(18:3)_<FF>_n-9 | FA(18:4)_<FFF>_n-9 | FA(20:1)_<>_n-11 | FA(20:2)_<F>_n-11 | FA(20:5)_<FFFF>_n-11 | FA(22:1)_<>_n-13 | FA(22:6)_<FFFFF>_n-13,1995.0,0.15873825163716265,0.07751666666666601,154.64574999999869,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,9
FA(18:2)_<F>_n-9 ,7.580666666666667,1245.0,10,152,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,339.3 -> 183.0,cereb_WT_m1_FAD245,339.3,183.0,18:2,FA,FA(12:1)_<>_n-3 | FA(13:1)_<>_n-4 | FA(14:1)_<>_n-5 | FA(15:1)_<>_n-6 | FA(15:2)_<F>_n-6 | FA(16:1)_<>_n-7 | FA(16:2)_<F>_n-7 | FA(17:1)_<>_n-8 | FA(18:1)_<>_n-9 | FA(18:2)_<F>_n-9 | FA(18:3)_<FF>_n-9 | FA(18:4)_<FFF>_n-9 | FA(20:1)_<>_n-11 | FA(20:2)_<F>_n-11 | FA(20:5)_<FFFF>_n-11 | FA(22:1)_<>_n-13 | FA(22:6)_<FFFFF>_n-13,1245.0,0.07262302214059987,0.038766666666666616,48.264499999999934,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,9
FA(18:3)_<FF>_n-3 ,4.1401666666666666,1040.0,28,174,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,423.3 -> 183.0,cereb_WT_m1_FAD245,423.3,183.0,18:3,FA,FA(17:1)_<>_n-2 | FA(18:1)_<>_n-3 | FA(18:2)_<F>_n-3 | FA(18:3)_<FF>_n-3 | FA(20:1)_<>_n-5 | FA(20:2)_<F>_n-5 | FA(20:5)_<FFFF>_n-5 | FA(22:1)_<>_n-7 | FA(22:6)_<FFFFF>_n-7,1040.0,0.13667514668133265,0.12919999999999998,134.368,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,3
FA(18:3)_<FF>_n-3 ,6.78885,2112.0,28,174,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,423.3 -> 183.0,cereb_WT_m1_FAD245,423.3,183.0,18:3,FA,FA(17:1)_<>_n-2 | FA(18:1)_<>_n-3 | FA(18:2)_<F>_n-3 | FA(18:3)_<FF>_n-3 | FA(20:1)_<>_n-5 | FA(20:2)_<F>_n-5 | FA(20:5)_<FFFF>_n-5 | FA(22:1)_<>_n-7 | FA(22:6)_<FFFFF>_n-7,2112.0,0.12358776363738497,0.12919999999999998,272.87039999999996,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,3
FA(18:3)_<BF>_n-3 ,3.7398333333333333,1046.0,27,161,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,421.4 -> 183.0,cereb_WT_m1_FAD245,421.4,183.0,18:3,FA,FA(18:2)_<B>_n-3 | FA(18:3)_<BF>_n-3 | FA(18:4)_<BFF>_n-3 | FA(20:2)_<B>_n-5 | FA(20:5)_<BFFF>_n-5 | FA(22:6)_<BFFFF>_n-7,1046.0,0.056061617231637544,0.051683333333333525,54.060766666666865,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,3
FA(18:3)_<BF>_n-3 ,6.892416666666667,6661.0,27,161,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,421.4 -> 183.0,cereb_WT_m1_FAD245,421.4,183.0,18:3,FA,FA(18:2)_<B>_n-3 | FA(18:3)_<BF>_n-3 | FA(18:4)_<BFF>_n-3 | FA(20:2)_<B>_n-5 | FA(20:5)_<BFFF>_n-5 | FA(22:6)_<BFFFF>_n-7,6661.0,0.07607649019758278,0.07753333333333323,516.4495333333326,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,3
FA(18:3)_<FF>_n-4 ,3.93405,2163.0,25,175,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,409.3 -> 183.0,cereb_WT_m1_FAD245,409.3,183.0,18:3,FA,FA(16:1)_<>_n-2 | FA(16:2)_<F>_n-2 | FA(17:1)_<>_n-3 | FA(18:1)_<>_n-4 | FA(18:2)_<F>_n-4 | FA(18:3)_<FF>_n-4 | FA(18:4)_<FFF>_n-4 | FA(20:1)_<>_n-6 | FA(20:2)_<F>_n-6 | FA(20:5)_<FFFF>_n-6 | FA(22:1)_<>_n-8 | FA(22:6)_<FFFFF>_n-8,2163.0,0.18384961932894914,0.18088333333333306,391.25064999999944,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,4
FA(18:3)_<FF>_n-4 ,4.024500000000001,1968.0,25,175,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,409.3 -> 183.0,cereb_WT_m1_FAD245,409.3,183.0,18:3,FA,FA(16:1)_<>_n-2 | FA(16:2)_<F>_n-2 | FA(17:1)_<>_n-3 | FA(18:1)_<>_n-4 | FA(18:2)_<F>_n-4 | FA(18:3)_<FF>_n-4 | FA(18:4)_<FFF>_n-4 | FA(20:1)_<>_n-6 | FA(20:2)_<F>_n-6 | FA(20:5)_<FFFF>_n-6 | FA(22:1)_<>_n-8 | FA(22:6)_<FFFFF>_n-8,1968.0,0.048495049002930266,0.051683333333333525,101.71280000000039,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,4
FA(18:3)_<FF>_n-4 ,6.1434500000000005,1142.0,25,175,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,409.3 -> 183.0,cereb_WT_m1_FAD245,409.3,183.0,18:3,FA,FA(16:1)_<>_n-2 | FA(16:2)_<F>_n-2 | FA(17:1)_<>_n-3 | FA(18:1)_<>_n-4 | FA(18:2)_<F>_n-4 | FA(18:3)_<FF>_n-4 | FA(18:4)_<FFF>_n-4 | FA(20:1)_<>_n-6 | FA(20:2)_<F>_n-6 | FA(20:5)_<FFFF>_n-6 | FA(22:1)_<>_n-8 | FA(22:6)_<FFFFF>_n-8,1142.0,0.05014160034540404,0.05168333333333308,59.02236666666638,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,4
FA(18:3)_<FF>_n-4 ,6.285566666666667,1352.0,25,175,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,409.3 -> 183.0,cereb_WT_m1_FAD245,409.3,183.0,18:3,FA,FA(16:1)_<>_n-2 | FA(16:2)_<F>_n-2 | FA(17:1)_<>_n-3 | FA(18:1)_<>_n-4 | FA(18:2)_<F>_n-4 | FA(18:3)_<FF>_n-4 | FA(18:4)_<FFF>_n-4 | FA(20:1)_<>_n-6 | FA(20:2)_<F>_n-6 | FA(20:5)_<FFFF>_n-6 | FA(22:1)_<>_n-8 | FA(22:6)_<FFFFF>_n-8,1352.0,0.106876744078983,0.10336666666666705,139.75173333333385,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,4
FA(18:3)_<FF>_n-4 ,6.931583333333334,107161.0,25,175,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,409.3 -> 183.0,cereb_WT_m1_FAD245,409.3,183.0,18:3,FA,FA(16:1)_<>_n-2 | FA(16:2)_<F>_n-2 | FA(17:1)_<>_n-3 | FA(18:1)_<>_n-4 | FA(18:2)_<F>_n-4 | FA(18:3)_<FF>_n-4 | FA(18:4)_<FFF>_n-4 | FA(20:1)_<>_n-6 | FA(20:2)_<F>_n-6 | FA(20:5)_<FFFF>_n-6 | FA(22:1)_<>_n-8 | FA(22:6)_<FFFFF>_n-8,107161.0,0.06623427054068798,0.06459999999999955,6922.600599999952,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,4
FA(18:3)_<FF>_n-4 ,7.022033333333334,76167.0,25,175,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,409.3 -> 183.0,cereb_WT_m1_FAD245,409.3,183.0,18:3,FA,FA(16:1)_<>_n-2 | FA(16:2)_<F>_n-2 | FA(17:1)_<>_n-3 | FA(18:1)_<>_n-4 | FA(18:2)_<F>_n-4 | FA(18:3)_<FF>_n-4 | FA(18:4)_<FFF>_n-4 | FA(20:1)_<>_n-6 | FA(20:2)_<F>_n-6 | FA(20:5)_<FFFF>_n-6 | FA(22:1)_<>_n-8 | FA(22:6)_<FFFFF>_n-8,76167.0,0.043489965969636675,0.038750000000000284,2951.4712500000214,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,4
FA(18:3)_<BF>_n-4 ,4.140983333333334,1383.0,24,162,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,407.3 -> 183.0,cereb_WT_m1_FAD245,407.3,183.0,18:3,FA,FA(16:2)_<B>_n-2 | FA(18:2)_<B>_n-4 | FA(18:3)_<BF>_n-4 | FA(18:4)_<BFF>_n-4 | FA(20:2)_<B>_n-6 | FA(20:5)_<BFFF>_n-6 | FA(22:6)_<BFFFF>_n-8,1383.0,0.0622357132336686,0.06461666666666677,89.36485000000013,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,4
FA(18:3)_<BF>_n-4 ,6.195333333333334,3647.0,24,162,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,407.3 -> 183.0,cereb_WT_m1_FAD245,407.3,183.0,18:3,FA,FA(16:2)_<B>_n-2 | FA(18:2)_<B>_n-4 | FA(18:3)_<BF>_n-4 | FA(18:4)_<BFF>_n-4 | FA(20:2)_<B>_n-6 | FA(20:5)_<BFFF>_n-6 | FA(22:6)_<BFFFF>_n-8,3647.0,0.10141324122897592,0.10336666666666705,376.97823333333474,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,4
FA(18:3)_<FF>_n-5 ,3.7410666666666668,2315.0,21,176,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,395.3 -> 183.0,cereb_WT_m1_FAD245,395.3,183.0,18:3,FA,FA(15:1)_<>_n-2 | FA(15:2)_<F>_n-2 | FA(16:1)_<>_n-3 | FA(16:2)_<F>_n-3 | FA(17:1)_<>_n-4 | FA(18:1)_<>_n-5 | FA(18:2)_<F>_n-5 | FA(18:3)_<FF>_n-5 | FA(18:4)_<FFF>_n-5 | FA(20:1)_<>_n-7 | FA(20:2)_<F>_n-7 | FA(20:5)_<FFFF>_n-7 | FA(22:1)_<>_n-9 | FA(22:6)_<FFFFF>_n-9,2315.0,0.05791257076356353,0.06459999999999999,149.54899999999998,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,5
FA(18:3)_<FF>_n-5 ,3.8573500000000003,2669.0,21,176,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,395.3 -> 183.0,cereb_WT_m1_FAD245,395.3,183.0,18:3,FA,FA(15:1)_<>_n-2 | FA(15:2)_<F>_n-2 | FA(16:1)_<>_n-3 | FA(16:2)_<F>_n-3 | FA(17:1)_<>_n-4 | FA(18:1)_<>_n-5 | FA(18:2)_<F>_n-5 | FA(18:3)_<FF>_n-5 | FA(18:4)_<FFF>_n-5 | FA(20:1)_<>_n-7 | FA(20:2)_<F>_n-7 | FA(20:5)_<FFFF>_n-7 | FA(22:1)_<>_n-9 | FA(22:6)_<FFFFF>_n-9,2669.0,0.07200029839158134,0.06459999999999999,172.4174,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,5
FA(18:3)_<FF>_n-5 ,6.144266666666667,14512.0,21,176,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,395.3 -> 183.0,cereb_WT_m1_FAD245,395.3,183.0,18:3,FA,FA(15:1)_<>_n-2 | FA(15:2)_<F>_n-2 | FA(16:1)_<>_n-3 | FA(16:2)_<F>_n-3 | FA(17:1)_<>_n-4 | FA(18:1)_<>_n-5 | FA(18:2)_<F>_n-5 | FA(18:3)_<FF>_n-5 | FA(18:4)_<FFF>_n-5 | FA(20:1)_<>_n-7 | FA(20:2)_<F>_n-7 | FA(20:5)_<FFFF>_n-7 | FA(22:1)_<>_n-9 | FA(22:6)_<FFFFF>_n-9,14512.0,0.04773189571220426,0.05168333333333397,750.0285333333426,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,5
FA(18:3)_<FF>_n-5 ,6.273466666666667,1583222.0,21,176,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,395.3 -> 183.0,cereb_WT_m1_FAD245,395.3,183.0,18:3,FA,FA(15:1)_<>_n-2 | FA(15:2)_<F>_n-2 | FA(16:1)_<>_n-3 | FA(16:2)_<F>_n-3 | FA(17:1)_<>_n-4 | FA(18:1)_<>_n-5 | FA(18:2)_<F>_n-5 | FA(18:3)_<FF>_n-5 | FA(18:4)_<FFF>_n-5 | FA(20:1)_<>_n-7 | FA(20:2)_<F>_n-7 | FA(20:5)_<FFFF>_n-7 | FA(22:1)_<>_n-9 | FA(22:6)_<FFFFF>_n-9,1583222.0,0.08828074443858992,0.09045000000000059,143202.42990000092,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,5
FA(18:3)_<FF>_n-7 ,4.34955,1498.0,15,178,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,367.3 -> 183.0,cereb_WT_m1_FAD245,367.3,183.0,18:3,FA,FA(13:1)_<>_n-2 | FA(14:1)_<>_n-3 | FA(15:1)_<>_n-4 | FA(15:2)_<F>_n-4 | FA(16:1)_<>_n-5 | FA(16:2)_<F>_n-5 | FA(17:1)_<>_n-6 | FA(18:1)_<>_n-7 | FA(18:2)_<F>_n-7 | FA(18:3)_<FF>_n-7 | FA(18:4)_<FFF>_n-7 | FA(20:1)_<>_n-9 | FA(20:2)_<F>_n-9 | FA(20:5)_<FFFF>_n-9 | FA(22:1)_<>_n-11 | FA(22:6)_<FFFFF>_n-11,1498.0,0.10156293679635998,0.10334999999999983,154.81829999999974,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,7
FA(18:3)_<FF>_n-7 ,4.530433333333334,1758.0,15,178,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,367.3 -> 183.0,cereb_WT_m1_FAD245,367.3,183.0,18:3,FA,FA(13:1)_<>_n-2 | FA(14:1)_<>_n-3 | FA(15:1)_<>_n-4 | FA(15:2)_<F>_n-4 | FA(16:1)_<>_n-5 | FA(16:2)_<F>_n-5 | FA(17:1)_<>_n-6 | FA(18:1)_<>_n-7 | FA(18:2)_<F>_n-7 | FA(18:3)_<FF>_n-7 | FA(18:4)_<FFF>_n-7 | FA(20:1)_<>_n-9 | FA(20:2)_<F>_n-9 | FA(20:5)_<FFFF>_n-9 | FA(22:1)_<>_n-11 | FA(22:6)_<FFFFF>_n-11,1758.0,0.04133085249380936,0.038766666666666616,68.15179999999991,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,7
FA(18:3)_<FF>_n-7 ,4.646716666666667,2550.0,15,178,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,367.3 -> 183.0,cereb_WT_m1_FAD245,367.3,183.0,18:3,FA,FA(13:1)_<>_n-2 | FA(14:1)_<>_n-3 | FA(15:1)_<>_n-4 | FA(15:2)_<F>_n-4 | FA(16:1)_<>_n-5 | FA(16:2)_<F>_n-5 | FA(17:1)_<>_n-6 | FA(18:1)_<>_n-7 | FA(18:2)_<F>_n-7 | FA(18:3)_<FF>_n-7 | FA(18:4)_<FFF>_n-7 | FA(20:1)_<>_n-9 | FA(20:2)_<F>_n-9 | FA(20:5)_<FFFF>_n-9 | FA(22:1)_<>_n-11 | FA(22:6)_<FFFFF>_n-11,2550.0,0.1655094978619061,0.16796666666666749,428.3150000000021,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,7
FA(18:3)_<FF>_n-8 ,4.02715,1118.0,12,179,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,353.3 -> 183.0,cereb_WT_m1_FAD245,353.3,183.0,18:3,FA,FA(12:1)_<>_n-2 | FA(13:1)_<>_n-3 | FA(14:1)_<>_n-4 | FA(15:1)_<>_n-5 | FA(15:2)_<F>_n-5 | FA(16:1)_<>_n-6 | FA(16:2)_<F>_n-6 | FA(17:1)_<>_n-7 | FA(18:1)_<>_n-8 | FA(18:2)_<F>_n-8 | FA(18:3)_<FF>_n-8 | FA(18:4)_<FFF>_n-8 | FA(20:1)_<>_n-10 | FA(20:2)_<F>_n-10 | FA(20:5)_<FFFF>_n-10 | FA(22:1)_<>_n-12 | FA(22:6)_<FFFFF>_n-12,1118.0,0.03262752621342863,0.02583333333333382,28.881666666667208,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,8
FA(18:3)_<FF>_n-8 ,4.259716666666667,11406.0,12,179,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,353.3 -> 183.0,cereb_WT_m1_FAD245,353.3,183.0,18:3,FA,FA(12:1)_<>_n-2 | FA(13:1)_<>_n-3 | FA(14:1)_<>_n-4 | FA(15:1)_<>_n-5 | FA(15:2)_<F>_n-5 | FA(16:1)_<>_n-6 | FA(16:2)_<F>_n-6 | FA(17:1)_<>_n-7 | FA(18:1)_<>_n-8 | FA(18:2)_<F>_n-8 | FA(18:3)_<FF>_n-8 | FA(18:4)_<FFF>_n-8 | FA(20:1)_<>_n-10 | FA(20:2)_<F>_n-10 | FA(20:5)_<FFFF>_n-10 | FA(22:1)_<>_n-12 | FA(22:6)_<FFFFF>_n-12,11406.0,0.028216486251999316,0.038749999999999396,441.98249999999314,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,8
FA(18:3)_<FF>_n-8 ,4.3501666666666665,22687.0,12,179,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,353.3 -> 183.0,cereb_WT_m1_FAD245,353.3,183.0,18:3,FA,FA(12:1)_<>_n-2 | FA(13:1)_<>_n-3 | FA(14:1)_<>_n-4 | FA(15:1)_<>_n-5 | FA(15:2)_<F>_n-5 | FA(16:1)_<>_n-6 | FA(16:2)_<F>_n-6 | FA(17:1)_<>_n-7 | FA(18:1)_<>_n-8 | FA(18:2)_<F>_n-8 | FA(18:3)_<FF>_n-8 | FA(18:4)_<FFF>_n-8 | FA(20:1)_<>_n-10 | FA(20:2)_<F>_n-10 | FA(20:5)_<FFFF>_n-10 | FA(22:1)_<>_n-12 | FA(22:6)_<FFFFF>_n-12,22687.0,0.07682373028431189,0.0775166666666669,1758.620616666672,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,8
FA(18:3)_<FF>_n-9 ,3.89835,2167.0,10,180,11162023_WT-m1-cereb-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3on_01,339.3 -> 183.0,cereb_WT_m1_FAD245,339.3,183.0,18:3,FA,FA(12:1)_<>_n-3 | FA(13:1)_<>_n-4 | FA(14:1)_<>_n-5 | FA(15:1)_<>_n-6 | FA(15:2)_<F>_n-6 | FA(16:1)_<>_n-7 | FA(16:2)_<F>_n-7 | FA(17:1)_<>_n-8 | FA(18:1)_<>_n-9 | FA(18:2)_<F>_n-9 | FA(18:3)_<FF>_n-9 | FA(18:4)_<FFF>_n-9 | FA(20:1)_<>_n-11 | FA(20:2)_<F>_n-11 | FA(20:5)_<FFFF>_n-11 | FA(22:1)_<>_n-13 | FA(22:6)_<FFFFF>_n-13,2167.0,0.03638667359307462,0.038766666666666616,84.00736666666656,group_by_lipid,7.990233333333333,8.016066666666667,0.02583333333333382,cereb,WT,FAD245,m1,9
