Lipid,Class,FAD199_m1_66_B,FAD199_m3_66_B,FAD201_m5_61_B,FAD265_m3_59_B,FAD261_m3_81_A,FAD265_m2_74_A,FAD309_55_A,FAD325_39_A,Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(10:0),CAR,2107.4001502990723,4046.240280151367,1887.420124053955,1936.740135192871,1994.2201499938965,3377.3402519226074,3290.200222015381,3180.3402366638184,2661.9001693725586,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(10:0)_QUAL,CAR,2382.660167694092,5342.220375061035,2593.6401863098145,1995.5001525878906,2130.540153503418,4588.060325622559,4821.200332641602,5206.3004150390625,2898.900215148926,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(10:1),CAR,1795.6401252746582,4520.740329742432,2224.5801544189453,2039.460132598877,2141.70015335083,2971.320243835449,3747.080238342285,3518.9002113342285,2162.0001487731934,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(10:1)_QUAL,CAR,2163.660140991211,4756.640293121338,2552.8401985168457,2242.8401641845703,2558.9201889038086,4871.080333709717,4702.100345611572,4794.360282897949,3336.540256500244,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(10:2),CAR,2063.080135345459,4298.7603187561035,2374.6001625061035,2166.2401733398438,1970.1601333618164,3249.2401962280273,3199.800235748291,3692.520278930664,2405.200164794922,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(10:2)_QUAL,CAR,20137.841400146484,52838.763427734375,18320.56121826172,16052.581130981445,15282.721103668213,35610.582427978516,36903.942306518555,41608.982818603516,23348.381622314453,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(10:3),CAR,1644.7601127624512,2980.940200805664,1681.1001167297363,1571.8801002502441,1580.3200988769531,2688.6601753234863,2408.0001831054688,2391.980178833008,1812.9601249694824,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,1827.4001197814941,2859.7002143859863,2303.260166168213,1689.3601264953613,1927.240119934082,3856.7002754211426,3365.160243988037,3818.1202850341797,3044.8602256774902,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(11:0),CAR,1721.6601257324219,3345.9402389526367,1904.8201293945312,1737.6201248168945,1861.7201385498047,2388.6601943969727,2682.8601684570312,3123.2602157592773,2144.900146484375,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(11:0)_QUAL,CAR,2587.1601905822754,6614.340450286865,2884.4202041625977,2173.440158843994,2360.020175933838,5043.440380096436,4665.480331420898,5279.680416107178,3157.1801986694336,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(12:0),CAR,1704.8201179504395,2588.4801750183105,1631.2201194763184,1523.6401023864746,1540.7201118469238,1970.420150756836,2089.2801666259766,2275.1001892089844,1750.320125579834,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(12:0)_QUAL,CAR,2419.520164489746,5281.520412445068,2465.0601844787598,2070.540138244629,2366.8601722717285,4845.880352020264,4238.80029296875,4580.680324554443,2939.100200653076,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(14:0),CAR,1919.4401397705078,3696.840263366699,2087.0201568603516,1759.4001197814941,1995.4201316833496,2439.220169067383,2513.64017868042,2524.480182647705,1947.8601341247559,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,3519.80025100708,10114.3207321167,3808.960273742676,3477.440269470215,3393.4602432250977,7529.900581359863,7802.920669555664,8388.960525512695,4949.740325927734,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(14:1),CAR,1747.7201080322266,2828.0401763916016,1643.3601188659668,1627.3001136779785,1869.300136566162,2310.060157775879,2349.1601638793945,2575.6001777648926,1837.2401237487793,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,4307.480308532715,9769.940673828125,4264.500339508057,3658.660285949707,3414.4002571105957,7693.740501403809,7311.340591430664,7821.260566711426,5046.040378570557,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(14:2),CAR,2898.700225830078,5488.620346069336,2897.380199432373,2633.520160675049,2508.720184326172,4118.480285644531,4432.740314483643,4698.90030670166,3186.260227203369,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,43519.542541503906,119692.04852294922,40716.362854003906,34812.52243041992,35312.24249267578,77973.94537353516,84386.845703125,93783.54663085938,51347.30401611328,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(16:0),CAR,2239.9201583862305,4046.4402656555176,2095.140163421631,2135.620143890381,2025.660140991211,3241.8802223205566,2834.100185394287,3368.520221710205,2108.1201553344727,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,3327.2602195739746,8535.260581970215,3171.800224304199,3026.980213165283,3533.4002227783203,6461.580436706543,6075.060436248779,7199.6605224609375,3809.7002716064453,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(16:1),CAR,1479.4401092529297,2624.6001739501953,1657.8801193237305,1710.3201217651367,1758.9401168823242,2051.640125274658,2344.460178375244,2376.400161743164,1816.640121459961,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(16:1)_QUAL,CAR,4605.660316467285,10939.300674438477,4718.060314178467,3758.300247192383,3924.6802711486816,12480.160873413086,8538.260593414307,9331.640617370605,7357.380523681641,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(16:2),CAR,1819.7201347351074,2897.2002334594727,1950.1001358032227,1699.5401191711426,1942.9801406860352,2516.740177154541,2580.380184173584,3111.400215148926,1863.6401290893555,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(16:2)_QUAL,CAR,2152.320137023926,4311.780292510986,2191.560161590576,2327.3801612854004,2251.880157470703,4361.220310211182,3785.1202659606934,3741.3202362060547,2864.0202140808105,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(17:0),CAR,2211.800136566162,5041.740333557129,2091.5401496887207,1900.6801376342773,2054.1601524353027,3510.6202697753906,3703.080238342285,4191.720287322998,2831.5202255249023,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(17:0)_QUAL,CAR,5006.720355987549,12172.280899047852,4380.1403465271,4023.9202995300293,4312.360294342041,9461.260692596436,10135.780708312988,11151.200866699219,5544.080337524414,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(18:0),CAR,1974.0601539611816,3877.7003059387207,2083.8801345825195,1901.6601295471191,2092.06014251709,2822.620204925537,3448.080238342285,3207.3602333068848,2296.820167541504,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(18:0)_QUAL,CAR,3182.520248413086,7539.720504760742,3056.0202140808105,2938.7602005004883,3243.7602462768555,6312.540435791016,6302.480411529541,6718.620468139648,4162.380275726318,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(18:1),CAR,2167.3801612854004,4332.66024017334,2177.440139770508,1824.4601364135742,1832.5201263427734,2594.3601722717285,3294.260208129883,3853.88028717041,1948.2201347351074,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(18:1)_QUAL,CAR,3373.5802421569824,6997.940490722656,3168.200206756592,3110.1602058410645,3129.720199584961,5372.22034072876,5542.600368499756,5220.380367279053,3794.940254211426,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(18:2),CAR,2494.5601654052734,5110.140357971191,2505.500171661377,2333.2401733398438,2233.7001609802246,3928.340286254883,3654.6202812194824,4550.52029800415,2877.360176086426,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(18:2)_QUAL,CAR,2558.580177307129,5432.980377197266,3106.0602226257324,2395.6601524353027,2589.880184173584,4073.180274963379,4693.660339355469,4502.820289611816,3380.560234069824,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(18:3),CAR,1744.0401191711426,4563.240310668945,2095.74015045166,1917.6201400756836,1947.3601341247559,3335.0202445983887,3208.8002014160156,3722.3802757263184,2588.780204772949,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(18:3)_QUAL,CAR,2975.000217437744,7319.640487670898,3533.420234680176,2940.460216522217,3035.280227661133,6024.380416870117,5681.100414276123,6968.86051940918,4367.680294036865,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(18:4),CAR,2302.140151977539,6399.180480957031,2556.240177154541,2262.560161590576,2626.680191040039,4749.260341644287,5369.120391845703,4952.120330810547,3211.8402519226074,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(18:4)_QUAL,CAR,3476.840229034424,8058.820587158203,3629.2202796936035,2949.2202339172363,3150.5402297973633,5252.480438232422,6342.1405029296875,6530.64045715332,3885.4603004455566,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(20:0),CAR,1670.3201293945312,2852.540180206299,1814.9201278686523,1699.460117340088,1534.5401000976562,2231.3801651000977,2205.5401725769043,2740.240177154541,1862.6201362609863,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(20:0)_QUAL,CAR,5211.460346221924,11305.560707092285,5119.860382080078,4145.640289306641,4146.400295257568,8061.100540161133,9378.640712738037,10130.760688781738,5530.580421447754,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(20:1),CAR,2178.2401733398438,4407.560325622559,2078.3401412963867,2103.1801376342773,2478.1601905822754,3467.500244140625,3366.260227203369,4251.600330352783,2492.540184020996,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(20:1)_QUAL,CAR,2496.000175476074,4498.040328979492,2275.480167388916,2593.1801986694336,2001.5001373291016,3533.440269470215,3680.740261077881,3639.460250854492,2906.4402351379395,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(20:2),CAR,3962.4002532958984,8985.540756225586,3650.520278930664,3229.1002311706543,3080.060214996338,6740.860412597656,6784.920478820801,8216.84061050415,4415.460342407227,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(20:2)_QUAL,CAR,2643.0601959228516,5492.400394439697,2949.2401962280273,2332.3801765441895,2709.1401863098145,4866.240367889404,4215.140327453613,4970.000339508057,3671.500289916992,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(20:4),CAR,1675.9601211547852,3591.8002319335938,1696.6401138305664,1785.9201354980469,1615.6801223754883,2286.22017288208,2420.7601737976074,2714.680187225342,1948.0401306152344,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(20:4)_QUAL,CAR,2702.0401725769043,5869.600395202637,2854.920207977295,2396.0401611328125,2436.0601654052734,3698.0002479553223,4033.840305328369,4831.140350341797,3134.6801948547363,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(22:0),CAR,2941.080192565918,6443.440490722656,2769.3201866149902,2500.5601806640625,2181.7401580810547,3709.900276184082,4610.280277252197,6012.120449066162,2918.240219116211,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(22:0)_QUAL,CAR,3342.000244140625,6976.720527648926,3630.0402488708496,3290.4202156066895,2950.480197906494,5330.600364685059,5514.040355682373,6091.820404052734,4026.280288696289,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(22:2),CAR,3181.540225982666,6901.740501403809,2902.4802055358887,2745.360221862793,2996.5201988220215,4953.640365600586,5397.640365600586,6028.260410308838,3558.900230407715,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(22:2)_QUAL,CAR,6452.280422210693,14456.920997619629,6543.000465393066,5760.380393981934,5679.040386199951,10666.92068862915,11903.380798339844,11808.520854949951,7421.480499267578,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(22:4),CAR,1439.0801010131836,2509.7001724243164,1831.4401206970215,1701.440128326416,1683.1401176452637,2035.8601455688477,2614.1602058410645,2189.5001525878906,2133.460159301758,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(22:4)_QUAL,CAR,3479.340263366699,7459.080474853516,3166.1202239990234,2712.820171356201,2693.220199584961,5639.240406036377,6357.740463256836,7987.440643310547,3600.360237121582,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(22:5),CAR,1565.7001152038574,2324.780170440674,1610.1801109313965,1411.120101928711,1505.4801177978516,1762.7801322937012,1856.220142364502,1809.4201316833496,1690.4001083374023,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(22:5)_QUAL,CAR,9430.02066040039,27858.88198852539,13053.62084197998,9576.380729675293,8957.640678405762,18387.401306152344,24103.241622924805,57278.40451049805,9577.780662536621,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(22:6),CAR,1692.3401260375977,2589.10018157959,1737.3001174926758,1839.6201400756836,1664.0801162719727,2181.1401596069336,2574.440196990967,2330.1601791381836,1972.0601425170898,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(22:6)_QUAL,CAR,4465.040328979492,9301.540626525879,4375.900299072266,4068.3003120422363,3646.1802711486816,7522.200508117676,7505.240566253662,9879.760772705078,5134.700370788574,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(26:0),CAR,4600.960342407227,13374.541046142578,4862.420349121094,4854.980327606201,4606.220306396484,9228.180675506592,9529.180763244629,11639.56088256836,6618.92045211792,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(26:0)_QUAL,CAR,3768.3603019714355,9092.1806640625,3892.9002532958984,3392.0602493286133,3846.940269470215,6967.940505981445,7288.48051071167,7775.180526733398,4622.8603515625,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(2:0),CAR,1523.0001220703125,2297.3401679992676,1673.1401329040527,1477.1001091003418,1606.260108947754,1838.980136871338,1899.2001419067383,1821.9001083374023,1491.7801094055176,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(2:0)_QUAL,CAR,1510.760108947754,1837.320125579834,1503.06010055542,1579.6601181030273,1475.4000854492188,1825.6401329040527,1874.1401329040527,1907.6001281738281,1694.5601119995117,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(3:0),CAR,1493.4801139831543,1874.440128326416,1544.3201141357422,1405.080093383789,1433.3200874328613,1820.4401206970215,1612.5201148986816,1873.0601272583008,1683.2801246643066,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(3:0)_QUAL,CAR,1891.5401420593262,3083.480224609375,3399.0202445983887,2229.3601608276367,3551.7802696228027,5794.980369567871,5872.300426483154,6597.760459899902,4814.180316925049,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(3:1),CAR,1808.7801246643066,2619.600212097168,2030.4801330566406,1638.0601043701172,1933.3401527404785,2590.4801712036133,3047.2001914978027,2717.7401962280273,2157.980155944824,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(3:1)_QUAL,CAR,3284.5201988220215,5055.740371704102,4309.560314178467,2675.0001907348633,4172.320262908936,8208.240566253662,8401.300548553467,8305.460563659668,6171.960414886475,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(4:0),CAR,1452.9601135253906,1829.8801307678223,1680.1001205444336,1424.2401084899902,1515.4601097106934,2165.460159301758,2052.4601554870605,2048.2201499938965,1752.10013961792,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(4:0)_QUAL,CAR,2060.4401321411133,3349.2602500915527,2122.980140686035,1850.4001350402832,2106.9601554870605,3195.9802169799805,3418.420207977295,3379.320209503174,2275.4201698303223,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(4:1),CAR,6130.980434417725,14353.22095489502,6091.800430297852,5023.740364074707,5955.720443725586,11585.400825500488,11768.780849456787,12094.321029663086,7143.620491027832,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(4:1)_QUAL,CAR,2224.6001777648926,3879.6202697753906,2299.400146484375,2076.700138092041,2353.1001510620117,3751.580276489258,3304.4602394104004,3374.3202323913574,2640.4201736450195,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(5:0),CAR,1965.220142364502,4039.5603103637695,2640.740188598633,1952.3601417541504,1848.6401290893555,3443.8802070617676,3210.560234069824,3327.6802406311035,2390.820171356201,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(5:0)_QUAL,CAR,2231.120174407959,3870.4202613830566,2280.220157623291,2109.5601501464844,2311.2201385498047,3725.380302429199,4101.800308227539,4086.640277862549,2559.0201988220215,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(5:1),CAR,1674.5201148986816,2520.3201599121094,1840.180118560791,1589.1601181030273,1723.9801177978516,2101.6001586914062,2068.040142059326,2762.100196838379,2031.5201416015625,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(5:1)_QUAL,CAR,1688.0201225280762,2429.640182495117,1855.5201530456543,1642.3001174926758,1745.4001197814941,2315.0801696777344,2405.1601600646973,2456.560173034668,1809.4401397705078,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(6:0),CAR,1520.040111541748,1948.2601318359375,1586.960105895996,1447.360107421875,1411.3601112365723,1671.8801231384277,1847.8601417541504,1897.0801315307617,1663.4001007080078,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(6:0)_QUAL,CAR,1861.6201248168945,3641.0402641296387,2332.60013961792,1890.4201278686523,1781.5801315307617,2669.4802055358887,3004.8401794433594,3051.4202194213867,2244.3801612854004,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(6:1),CAR,5805.28044128418,13705.180938720703,5592.24040222168,4397.320346832275,4452.440338134766,9679.540634155273,9851.520698547363,10186.940673828125,6792.740482330322,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(6:1)_QUAL,CAR,1967.2601318359375,3734.6402626037598,2055.8401412963867,2041.240135192871,1903.040138244629,2858.6402168273926,2723.180191040039,4132.6002769470215,2190.1601638793945,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(7:0),CAR,1486.7201080322266,2079.280143737793,1537.760108947754,1583.040111541748,1502.8601150512695,2002.0001487731934,1822.920124053955,2289.340187072754,1947.2601318359375,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(7:0)_QUAL,CAR,2608.7201957702637,4870.560291290283,3713.6002922058105,2605.8801765441895,3241.0402450561523,7227.900535583496,8288.12056350708,8324.000549316406,5624.080371856689,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(8:0),CAR,2281.2001457214355,6508.880439758301,2654.7401962280273,2422.500186920166,2582.3801765441895,3881.9202919006348,4327.140319824219,4978.460357666016,3285.100212097168,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(8:0)_QUAL,CAR,2375.6201934814453,4623.5803565979,2222.020164489746,2144.18013381958,2096.4601516723633,3759.720245361328,3572.6002616882324,3901.1802864074707,2690.9001846313477,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(8:1),CAR,2772.5802268981934,5532.04035949707,3101.500244140625,2838.1802101135254,2494.2601928710938,4665.340347290039,4615.06037902832,4859.720321655273,3226.6002044677734,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(8:1)_QUAL,CAR,4037.320297241211,9250.080619812012,3618.72025680542,3553.240261077881,3252.080223083496,7967.080562591553,7398.700511932373,8880.240631103516,5348.480297088623,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(9:0),CAR,1573.5001258850098,2256.1801567077637,1575.300106048584,1416.8601036071777,1599.1400985717773,1937.200138092041,1733.5801277160645,2025.3001518249512,1800.6201210021973,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR(9:0)_QUAL,CAR,1950.2401542663574,4151.820297241211,2203.2201614379883,1906.300148010254,2014.0201568603516,3601.9002647399902,3510.800224304199,3773.1002616882324,2704.800205230713,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR_QUAL,CAR,2146.440143585205,2922.3001823425293,1933.6401252746582,1908.1001205444336,1834.680118560791,2635.040195465088,2598.2601890563965,3054.700206756592,1887.8401412963867,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CE(12:0),CE,5221.480392456055,5244.980365753174,5210.900371551514,5025.460342407227,5224.900360107422,5306.160381317139,5201.0403175354,5336.760364532471,5206.50036239624,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CE(14:0),CE,5167.840377807617,5530.400405883789,5238.960346221924,5220.560359954834,5498.480361938477,5523.000392913818,5257.6403465271,5683.620410919189,5403.240364074707,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CE(14:1),CE,5068.980377197266,5246.960357666016,5147.720352172852,5149.060352325439,5194.560329437256,5389.880405426025,5068.480339050293,5200.740379333496,5151.1803550720215,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CE(15:0),CE,5858.740428924561,5618.160427093506,5390.300373077393,5367.980377197266,5733.4603843688965,6047.120433807373,5427.30037689209,5989.06042098999,5369.840358734131,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CE(15:1),CE,7352.520519256592,5978.02038192749,6950.760517120361,6248.980438232422,7131.100494384766,6775.080493927002,5791.460376739502,9701.400703430176,5919.480407714844,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CE(16:0),CE,6199.840450286865,5801.060409545898,5521.060405731201,5929.7804527282715,6585.600440979004,6786.480499267578,5684.280410766602,6948.780475616455,6312.720439910889,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CE(16:1),CE,6108.920440673828,6026.540428161621,5992.160442352295,5500.900390625,5928.10041809082,5895.340442657471,5813.28039932251,6539.640472412109,5307.72034072876,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CE(16:2),CE,5181.28035736084,5199.620349884033,5125.0403480529785,5115.320384979248,5433.400379180908,5334.4003829956055,5133.780326843262,5294.200397491455,5499.320373535156,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CE(16:3),CE,5174.160396575928,5299.960369110107,5311.880393981934,5219.520355224609,5233.860382080078,5507.600421905518,5208.520336151123,5395.600364685059,5222.680358886719,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CE(17:0),CE,5387.720401763916,5517.000396728516,5333.240383148193,5373.940376281738,5587.160381317139,6037.740440368652,5341.640350341797,5600.440399169922,5416.58039855957,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CE(17:1),CE,5198.800361633301,5224.900402069092,5334.680393218994,5148.360374450684,5521.760406494141,5548.340412139893,5189.480350494385,5238.000370025635,5177.940311431885,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CE(18:1),CE,8302.54056930542,7384.740509033203,7739.460521697998,7970.940601348877,7316.140506744385,9545.040702819824,7026.400497436523,9245.14066696167,5510.560371398926,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CE(18:2),CE,10807.580799102783,8676.880630493164,9326.800624847412,13163.941036224365,9056.620643615723,10913.62084197998,6821.1405029296875,10865.20076751709,5559.420383453369,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CE(18:3),CE,5914.580436706543,5881.560413360596,6238.880424499512,5858.540424346924,5839.160400390625,5891.100399017334,5495.360374450684,5723.100421905518,5186.0403480529785,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
