Lipid,Class,FAD199_m1_66_B,FAD199_m3_66_B,FAD201_m5_61_B,FAD265_m3_59_B,FAD261_m3_81_A,FAD265_m2_74_A,FAD309_55_A,FAD325_39_A,Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,1179.4800834655762,1124.920078277588,1156.380084991455,1131.3200645446777,1115.7600860595703,1111.0400772094727,1239.980079650879,1116.3000755310059,1139.1600761413574,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,1203.1800918579102,1149.4000816345215,1147.360065460205,1234.9400749206543,1115.2600784301758,1111.0200843811035,1152.6400756835938,1131.0800743103027,1228.360092163086,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,1129.5000686645508,1111.2000846862793,1108.7000694274902,1196.9200820922852,1115.4600830078125,1210.4800872802734,1150.5800819396973,1145.460075378418,1109.600082397461,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,1113.8800811767578,1110.3800964355469,1178.8400840759277,1147.380084991455,1115.4800834655762,1140.1800842285156,1195.2000885009766,1134.9400825500488,1108.6000785827637,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,1072.8000869750977,1076.6400756835938,1067.2800827026367,1210.0000953674316,1074.7000732421875,1070.820068359375,1120.500072479248,1189.6200904846191,1104.2000846862793,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,1178.8000793457031,1111.4800834655762,1108.500087738037,1149.1600875854492,1115.7000770568848,1139.2200775146484,1207.3600769042969,1309.2200965881348,1208.6400985717773,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,1476.7800979614258,1436.4201164245605,1282.240089416504,1643.2601127624512,1131.1000747680664,1566.880111694336,1576.4001159667969,2372.3801879882812,1130.740077972412,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,1863.4001426696777,1999.8401412963867,1931.9201049804688,1995.8601608276367,1379.4600944519043,1829.2201309204102,3016.9401931762695,2987.7401962280273,1164.400089263916,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,1113.3200759887695,1123.4800872802734,1108.3000755310059,1116.4000701904297,1115.500072479248,1110.8000869750977,1116.7800750732422,1115.8800811767578,1164.000072479248,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
CAR,CAR,1892.3001403808594,3503.540237426758,1950.960147857666,1965.0801315307617,2004.8201484680176,2958.800205230713,2742.140182495117,3412.6202392578125,1858.7201194763184,Group: B,Group: A,Group: B vs Group: A,4,4,Blank_Blank_Blank
