Lipid,Class,FAD199_m1_66_B,FAD199_m3_66_B,FAD201_m5_61_B,FAD265_m3_59_B,FAD261_m3_81_C,FAD265_m2_74_C,FAD309_55_C,FAD325_39_C,Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,1179.4800834655762,1124.920078277588,1156.380084991455,1131.3200645446777,1163.6600799560547,1216.580078125,1413.6601066589355,1123.2400856018066,1139.1600761413574,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,1203.1800918579102,1149.4000816345215,1147.360065460205,1234.9400749206543,1141.2800903320312,1132.9800834655762,1120.8600845336914,1152.3000831604004,1228.360092163086,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,1129.5000686645508,1111.2000846862793,1108.7000694274902,1196.9200820922852,1106.1600799560547,1171.1000785827637,1361.9801063537598,1176.7200775146484,1109.600082397461,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,1113.8800811767578,1110.3800964355469,1178.8400840759277,1147.380084991455,1140.8600730895996,1104.6800727844238,1143.6400718688965,1105.2200775146484,1108.6000785827637,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,1072.8000869750977,1076.6400756835938,1067.2800827026367,1210.0000953674316,1064.4600715637207,1097.400089263916,1145.2000770568848,1074.0000801086426,1104.2000846862793,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,1178.8000793457031,1111.4800834655762,1108.500087738037,1149.1600875854492,1107.340072631836,1270.2400817871094,1293.700096130371,1248.1200942993164,1208.6400985717773,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,1476.7800979614258,1436.4201164245605,1282.240089416504,1643.2601127624512,1301.820083618164,1539.2201232910156,4264.000305175781,1334.3600959777832,1130.740077972412,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,1863.4001426696777,1999.8401412963867,1931.9201049804688,1995.8601608276367,1743.3801193237305,2091.860122680664,6054.760437011719,2011.9601707458496,1164.400089263916,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,1113.3200759887695,1123.4800872802734,1108.3000755310059,1116.4000701904297,1106.2800827026367,1104.9200744628906,1148.3800735473633,1105.3600730895996,1164.000072479248,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR,CAR,1892.3001403808594,3503.540237426758,1950.960147857666,1965.0801315307617,2400.7401847839355,2317.0401496887207,2699.1601753234863,1963.960132598877,1858.7201194763184,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(10:0),CAR,2107.4001502990723,4046.240280151367,1887.420124053955,1936.740135192871,2574.920192718506,2155.460147857666,2616.26016998291,1954.3201446533203,2661.9001693725586,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(10:0)_QUAL,CAR,2382.660167694092,5342.220375061035,2593.6401863098145,1995.5001525878906,3252.3602333068848,2701.720169067383,3535.2002754211426,2258.740165710449,2898.900215148926,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(10:1),CAR,1795.6401252746582,4520.740329742432,2224.5801544189453,2039.460132598877,2610.260185241699,3164.260223388672,2822.2201919555664,2092.4601554870605,2162.0001487731934,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(10:1)_QUAL,CAR,2163.660140991211,4756.640293121338,2552.8401985168457,2242.8401641845703,3015.320198059082,2605.080177307129,3776.5802268981934,2012.9401397705078,3336.540256500244,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(10:2),CAR,2063.080135345459,4298.7603187561035,2374.6001625061035,2166.2401733398438,3157.7802200317383,2744.8202018737793,3366.7802391052246,2237.3601570129395,2405.200164794922,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(10:2)_QUAL,CAR,20137.841400146484,52838.763427734375,18320.56121826172,16052.581130981445,31457.742042541504,21248.661712646484,29809.322189331055,16650.8212890625,23348.381622314453,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(10:3),CAR,1644.7601127624512,2980.940200805664,1681.1001167297363,1571.8801002502441,1964.540138244629,1957.760124206543,2112.7401580810547,1693.3801155090332,1812.9601249694824,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,1827.4001197814941,2859.7002143859863,2303.260166168213,1689.3601264953613,2391.2601623535156,2353.0401725769043,3012.240203857422,2094.820156097412,3044.8602256774902,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(11:0),CAR,1721.6601257324219,3345.9402389526367,1904.8201293945312,1737.6201248168945,2332.6201553344727,2050.480155944824,2343.040153503418,1740.9201202392578,2144.900146484375,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(11:0)_QUAL,CAR,2587.1601905822754,6614.340450286865,2884.4202041625977,2173.440158843994,3891.220283508301,3036.16019821167,4235.900321960449,2681.2002029418945,3157.1801986694336,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(12:0),CAR,1704.8201179504395,2588.4801750183105,1631.2201194763184,1523.6401023864746,1836.6601219177246,1700.9201126098633,1900.3601303100586,1541.8200988769531,1750.320125579834,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(12:0)_QUAL,CAR,2419.520164489746,5281.520412445068,2465.0601844787598,2070.540138244629,3272.2602348327637,2605.3001823425293,4117.820274353027,2435.8801765441895,2939.100200653076,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(14:0),CAR,1919.4401397705078,3696.840263366699,2087.0201568603516,1759.4001197814941,2434.040180206299,2159.3601570129395,2097.740146636963,1807.1601219177246,1947.8601341247559,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,3519.80025100708,10114.3207321167,3808.960273742676,3477.440269470215,5561.8204345703125,4271.4603271484375,6432.200496673584,3749.1402702331543,4949.740325927734,Group: B,Group: C,Group: B vs Group: C,4,4,Blank_Blank_Blank
