Lipid,Class,FAD199_m1_66_D,FAD199_m3_66_D,FAD201_m5_61_D,FAD265_m3_59_D,FAD261_m3_81_C,FAD265_m2_74_C,FAD309_55_C,FAD325_39_C,Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,1144.8200798034668,1266.4200859069824,1217.5800819396973,1178.0200881958008,1163.6600799560547,1216.580078125,1413.6601066589355,1123.2400856018066,1139.1600761413574,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,1112.7000770568848,1212.04008102417,1128.840072631836,1161.2600898742676,1141.2800903320312,1132.9800834655762,1120.8600845336914,1152.3000831604004,1228.360092163086,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,1112.060073852539,1135.6400718688965,1114.6400756835938,1201.6000938415527,1106.1600799560547,1171.1000785827637,1361.9801063537598,1176.7200775146484,1109.600082397461,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,1150.2800674438477,1171.0800819396973,1130.1000785827637,1179.3600883483887,1140.8600730895996,1104.6800727844238,1143.6400718688965,1105.2200775146484,1108.6000785827637,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,1101.4200744628906,1100.3200721740723,1133.2400817871094,1069.320083618164,1064.4600715637207,1097.400089263916,1145.2000770568848,1074.0000801086426,1104.2000846862793,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,1141.940071105957,1134.9600791931152,1201.7600784301758,1165.7000846862793,1107.340072631836,1270.2400817871094,1293.700096130371,1248.1200942993164,1208.6400985717773,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,1199.3600883483887,1822.7801399230957,2010.2401313781738,2156.8801345825195,1301.820083618164,1539.2201232910156,4264.000305175781,1334.3600959777832,1130.740077972412,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,1525.8801307678223,3167.3401794433594,2807.220203399658,2755.9601707458496,1743.3801193237305,2091.860122680664,6054.760437011719,2011.9601707458496,1164.400089263916,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,1113.2600746154785,1114.5000686645508,1114.6000785827637,1109.740089416504,1106.2800827026367,1104.9200744628906,1148.3800735473633,1105.3600730895996,1164.000072479248,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
CAR,CAR,2822.6001892089844,2178.24015045166,3656.060230255127,3088.500217437744,2400.7401847839355,2317.0401496887207,2699.1601753234863,1963.960132598877,1858.7201194763184,Group: D,Group: C,Group: D vs Group: C,4,4,Blank_Blank_Blank
