#"+ESI Neutral Loss:1 (rt: 13.049-13.362 min, 10 scans) Frag=166.0V CID@22.0 -[355.2] LD_NL-MUFA_FAD173-5XFAD-M1-liverLD_100x.d "
#Point,X(Thomsons),Y(Counts)
0,700.0,41.8999977111816
1,700.1,1051.02221679688
2,700.2,972.820007324219
3,700.3,1056.57202148438
4,700.4,1108.91003417969
5,700.5,826.522094726563
6,700.6,315.372039794922
7,700.7,93.1460113525391
8,700.8,78.286003112793
9,700.9,46.7700004577637
10,701.0,34.7360038757324
11,701.1,33.2240028381348
12,701.2,39.8440017700195
13,701.3,44.7999992370605
14,701.4,60.9280014038086
15,701.5,64.1680068969727
16,701.6,169.816009521484
17,701.7,403.772033691406
18,701.8,563.2060546875
19,701.9,491.264068603516
20,702.0,327.414001464844
21,702.1,402.398010253906
22,702.2,1116.15405273438
23,702.3,2083.65209960938
24,702.4,2419.02001953125
25,702.5,1702.52014160156
26,702.6,581.086059570313
27,702.7,59.4680061340332
28,702.8,91.1040115356445
29,702.9,208.016021728516
30,703.0,208.904006958008
31,703.1,126.10400390625
32,703.2,48.9939994812012
33,703.3,31.4400024414063
34,703.4,44.265998840332
35,703.5,65.3679962158203
36,703.6,49.028003692627
37,703.7,31.544002532959
38,703.8,27.4240016937256
39,703.9,151.246017456055
40,704.0,1325.52392578125
41,704.1,2598.62451171875
42,704.2,2795.9443359375
43,704.3,1837.74584960938
44,704.4,748.406127929688
45,704.5,510.003997802734
46,704.6,374.850036621094
47,704.7,139.378005981445
48,704.8,63.7700004577637
49,704.9,35.1340026855469
50,705.0,334.454040527344
51,705.1,988.260070800781
52,705.2,1286.57202148438
53,705.3,952.622192382813
54,705.4,307.522003173828
55,705.5,452.710052490234
56,705.6,1424.02819824219
57,705.7,2060.90991210938
58,705.8,1601.05798339844
59,705.9,571.534057617188
60,706.0,61.6100044250488
61,706.1,87.7180023193359
62,706.2,289.476013183594
63,706.3,438.134094238281
64,706.4,365.548034667969
65,706.5,162.818008422852
66,706.6,29.9020023345947
67,706.7,43.6220016479492
68,706.8,66.8640060424805
69,706.9,82.4900054931641
70,707.0,61.8380012512207
71,707.1,23.612003326416
72,707.2,32.8400039672852
73,707.3,89.6480102539063
74,707.4,358.584045410156
75,707.5,1501.24816894531
76,707.6,2730.23852539063
77,707.7,3007.650390625
78,707.8,2447.912109375
79,707.9,2434.26611328125
80,708.0,3749.29614257813
81,708.1,4642.4326171875
82,708.2,4804.72802734375
83,708.3,5704.2763671875
84,708.4,7881.8623046875
85,708.5,9288.658203125
86,708.6,7704.921875
87,708.7,4143.08447265625
88,708.8,1680.1220703125
89,708.9,1795.333984375
90,709.0,2119.15600585938
91,709.1,1948.421875
92,709.2,1943.80822753906
93,709.3,2325.98022460938
94,709.4,2268.22802734375
95,709.5,1733.18811035156
96,709.6,1412.97009277344
97,709.7,1167.03601074219
98,709.8,653.7080078125
99,709.9,219.208038330078
100,710.0,71.802001953125
101,710.1,70.5560073852539
102,710.2,323.780029296875
103,710.3,921.762084960938
104,710.4,1328.580078125
105,710.5,1159.28405761719
106,710.6,638.574035644531
107,710.7,261.096008300781
108,710.8,94.0400085449219
109,710.9,83.9440078735352
110,711.0,92.2420120239258
111,711.1,378.326049804688
112,711.2,631.298034667969
113,711.3,598.606079101563
114,711.4,341.97802734375
115,711.5,408.462036132813
116,711.6,1204.49816894531
117,711.7,2414.81201171875
118,711.8,2983.85229492188
119,711.9,2830.51611328125
120,712.0,2741.42016601563
121,712.1,2790.46826171875
122,712.2,2783.17016601563
123,712.3,3138.15649414063
124,712.4,3858.28442382813
125,712.5,3972.10034179688
126,712.6,2639.2802734375
127,712.7,1094.06408691406
128,712.8,461.0400390625
129,712.9,387.484039306641
130,713.0,230.741989135742
131,713.1,125.468017578125
132,713.2,242.412033081055
133,713.3,462.760009765625
134,713.4,633.630004882813
135,713.5,662.626098632813
136,713.6,645.966064453125
137,713.7,666.312133789063
138,713.8,1019.39221191406
139,713.9,1421.62817382813
140,714.0,1369.98217773438
141,714.1,779.6240234375
142,714.2,305.302032470703
143,714.3,363.000030517578
144,714.4,521.076049804688
145,714.5,548.81005859375
146,714.6,439.9580078125
147,714.7,317.164001464844
148,714.8,232.674026489258
149,714.9,174.508010864258
150,715.0,95.6400146484375
151,715.1,40.8279991149902
152,715.2,32.5760040283203
153,715.3,78.3239974975586
154,715.4,180.714019775391
155,715.5,208.012008666992
156,715.6,95.6260070800781
157,715.7,34.0940017700195
158,715.8,218.85400390625
159,715.9,652.336059570313
160,716.0,871.884094238281
161,716.1,661.2880859375
162,716.2,338.112030029297
163,716.3,251.184005737305
164,716.4,308.640014648438
165,716.5,254.044021606445
