lipid,logFC,logCPM,LR,PValue,FDR,type,AK0135,AK0140,AK0142,AK0169,AK0144,AK0147,AK0154,AK0155,AK0166,AK0168,Blank-1x
Cer(d20:0/26:0(2OH)),2.8552643010555294,6.662871628547478,59.390122058245304,1.2931656570230596e-14,1.8168977481173988e-11,Cer,60257.58404159546,548139.8922462463,11401.320793151855,94111.76588821413,23498.32154846191,10131.400749206545,15790.521091461182,33796.60206604004,18896.801445007324,25157.801864624023,11815.660804748535
Cer(t18:0/26:0(2OH)),2.0796480069730725,5.8699438639702155,32.60484780998172,1.1293271336584722e-8,7.933523113950767e-6,Cer,36233.4628944397,291107.31967544556,9427.680702209473,41202.80269241333,17902.361499786377,7793.180530548096,29897.781887054443,19827.60152053833,17015.521141052246,15974.581268310549,3491.180248260498
Lyso_PS(18:0) | PS (18:0),1.2399612036408991,8.866098638379079,11.7723010378877,6.011861613792675e-4,0.2815555189126236,PS,510859.1652832031,461681.1086425781,531100.5720825195,1217227.979309082,164030.4810180664,171885.4815979004,133122.82946777344,291679.4832458496,207892.29486083984,302625.9219970703,90896.9066772461
C18:1,1.1835647789135155,8.789812835501966,10.726733662035258,0.001055986848809587,0.3709153806443674,FA,1269482.4680786133,15387.740982055664,7960.440567016602,1058808.2702026367,13787.300930023192,7953.66056060791,7970.760578155518,7946.760551452637,909280.2488098145,9939.86066055298,238230.0756225586
PE (16:1),-1.1320298733003546,7.966058176085682,8.868256127417226,0.0029017220382734675,0.6794865772957036,PE,205148.3538818359,138841.37060546875,116196.50927734376,98413.74710083008,68551.14440917969,120157.18759155272,99047.1069946289,155220.13092041016,64574.42405700683,1046679.6766357422,30637.902252197266
TAG(58:7)_FA 20:0,1.0908510534400622,9.865272175540175,9.111057792208157,0.0025406890821073097,0.6794865772957036,TAG,1193952.213317871,812895.1039428711,809390.9869384766,3211269.421142578,633503.8635253906,383496.1295776367,205401.77688598633,664380.4997558594,537262.848449707,595594.7951965332,21032.88150024414
"(11Z,14Z)-eicosadienoylcarnitine",-0.38769145016053363,10.589284919319216,1.0971457044834094,0.2948933572392044,0.9974690761020696,CAR,1386486.881225586,1270323.0888671875,1016258.3680419922,1079225.223022461,1106398.5203857422,1174063.134399414,979734.911468506,1315000.8809814453,1150253.9196777344,1287640.1538085938,283604.88078689575
(11Z)-eicoseneoylcarnitine,-0.42780785104261176,10.676650372344247,1.3326966614549745,0.24832604497518726,0.9974690761020696,CAR,1385807.142211914,1307461.673461914,1112698.895263672,1170394.5592041016,1173379.2845458984,1273471.4271240234,1123954.2408447266,1403092.8359375,1211117.0444335938,1347732.7966308594,285046.4786605835
"(13Z,16Z)-docosadienoylcarnitine",-0.38869060873866845,10.26743808168193,1.102740708976853,0.2936654190895166,0.9974690761020696,CAR,1193675.4536132812,917784.1473388672,858200.9806518555,963797.73193359375,901172.6478271484,994215.9099121094,775983.2182006836,1021483.6547241212,944415.6671142578,1117817.3359375,181664.57362365723
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.3504459467204324,11.254924917929515,0.8984546270003195,0.34319642064950834,0.9974690761020696,CAR,2312001.0830078125,1738335.9741210938,2065626.0770263672,2302781.201599121,1975725.435546875,1865403.3950195312,1796025.6650390625,1691230.3599853516,2450736.817749023,2114082.271484375,114023.58724212646
"(5Z,8Z)-tetradecadienoylcarnitine",-0.377114674738045,9.732861910365092,1.0387522302844445,0.3081118477793233,0.9974690761020696,CAR,764319.49365234375,655389.2666015625,582569.9982910156,646658.5451660156,623829.7839355469,648136.1826171875,516543.6394042969,733716.3115234375,634336.0673828125,712078.0900878906,158361.42999267578
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",-0.4179687797967282,10.190282475229804,1.2728653552908327,0.2592298286997741,0.9974690761020696,CAR,1126353.620300293,938498.4275512696,757553.4345092773,883585.7555541992,926965.067199707,852648.1026611328,749638.4543457031,1025579.053955078,932723.5684814452,1071678.8985595703,153256.1509437561
"(7Z,10Z)-hexadecadienoylcarnitine",-0.34031908722059,10.170723298486408,0.8477794816408276,0.35718127150805307,0.9974690761020696,CAR,1123748.903076172,891040.62109375,832436.5582275391,953706.0941162108,875553.4079589844,875817.8896484375,712716.2937011719,881094.546875,987459.4455566406,1058898.5242919922,148019.67110061646
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",-0.15107596741985221,12.213359514558103,0.1688241010880347,0.6811589875353724,0.9974690761020696,CAR,4891001.678283691,4231218.8837890625,3663724.659179687,5079197.523925781,3921731.468139648,4140817.197021485,2744756.177734375,3778032.8237304688,3403129.6446533203,4114643.487304687,263180.44006347656
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",-0.21599109521544277,10.922083446402805,0.343892008561852,0.5575912497433626,0.9974690761020696,CAR,1940554.4440917969,1498702.8666992188,1509876.7067871094,2052745.1049804688,1642605.657836914,1640416.5393066406,1061737.3879394531,1500157.6706542969,1439568.689453125,1776308.5927734375,168484.0325164795
(9Z)-3-hydroxyoctadecenoylcarnitine,-0.26859828239755873,12.319143406707687,0.5302744735381567,0.4664914879784831,0.9974690761020696,CAR,4887687.393920898,4183498.2982177734,3858002.0883789062,5193424.2548828125,4515173.979614258,4665629.469604492,2848896.9407958984,4165821.642944336,3656461.825073242,4556464.165771484,341258.06032562256
1-O-behenoyl-Cer(d18:1/16:0),-0.3039440518614038,2.8515533824450414,0.6767357776928264,0.4107130185661997,0.9974690761020696,Cer,5852.4604415893555,4118.460285186768,4033.060287475586,5075.18034362793,4544.720314025879,3847.680278778076,5098.460361480713,4085.260284423828,3895.660278320313,3839.480270385742,3583.220245361328
