lipid,logFC,logCPM,LR,PValue,FDR,type,AK0135,AK0140,AK0169,AK0154,AK0155,AK0168,AK0174,AK0175,Blank-1x
C20:1,-3.483178934578039,8.778724712187682,49.61628018691408,1.869558638941692e-12,2.6267298877130774e-9,FA,7957.380546569824,140044.98942947388,7978.540580749512,1209698.3086586,838526.0964393616,7960.600532531738,7964.840518951416,7953.040557861328,7982.56058883667
C20:0,-2.9913262160337104,10.203348735932918,38.69258506870392,4.960900598959263e-10,3.4850326707688817e-7,FA,7961.160514831543,553515.1601448059,7981.580581665039,3481641.4356536865,1868761.908214569,7967.440536499023,7970.800552368164,7956.640556335449,7982.3806076049805
C20:5,-2.465259410593561,7.209365519713733,27.870854398668598,1.2968866551601837e-7,6.07375250166686e-5,FA,7958.200542449951,83993.94580078125,7977.960597991943,416147.06844711304,192013.25254821777,7959.440509796143,7962.380565643311,7951.200572967529,7982.240619659424
C20:4,-2.2618787256602806,6.5777592143079495,23.98982654561405,9.684607682612778e-7,3.4017184485177383e-4,FA,7955.160545349121,56761.78406906128,7976.12056350708,167608.11192703247,241488.23692703247,7959.260536193848,7965.160572052002,7951.840534210205,7981.200630187988
Cer(t18:0/26:0(2OH)),1.894467660535148,6.243683729244203,21.392510115572804,3.7423026630196365e-6,0.0010515870483085179,Cer,36233.4628944397,291107.31967544556,41202.80269241333,29897.781887054443,19827.60152053833,15974.581268310549,5092.140342712402,84920.7845993042,3491.180248260498
C19:0,1.3836876550140806,5.0112059029842735,11.446271230721884,7.163760719774826e-4,0.14378691158976614,FA,7954.340511322021,82892.94589614868,14175.24090576172,8068.940589904785,23827.90168762207,7956.360549926758,18006.801136016846,7951.920562744141,10814.50089263916
C20:3,-1.5024756154864791,7.656855457199862,11.458176372449088,7.11801171097701e-4,0.14378691158976614,FA,7956.24055480957,223156.93649291992,7978.120544433594,440364.6297492981,368083.64696502686,7957.88053894043,7964.820560455322,7953.920543670654,7980.980609893799
PE (16:1),-1.4741142728151941,8.289505171181096,11.06075481256994,8.817424021194076e-4,0.15485600937222097,PE,205148.3538818359,138841.37060546875,98413.74710083008,99047.1069946289,155220.13092041016,1046679.6766357422,366816.6043701172,171415.97088623047,30637.902252197266
TAG(58:7)_FA 20:0,1.2852467436161867,9.94636894183942,9.873297704432844,0.001676946752718489,0.261790020841053,TAG,1193952.213317871,812895.1039428711,3211269.421142578,205401.77688598633,664380.4997558594,595594.7951965332,690864.7578735352,868793.3781738281,21032.88150024414
C18:2,1.110783151509186,9.967947063244322,7.360759053470247,0.006666264376817439,0.7204693422637309,FA,1040349.2161865234,160454.29223632812,3332640.4099121094,9033.100677490234,8685.620586395264,16305.48127746582,2530091.049926758,1219379.9229125977,191511.09341430664
Lyso_PG(14:1) | PG (14:1),-1.1942890256849585,2.2111400913876356,7.441518426437141,0.006373609363670779,0.7204693422637309,PG,2042.020139694214,1851.6301288604736,2120.860149383545,1919.9801349639893,2059.730146408081,2047.680139541626,8759.98064994812,7329.090534210205,1582.2301197052002
Lyso_PS(18:0) | PS (18:0),1.1395196654174093,8.983727252645442,7.749543320114754,0.005372612547510462,0.7204693422637309,PS,510859.1652832031,461681.1086425781,1217227.979309082,133122.82946777344,291679.4832458496,302625.9219970703,370727.6478881836,319387.6605834961,90896.9066772461
"PIo (40:5), PIp (40:4)",-1.1889772253975301,10.140032916206087,7.394206876058888,0.006543427023538129,0.7204693422637309,PI,354633.1041870117,1019139.5050048828,422177.2482910156,782626.408203125,1406690.3049316406,357457.9249267578,3565148.1352539062,938635.8067626952,39443.00280761719
TAG(54:7)_FA 16:0,1.0961766529310113,10.918970203827657,7.166929409606382,0.007425977580818099,0.7452498929321021,TAG,2041557.714416504,998363.0891418456,6912525.977722168,503926.8719482422,1161062.6803588867,1722189.7348632812,448614.4133605957,2311910.8286132812,24154.861877441406
TAG(54:8)_FA 16:1,1.072323810675345,10.465593564364397,6.85588160165935,0.008834995268684753,0.827544556833472,TAG,1579035.663146973,793672.1771240234,4770038.156799316,354024.8701171875,841230.806640625,1208335.341430664,521940.2178955078,1650470.9374084473,29435.762115478516
Lyso_PI(22:4) | PI (22:4),-1.1297550222842676,7.500524887206831,6.712087491177954,0.009576156033630791,0.8409062017032038,PI,51992.90351104736,182923.9346923828,38923.632331848145,182546.32218933103,203997.33346557617,49069.49328994751,512518.6635131836,54940.633850097656,17331.451148986816
"(11Z,14Z)-eicosadienoylcarnitine",-0.21039828257658796,10.560941789076292,0.25034246410723426,0.6168340411362442,0.996791623254679,CAR,1386486.881225586,1270323.0888671875,1079225.223022461,979734.911468506,1315000.8809814453,1287640.1538085938,1254938.1559448242,1132406.2965698242,283604.88078689575
(11Z)-eicoseneoylcarnitine,-0.278641044713834,10.64185704889166,0.4370963731635129,0.5085272520846311,0.996791623254679,CAR,1385807.142211914,1307461.673461914,1170394.5592041016,1123954.2408447266,1403092.8359375,1347732.7966308594,1238776.1319580078,1282045.1535644531,285046.4786605835
"(13Z,16Z)-docosadienoylcarnitine",-0.2680538883520016,10.245245003832082,0.404799262337292,0.5246210682105134,0.996791623254679,CAR,1193675.4536132812,917784.1473388672,963797.73193359375,775983.2182006836,1021483.6547241212,1117817.3359375,1221247.5565185547,1017794.9621582032,181664.57362365723
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.3026017970993991,11.176885699853642,0.5146661638027581,0.4731258562450647,0.996791623254679,CAR,2312001.0830078125,1738335.9741210938,2302781.201599121,1796025.6650390625,1691230.3599853516,2114082.271484375,2786300.2643432617,2522326.7109375,114023.58724212646
"(5Z,8Z)-tetradecadienoylcarnitine",-0.23550231512823727,9.71301871608236,0.31312981543669594,0.5757659260473998,0.996791623254679,CAR,764319.49365234375,655389.2666015625,646658.5451660156,516543.6394042969,733716.3115234375,712078.0900878906,764933.9527587891,652278.2630615234,158361.42999267578
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",-0.28972292162754715,10.185664038969875,0.4722010654004405,0.49197631451854185,0.996791623254679,CAR,1126353.620300293,938498.4275512696,883585.7555541992,749638.4543457031,1025579.053955078,1071678.8985595703,1177549.126953125,1027356.7213745116,153256.1509437561
"(7Z,10Z)-hexadecadienoylcarnitine",-0.2523789275087972,10.158799273486926,0.3592163549965335,0.5489417742641078,0.996791623254679,CAR,1123748.903076172,891040.62109375,953706.0941162108,712716.2937011719,881094.546875,1058898.5242919922,1286415.7739868164,1079671.9899902344,148019.67110061646
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",0.04822864337551032,12.135720676609525,0.013361951780098025,0.9079743905205869,0.996791623254679,CAR,4891001.678283691,4231218.8837890625,5079197.523925781,2744756.177734375,3778032.8237304688,4114643.487304687,3928391.265625,4548470.571166992,263180.44006347656
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",-0.03155123804531246,10.842748835601078,0.005692471311704139,0.939857897247042,0.996791623254679,CAR,1940554.4440917969,1498702.8666992188,2052745.1049804688,1061737.3879394531,1500157.6706542969,1776308.5927734375,1671652.7352294922,1796628.9790039062,168484.0325164795
