lipid,logFC,logCPM,LR,PValue,FDR,type,AK0135_x,AK0140_x,AK0142_x,AK0169_x,AK0135_y,AK0140_y,AK0142_y,AK0169_y,Blank-1x
"(11Z,14Z)-eicosadienoylcarnitine",0,10.457363045486717,0,1,1,AC,1386486.881225586,1270323.0888671875,1016258.3680419922,1079225.223022461,1386486.881225586,1270323.0888671875,1016258.3680419922,1079225.223022461,283604.88078689575
(11Z)-eicoseneoylcarnitine,0,10.5174631027398,0,1,1,AC,1385807.142211914,1307461.673461914,1112698.895263672,1170394.5592041016,1385807.142211914,1307461.673461914,1112698.895263672,1170394.5592041016,285046.4786605835
"(13Z,16Z)-docosadienoylcarnitine",0,10.118077811434548,0,1,1,AC,1193675.4536132812,917784.1473388672,858200.9806518555,963797.73193359375,1193675.4536132812,917784.1473388672,858200.9806518555,963797.73193359375,181664.57362365723
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",0,11.07817785634989,0,1,1,AC,2312001.0830078125,1738335.9741210938,2065626.0770263672,2302781.201599121,2312001.0830078125,1738335.9741210938,2065626.0770263672,2302781.201599121,114023.58724212646
"(5Z,8Z)-tetradecadienoylcarnitine",0,9.609504904817616,0,1,1,AC,764319.49365234375,655389.2666015625,582569.9982910156,646658.5451660156,764319.49365234375,655389.2666015625,582569.9982910156,646658.5451660156,158361.42999267578
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0,10.014100651432937,0,1,1,AC,1126353.620300293,938498.4275512696,757553.4345092773,883585.7555541992,1126353.620300293,938498.4275512696,757553.4345092773,883585.7555541992,153256.1509437561
"(7Z,10Z)-hexadecadienoylcarnitine",0,10.039811252150816,0,1,1,AC,1123748.903076172,891040.62109375,832436.5582275391,953706.0941162108,1123748.903076172,891040.62109375,832436.5582275391,953706.0941162108,148019.67110061646
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",0,12.162574243077836,0,1,1,AC,4891001.678283691,4231218.8837890625,3663724.659179687,5079197.523925781,4891001.678283691,4231218.8837890625,3663724.659179687,5079197.523925781,263180.44006347656
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",0,10.847732428025825,0,1,1,AC,1940554.4440917969,1498702.8666992188,1509876.7067871094,2052745.1049804688,1940554.4440917969,1498702.8666992188,1509876.7067871094,2052745.1049804688,168484.0325164795
(9Z)-3-hydroxyoctadecenoylcarnitine,0,12.203024366195924,0,1,1,AC,4887687.393920898,4183498.2982177734,3858002.0883789062,5193424.2548828125,4887687.393920898,4183498.2982177734,3858002.0883789062,5193424.2548828125,341258.06032562256
1-O-behenoyl-Cer(d18:1/16:0),0,2.9095009294039773,0,1,1,CER,5852.4604415893555,4118.460285186768,4033.060287475586,5075.18034362793,5852.4604415893555,4118.460285186768,4033.060287475586,5075.18034362793,3583.220245361328
1-O-carboceroyl-Cer(d18:1/16:0),0,2.985525235123755,0,1,1,CER,5216.740371704102,3582.860237121582,4081.8003158569336,4236.8803062438965,5216.740371704102,3582.860237121582,4081.8003158569336,4236.8803062438965,4646.720367431641
1-O-carboceroyl-Cer(d18:1/18:0),0,3.3558860218217825,0,1,1,CER,8720.900714874268,5660.100425720215,4481.360313415527,6960.540477752686,8720.900714874268,5660.100425720215,4481.360313415527,6960.540477752686,5040.740333557129
1-O-cerotoyl-Cer(d18:1/16:0),0,3.3656837700521125,0,1,1,CER,13388.360912322998,4653.600318908691,5178.580360412598,7924.700550079346,13388.360912322998,4653.600318908691,5178.580360412598,7924.700550079346,3809.9602699279785
1-O-cerotoyl-Cer(d18:1/18:0),0,3.551348441532404,0,1,1,CER,15794.281101226808,6038.360431671143,6661.160549163818,9653.100685119629,15794.281101226808,6038.360431671143,6661.160549163818,9653.100685119629,3463.6002349853516
