lipid,logFC,logCPM,LR,PValue,FDR,type,AK0142,AK0170,AK0200,AK0202,AK0144,AK0145,AK0147,AK0164,AK0166,Blank-1x
Cer(d20:0/26:0(2OH)),3.1440186354885915,6.850061025358906,64.66919540550458,8.858905677990458e-16,1.2446762477576593e-12,CER,11401.320793151855,78771.12669754028,568625.2210197449,494345.7305030823,23498.32154846191,47042.62385940552,10131.400749206545,36811.48260116577,18896.801445007324,11815.660804748535
Cer(t18:0/26:0(2OH)),2.860563975597148,5.818485279864192,54.62230088380602,1.4606864635037597e-13,1.0261322406113912e-10,CER,9427.680702209473,30666.9022064209,225540.09686279297,276953.3325691223,17902.361499786377,7124.720485687256,7793.180530548096,20583.52146911621,17015.521141052246,3491.180248260498
Cer(d20:0/26:0),2.6148496930481353,7.637281243732045,46.398082068863005,9.65099320906508e-12,4.519881819578812e-9,CER,14138.560970306396,64888.283515930176,897382.4204978943,972553.6929969788,181543.9899520874,12331.600761413574,9119.04063796997,41083.24278640747,21699.901554107662,3579.9602546691895
C18:4,1.7035493188941875,9.40079857060321,20.65314277409199,5.504675619020185e-6,0.00193351731118084,FFA,12029.660949707031,285829.51916503906,5712751.576690674,372092.9291992187,324024.7848510742,404067.07208251953,11947.060859680176,266600.91885375977,490802.613861084,127843.58934020996
Cer(d18:1/18:0),1.1170671624126325,5.170571142400553,9.030761387210987,0.0026547388537155048,0.7459816178940568,CER,25663.782039642338,44351.04386520386,50301.58347320557,114944.5061264038,38343.54300689697,26516.12226867676,10976.680694580078,19645.621543884277,14859.341053009031,3574.840259552002
Cer(d18:1/18:1(9Z)),1.0655091513746648,5.138858850352828,8.223715314085894,0.004134646440332354,0.8298826069524226,CER,24381.52157974243,42759.70289993286,47108.52322387695,112077.63040542604,37886.30274581909,24061.481742858887,13049.700874328611,19478.68137741089,14419.90100479126,3572.0602531433105
CerP(d18:1/12:0),1.0755731445417174,5.124403751956817,8.378361943922755,0.0037971449965451816,0.8298826069524226,CER,25481.5216255188,38701.44205856323,47325.42292404175,111983.40600204468,39244.02239227295,20406.621467590332,13081.980865478516,19951.201263427734,13416.100833892822,3562.3002586364746
"(11Z,14Z)-eicosadienoylcarnitine",-0.32291737510376733,10.294772490048594,0.7441645296130446,0.3883300879110633,0.9991404980372531,AC,1016258.3680419922,1218773.5845947266,1302167.092163086,1176849.5888671875,1106398.5203857422,1130798.7427978516,1174063.134399414,1181701.8826904297,1150253.9196777344,283604.88078689575
(11Z)-eicoseneoylcarnitine,-0.282341792504186,10.380770506782538,0.5697625783795957,0.4503532768280692,0.9991404980372531,AC,1112698.895263672,1202099.1199951172,1561939.1799316406,1278446.3055419922,1173379.2845458984,1128833.5732421875,1273471.4271240234,1278053.767944336,1211117.0444335938,285046.4786605835
"(13Z,16Z)-docosadienoylcarnitine",-0.22985615953597027,10.068948889229272,0.37832560283277417,0.538500710342569,0.9991404980372531,AC,858200.9806518555,1149769.7707519531,1397754.8560791016,1063207.8836669922,901172.6478271484,1079653.0477294922,994215.9099121094,1238666.0463256836,944415.6671142578,181664.57362365723
