lipid,logFC,logCPM,LR,PValue,FDR,type,AK0135,AK0139,AK0140,AK0142,AK0161,AK0169,AK0170,AK0200,AK0202,AK0204,AK0144,AK0145,AK0147,AK0154,AK0155,AK0164,AK0166,AK0168,AK0174,AK0175,Blank-1x
Cer(t18:0/26:0(2OH)),1.8519062727463358,5.880060963362514,50.85593108771343,9.940045692921446e-13,1.3965764198554631e-9,Cer,36233.4628944397,10586.800743103027,291107.31967544556,9427.680702209473,12692.780986785889,41202.80269241333,30666.9022064209,225540.09686279297,276953.3325691223,15254.46109008789,17902.361499786377,7124.720485687256,7793.180530548096,29897.781887054443,19827.60152053833,20583.52146911621,17015.521141052246,15974.581268310549,5092.140342712402,84920.7845993042,3491.180248260498
C18:2,1.7790528693595327,11.030670747418307,47.15813082488603,6.548443823613791e-12,4.600281786088688e-9,FA,1040349.2161865234,30382811.85083008,160454.29223632812,7957.600547790527,1749622.048370361,3332640.4099121094,1030637.5733642578,3706070.332885742,1180134.9066505432,1968676.159423828,172735.37169647217,2159391.643737793,7953.320552825928,9033.100677490234,8685.620586395264,774634.73876953125,3199785.805130005,16305.48127746582,2530091.049926758,1219379.9229125977,191511.09341430664
Cer(d20:0/26:0),1.2888933346701943,7.636504465673326,25.434219994691375,4.577263552067644e-7,2.1436850968850133e-4,Cer,82489.00484466553,122976.50982284546,723109.9012832642,14138.560970306396,21008.941318511963,120564.42832946776,64888.283515930176,897382.4204978943,972553.6929969788,22905.541801452637,181543.9899520874,12331.600761413574,9119.04063796997,299336.8090324402,33998.30194854736,41083.24278640747,21699.901554107662,31783.662128448486,8932.380596160889,244944.81497573853,3579.9602546691895
C18:4,1.261821637963721,9.573317797192622,24.409355485933702,7.788952555310949e-7,2.735869585052971e-4,FA,403199.9313354492,2894270.9978027344,134691.26972198486,12029.660949707031,405599.84588623047,3136273.7321777344,285829.51916503906,5712751.576690674,372092.9291992187,323099.70404052734,324024.7848510742,404067.07208251953,11947.060859680176,30201.92222976685,1258506.1556625366,266600.91885375977,490802.613861084,414682.72622680664,571434.2774658203,318459.9401245117,127843.58934020996
C20:0,-1.2291554146313335,10.394123970376954,23.197303903813008,1.4620215746778865e-6,4.108280624844861e-4,FA,7961.160514831543,7966.260536193848,553515.1601448059,6023808.558933258,129144.51029586792,7981.580581665039,7959.200504302979,7964.340545654297,7952.04052734375,7947.500576019287,7962.060558319092,7977.6005783081055,7282259.104370117,3481641.4356536865,1868761.908214569,7975.580577850342,7970.640548706055,7967.440536499023,7970.800552368164,7956.640556335449,7982.3806076049805
Cer(d20:0/26:0(2OH)),0.8481000537637348,7.232530762329154,11.211519042633881,8.129114992495796e-4,0.19035677607427656,Cer,60257.58404159546,70630.22485733032,548139.8922462463,11401.320793151855,24407.621559143063,94111.76588821413,78771.12669754028,568625.2210197449,494345.7305030823,124804.72968673706,23498.32154846191,47042.62385940552,10131.400749206545,15790.521091461182,33796.60206604004,36811.48260116577,18896.801445007324,25157.801864624023,934894.2044754028,190485.75704956055,11815.660804748535
C15:1,-0.8241897582279236,11.05464688358033,10.596858226926997,0.0011327998895077629,0.2273691206797724,FA,1577863.0067138672,1283359.539428711,1443441.733581543,1777239.8449707031,598373.7831726074,1828271.54208374,1033582.3955078124,854112.263458252,1100277.9603271484,1055318.6157226562,3027454.519836426,968810.4743652344,2725583.9951782227,1562332.9965820312,1924519.3202514648,860388.900970459,1563118.1477661133,1509064.061767578,1112653.8436279297,1348329.6302490234,1725227.109222412
C24:5,0.7989964854136431,11.590781594899159,9.966873559606036,0.0015938190571278673,0.2799144719080817,FA,2389622.010498047,28005625.03112793,1059367.071029663,1462845.2863464355,3050610.21774292,3302428.7809906006,1810146.6446228027,4780553.716369629,1804504.928527832,2821938.868713379,1571079.0035629272,3108907.9731445312,1520155.8265686035,1091810.442932129,2371646.8937835693,1778013.4094543457,1727106.060089111,3038400.655517578,3056002.0457000732,1619711.4777832031,505308.3322067261
Cer(d18:1/18:1(9Z)),0.7067879937361746,5.149512893901189,7.818839635164068,0.00517043816303699,0.8071628465629967,Cer,91641.66716384888,22533.64161300659,10037.040740966797,24381.52157974243,57608.44382095337,33251.662422180176,42759.70289993286,47108.52322387695,112077.63040542604,77266.54510498047,37886.30274581909,24061.481742858887,13049.700874328611,12179.460865020752,19371.081398010258,19478.68137741089,14419.90100479126,26044.20151519775,44383.58297729492,45685.64277648926,3572.0602531433105
Cer(d18:1/18:0),0.6952469832883228,5.198521842245052,7.568047726111217,0.005941210303400378,0.8347400476277531,Cer,92057.2255859375,23409.301609039307,10314.58074951172,25663.782039642338,63382.98434448242,30683.8420753479,44351.04386520386,50301.58347320557,114944.5061264038,82409.22528076172,38343.54300689697,26516.12226867676,10976.680694580078,11731.500869750977,18651.561222076416,19645.621543884277,14859.341053009031,30006.702068328857,48877.88250732422,51203.003688812256,3574.840259552002
