lipid,logFC,logCPM,LR,PValue,FDR,type,AK0135,AK0139,AK0140,AK0142,AK0161,AK0169,AK0170,AK0200,AK0202,AK0204,AK0144,AK0145,AK0147,AK0154,AK0155,AK0164,AK0166,AK0168,AK0174,AK0175,Blank-1x
1-O-carboceroyl-Cer(d18:1/16:0),-0.3301825672573495,2.5005505827430805,1.7171327589927152,0.19006254056874425,0.9742355692313459,Cer,5216.740371704102,4441.940341949463,3582.860237121582,4081.8003158569336,3718.3802642822266,4236.8803062438965,3969.8202781677246,3614.9802589416504,5576.680419921875,4055.040290832519,4074.4802780151367,5085.420352935791,3604.5002479553223,4713.260307312012,3759.620258331299,3836.640239715576,3713.360263824463,3989.080280303955,4237.000282287598,4758.760353088379,4646.720367431641
1-O-eicosanoyl-Cer(d18:1/16:0),-0.3746890855040961,2.7687023453648187,2.210304976856534,0.1370915667948281,0.9742355692313459,Cer,6167.640422821045,5131.020397186279,3758.3402366638184,4268.620307922363,4800.280372619629,4327.160327911377,4450.040294647217,4905.880352020264,5853.100387573242,3852.060295104981,4501.780342102051,7359.920520782471,3860.800262451172,5231.980365753174,4478.94030380249,4873.900314331055,4164.360324859619,4291.060306549072,4322.100303649902,5289.9403648376465,6539.220417022705
C15:0,-0.4870342778668398,9.89951106106846,3.732568592036843,0.0533612757987364,0.9742355692313459,FA,905970.57470703125,861028.9951171875,627171.2274169922,870962.4801635742,669375.4311218262,775351.4599304199,793726.1092529297,780912.2749633789,836918.8010253906,806232.15576171875,997021.3467407228,795665.3126220703,1118561.9372558594,778223.2125244141,848283.256652832,583804.8407592773,661402.5719604492,934859.0604248048,856296.7023925781,845644.2795410156,440589.41314697266
C16:0,-0.4062355101514333,12.647365242144073,2.6005762165590127,0.10682486958598804,0.9742355692313459,FA,5640369.882202148,5568809.041870117,4770426.859680176,5486492.026733398,3646961.4317626953,5113027.0029296875,5811554.065185547,5163038.89465332,6936173.981079102,4509060.182861328,5741593.872436523,6754271.878051758,5996406.524658203,5203453.786987305,4963816.8505859375,3945772.823059082,4709216.054443359,5209465.770996094,6342494.019042969,6190052.529174805,3408274.16986084
C16:1,-0.36721372709907457,8.9133654751293,2.126210092650581,0.1447983828212244,0.9742355692313459,FA,511186.95458984375,514103.4731445313,337791.1852722168,450568.933013916,390537.56729125977,369540.04608154297,452425.3934326172,474642.9748535156,496472.3569946289,448676.8315429687,450388.5725097656,511686.8575439453,453685.01330566406,393367.20880126953,404695.2286376953,349757.4248046875,373405.5489501953,522318.49853515625,523826.4978332519,475501.1088256836,161706.47105407715
C17:0,-0.5701466957298721,10.995438008327238,5.106335648786628,0.023838618135757696,0.9742355692313459,FA,1991620.5350952148,1723266.9279174805,1509075.458984375,2006468.708618164,1301265.309326172,1576281.3630065918,1631409.142578125,1738138.1675109863,1883272.5186767576,1395032.6827392578,2286791.912841797,2098835.010498047,1995212.1161499023,1831251.682800293,1952648.1799316409,1361150.7901000977,1742066.2689819336,2260687.88079834,2055697.992553711,1811502.19921875,741267.45263671875
C18:1,0.6547985372360792,9.507365454197558,6.721447433756111,0.009526028525996395,0.9742355692313459,FA,1269482.4680786133,3087014.745788574,15387.740982055664,7960.440567016602,1224852.4151306152,1058808.2702026367,1072812.0966186523,1853653.4731445312,227361.5581550598,1195409.1694335938,13787.300930023192,1552003.7389526367,7953.66056060791,7970.760578155518,7946.760551452637,915327.4682312012,909280.2488098145,9939.86066055298,1626866.467254639,1097749.0740356443,238230.0756225586
C18:3,0.42863942019009244,9.366055090626789,2.8942288982507307,0.08889730280736448,0.9742355692313459,FA,1054323.3951416016,1181207.4193115234,331446.56226730347,11148.0807762146,923763.8223266602,1023084.5708618164,842808.4569091797,1425976.255859375,942956.427368164,873343.3416748047,636181.5847091675,1027099.4716796876,7950.560535430908,12520.480884552002,21448.661544799805,840734.9029541016,753626.3316650391,273185.3410682678,1079039.4757080078,900973.9652099608,231365.0361328125
C20:3,-0.46161881381285164,7.712623196780926,3.354679250587651,0.06701426486383304,0.9742355692313459,FA,7956.24055480957,7961.540561676025,223156.93649291992,696611.2298545837,899622.7589912415,7978.120544433594,7953.980541229248,20633.40142059326,7945.320518493652,7940.040546417236,7961.200519561768,19220.861457824707,601637.4836425781,440364.6297492981,368083.64696502686,391500.4481658935,7967.140556335449,7957.88053894043,7964.820560455322,7953.920543670654,7980.980609893799
C20:5,-0.5660970004822936,7.966161418977588,5.034392863741232,0.02484879520422568,0.9742355692313459,FA,7958.200542449951,8941.320583343506,83993.94580078125,656854.928226471,910609.2207336426,7977.960597991943,8623.160564422607,691836.4113731384,7946.120532989502,7940.680587768555,7960.720531463623,856361.2466773987,646807.0696411133,416147.06844711304,192013.25254821777,648438.8433609009,7965.700553894043,7959.440509796143,7962.380565643311,7951.200572967529,7982.240619659424
C22:0,-0.5945980826473284,12.909336060034711,5.550604802872494,0.01847430237506075,0.9742355692313459,FA,6921673.673706055,8521965.430541992,4582128.799743652,4795007.575927734,7872872.572063446,5979070.086975098,6344006.308837891,10981694.138671877,6084197.7900390625,10909498.89050293,6599116.069580078,9171471.067626951,6171871.086425781,3610485.279663086,5792852.909423828,6790860.650817871,7560239.307189941,21887110.60168457,12776242.21246338,5905511.96685791,1157658.540374756
C22:1,0.4202862100447789,10.845254587205154,2.7829336513532326,0.09527350835535683,0.9742355692313459,FA,1382191.5220031738,13455427.26031494,644429.5062255859,932272.3070983888,1840780.876789093,1700547.3732299805,1091551.633239746,2633722.0825195312,1314462.6401062012,2262475.2035827637,1074954.2868804932,1976226.805603027,1329338.7167053225,702745.2961730957,1278698.0388183594,1072527.111175537,898301.7373352051,3081707.002746582,2300666.792984009,1102661.9021606443,229673.77950286865
C22:6,-0.40636723224258287,11.285884503441935,2.602253238124831,0.10671190198304766,0.9742355692313459,FA,3607529.3559265137,2515769.6189575195,1565471.3551940918,2078140.1802368164,944375.3468170166,2272931.2537231445,2224139.9348754883,3368721.72076416,2469028.7740478516,3152897.978820801,2309174.924621582,2418049.5775756836,2329314.8236083984,1550972.2059326172,2358323.10748291,1629807.9803237915,2051314.7516784668,4642534.292724609,3497903.9357299805,2264430.1189575195,497382.3003845215
Cer(d14:1(4E)/20:0(2OH)),0.3540385322587882,7.404541715806532,1.9767050516311429,0.159737953484618,0.9742355692313459,Cer,352775.82652282715,259728.3363418579,73086.10520935059,68521.08494567871,298516.8415412903,268380.7786102295,262638.48106765747,218441.37684631348,284883.2791442871,187449.47484970093,120018.86880874634,250363.33840942383,60184.06422805786,68657.1651763916,74804.76531219482,181915.79039764404,99077.80624389648,127112.06813812256,240332.9359703064,270041.09938049316,22665.30173110962
Cer(d14:1(4E)/20:1(11Z)(2OH)),0.363555909874047,7.57042619037114,2.084135546571474,0.14883645611142166,0.9742355692313459,Cer,399143.76460266113,271484.3599700928,90379.16540145874,88659.3655052185,312299.30463027954,312446.2064971924,276177.57833099365,261049.93770599365,322139.7829284668,221179.6762046814,130113.2893295288,263434.0743865967,70579.4845199585,69396.50490951538,90127.72591018675,209354.87433624268,121478.30896759032,157517.05101394653,251760.8190383911,304336.2032775879,23079.261779785156
Cer(d14:1(4E)/26:0(2OH)),0.39280855385457975,8.249067391150547,2.4319792249777947,0.11888271191029642,0.9742355692313459,Cer,622757.766204834,437487.5132522583,134602.33056259155,120069.24839782716,534459.5656204224,478519.29136657715,519892.7544631958,414817.4083480835,575996.97900390625,357085.0268211365,204244.49494171143,414530.5675544739,113691.36569213869,123723.5298461914,129456.11108779909,375290.609954834,165320.4719543457,239321.95664215088,433500.66928482056,500490.36071777344,25092.061935424805
"Cer(d14:2(4E,6E)/18:1(9Z))",0.317939448553874,6.259957296909985,1.594845173652173,0.2066352572845981,0.9742355692313459,Cer,148472.2914199829,101549.88738250732,36121.822299957275,34337.84275817871,111585.12856674194,125818.88802337646,108081.5472946167,97890.12689590454,137038.33068847656,83484.42445373535,47663.26321411133,93159.16664886476,27070.02191925049,37156.82290649414,36386.78240585327,89483.0058517456,48618.403507232666,57073.96413040161,106866.1282119751,119500.52767181396,14362.621101379396
"Cer(d14:2(4E,6E)/20:1(11Z))",0.3569151996732933,6.6109803592489875,2.0088181519263912,0.1563871047996702,0.9742355692313459,Cer,209008.81243896484,125015.18925476074,46899.643226623535,42096.1826133728,137896.81056976318,201100.43253326416,144566.2098083496,119709.78666305542,162236.93026733398,98023.76708602904,67786.64477157593,138015.96765899658,33677.56286239624,52747.06366729736,43012.74384307861,122319.66807937622,47052.90341567993,73514.56532669067,125433.96891021729,145361.8895149231,14277.061027526855
Cer(d18:0/14:0),-0.315815581508119,2.435958785425509,1.5713525063664946,0.21001070568252342,0.9742355692313459,Cer,5076.160377502441,4578.800338745117,3830.7802734375,4126.480293273926,3985.70027923584,4532.480304718018,4381.440330505371,3975.1002807617183,5284.5203857421875,4624.760311126709,4718.900363922119,5327.360363006592,3884.5002670288086,3767.9802589416504,4343.260272979736,4450.260280609131,3926.740306854248,4237.900295257568,4303.880298614502,4569.320327758789,3531.0002479553223
Cer(d18:0/18:0(2OH)),-0.3111115798334278,2.530597512490319,1.5251825419420797,0.2168369016715814,0.9742355692313459,Cer,5599.100410461426,5446.980350494385,3866.0202713012695,4001.760307312012,4507.0203132629395,4893.880367279053,4844.180309295654,4717.180309295654,5959.360412597656,4810.3603439331055,4931.040336608887,6532.040508270264,4224.340316772461,4134.860290527344,4035.600311279297,4470.960311889648,3860.340274810791,4913.04035949707,4648.380336761475,5772.120403289795,3569.9002647399902
Cer(d18:0/26:0),-0.3055694663572265,2.5612114409827087,1.4714711871443775,0.22511371690557092,0.9742355692313459,Cer,6538.68045425415,5696.760398864746,3997.180274963379,4352.780326843262,5055.84033203125,4679.800323486328,4586.620315551758,5006.480312347412,5737.280387878418,4258.000331878662,4073.780288696289,7768.6805419921875,3952.680267333984,4938.700347900391,4563.900314331055,4694.6803550720215,4163.680305480957,4508.060298919678,4781.760360717773,5271.600368499756,3599.3002548217773
Cer(d18:1/16:0),0.3318922855184467,5.034356574135523,1.7373585865808536,0.18747385959189958,0.9742355692313459,Cer,75173.68560028076,29764.522411346436,17672.981071472168,30623.22225189209,32681.74239730835,36356.7225151062,31265.62270355225,25843.002075195312,89269.34510421753,31516.141899108887,39606.22258758545,21050.001831054688,19457.661350250244,13537.140907287598,31385.122219085693,20226.401390075684,15109.721332550049,23158.961868286133,33617.94189453125,41140.842487335205,5493.520320892334
Cer(d18:1/2:0),-0.31335572213306156,2.2529303300908494,1.5465945251867481,0.21363888615289153,0.9742355692313459,Cer,3969.760269165039,4005.640293121338,3576.2602500915527,3527.5002632141113,3757.100284576416,4035.2802810668945,3737.980293273926,3614.0402603149414,4204.9002685546875,3586.540256500244,3706.800273895264,3747.7802734375,3423.460235595703,3512.34024810791,3614.8402519226074,3665.340240478515,3622.8402557373047,3764.2002601623535,3596.7602767944336,4059.0202980041504,3421.360244750977
CerP(d18:1/12:0),0.6559767865634124,5.162296914814518,6.744235380409464,0.009405107636061755,0.9742355692313459,Cer,91240.66621017456,20537.161876678467,11322.64093399048,25481.5216255188,61514.424602508545,30091.10199356079,38701.44205856323,47325.42292404175,111983.40600204468,77626.44487762451,39244.02239227295,20406.621467590332,13081.980865478516,11449.300758361816,17283.241481781006,19951.201263427734,13416.100833892822,29662.36203765869,51436.82389831543,51188.56448364258,3562.3002586364746
CerP(d18:1/2:0),-0.3454119221152405,2.2916138275487117,1.8785481356923555,0.1704992533677084,0.9742355692313459,Cer,4243.380332946777,4369.2603187561035,3512.8002319335938,3525.780258178711,4287.340312957764,3892.86026763916,3661.480270385742,3822.460273742676,4123.5003089904785,3696.700263977051,3794.4802589416504,4030.760269165039,3584.9602584838867,3736.900249481201,3694.1802711486816,3909.7402725219727,3736.020252227783,4083.040298461914,3780.520278930664,4033.720268249512,3441.740245819092
CerP(d18:1/24:0),-0.32578211574650645,2.6175573563015146,1.6722572668578515,0.19595646478339945,0.9742355692313459,Cer,6688.660514831543,6348.460502624512,4339.320281982422,4060.20027923584,5098.620372772217,5814.260395050049,4568.060317993164,4437.040336608887,6672.680446624756,4140.560302734375,4322.140293121338,7056.500556945801,4122.300258636475,6243.220470428467,4469.3803062438965,5801.780364990234,4106.760314941406,4752.440349578857,4988.900352478027,5360.360355377197,3477.780258178711
CerP(d18:1/26:1(17Z)),-0.30229738228623176,3.1778625521290507,1.4403806950489884,0.2300777456520154,0.9742355692313459,Cer,8268.140617370605,5623.36043548584,4974.40034866333,4638.660308837891,5293.44038772583,5812.200420379639,4079.140293121338,5100.200351715088,7202.420543670654,4682.760292053223,5368.160373687744,7165.040523529053,4154.920276641846,6115.160404205322,5318.940402984619,4620.2203369140625,4348.020309448242,5306.3603439331055,4564.260311126709,6553.660423278809,11089.920539855955
Lyso_PE(13:0),-0.3290419885000458,1.2173224488109424,1.70171408632649,0.19206396449513485,0.9742355692313459,PE,1859.700122833252,1489.640106201172,2454.040168762207,1710.7401123046875,1808.2401237487793,1559.960090637207,1680.2001190185547,1945.4601249694824,1948.3201370239256,1705.240119934082,1482.6201133728027,1908.6201362609863,1587.1201057434082,1634.9801139831543,1889.540138244629,1735.4801139831543,1571.6401290893557,2990.68021774292,1721.0401153564453,1693.4401092529297,1663.8001136779783
Lyso_PE(14:1),-0.3778329048700525,1.1426845920322573,2.2417433735379255,0.1343294521229198,0.9742355692313459,PE,1575.500114440918,1460.5601119995115,1849.9001159667969,1705.8401336669922,1720.2801399230957,1586.3801040649414,1824.8201332092283,1763.560131072998,1577.7401123046875,1773.220115661621,1601.6201095581057,2065.020133972168,1581.680118560791,1491.4801025390625,1531.100112915039,1728.0601272583008,1501.9201011657717,2246.520160675049,1859.7401313781736,1821.980125427246,1678.0201148986816
Lyso_PG(17:2),0.3236039957357281,8.220270304991429,1.6521650179793141,0.19866451655967685,0.9742355692313459,PG,399224.4749145508,422302.412109375,326317.8688964844,296942.9407348633,446469.6897583008,504598.19885253906,308828.9169921875,395210.58837890625,295233.9005126953,352119.5070800781,164679.7099609375,301073.3427734375,149981.0487060547,139247.5908203125,262168.1389160156,459646.16973876953,179056.09368896484,247568.60028076172,357502.9659423828,267358.58026123047,55554.124450683594
Lyso_PG(18:4),0.3769541895278773,9.984136250126523,2.240182780282339,0.13446508454560138,0.9742355692313459,PG,287372.07763671875,939979.0142822266,159701.9296875,145450.85116577148,963266.14892578125,201000.676361084,1111415.6381225586,1019557.4677734376,190692.7772216797,969426.8099365234,151242.47003173828,903768.1249389648,126781.00955200195,114769.20919799805,159162.1885986328,1190525.328918457,144929.26998901367,171985.7088623047,949961.8805541992,165826.90878295898,1838982.054840088
Lyso_PI(12:0) | PI (12:0),0.41405960039149436,10.371123057491978,2.7013614559600683,0.10026259560979549,0.9742355692313459,PI,1125558.0889765422,2223014.8804829917,663090.8089396158,864271.8757273356,3762931.671925863,781296.2900034586,2112058.687347412,2312394.1509145102,1014230.6455815634,5586627.888122559,515015.3488438924,2369421.643910726,692539.3146057129,515705.33471171063,1375384.52301534,1841052.5926005049,427193.61131795245,1010365.6392364502,2605797.4122416177,874835.0830408732,18297.967928568523
Lyso_PS(13:0) | PS (12:0),-0.3967564206205752,1.3499785056777442,2.472489039011535,0.11585432991533236,0.9742355692313459,PS,1767.5401210784912,2052.6101455688477,1834.1801261901855,1716.5301208496094,2258.200159072876,1918.200138092041,2040.3801383972168,2351.4401569366455,1747.7701244354248,1889.6701412200928,1873.9101238250732,1950.960147857666,1910.2601299285889,1871.8001327514648,1714.9801235198977,1942.280138015747,1926.3501377105713,2188.1401596069336,2157.2501544952393,2282.5201625823975,1963.1001510620115
Lyso_PS(17:1) | PSp (18:0),0.30779312907426226,8.6114224554337,1.4949704078599098,0.22144687156658188,0.9742355692313459,PS,579103.9463195801,618611.8944091797,416142.2231140137,340741.63262939453,614826.0481567383,557473.6823425293,455382.24978637695,575584.4788818359,411290.918548584,512703.8949584961,216731.09561157227,372365.09701538086,198431.34358215332,149712.01162719727,366995.3481750488,716715.2606811523,245178.60760498047,329081.71310424805,537972.1868896484,349731.9468383789,47152.6535949707
Lyso_PS(17:2),0.3241743563593273,8.902282533302103,1.6579968301151666,0.19787400499707636,0.9742355692313459,PS,676916.1197509766,689441.5091552734,489419.3547973633,431193.0700683594,780882.5384521484,765931.8460693359,572480.9342041016,682391.0377197266,479773.4197998047,610642.6170654297,265403.82220458984,471170.1873779297,245698.37872314453,186395.2142944336,416416.1048583984,814512.23828125,298531.3780517578,395350.8168945313,656902.3974609375,434757.1571044922,70314.6654663086
Lyso_PS(18:0) | PS (18:0),0.6639213880656454,8.562752287963505,6.908334168907459,0.008579488629538086,0.9742355692313459,PS,510859.1652832031,453081.2105102539,461681.1086425781,531100.5720825195,444094.8132324219,1217227.979309082,282740.6208496094,384254.1390991211,293411.0703125,362184.62408447266,164030.4810180664,254241.7064819336,171885.4815979004,133122.82946777344,291679.4832458496,508375.5402832031,207892.29486083984,302625.9219970703,370727.6478881836,319387.6605834961,90896.9066772461
Lyso_PS(18:4),0.3262036937237676,8.696309537166195,1.6787754549877718,0.19508724521975893,0.9742355692313459,PS,347238.30419921875,906884.5000305176,202305.0530090332,184605.3840637207,910177.695098877,314169.4812774658,982106.5227966307,950731.572845459,259127.75970458984,911585.2554321288,194469.53576660156,811029.7635803223,155190.2603149414,134470.75114440918,196563.7646636963,1070382.7324829102,182044.01239013672,220104.09518432617,931201.5440063477,237904.36520385745,46651.42346191406
"O-oleoylcarnitine, Elaidic carnitine",-0.31699956690388886,12.172590838601128,1.5855802612170251,0.20795872943517346,0.9742355692313459,CAR,4318063.413330078,4414064.373779297,4828490.96484375,4087918.372070313,3328591.1708984375,4198776.052001953,3426781.98046875,4009535.6228027344,4407352.1142578125,8433699.83203125,4500714.607421875,3214902.0576171875,4666630.671875,4017380.48828125,5047570.275390625,3751924.938720703,4452473.4208984375,4604750.220703125,3531222.8725585938,4466181.607177734,1027604.6534309388
PC (32:0),-0.37838228238496896,10.935294870226814,2.257164256705437,0.13299740143003055,0.9742355692313459,PC,2987578.3508911133,732898.8688964844,2226065.087158203,2270212.699523926,1517259.9380493164,2525348.9853515625,1711808.3029785156,2036627.257080078,1470933.6778564453,2094068.1247558591,2720076.0274658203,2016260.3009033203,2188621.2403564453,643411.6972351074,1381062.858581543,2634014.7017822266,3204543.151123047,2640627.9353027344,1598458.1311035156,1740062.1936035156,31963.282348632812
PC (32:1),-0.38926156446157,10.933927351427611,2.3884298170451075,0.1222363503665827,0.9742355692313459,PC,2981648.0073242188,765304.0653076172,2177018.590698242,2282235.293823242,1505209.5285644531,2519609.2028808594,1716691.2541503906,1973187.81640625,1469355.8887939453,2086780.560546875,2745035.8327026367,1987075.4718017576,2197365.9290771484,660379.8216247559,1349672.703491211,2664439.4708251953,3234362.919067383,2667927.1002197266,1566100.529663086,1716605.916015625,30584.482391357426
PC (32:2),-0.3835190873461874,10.92915557874861,2.3186848910409026,0.12782805767084116,0.9742355692313459,PC,2968187.504272461,815828.8995361328,2190517.234741211,2221344.598022461,1506915.349243164,2530548.8990478516,1692060.0845947266,1995818.9895019531,1474620.7512207031,2097074.4287109375,2688654.8771362305,2002133.178771973,2205607.8106689453,596026.8492126465,1371958.6221313477,2650151.3848876953,3255056.0908203125,2670445.180053711,1586910.605895996,1713305.4525146484,29463.122344970703
PC (32:3),-0.3698393334906435,10.928810286688421,2.1566665382124484,0.14195234978039667,0.9742355692313459,PC,3022032.93157959,794215.17333984375,2223452.395385742,2265097.210876465,1523044.1447753906,2538296.586669922,1697626.4278564453,1974368.038330078,1464316.3035888672,2044261.4041748047,2719302.3176879883,1961485.078979492,2215944.1986083984,623123.3208999634,1353110.932678223,2644561.5958251953,3185798.409423828,2642901.3197021484,1562166.9021606443,1696929.3129882812,30471.70233154297
PC (32:4),-0.36394008824254515,10.735796098845222,2.088592911604792,0.1484027004007202,0.9742355692313459,PC,2547605.525024414,648552.5858154297,1920119.8182373047,2029023.9297485352,1391360.5760498047,2133143.905151367,1548273.765625,1792490.548828125,1333772.2020263672,1778398.5993652344,2385223.296936035,1734827.6170654297,1936144.7427978516,555105.6410522461,1215401.2276000977,2354582.8555908203,2649344.3161621094,2311736.596923828,1377742.5989990234,1495562.2651367188,30874.52215576172
PC (34:0),-0.4055238550146602,11.195799842006581,2.591498236579355,0.10743866315432886,0.9742355692313459,PC,3309371.390563965,1545344.667175293,2299819.88671875,2646358.3634033203,1874007.826171875,2928636.1423339844,2237009.279296875,2508824.7802734375,1742564.2518310547,2441810.737060547,3171832.7435913086,2316965.523864746,2477021.500732422,712100.3648834229,1564165.4142456057,3831806.577392578,3370390.698852539,3217459.758178711,1848333.737365723,3103933.510498047,35068.68243408203
PC (34:1),-0.41235268941262226,11.172195735273528,2.679214867792325,0.10166584102387753,0.9742355692313459,PC,3172888.0560913086,1578220.143737793,2257026.983520508,2623658.858276367,1825510.538208008,2855125.7639160156,2280124.7309570312,2436535.9997558594,1684037.281982422,2387233.8012695312,3090361.4467163086,2232294.9916992188,2411189.0759277344,718289.1856994629,1566779.551696777,3874880.125610352,3346560.353881836,3168820.830688477,1816527.2657470703,3046089.520263672,32350.02236938477
PC (34:2),-0.4344367970803836,11.155408423696228,2.972773103247164,0.08467658699133176,0.9742355692313459,PC,3109270.538330078,1476708.2688598633,2227619.6697998047,2561718.216064453,1788816.128173828,2831860.592285156,2176721.7524414062,2437343.0178222656,1661001.5166625977,2343700.735595703,3046965.0088500977,2238602.0737304688,2423174.873901367,717388.9480285645,1547010.259399414,3865663.841918946,3303730.4842529297,3133785.026184082,1801434.290374756,3077183.5341796875,32992.38232421875
PC (34:3),-0.41031465474314055,11.753015639776784,2.652887308096979,0.10336200412766143,0.9742355692313459,PC,4930725.526855469,2216657.3708496094,3657510.771972656,3985374.372070313,2581818.175048828,4307120.668212891,3056995.407470703,3458631.740966797,2559073.830688477,3594989.0134277344,4768601.992980957,3396790.0649414062,3813744.1037597656,1075391.7920837402,2280506.5833129883,5301745.161254883,5368483.2099609375,4772034.027709961,2659429.4061279297,3973910.018554687,36984.24279785156
PC (34:4),-0.4074413175475579,11.821190912864964,2.615984661206312,0.10579183896133772,0.9742355692313459,PC,5296121.709228516,2291834.275756836,3876439.7145996094,4304725.169189453,2655644.1966552734,4593682.175292969,3140179.5834960938,3542419.137939453,2605261.0306396484,3625906.3256835938,4988710.891174316,3404344.761352539,3969910.341064453,1173738.641784668,2415423.881713867,5421924.948852539,5708393.955078125,5087116.225952148,2713587.8854370117,4145929.7174072266,36301.58251953125
PC (34:5),-0.41049677451186817,11.680856710120896,2.6552346465323353,0.10320952571462362,0.9742355692313459,PC,4746879.372436523,2034516.009399414,3569254.9276123047,3944943.633178711,2404730.3459472656,4156019.688720703,2865852.1293945312,3182127.964111328,2350189.868347168,3233253.2114257812,4623172.470947266,3052255.8368530273,3708256.396606446,1083493.547302246,2299520.9470825195,4862885.294799805,5105098.139892578,4544752.029052734,2464024.6049804688,3555999.9938964844,35443.602600097656
