Sample,Brain_Region,Sum_Intensity
FAD184_F4,hippocampus,1012411686.7955055
FAD184_F4,diencephalon,1821816334.826332
FAD184_F4,cortex,3050409531.079975
FAD184_F4,cerebellum,2581546180.4788284
FAD189_M1,hippocampus,4586727342.559326
FAD189_M1,diencephalon,7482363047.234325
FAD189_M1,cortex,12419289220.207611
FAD189_M1,cerebellum,10843273003.117653
FAD189_M2,hippocampus,2208130870.504551
FAD189_M2,diencephalon,3569152740.49506
FAD189_M2,cortex,5748431641.506947
FAD189_M2,cerebellum,5835192462.040783
FAD189_M3,hippocampus,1305262476.2187386
FAD189_M3,diencephalon,2020900589.3716888
FAD189_M3,cortex,2388372201.1842117
FAD189_M3,cerebellum,2750180923.3233147
FAD185_M3,hippocampus,4316835917.832993
FAD185_M3,diencephalon,5806041828.143101
FAD185_M3,cortex,11482401562.864624
FAD185_M3,cerebellum,6767144153.434803
DOD94_F4,hippocampus,2271331112.276989
DOD94_F4,diencephalon,1806290423.5814705
DOD94_F4,cortex,2170911548.531929
DOD94_F4,cerebellum,2798152554.292946
DOD93_F4,hippocampus,2079782925.6778564
DOD93_F4,diencephalon,1374878026.7492447
DOD93_F4,cortex,4060797129.096348
DOD93_F4,cerebellum,1750634126.2545662
FAD184_F3,hippocampus,1889576401.1974678
FAD184_F3,diencephalon,2359290700.7571373
FAD184_F3,cortex,2387417133.6382217
FAD184_F3,cerebellum,1294627937.3196373
Blank_Blank,hippocampus,0.0
Blank_Blank,diencephalon,0.0
Blank_Blank,cortex,0.0
Blank_Blank,cerebellum,0.0
FAD185_M4,hippocampus,1344315748.8271904
FAD185_M4,diencephalon,2618023416.210907
FAD185_M4,cortex,9832440648.572285
FAD185_M4,cerebellum,5113523377.2225
FAD185_M1,hippocampus,2242577553.5178795
FAD185_M1,diencephalon,4672235465.448738
FAD185_M1,cortex,6960521380.712212
FAD185_M1,cerebellum,3731621618.5105476
DOD94_F3,hippocampus,1615095416.7516212
DOD94_F3,diencephalon,3388200681.266121
DOD94_F3,cortex,1791693736.2979965
DOD94_F3,cerebellum,2553364072.3378105
