lipid,Class,Sample,Sum_Intensity,Brain_Region
LPE(20:2),PE,DOD94_F4,8379.060581207275,All
LPE(20:2),PE,FAD189_M2,23329.421535491943,All
LPE(20:2),PE,FAD189_M3,8919.840637207031,All
LPE(20:2),PE,FAD184_F3,9143.820655822754,All
LPE(20:2),PE,FAD185_M1,1523068.45022583,All
LPE(20:2),PE,DOD94_F3,9156.38064956665,All
LPE(20:2),PE,FAD185_M4,9813.260738372803,All
LPE(20:2),PE,FAD189_M1,591686.9833106995,All
LPE(20:2),PE,FAD184_F4,9086.880615234375,All
LPE(20:2),PE,DOD93_F4,9589.060607910156,All
LPE(20:2),PE,Blank_Blank,8001.36051940918,All
LPE(20:2),PE,FAD185_M3,1866188.6248703003,All
LPE(20:1),PE,DOD94_F4,8781.160594940186,All
LPE(20:1),PE,FAD189_M2,21447.461448669434,All
LPE(20:1),PE,FAD189_M3,9678.16067123413,All
LPE(20:1),PE,FAD184_F3,9478.840629577637,All
LPE(20:1),PE,FAD185_M1,508605.733543396,All
LPE(20:1),PE,DOD94_F3,10276.480701446533,All
LPE(20:1),PE,FAD185_M4,9895.900699615479,All
LPE(20:1),PE,FAD189_M1,171287.65237808228,All
LPE(20:1),PE,FAD184_F4,9551.400634765625,All
LPE(20:1),PE,DOD93_F4,10167.560718536377,All
LPE(20:1),PE,Blank_Blank,8124.2406005859375,All
LPE(20:1),PE,FAD185_M3,450056.88987350464,All
LPE(20:3),PE,DOD94_F4,12052.360759735107,All
LPE(20:3),PE,FAD189_M2,18729.761379241943,All
LPE(20:3),PE,FAD189_M3,8949.90060043335,All
LPE(20:3),PE,FAD184_F3,12772.040962219238,All
LPE(20:3),PE,FAD185_M1,529121.1590309143,All
LPE(20:3),PE,DOD94_F3,18360.82151031494,All
LPE(20:3),PE,FAD185_M4,14451.701152801514,All
LPE(20:3),PE,FAD189_M1,137838.58968353271,All
LPE(20:3),PE,FAD184_F4,11541.900871276855,All
LPE(20:3),PE,DOD93_F4,19153.34118270874,All
LPE(20:3),PE,Blank_Blank,8238.960586547852,All
LPE(20:3),PE,FAD185_M3,308743.32189559937,All
LPE(20:0),PE,DOD94_F4,8311.240581512451,All
LPE(20:0),PE,FAD189_M2,17832.761169433594,All
LPE(20:0),PE,FAD189_M3,8847.740623474121,All
LPE(20:0),PE,FAD184_F3,8362.24059677124,All
LPE(20:0),PE,FAD185_M1,277427.998916626,All
LPE(20:0),PE,DOD94_F3,8587.500576019287,All
LPE(20:0),PE,FAD185_M4,8568.800582885742,All
LPE(20:0),PE,FAD189_M1,90813.46639251709,All
LPE(20:0),PE,FAD184_F4,8490.380588531494,All
LPE(20:0),PE,DOD93_F4,8921.400619506836,All
LPE(20:0),PE,Blank_Blank,8675.360595703123,All
LPE(20:0),PE,FAD185_M3,203742.27460479736,All
DG(37:4)_C16:1,DAG,DOD94_F4,628815.2482452393,All
DG(37:4)_C16:1,DAG,FAD189_M2,20012573.392829895,All
DG(37:4)_C16:1,DAG,FAD189_M3,1740436.3058319092,All
DG(37:4)_C16:1,DAG,FAD184_F3,146354.2705154419,All
DG(37:4)_C16:1,DAG,FAD185_M1,19262579.743637085,All
DG(37:4)_C16:1,DAG,DOD94_F3,939200.218410492,All
DG(37:4)_C16:1,DAG,FAD185_M4,3119586.4212875366,All
DG(37:4)_C16:1,DAG,FAD189_M1,5825146.723571777,All
DG(37:4)_C16:1,DAG,FAD184_F4,890675.4252243042,All
DG(37:4)_C16:1,DAG,DOD93_F4,2628807.4319267273,All
DG(37:4)_C16:1,DAG,Blank_Blank,175546.25299072263,All
DG(37:4)_C16:1,DAG,FAD185_M3,8309682.261562347,All
CE(22:6),CE,DOD94_F4,258749.11904525757,All
CE(22:6),CE,FAD189_M2,586555.2222137451,All
CE(22:6),CE,FAD189_M3,178812.2925643921,All
CE(22:6),CE,FAD184_F3,126437.90872573853,All
CE(22:6),CE,FAD185_M1,2399173.9587631226,All
CE(22:6),CE,DOD94_F3,94212.42670440674,All
CE(22:6),CE,FAD185_M4,189232.9125480652,All
CE(22:6),CE,FAD189_M1,438523.37053680426,All
CE(22:6),CE,FAD184_F4,199486.15378952026,All
CE(22:6),CE,DOD93_F4,464880.5125694275,All
CE(22:6),CE,Blank_Blank,32531.60237121582,All
CE(22:6),CE,FAD185_M3,1523166.888584137,All
DG(40:10)|DG(39:3)_C18:0,DAG,DOD94_F4,84114.14498138428,All
DG(40:10)|DG(39:3)_C18:0,DAG,FAD189_M2,2215507.155960083,All
DG(40:10)|DG(39:3)_C18:0,DAG,FAD189_M3,48136.04328536987,All
DG(40:10)|DG(39:3)_C18:0,DAG,FAD184_F3,55736.30389404297,All
