lipid,Class,Sample,Sum_Intensity
LPE(20:2),PE,DOD94_F4,8379.060581207275
LPE(20:2),PE,FAD189_M2,23329.421535491943
LPE(20:2),PE,FAD189_M3,8919.840637207031
LPE(20:2),PE,FAD184_F3,9143.820655822754
LPE(20:2),PE,FAD185_M1,1523068.45022583
LPE(20:2),PE,DOD94_F3,9156.38064956665
LPE(20:2),PE,FAD185_M4,9813.260738372803
LPE(20:2),PE,FAD189_M1,591686.9833106995
LPE(20:2),PE,FAD184_F4,9086.880615234375
LPE(20:2),PE,DOD93_F4,9589.060607910156
LPE(20:2),PE,Blank_Blank,0.0
LPE(20:2),PE,FAD185_M3,1866188.6248703003
LPE(20:1),PE,DOD94_F4,8781.160594940186
LPE(20:1),PE,FAD189_M2,21447.461448669434
LPE(20:1),PE,FAD189_M3,9678.16067123413
LPE(20:1),PE,FAD184_F3,9478.840629577637
LPE(20:1),PE,FAD185_M1,508605.733543396
LPE(20:1),PE,DOD94_F3,10276.480701446533
LPE(20:1),PE,FAD185_M4,9895.900699615479
LPE(20:1),PE,FAD189_M1,171287.65237808228
LPE(20:1),PE,FAD184_F4,9551.400634765625
LPE(20:1),PE,DOD93_F4,10167.560718536377
LPE(20:1),PE,Blank_Blank,0.0
LPE(20:1),PE,FAD185_M3,450056.88987350464
LPE(20:3),PE,DOD94_F4,12052.360759735107
LPE(20:3),PE,FAD189_M2,18729.761379241943
LPE(20:3),PE,FAD189_M3,8949.90060043335
LPE(20:3),PE,FAD184_F3,12772.040962219238
LPE(20:3),PE,FAD185_M1,529121.1590309143
LPE(20:3),PE,DOD94_F3,18360.82151031494
LPE(20:3),PE,FAD185_M4,14451.701152801514
LPE(20:3),PE,FAD189_M1,137838.58968353271
LPE(20:3),PE,FAD184_F4,11541.900871276855
LPE(20:3),PE,DOD93_F4,19153.34118270874
LPE(20:3),PE,Blank_Blank,0.0
LPE(20:3),PE,FAD185_M3,308743.32189559937
LPE(20:0),PE,DOD94_F4,8311.240581512451
LPE(20:0),PE,FAD189_M2,17832.761169433594
LPE(20:0),PE,FAD189_M3,8847.740623474121
LPE(20:0),PE,FAD184_F3,8362.24059677124
LPE(20:0),PE,FAD185_M1,277427.998916626
LPE(20:0),PE,DOD94_F3,8587.500576019287
LPE(20:0),PE,FAD185_M4,8568.800582885742
LPE(20:0),PE,FAD189_M1,90813.46639251709
LPE(20:0),PE,FAD184_F4,8490.380588531494
LPE(20:0),PE,DOD93_F4,8921.400619506836
LPE(20:0),PE,Blank_Blank,0.0
LPE(20:0),PE,FAD185_M3,203742.27460479736
DG(37:4)_C16:1,DAG,DOD94_F4,628815.2482452393
DG(37:4)_C16:1,DAG,FAD189_M2,20012573.392829895
DG(37:4)_C16:1,DAG,FAD189_M3,1740436.3058319092
DG(37:4)_C16:1,DAG,FAD184_F3,146354.2705154419
DG(37:4)_C16:1,DAG,FAD185_M1,19262579.743637085
DG(37:4)_C16:1,DAG,DOD94_F3,939200.218410492
DG(37:4)_C16:1,DAG,FAD185_M4,3119586.4212875366
DG(37:4)_C16:1,DAG,FAD189_M1,5825146.723571777
DG(37:4)_C16:1,DAG,FAD184_F4,890675.4252243042
DG(37:4)_C16:1,DAG,DOD93_F4,2628807.4319267273
DG(37:4)_C16:1,DAG,Blank_Blank,0.0
DG(37:4)_C16:1,DAG,FAD185_M3,8309682.261562347
CE(22:6),CE,DOD94_F4,258749.11904525757
CE(22:6),CE,FAD189_M2,586555.2222137451
CE(22:6),CE,FAD189_M3,178812.2925643921
CE(22:6),CE,FAD184_F3,126437.90872573853
CE(22:6),CE,FAD185_M1,2399173.9587631226
CE(22:6),CE,DOD94_F3,94212.42670440674
CE(22:6),CE,FAD185_M4,189232.9125480652
CE(22:6),CE,FAD189_M1,438523.37053680426
CE(22:6),CE,FAD184_F4,199486.15378952026
CE(22:6),CE,DOD93_F4,464880.5125694275
CE(22:6),CE,Blank_Blank,0.0
CE(22:6),CE,FAD185_M3,1523166.888584137
DG(40:10)|DG(39:3)_C18:0,DAG,DOD94_F4,84114.14498138428
DG(40:10)|DG(39:3)_C18:0,DAG,FAD189_M2,2215507.155960083
DG(40:10)|DG(39:3)_C18:0,DAG,FAD189_M3,48136.04328536987
DG(40:10)|DG(39:3)_C18:0,DAG,FAD184_F3,55736.30389404297
DG(40:10)|DG(39:3)_C18:0,DAG,FAD185_M1,224999.83750534058
DG(40:10)|DG(39:3)_C18:0,DAG,DOD94_F3,23826.501667022705
DG(40:10)|DG(39:3)_C18:0,DAG,FAD185_M4,157085.43169784546
DG(40:10)|DG(39:3)_C18:0,DAG,FAD189_M1,59506.884284973145
DG(40:10)|DG(39:3)_C18:0,DAG,FAD184_F4,51995.40376281738
DG(40:10)|DG(39:3)_C18:0,DAG,DOD93_F4,25823.74188232422
DG(40:10)|DG(39:3)_C18:0,DAG,Blank_Blank,0.0
DG(40:10)|DG(39:3)_C18:0,DAG,FAD185_M3,67512.30476379395
[TG(61:12)|TG(60:5)]_FA22:6,TAG,DOD94_F4,3018473.1596679688
[TG(61:12)|TG(60:5)]_FA22:6,TAG,FAD189_M2,25567938.50845337
[TG(61:12)|TG(60:5)]_FA22:6,TAG,FAD189_M3,4217155.578643799
[TG(61:12)|TG(60:5)]_FA22:6,TAG,FAD184_F3,3724188.441131592
[TG(61:12)|TG(60:5)]_FA22:6,TAG,FAD185_M1,45416123.34448242
[TG(61:12)|TG(60:5)]_FA22:6,TAG,DOD94_F3,4165607.8424072266
[TG(61:12)|TG(60:5)]_FA22:6,TAG,FAD185_M4,4848931.93170166
[TG(61:12)|TG(60:5)]_FA22:6,TAG,FAD189_M1,34398763.91229248
[TG(61:12)|TG(60:5)]_FA22:6,TAG,FAD184_F4,5105395.455718994
[TG(61:12)|TG(60:5)]_FA22:6,TAG,DOD93_F4,4347668.792053223
[TG(61:12)|TG(60:5)]_FA22:6,TAG,Blank_Blank,0.0
[TG(61:12)|TG(60:5)]_FA22:6,TAG,FAD185_M3,37022727.38623047
[TG(61:11)|TG(60:4)]_FA22:5,TAG,DOD94_F4,2690660.5974121094
[TG(61:11)|TG(60:4)]_FA22:5,TAG,FAD189_M2,22577082.77734375
[TG(61:11)|TG(60:4)]_FA22:5,TAG,FAD189_M3,3661466.0385742188
[TG(61:11)|TG(60:4)]_FA22:5,TAG,FAD184_F3,3290699.9889526367
[TG(61:11)|TG(60:4)]_FA22:5,TAG,FAD185_M1,39416901.58666992
[TG(61:11)|TG(60:4)]_FA22:5,TAG,DOD94_F3,3569323.3510131836
[TG(61:11)|TG(60:4)]_FA22:5,TAG,FAD185_M4,4289519.657653809
[TG(61:11)|TG(60:4)]_FA22:5,TAG,FAD189_M1,30130030.220062256
[TG(61:11)|TG(60:4)]_FA22:5,TAG,FAD184_F4,4570689.332183838
[TG(61:11)|TG(60:4)]_FA22:5,TAG,DOD93_F4,3804701.272033692
[TG(61:11)|TG(60:4)]_FA22:5,TAG,Blank_Blank,0.0
[TG(61:11)|TG(60:4)]_FA22:5,TAG,FAD185_M3,32704971.40789795
LPE(20:4),PE,DOD94_F4,22926.041873931885
LPE(20:4),PE,FAD189_M2,14860.660968780518
LPE(20:4),PE,FAD189_M3,13330.400936126709
LPE(20:4),PE,FAD184_F3,22625.001499176025
LPE(20:4),PE,FAD185_M1,649837.2657432556
LPE(20:4),PE,DOD94_F3,81323.88583755493
LPE(20:4),PE,FAD185_M4,65613.40496063232
LPE(20:4),PE,FAD189_M1,115505.1085472107
LPE(20:4),PE,FAD184_F4,19867.461498260498
LPE(20:4),PE,DOD93_F4,73619.48531341553
LPE(20:4),PE,Blank_Blank,0.0
LPE(20:4),PE,FAD185_M3,289190.6014404297
[TG(58:7)|TG(57:0)]_FA20:4,TAG,DOD94_F4,1418422.892150879
[TG(58:7)|TG(57:0)]_FA20:4,TAG,FAD189_M2,11617746.235717773
[TG(58:7)|TG(57:0)]_FA20:4,TAG,FAD189_M3,1584083.4995117188
[TG(58:7)|TG(57:0)]_FA20:4,TAG,FAD184_F3,720829.4118652344
[TG(58:7)|TG(57:0)]_FA20:4,TAG,FAD185_M1,4997324.765380859
[TG(58:7)|TG(57:0)]_FA20:4,TAG,DOD94_F3,618541.9633789062
[TG(58:7)|TG(57:0)]_FA20:4,TAG,FAD185_M4,14352456.347351076
[TG(58:7)|TG(57:0)]_FA20:4,TAG,FAD189_M1,39342910.88739014
[TG(58:7)|TG(57:0)]_FA20:4,TAG,FAD184_F4,813235.9341430664
[TG(58:7)|TG(57:0)]_FA20:4,TAG,DOD93_F4,881054.6248779297
[TG(58:7)|TG(57:0)]_FA20:4,TAG,Blank_Blank,0.0
[TG(58:7)|TG(57:0)]_FA20:4,TAG,FAD185_M3,29684588.65234375
DG(37:3)_C16:0,DAG,DOD94_F4,6403660.940322877
DG(37:3)_C16:0,DAG,FAD189_M2,31626029.993652344
DG(37:3)_C16:0,DAG,FAD189_M3,7660057.561138153
DG(37:3)_C16:0,DAG,FAD184_F3,1850724.8415298462
DG(37:3)_C16:0,DAG,FAD185_M1,21133616.943588257
DG(37:3)_C16:0,DAG,DOD94_F3,2201519.7364883423
DG(37:3)_C16:0,DAG,FAD185_M4,5035700.554199219
DG(37:3)_C16:0,DAG,FAD189_M1,18030942.97095871
DG(37:3)_C16:0,DAG,FAD184_F4,4079542.876651763
DG(37:3)_C16:0,DAG,DOD93_F4,10179958.839996338
DG(37:3)_C16:0,DAG,Blank_Blank,0.0
DG(37:3)_C16:0,DAG,FAD185_M3,9342181.941272736
[TG(56:9)|TG(55:2)]_FA20:4,TAG,DOD94_F4,1132245.1397094727
[TG(56:9)|TG(55:2)]_FA20:4,TAG,FAD189_M2,12045532.3180542
[TG(56:9)|TG(55:2)]_FA20:4,TAG,FAD189_M3,2036076.135131836
[TG(56:9)|TG(55:2)]_FA20:4,TAG,FAD184_F3,660058.946472168
[TG(56:9)|TG(55:2)]_FA20:4,TAG,FAD185_M1,4736847.191101074
[TG(56:9)|TG(55:2)]_FA20:4,TAG,DOD94_F3,855174.1796875
[TG(56:9)|TG(55:2)]_FA20:4,TAG,FAD185_M4,20030428.554779053
[TG(56:9)|TG(55:2)]_FA20:4,TAG,FAD189_M1,53548153.959472656
[TG(56:9)|TG(55:2)]_FA20:4,TAG,FAD184_F4,583262.2030639648
[TG(56:9)|TG(55:2)]_FA20:4,TAG,DOD93_F4,690969.673034668
[TG(56:9)|TG(55:2)]_FA20:4,TAG,Blank_Blank,0.0
[TG(56:9)|TG(55:2)]_FA20:4,TAG,FAD185_M3,34390195.764160156
DG(34:0)_C16:0,DAG,DOD94_F4,132197.57094192505
DG(34:0)_C16:0,DAG,FAD189_M2,456033.56914901733
DG(34:0)_C16:0,DAG,FAD189_M3,103242.1081199646
DG(34:0)_C16:0,DAG,FAD184_F3,142900.2923965454
DG(34:0)_C16:0,DAG,FAD185_M1,774808.6362113953
DG(34:0)_C16:0,DAG,DOD94_F3,142566.61054229736
DG(34:0)_C16:0,DAG,FAD185_M4,28637.381774902344
DG(34:0)_C16:0,DAG,FAD189_M1,164802.59147644043
DG(34:0)_C16:0,DAG,FAD184_F4,119530.64869689941
DG(34:0)_C16:0,DAG,DOD93_F4,253002.9573097229
DG(34:0)_C16:0,DAG,Blank_Blank,0.0
DG(34:0)_C16:0,DAG,FAD185_M3,748766.4167785645
[TG(51:5)]_FA16:0,TAG,DOD94_F4,10297758.701782227
[TG(51:5)]_FA16:0,TAG,FAD189_M2,401753.5895385742
[TG(51:5)]_FA16:0,TAG,FAD189_M3,6457143.953674316
[TG(51:5)]_FA16:0,TAG,FAD184_F3,8460829.924926758
[TG(51:5)]_FA16:0,TAG,FAD185_M1,574788.0232849121
[TG(51:5)]_FA16:0,TAG,DOD94_F3,10959994.721679688
[TG(51:5)]_FA16:0,TAG,FAD185_M4,9479010.041473389
[TG(51:5)]_FA16:0,TAG,FAD189_M1,434856.89208984375
[TG(51:5)]_FA16:0,TAG,FAD184_F4,7713301.2826538095
[TG(51:5)]_FA16:0,TAG,DOD93_F4,7699233.196533203
[TG(51:5)]_FA16:0,TAG,Blank_Blank,0.0
[TG(51:5)]_FA16:0,TAG,FAD185_M3,618157.0672912598
[TG(57:10)|TG(56:3)]_FA18:0,TAG,DOD94_F4,2000365.5167236328
[TG(57:10)|TG(56:3)]_FA18:0,TAG,FAD189_M2,11509191.383728027
[TG(57:10)|TG(56:3)]_FA18:0,TAG,FAD189_M3,2087539.4525146484
[TG(57:10)|TG(56:3)]_FA18:0,TAG,FAD184_F3,1395794.7839355469
[TG(57:10)|TG(56:3)]_FA18:0,TAG,FAD185_M1,7315026.34387207
[TG(57:10)|TG(56:3)]_FA18:0,TAG,DOD94_F3,1397361.514465332
[TG(57:10)|TG(56:3)]_FA18:0,TAG,FAD185_M4,13444168.173095701
[TG(57:10)|TG(56:3)]_FA18:0,TAG,FAD189_M1,37359742.79449463
[TG(57:10)|TG(56:3)]_FA18:0,TAG,FAD184_F4,1553510.3400878906
[TG(57:10)|TG(56:3)]_FA18:0,TAG,DOD93_F4,1679704.2041625977
[TG(57:10)|TG(56:3)]_FA18:0,TAG,Blank_Blank,0.0
[TG(57:10)|TG(56:3)]_FA18:0,TAG,FAD185_M3,28589732.337402344
[TG(54:5)]_FA18:0,TAG,DOD94_F4,906996.6027832031
[TG(54:5)]_FA18:0,TAG,FAD189_M2,8543096.414611816
[TG(54:5)]_FA18:0,TAG,FAD189_M3,1542974.7443847656
[TG(54:5)]_FA18:0,TAG,FAD184_F3,583403.5032958984
[TG(54:5)]_FA18:0,TAG,FAD185_M1,3609394.4932250977
[TG(54:5)]_FA18:0,TAG,DOD94_F3,692413.2482910156
[TG(54:5)]_FA18:0,TAG,FAD185_M4,15168896.616088867
[TG(54:5)]_FA18:0,TAG,FAD189_M1,39566517.04840088
[TG(54:5)]_FA18:0,TAG,FAD184_F4,483971.2547607422
[TG(54:5)]_FA18:0,TAG,DOD93_F4,555627.5590209961
[TG(54:5)]_FA18:0,TAG,Blank_Blank,0.0
[TG(54:5)]_FA18:0,TAG,FAD185_M3,26310434.08581543
[TG(51:6)]_FA16:1,TAG,DOD94_F4,11584273.490844727
[TG(51:6)]_FA16:1,TAG,FAD189_M2,493005.9971923828
[TG(51:6)]_FA16:1,TAG,FAD189_M3,7348805.977294922
[TG(51:6)]_FA16:1,TAG,FAD184_F3,9616787.65649414
[TG(51:6)]_FA16:1,TAG,FAD185_M1,674923.7683105469
[TG(51:6)]_FA16:1,TAG,DOD94_F3,11373738.577087402
[TG(51:6)]_FA16:1,TAG,FAD185_M4,10793799.17803955
[TG(51:6)]_FA16:1,TAG,FAD189_M1,500815.65411376953
[TG(51:6)]_FA16:1,TAG,FAD184_F4,8559628.83959961
[TG(51:6)]_FA16:1,TAG,DOD93_F4,8628628.591918945
[TG(51:6)]_FA16:1,TAG,Blank_Blank,0.0
[TG(51:6)]_FA16:1,TAG,FAD185_M3,703367.5292663574
[TG(57:12)|TG(56:5)]_FA18:2,TAG,DOD94_F4,2259270.348022461
[TG(57:12)|TG(56:5)]_FA18:2,TAG,FAD189_M2,13763455.667236328
[TG(57:12)|TG(56:5)]_FA18:2,TAG,FAD189_M3,2524009.031982422
[TG(57:12)|TG(56:5)]_FA18:2,TAG,FAD184_F3,1562584.8870239258
[TG(57:12)|TG(56:5)]_FA18:2,TAG,FAD185_M1,8266128.163452148
[TG(57:12)|TG(56:5)]_FA18:2,TAG,DOD94_F3,1547486.4653930664
[TG(57:12)|TG(56:5)]_FA18:2,TAG,FAD185_M4,15801906.944152832
