lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD93_F4_Female_5xFAD_cerebellum_N1_Brain_Region,DOD93_F4_Female_5xFAD_cortex,DOD93_F4_Female_5xFAD_diencephalon_N1_Brain_Region,DOD93_F4_Female_5xFAD_hippocampus_N1_Brain_Region,DOD94_F4_Female_5xFAD_cerebellum_N1_Brain_Region,DOD94_F4_Female_5xFAD_cortex,DOD94_F4_Female_5xFAD_diencephalon_N1_Brain_Region,DOD94_F4_Female_5xFAD_hippocampus_N1_Brain_Region,FAD185_M1_Male_5xFAD_cerebellum_N1_Brain_Region,FAD185_M1_Male_5xFAD_cortex,FAD185_M1_Male_5xFAD_diencephalon_N1_Brain_Region,FAD185_M1_Male_5xFAD_hippocampus_N1_Brain_Region,FAD185_M3_Male_5xFAD_cerebellum_N1_Brain_Region,FAD185_M3_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_diencephalon_N1_Brain_Region,FAD185_M3_Male_5xFAD_hippocampus_N1_Brain_Region,FAD189_M1_Male_5xFAD_cerebellum_N1_Brain_Region,FAD189_M1_Male_5xFAD_cortex,FAD189_M1_Male_5xFAD_diencephalon_N1_Brain_Region,FAD189_M1_Male_5xFAD_hippocampus_N1_Brain_Region,FAD189_M2_Male_5xFAD_cerebellum_N1_Brain_Region,FAD189_M2_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_diencephalon_N1_Brain_Region,FAD189_M2_Male_5xFAD_hippocampus_N1_Brain_Region,DOD94_F3_Female_WT_cerebellum_N1_Brain_Region,DOD94_F3_Female_WT_cortex,DOD94_F3_Female_WT_diencephalon_N1_Brain_Region,DOD94_F3_Female_WT_hippocampus_N1_Brain_Region,FAD184_F3_Female_WT_cerebellum_N1_Brain_Region,FAD184_F3_Female_WT_cortex,FAD184_F3_Female_WT_diencephalon_N1_Brain_Region,FAD184_F3_Female_WT_hippocampus_N1_Brain_Region,FAD184_F4_Female_WT_cerebellum_N1_Brain_Region,FAD184_F4_Female_WT_cortex,FAD184_F4_Female_WT_diencephalon_N1_Brain_Region,FAD184_F4_Female_WT_hippocampus_N1_Brain_Region,FAD185_M4_Male_WT_cerebellum_N1_Brain_Region,FAD185_M4_Male_WT_cortex,FAD185_M4_Male_WT_diencephalon_N1_Brain_Region,FAD185_M4_Male_WT_hippocampus_N1_Brain_Region,FAD189_M3_Male_WT_cerebellum_N1_Brain_Region,FAD189_M3_Male_WT_cortex,FAD189_M3_Male_WT_diencephalon_N1_Brain_Region,FAD189_M3_Male_WT_hippocampus_N1_Brain_Region,Blank_Blank_Blank_Blank_Blank_N1_Brain_Region,DOD93_F4_summed,FAD189_M2_summed,FAD185_M4_summed,DOD94_F4_summed,FAD184_F3_summed,FAD189_M3_summed,DOD94_F3_summed,FAD189_M1_summed,FAD185_M3_summed,FAD185_M1_summed,FAD184_F4_summed
LPE(20:2),5.621212754923692,4.544796132341767,502.0408939074081,3.419123323191865e-111,1.041123051911923e-107,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,PE,2174.660144805908,2140.8401527404785,3022.000156402588,2251.5601539611816,2187.3601570129395,2055.260139465332,1920.2201385498047,2216.220146179199,358203.14964675903,552806.6551513672,226003.17764282227,386055.4677848816,683538.8669128418,111081.00933074953,729138.6013793945,342430.14724731445,64319.18466949463,86580.92544937134,430594.1723632813,10192.700828552246,3182.880199432373,5080.360347747803,12940.740852355955,2125.4401359558105,2637.660182952881,2104.0001525878906,2356.520168304444,2058.2001457214355,2014.620140075684,2855.6202278137207,2146.020137786865,2127.5601501464844,2308.1001586914062,2177.340148925781,2335.8601570129395,2265.580150604248,2094.660148620605,2187.74015045166,2343.480167388916,3187.380271911621,2314.5001640319824,2173.5601692199707,2343.980155944824,2087.800148010254,2000.340129852295,9589.060607910156,23329.421535491943,9813.260738372803,8379.060581207275,9143.820655822754,8919.840637207031,9156.38064956665,591686.9833106995,1866188.6248703003,1523068.45022583,9086.880615234375
LPE(20:1),3.766409099153276,2.8346849641329523,271.8394246153224,4.508370734777144e-61,6.863994443698202e-58,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,PE,2451.980178833008,2401.66015625,2831.940193176269,2481.9801902771,2051.14013671875,2268.1601524353027,2187.400154113769,2274.460151672364,139514.009349823,132247.60803985596,150227.73001861572,86616.38613510132,129494.72986602785,37634.5627822876,110983.9871673584,171943.6100578308,60100.4641456604,30525.00203704834,72857.06577301025,7805.120422363281,3254.260234832764,4573.460258483887,9977.500694274902,3642.240261077881,2325.160171508789,2632.7401847839355,2555.080150604248,2763.5001945495605,2489.980152130127,2424.5601692199707,2524.1201705932617,2040.180137634277,2533.3001747131348,2335.320152282715,2451.600170135498,2231.1801376342773,2482.680164337158,2575.700180053711,2519.080181121826,2318.440174102783,2457.9801712036133,2460.460163116455,2651.940196990967,2107.780139923096,2031.0601501464844,10167.560718536377,21447.461448669434,9895.900699615479,8781.160594940186,9478.840629577637,9678.16067123413,10276.480701446533,171287.65237808228,450056.88987350464,508605.733543396,9551.400634765625
LPE(20:3),3.1486274329949264,2.6992999756278957,202.0783528291093,7.350217894198132e-46,7.460471162611104e-43,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,PE,2057.74015045166,3510.120292663574,11133.740592956545,2451.740146636963,3075.56018447876,2667.400157928467,3423.660217285156,2885.7402000427246,103445.78802108765,154099.91077041626,152708.03170776367,118867.42853164671,83106.7262916565,44359.44305801392,103787.7872505188,77489.36529541016,46858.88328170776,28154.30215072632,54969.74362564087,7855.660625457764,2524.6801681518555,4231.86022567749,9953.24084854126,2019.980136871338,10546.960926055908,2204.24015045166,3469.9802780151367,2139.6401557922363,3029.920223236084,4398.340377807617,2223.3801498413086,3120.4002113342285,4029.80033493042,2424.300148010254,2875.400218963623,2212.4001693725586,3031.6201972961426,2821.360221862793,3391.1402893066406,5207.5804443359375,1927.8401260375977,2089.3801498413086,2833.9001808166504,2098.780143737793,2059.740146636963,19153.34118270874,18729.761379241943,14451.701152801514,12052.360759735107,12772.040962219238,8949.90060043335,18360.82151031494,137838.58968353271,308743.32189559937,529121.1590309143,11541.900871276855
LPE(20:0),3.01349853984119,1.9533532948560384,187.506995406527,1.1130599583499116e-42,8.4731689329387e-40,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,PE,2266.2401542663574,2069.4001502990723,2368.540168762207,2217.220146179199,1963.4401321411133,2071.8001403808594,2087.16015625,2188.8401527404785,54358.74401855469,71327.20523071289,89018.14569473267,62723.90397262573,57580.28396606445,28689.922233581543,62791.22442626953,54680.84397888184,31308.20221328736,20198.2014503479,34505.16239929199,4801.900329589844,2990.2601928710938,3630.240203857422,8640.460594177246,2571.800178527832,2225.06014251709,2104.6001472473145,2223.6801376342773,2034.1601486206048,2085.120147705078,1964.2201461791992,2188.1601524353027,2124.74015045166,2348.7601776123047,2012.6401329040527,2066.400131225586,2062.580146789551,2120.980125427246,2056.340148925781,2259.120162963867,2132.360145568848,2144.3201446533203,2132.100143432617,2313.480182647705,2257.8401527404785,2168.840148925781,8921.400619506836,17832.761169433594,8568.800582885742,8311.240581512451,8362.24059677124,8847.740623474121,8587.500576019287,90813.46639251709,203742.27460479736,277427.998916626,8490.380588531494
DG(37:4)_C16:1,2.336045256163324,8.574363120228647,120.11799297423931,5.960765409922541e-28,3.630106134642828e-25,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,DAG,38202.14278411865,766270.7359771729,38325.96268081665,1786008.5904846191,197078.9926719665,255512.80290222168,39209.00267410278,137014.44999694824,5633232.351043701,8200150.804519653,3474479.632537842,1954716.955535889,1796300.1379394531,5743482.041870117,35378.94260406494,734521.1391487122,37245.842655181885,103009.04527282716,2508539.922626496,3176351.913017273,41893.20293807984,4309899.743774414,13712745.507247925,1948034.9388694763,318890.8780708313,542675.7545471191,38204.083015441895,39429.50277709961,35878.12254333496,36888.88260650635,36273.48268890381,37313.78267669678,35530.642780303955,34804.762592315674,35847.98250198364,784492.0373497009,558610.2895507812,760026.1086730957,1667738.173614502,133211.84944915771,35696.70264053345,162884.57500076294,1505399.6058654785,36455.42232513428,43886.56324768066,2628807.4319267273,20012573.392829895,3119586.4212875366,628815.2482452393,146354.2705154419,1740436.3058319092,939200.218410492,5825146.723571777,8309682.261562347,19262579.743637085,890675.4252243042
CE(22:6),2.1761417092872657,5.358919912629638,105.70049597698744,8.576590584874505e-25,4.352619721823811e-22,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,CE,12292.96088027954,61492.1443939209,378804.06646347046,12291.340831756592,15309.601104736328,34079.342334747314,176954.8733444214,32405.30226135254,41568.70295715332,152684.6508026123,2115560.998626709,89359.60637664795,35728.982414245605,132502.78953552246,1323924.4143829346,31010.70225143433,36003.52240753174,99034.28694534302,235664.6363945008,67820.92478942871,24344.401752471924,18934.721199035645,518299.7576179504,24976.34164428711,11645.02081680298,15366.181121826172,58539.48420333862,8661.740562438965,10764.860752105713,46260.52325439453,58879.203983306885,10533.320735931396,15482.141136169434,42783.7032585144,129922.22860336304,11298.080791473389,15646.621032714844,57809.64364624024,90558.92610931396,25217.721759796143,11405.50075531006,37785.30276489258,116665.66809082033,12955.82095336914,8132.900592803955,464880.5125694275,586555.2222137451,189232.9125480652,258749.11904525757,126437.90872573853,178812.2925643921,94212.42670440674,438523.37053680426,1523166.888584137,2399173.9587631226,199486.15378952026
DG(40:10)|DG(39:3)_C18:0,2.161389509576125,4.1413353626664255,104.39740283137736,1.6554742252416607e-24,7.2013128798012255e-22,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,DAG,3283.4002380371094,4340.680313110352,9019.840648651125,9179.820682525637,48637.26238250733,12429.50089263916,9125.020694732666,13922.361011505129,21454.76149368286,162299.21299362183,21008.58154296875,20237.28147506714,18276.901279449463,14495.061027526855,19755.66139984131,14984.681056976318,15597.841064453123,16362.201206207275,15612.34119796753,11934.500816345217,15486.941066741943,1000045.3145713806,1184083.7992134094,15891.101108551024,8911.440658569336,2589.300205230713,9638.220623016356,2687.540180206299,16221.381072998049,11740.800819396973,17079.741241455078,10694.380760192871,13053.840934753418,10730.2007522583,17500.981315612793,10710.380760192871,42642.4428062439,14801.721046447754,88712.72703552246,10928.540809631348,10314.880699157717,11472.880821228027,11926.740825653076,14421.540939331057,3224.120246887207,25823.74188232422,2215507.155960083,157085.43169784546,84114.14498138428,55736.30389404297,48136.04328536987,23826.501667022705,59506.884284973145,67512.30476379395,224999.83750534058,51995.40376281738
[TG(61:12)|TG(60:5)]_FA22:6,2.002696373161224,10.036103300536508,90.85065285967984,1.549358887063648e-21,5.8972472638860105e-19,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,TAG,507204.6801147461,1424490.3291015625,451376.7706298828,1964597.0122070317,876393.1235351561,998759.9576416016,662705.6813964844,480614.39709472656,7337791.867553711,9870692.794921877,8796687.660522461,19410951.02148437,11054839.611206057,5181720.438232422,7166602.84765625,13619564.489135742,8763576.55456543,11158015.578308104,9230918.74206543,5246253.037353516,4082667.932373047,6604237.154663086,7835429.426208496,7045603.99520874,1764049.8233642578,1369124.905090332,578811.2820129395,453621.83193969727,1090897.659210205,530313.7134399414,532005.81640625,1570971.2520751953,1526671.0490112305,486219.5783691406,2332149.3065490723,760355.5217895508,1547905.985290527,1433235.3274230957,1287853.7005615234,579936.9184265137,1053049.888305664,1254910.9294433594,1268226.2894592285,640968.4714355469,153794.44931030273,4347668.792053223,25567938.50845337,4848931.93170166,3018473.1596679688,3724188.441131592,4217155.578643799,4165607.8424072266,34398763.91229248,37022727.38623047,45416123.34448242,5105395.455718994
[TG(61:11)|TG(60:4)]_FA22:5,1.9983464277115808,9.846273008727666,90.48903942130738,1.8600443422492698e-21,6.29315002461003e-19,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,TAG,468300.43572998047,1170944.4728393557,409717.6266479492,1755738.7368164065,772430.0099487305,907871.4001464844,569627.1946411133,440731.9926757813,6585509.091308594,8521712.768066406,8114273.977661133,16195405.749633787,9553331.228393557,4608218.761413574,6722609.540527344,11820811.877563477,7327049.526977539,10325682.837280272,7759892.356414795,4717405.499389648,3582037.2150268555,5724398.009887695,6978831.315551758,6291816.236877441,1479396.1958007812,1173045.948059082,531580.7412719727,385300.46588134766,939930.1027832032,482631.3127441406,470737.8890991211,1397400.684326172,1336573.6472167969,438117.9112548828,2133033.045288086,662964.7284240723,1329182.8425292969,1296124.043701172,1114821.9307250977,549390.8406982422,903219.8071289062,1053492.7370605469,1120308.3896484375,584445.1047363281,137564.6700744629,3804701.272033692,22577082.77734375,4289519.657653809,2690660.5974121094,3290699.9889526367,3661466.0385742188,3569323.3510131836,30130030.220062256,32704971.40789795,39416901.58666992,4570689.332183838
LPE(20:4),1.7152351894075692,3.129007048834092,68.17585868734454,1.4954544477467634e-16,4.553658793388895e-14,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,PE,5041.660385131836,6735.740474700928,57183.864097595215,4658.220355987549,3126.160213470459,3850.160335540772,4831.74027633667,11117.981048583984,96534.74674606325,264536.8984298706,170542.79220581055,118222.82836151125,74715.66585922241,42672.74304962158,113329.72869873048,58472.463832855225,34664.78234100342,18893.04136657715,56389.12446975708,5558.160369873047,2751.400188446045,2492.0801582336426,6191.500431060791,3425.680191040039,55542.00408172608,3832.840297698975,17986.90118408203,3962.140274047852,2878.520217895508,13525.22087097168,3161.7402305603027,3059.520179748535,11130.30086517334,2845.580192565918,2841.480209350586,3050.1002311706543,4455.860404968262,3242.400260925293,3023.8602333068848,54891.284061431885,3320.3602600097656,2589.7201538085938,4362.080314636231,3058.240207672119,2961.640182495117,73619.48531341553,14860.660968780518,65613.40496063232,22926.041873931885,22625.001499176025,13330.400936126709,81323.88583755493,115505.1085472107,289190.6014404297,649837.2657432556,19867.461498260498
