#"+ESI Neutral Loss:4 (rt: 13.075-13.388 min, 10 scans) Frag=166.0V CID@22.0 -[299.2] LD_NL-MUFA_FAD173-5XFAD-M1-liverLD_100x.d "
#Point,X(Thomsons),Y(Counts)
0,700.0,41.8999977111816
1,700.1,284.490051269531
2,700.2,253.648025512695
3,700.3,226.366012573242
4,700.4,187.662017822266
5,700.5,121.472007751465
6,700.6,52.0020027160645
7,700.7,34.6760025024414
8,700.8,35.878002166748
9,700.9,42.181999206543
10,701.0,43.5320053100586
11,701.1,35.5139999389648
12,701.2,33.4780044555664
13,701.3,33.4240036010742
14,701.4,86.5120010375977
15,701.5,278.140014648438
16,701.6,414.826019287109
17,701.7,527.76806640625
18,701.8,709.854064941406
19,701.9,882.153991699219
20,702.0,918.748046875
21,702.1,694.652099609375
22,702.2,400.814025878906
23,702.3,142.086029052734
24,702.4,20.3500022888184
25,702.5,27.0279998779297
26,702.6,32.023998260498
27,702.7,44.1940040588379
28,702.8,42.6500015258789
29,702.9,36.8140029907227
30,703.0,33.4900016784668
31,703.1,33.2160034179688
32,703.2,81.2020034790039
33,703.3,171.738021850586
34,703.4,222.360015869141
35,703.5,183.362014770508
36,703.6,98.0460052490234
37,703.7,47.724006652832
38,703.8,37.0460052490234
39,703.9,33.8540000915527
40,704.0,38.9460029602051
41,704.1,46.9379997253418
42,704.2,49.0760040283203
43,704.3,52.734001159668
44,704.4,46.4180030822754
45,704.5,313.058044433594
46,704.6,1021.46612548828
47,704.7,1446.35192871094
48,704.8,1141.38403320313
49,704.9,433.520080566406
50,705.0,33.4680023193359
51,705.1,33.028003692627
52,705.2,33.4480056762695
53,705.3,27.4500026702881
54,705.4,168.472015380859
55,705.5,454.168029785156
56,705.6,691.730102539063
57,705.7,739.950073242188
58,705.8,556.927978515625
59,705.9,331.588012695313
60,706.0,146.683990478516
61,706.1,69.6960067749023
62,706.2,64.1140060424805
63,706.3,50.6140060424805
64,706.4,125.546005249023
65,706.5,318.787994384766
66,706.6,468.880035400391
67,706.7,415.601989746094
68,706.8,210.289993286133
69,706.9,46.8199996948242
70,707.0,29.5540008544922
71,707.1,33.0040054321289
72,707.2,39.7999992370605
73,707.3,43.0040054321289
74,707.4,42.5540046691895
75,707.5,41.9380035400391
76,707.6,40.0200004577637
77,707.7,38.1520042419434
78,707.8,44.4940071105957
79,707.9,64.9580078125
80,708.0,88.0120010375977
81,708.1,91.9380035400391
82,708.2,71.9879989624023
83,708.3,47.318000793457
84,708.4,36.3380012512207
85,708.5,34.0740013122559
86,708.6,32.8920059204102
87,708.7,33.6600036621094
