Class,Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition
,2486627.1964416504,,790.7,573.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,790.7 -> 573.6
,3270546.851928711,,792.6,603.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,792.6 -> 603.6
,1761929.24508667,,792.7,575.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,792.7 -> 575.6
,4287531.865112305,,794.6,605.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,794.6 -> 605.6
,2563459.6625976562,,794.7,577.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,794.7 -> 577.6
,2721317.232208252,,796.7,579.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,796.7 -> 579.6
,1477005.544494629,,812.7,595.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,812.7 -> 595.6
,1858502.8518829346,,814.7,597.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,814.7 -> 597.6
,2676395.8103027344,,816.7,599.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,816.7 -> 599.6
,1523920.4304962158,,818.7,601.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,818.7 -> 601.6
,2746289.715560913,,820.7,603.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,820.7 -> 603.6
,2442491.7122192383,,822.7,605.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,822.7 -> 605.6
TAG,2191304.914932251,[TG(52:6)]_FA18:1,868.7,569.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,868.7 -> 569.6
TAG,2166140.673675537,[TG(52:6)]_FA18:1,868.7,569.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,868.7 -> 569.6
TAG,3474351.7085266113,[TG(52:5)]_FA18:1,870.8,571.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,870.8 -> 571.6
TAG,3595264.6922302246,[TG(52:4)]_FA18:1,872.8,573.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,872.8 -> 573.6
TAG,20923066.592590332,"[TG(53:10),TG(52:3)]_FA18:1",874.8,575.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,874.8 -> 575.6
TAG,27636495.15097046,"[TG(53:9),TG(52:2)]_FA18:1",876.8,577.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,876.8 -> 577.6
TAG,4361783.908126831,"[TG(54:7),TG(53:0)]_FA18:1",894.8,595.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,894.8 -> 595.6
TAG,3449059.9197387695,[TG(54:6)]_FA18:1,896.8,597.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,896.8 -> 597.6
TAG,13623438.64276123,[TG(54:5)]_FA18:1,898.8,599.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,898.8 -> 599.6
TAG,16757622.597381592,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,900.8 -> 601.6
TAG,42294142.38580322,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,902.8 -> 603.6
TAG,13806207.599487305,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.6,TailoredTAG18-1_O3off_CrudeCanola0.0005mgmL_020723,904.8 -> 605.6
,3503116.0478515625,,760.6,571.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,760.6 -> 571.6
,4495762.381530762,,762.6,573.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,762.6 -> 573.6
,3356890.2349243164,,764.6,575.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,764.6 -> 575.6
,3277844.0106506348,,766.7,577.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,766.7 -> 577.6
,2380357.206085205,,782.6,593.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,782.6 -> 593.6
,2273268.479156494,,784.6,595.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,784.6 -> 595.6
,1684246.9398345947,,786.6,569.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,786.6 -> 569.6
,3297002.351928711,,786.6,597.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,786.6 -> 597.6
,1642226.6752624512,,788.6,571.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,788.6 -> 571.6
,6117057.016113281,,788.6,599.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,788.6 -> 599.6
,2544653.0210266113,,790.6,601.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,790.6 -> 601.6
,2477514.613800049,,790.7,573.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,790.7 -> 573.6
,3308637.3750305176,,792.6,603.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,792.6 -> 603.6
,1772620.425857544,,792.7,575.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,792.7 -> 575.6
,4280512.922241211,,794.6,605.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,794.6 -> 605.6
,2562547.6028289795,,794.7,577.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,794.7 -> 577.6
,2682126.6100006104,,796.7,579.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,796.7 -> 579.6
,1484023.984161377,,812.7,595.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,812.7 -> 595.6
,1817643.668762207,,814.7,597.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,814.7 -> 597.6
,2674157.646789551,,816.7,599.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,816.7 -> 599.6
,1517241.5480804443,,818.7,601.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,818.7 -> 601.6
,2737308.351837158,,820.7,603.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,820.7 -> 603.6
,2438877.852081299,,822.7,605.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,822.7 -> 605.6
TAG,2148889.3913726807,[TG(52:6)]_FA18:1,868.7,569.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,868.7 -> 569.6
TAG,2093910.3270874023,[TG(52:6)]_FA18:1,868.7,569.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,868.7 -> 569.6
TAG,3465491.28326416,[TG(52:5)]_FA18:1,870.8,571.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,870.8 -> 571.6
TAG,3504965.0469970703,[TG(52:4)]_FA18:1,872.8,573.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,872.8 -> 573.6
TAG,20540431.049224854,"[TG(53:10),TG(52:3)]_FA18:1",874.8,575.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,874.8 -> 575.6
TAG,26540001.773010254,"[TG(53:9),TG(52:2)]_FA18:1",876.8,577.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,876.8 -> 577.6
TAG,4330021.265914917,"[TG(54:7),TG(53:0)]_FA18:1",894.8,595.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,894.8 -> 595.6
TAG,3130846.667373657,[TG(54:6)]_FA18:1,896.8,597.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,896.8 -> 597.6
TAG,12194438.41430664,[TG(54:5)]_FA18:1,898.8,599.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,898.8 -> 599.6
TAG,13056302.153015137,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,900.8 -> 601.6
TAG,31249301.165618896,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,902.8 -> 603.6
TAG,12381504.033554077,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.6,TailoredTAG18-1_O3off_DegummedCanola0.0005mgmL_020723,904.8 -> 605.6
,3508930.004333496,,760.6,571.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,760.6 -> 571.6
,4454522.478515625,,762.6,573.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,762.6 -> 573.6
,3342623.2351989746,,764.6,575.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,764.6 -> 575.6
,3270586.690460205,,766.7,577.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,766.7 -> 577.6
,2358947.4252929688,,782.6,593.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,782.6 -> 593.6
,2304902.763244629,,784.6,595.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,784.6 -> 595.6
,1702709.3005371094,,786.6,569.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,786.6 -> 569.6
,3260273.4930114746,,786.6,597.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,786.6 -> 597.6
,1629241.7556610107,,788.6,571.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,788.6 -> 571.6
,6129489.851623535,,788.6,599.6,TailoredTAG18-1_O3off_RBDCanola0.0005mgmL_020723,788.6 -> 599.6
