,Lipid,Crude n-9/n-7,Degummed n-9/n-7,RBD n-9/n-7,Retention_Time
0,[TG(52:2)]_FA18:1,4.23,4.31,4.7,18.05
1,[TG(52:3)]_FA18:1,3.16,2.5,3.07,16.09
2,[TG(52:4)]_FA18:1,3.05,2.96,2.68,14.3
3,[TG(54:2)]_FA18:1,4.31,3.84,4.48,20.0
4,[TG(54:3)]_FA18:1,5.81,5.75,5.41,17.98
5,[TG(54:4)]_FA18:1,4.91,4.07,4.97,16.07
6,[TG(54:5)]_FA18:1,4.09,3.83,3.83,14.31
