,Lipid,Crude n-9/n-7,Degummed n-9/n-7,RBD n-9/n-7,Retention_Time
0,[TG(52:2)]_FA18:1,2.85,2.53,2.75,18.05
1,[TG(52:3)]_FA18:1,2.4,2.8,2.65,16.09
2,[TG(52:4)]_FA18:1,3.09,3.19,2.84,14.3
3,[TG(54:2)]_FA18:1,2.6,2.27,2.36,20.0
4,[TG(54:3)]_FA18:1,4.36,4.12,3.97,17.98
5,[TG(54:4)]_FA18:1,3.7,3.71,3.8,16.07
6,[TG(54:5)]_FA18:1,3.59,3.52,2.52,14.31
