,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Lipid,Correct_RT,Biology,Genotype,Cage,Mouse
3241918,423.3,183.0,7.938750000000001,14086702.0,11192023_5xFAD-m1-cortex-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,7.94,cortex,5xFAD,,m1
2652317,423.3,183.0,7.977516666666667,13759289.0,11162023_WT-m5-hippo-FAD259_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,7.98,hippo,WT,,m5
2754217,423.3,183.0,7.964583333333334,13679831.0,11162023_WT-m5-hippo-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,7.96,hippo,WT,FAD263,m5
2459219,423.3,183.0,7.938750000000001,13624189.0,11162023_WT-m5-dienc-FAD259_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,7.94,dienc,WT,,m5
738939,423.3,183.0,7.938750000000001,13615595.0,11162023_WT-m2-cortex-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,7.94,cortex,WT,,m2
4736853,423.3,183.0,7.964583333333334,13540885.0,11192023_5xFAD-m2-hippo-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,7.96,hippo,5xFAD,FAD257,m2
2353421,423.3,183.0,7.977516666666667,13506356.0,11162023_WT-m5-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,7.98,cortex,WT,FAD263,m5
4029226,451.4,183.0,9.797433333333334,13216641.0,11192023_5xFAD-m2-cereb-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3off_01,451.4 -> 183.0,,9.8,cereb,5xFAD,FAD257,m2
2544784,423.3,183.0,7.977483333333334,13214835.0,11162023_WT-m5-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,7.98,dienc,WT,FAD263,m5
1833533,423.3,183.0,7.9775,13169519.0,11162023_WT-m4-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,7.98,dienc,WT,FAD263,m4
3752766,423.3,183.0,7.990433333333334,13131726.0,11192023_5xFAD-m1-hippo-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,423.3 -> 183.0,,7.99,hippo,5xFAD,,m1
