,Biology,Cage,Correct_RT,Genotype,Lipid,Match_Group,Max_Intensity,Mouse,New_ID,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition
19,hippo,FAD263,7.51,WT,18:2,1529.0,10218.701171875,m4,18:2-FAD263-m4-WT-hippo,10218.701171875,447.4,183.0,7.58,11162023_WT-m4-hippo-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,447.4 -> 183.0
20,cereb,FAD263,7.5,WT,18:2,1531.0,43992.64453125,m5,18:2-FAD263-m5-WT-cereb,43992.64453125,447.4,183.0,7.5,11162023_WT-m5-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,447.4 -> 183.0
21,cortex,FAD263,7.55,WT,18:2,1533.0,34240.4609375,m5,18:2-FAD263-m5-WT-cortex,34240.4609375,447.4,183.0,7.52,11162023_WT-m5-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,447.4 -> 183.0
22,dienc,FAD263,7.52,WT,18:2,1535.0,84313.2890625,m5,18:2-FAD263-m5-WT-dienc,84313.2890625,447.4,183.0,7.52,11162023_WT-m5-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,447.4 -> 183.0
23,hippo,FAD263,7.51,WT,18:2,1537.0,33015.5625,m5,18:2-FAD263-m5-WT-hippo,33015.5625,447.4,183.0,7.51,11162023_WT-m5-hippo-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,447.4 -> 183.0
24,cereb,FAD231,6.56,5xFAD,18:3,1496.0,5888.00048828125,m1,18:3-FAD231-m1-5xFAD-cereb,1844.5401611328125,445.4,183.0,6.56,11192023_5xFAD-m1-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
25,cortex,FAD231,6.54,5xFAD,18:3,1498.0,51545.90234375,m1,18:3-FAD231-m1-5xFAD-cortex,2826.460205078125,445.4,183.0,6.54,11192023_5xFAD-m1-cortex-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
26,dienc,FAD231,6.56,5xFAD,18:3,1500.0,49399.4453125,m1,18:3-FAD231-m1-5xFAD-dienc,2180.7001953125,445.4,183.0,6.56,11192023_5xFAD-m1-dienc-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
27,hippo,FAD231,6.56,5xFAD,18:3,1502.0,34782.36328125,m1,18:3-FAD231-m1-5xFAD-hippo,1694.18017578125,445.4,183.0,6.54,11192023_5xFAD-m1-hippo-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
28,cereb,FAD231,6.56,5xFAD,18:3,1504.0,11140.5205078125,m2,18:3-FAD231-m2-5xFAD-cereb,2221.380126953125,445.4,183.0,6.56,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,445.4 -> 183.0
