,Biology,Cage,Correct_RT,Genotype,Lipid,Match_Group,Max_Intensity,Mouse,New_ID,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition
87,dienc,FAD231,5.88,5xFAD,20:5,1718.0,71181.90625,m2,20:5-FAD231-m2-5xFAD-dienc,71181.90625,469.4,183.0,5.88,11192023_5xFAD-m2-dienc-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
88,hippo,FAD231,5.87,5xFAD,20:5,1720.0,8894.541015625,m2,20:5-FAD231-m2-5xFAD-hippo,8894.541015625,469.4,183.0,6.13,11192023_5xFAD-m2-hippo-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
89,cereb,FAD257,5.87,5xFAD,20:5,1715.0,79761.46875,m2,20:5-FAD257-m2-5xFAD-cereb,79761.46875,469.4,183.0,5.87,11192023_5xFAD-m2-cereb-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
90,cortex,FAD257,5.88,5xFAD,20:5,1717.0,114124.7890625,m2,20:5-FAD257-m2-5xFAD-cortex,114124.7890625,469.4,183.0,5.88,11192023_5xFAD-m2-cortex-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
91,dienc,FAD257,5.87,5xFAD,20:5,1719.0,68034.6015625,m2,20:5-FAD257-m2-5xFAD-dienc,68034.6015625,469.4,183.0,5.87,11192023_5xFAD-m2-dienc-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
92,hippo,FAD257,5.86,5xFAD,20:5,1721.0,29833.6015625,m2,20:5-FAD257-m2-5xFAD-hippo,29833.6015625,469.4,183.0,5.86,11192023_5xFAD-m2-hippo-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
93,cortex,FAD263,6.13,WT,20:5,1690.0,17804.181640625,m3,20:5-FAD263-m3-WT-cortex,3558.000244140625,469.4,183.0,6.1,11162023_WT-m3-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
94,dienc,FAD263,5.9,WT,20:5,1691.0,7490.42041015625,m3,20:5-FAD263-m3-WT-dienc,3089.980224609375,469.4,183.0,6.13,11162023_WT-m3-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
95,cereb,FAD263,5.9,WT,20:5,1693.0,5543.34033203125,m4,20:5-FAD263-m4-WT-cereb,1377.360107421875,469.4,183.0,6.19,11162023_WT-m4-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
96,cortex,FAD263,6.13,WT,20:5,1695.0,47949.125,m4,20:5-FAD263-m4-WT-cortex,349.10003662109375,469.4,183.0,6.54,11162023_WT-m4-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_02,469.4 -> 183.0
97,dienc,FAD263,5.9,WT,20:5,1696.0,2851.840087890625,m4,20:5-FAD263-m4-WT-dienc,2851.840087890625,469.4,183.0,6.19,11162023_WT-m4-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
98,hippo,FAD263,5.9,WT,20:5,1697.0,6168.2802734375,m4,20:5-FAD263-m4-WT-hippo,6168.2802734375,469.4,183.0,6.15,11162023_WT-m4-hippo-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
99,cereb,FAD263,5.9,WT,20:5,1699.0,33967.80078125,m5,20:5-FAD263-m5-WT-cereb,33967.80078125,469.4,183.0,5.9,11162023_WT-m5-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
100,cortex,FAD263,6.13,WT,20:5,1701.0,24725.642578125,m5,20:5-FAD263-m5-WT-cortex,24725.642578125,469.4,183.0,6.13,11162023_WT-m5-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
101,dienc,FAD263,5.9,WT,20:5,1703.0,30167.482421875,m5,20:5-FAD263-m5-WT-dienc,30167.482421875,469.4,183.0,5.9,11162023_WT-m5-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
102,hippo,FAD263,5.9,WT,20:5,1705.0,59716.72265625,m5,20:5-FAD263-m5-WT-hippo,59716.72265625,469.4,183.0,5.9,11162023_WT-m5-hippo-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
103,cortex,FAD263,11.14,WT,22:2,2026.0,4007.3603515625,m3,22:2-FAD263-m3-WT-cortex,1541.7601318359375,503.4,183.0,11.14,11162023_WT-m3-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,503.4 -> 183.0
104,dienc,FAD263,11.11,WT,22:2,2027.0,2209.360107421875,m3,22:2-FAD263-m3-WT-dienc,938.1200561523438,503.4,183.0,11.11,11162023_WT-m3-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,503.4 -> 183.0
105,cortex,FAD263,11.14,WT,22:2,2031.0,8408.1005859375,m4,22:2-FAD263-m4-WT-cortex,879.2000732421875,503.4,183.0,11.09,11162023_WT-m4-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_02,503.4 -> 183.0
106,cereb,FAD231,6.07,5xFAD,22:6,2000.0,7173.8203125,m1,22:6-FAD231-m1-5xFAD-cereb,7173.8203125,495.4,183.0,6.07,11192023_5xFAD-m1-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
107,cortex,FAD231,7.51,5xFAD,22:6,2002.0,5686.04052734375,m1,22:6-FAD231-m1-5xFAD-cortex,4768.10009765625,495.4,183.0,7.51,11192023_5xFAD-m1-cortex-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
108,dienc,FAD231,6.07,5xFAD,22:6,2004.0,4514.64013671875,m1,22:6-FAD231-m1-5xFAD-dienc,1043.7401123046875,495.4,183.0,7.51,11192023_5xFAD-m1-dienc-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
109,hippo,FAD231,6.06,5xFAD,22:6,2006.0,5471.640625,m1,22:6-FAD231-m1-5xFAD-hippo,3996.620361328125,495.4,183.0,6.06,11192023_5xFAD-m1-hippo-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
110,cereb,FAD231,6.07,5xFAD,22:6,2008.0,6592.5205078125,m2,22:6-FAD231-m2-5xFAD-cereb,2223.76025390625,495.4,183.0,6.07,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
111,cortex,FAD231,7.51,5xFAD,22:6,2010.0,7455.7607421875,m2,22:6-FAD231-m2-5xFAD-cortex,1956.5201416015625,495.4,183.0,6.37,11192023_5xFAD-m2-cortex-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
112,dienc,FAD231,6.07,5xFAD,22:6,2012.0,6175.04052734375,m2,22:6-FAD231-m2-5xFAD-dienc,2560.360107421875,495.4,183.0,6.07,11192023_5xFAD-m2-dienc-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
113,hippo,FAD231,6.06,5xFAD,22:6,2014.0,5695.2001953125,m2,22:6-FAD231-m2-5xFAD-hippo,2572.840087890625,495.4,183.0,6.07,11192023_5xFAD-m2-hippo-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
114,cereb,FAD257,7.51,5xFAD,22:6,2009.0,4074.120361328125,m2,22:6-FAD257-m2-5xFAD-cereb,2850.76025390625,495.4,183.0,7.51,11192023_5xFAD-m2-cereb-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
115,cortex,FAD257,7.51,5xFAD,22:6,2011.0,5084.2001953125,m2,22:6-FAD257-m2-5xFAD-cortex,1444.0401611328125,495.4,183.0,7.51,11192023_5xFAD-m2-cortex-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
116,dienc,FAD257,6.06,5xFAD,22:6,2013.0,5643.3603515625,m2,22:6-FAD257-m2-5xFAD-dienc,4512.34033203125,495.4,183.0,6.06,11192023_5xFAD-m2-dienc-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
117,hippo,FAD257,7.5,5xFAD,22:6,2015.0,3009.000244140625,m2,22:6-FAD257-m2-5xFAD-hippo,476.1600341796875,495.4,183.0,7.5,11192023_5xFAD-m2-hippo-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
118,cereb,FAD263,7.6,WT,22:6,1983.0,38376.18359375,m3,22:6-FAD263-m3-WT-cereb,1126.5400390625,495.4,183.0,7.59,11162023_WT-m3-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
119,cortex,FAD263,7.56,WT,22:6,1984.0,88673.8046875,m3,22:6-FAD263-m3-WT-cortex,45655.703125,495.4,183.0,7.5,11162023_WT-m3-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
120,dienc,FAD263,7.53,WT,22:6,1985.0,95199.8046875,m3,22:6-FAD263-m3-WT-dienc,20121.201171875,495.4,183.0,7.53,11162023_WT-m3-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
121,hippo,FAD263,6.38,WT,22:6,1986.0,21015.380859375,m3,22:6-FAD263-m3-WT-hippo,673.4000244140625,495.4,183.0,7.59,11162023_WT-m3-hippo-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
122,cereb,FAD263,7.6,WT,22:6,1987.0,12872.140625,m4,22:6-FAD263-m4-WT-cereb,11909.6611328125,495.4,183.0,7.6,11162023_WT-m4-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
123,cortex,FAD263,7.56,WT,22:6,1989.0,105113.328125,m4,22:6-FAD263-m4-WT-cortex,105113.328125,495.4,183.0,7.56,11162023_WT-m4-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_02,495.4 -> 183.0
124,dienc,FAD263,7.53,WT,22:6,1990.0,20148.7421875,m4,22:6-FAD263-m4-WT-dienc,3286.480224609375,495.4,183.0,7.61,11162023_WT-m4-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
125,hippo,FAD263,6.38,WT,22:6,1991.0,29986.40234375,m4,22:6-FAD263-m4-WT-hippo,337.5400390625,495.4,183.0,7.62,11162023_WT-m4-hippo-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
126,cereb,FAD263,7.6,WT,22:6,1993.0,11523.5009765625,m5,22:6-FAD263-m5-WT-cereb,11523.5009765625,495.4,183.0,7.51,11162023_WT-m5-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
127,cortex,FAD263,7.56,WT,22:6,1995.0,4725.58056640625,m5,22:6-FAD263-m5-WT-cortex,1634.5201416015625,495.4,183.0,6.18,11162023_WT-m5-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
128,dienc,FAD263,7.53,WT,22:6,1997.0,6352.140625,m5,22:6-FAD263-m5-WT-dienc,6352.140625,495.4,183.0,6.09,11162023_WT-m5-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
129,hippo,FAD263,6.38,WT,22:6,1999.0,4612.2001953125,m5,22:6-FAD263-m5-WT-hippo,2040.340087890625,495.4,183.0,6.38,11162023_WT-m5-hippo-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,495.4 -> 183.0
