,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Match_Group,Lipid,Max_Intensity,Biology,Genotype,Cage,Mouse,Correct_RT,Combined_Group
0,339.3,183.0,8.67,63726.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,339.3 -> 183.0,496,"10:0 / 18:2 (9Z,12Z)n-6,n-9 / 14:1 (9Z)n-5 / 18:3 (9Z,12Z,15Z))n-3.n-6,n-9 / 16:1 (9Z)n-7 / 18:1(9Z)n-9",63726.0,cereb,5xFAD,FAD231,m2,8.67,"cereb_FAD231_5xFAD_10:0 / 18:2 (9Z,12Z)n-6,n-9 / 14:1 (9Z)n-5 / 18:3 (9Z,12Z,15Z))n-3.n-6,n-9 / 16:1 (9Z)n-7 / 18:1(9Z)n-9"
1,353.3,183.0,8.94,4792.0,11192023_5xFAD-m1-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,353.3 -> 183.0,572,11:0 / 15:1 (10Z)n-5 / 17:1 (10Z)n-7,4792.0,cereb,5xFAD,FAD231,m1,8.94,cereb_FAD231_5xFAD_11:0 / 15:1 (10Z)n-5 / 17:1 (10Z)n-7
2,367.3,183.0,8.9,2330.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,367.3 -> 183.0,706,"12:0 / 20:2 (11Z,14Z)n-6,n-9 / 20:3 (11Z,14Z,17Z)n-3,n-6,n-9 / 20:1 (11Z)n-9 / 18:1n-7",2330.0,cereb,5xFAD,FAD231,m2,8.9,"cereb_FAD231_5xFAD_12:0 / 20:2 (11Z,14Z)n-6,n-9 / 20:3 (11Z,14Z,17Z)n-3,n-6,n-9 / 20:1 (11Z)n-9 / 18:1n-7"
3,227.1,183.0,9.86,8653.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,227.1 -> 183.0,34,12:1n-11 / ... / 18:1n-17,8653.0,cereb,5xFAD,FAD231,m2,9.86,cereb_FAD231_5xFAD_12:1n-11 / ... / 18:1n-17
4,381.3,183.0,5.5,76248.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,381.3 -> 183.0,832,13:0,76248.0,cereb,5xFAD,FAD231,m2,5.5,cereb_FAD231_5xFAD_13:0
5,395.3,183.0,6.27,4366658.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,395.3 -> 183.0,958,"14:0 / 22:2 (13Z,16Z)n-6,n-9 / 22:1 (13Z)n-9",4366658.0,cereb,5xFAD,FAD231,m2,6.27,"cereb_FAD231_5xFAD_14:0 / 22:2 (13Z,16Z)n-6,n-9 / 22:1 (13Z)n-9"
6,393.4,183.0,5.41,16512.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,393.4 -> 183.0,916,14:1(9Z),16512.0,cereb,5xFAD,FAD231,m2,5.41,cereb_FAD231_5xFAD_14:1(9Z)
7,409.3,183.0,7.19,447811.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,409.3 -> 183.0,1126,15:0 / 17:1n-3 / 18:1n-4,447811.0,cereb,5xFAD,FAD231,m2,7.19,cereb_FAD231_5xFAD_15:0 / 17:1n-3 / 18:1n-4
8,423.3,183.0,8.02,11268311.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,423.3 -> 183.0,1252,16:0 / 24:1 (15Z)n-9 / 18:1n-3,11268311.0,cereb,5xFAD,FAD231,m2,8.02,cereb_FAD231_5xFAD_16:0 / 24:1 (15Z)n-9 / 18:1n-3
9,421.4,183.0,7.07,105554.0,11192023_5xFAD-m1-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,421.4 -> 183.0,1202,16:1,105554.0,cereb,5xFAD,FAD231,m1,7.07,cereb_FAD231_5xFAD_16:1
10,437.4,183.0,9.07,703769.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,437.4 -> 183.0,1420,17:0 / 19:1n-3 / 20:1n-4,703769.0,cereb,5xFAD,FAD231,m2,9.07,cereb_FAD231_5xFAD_17:0 / 19:1n-3 / 20:1n-4
11,435.4,183.0,8.07,15000.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,435.4 -> 183.0,1378,"17:1 / 22:2 (13Z,16Z)n-6",15000.0,cereb,5xFAD,FAD231,m2,8.07,"cereb_FAD231_5xFAD_17:1 / 22:2 (13Z,16Z)n-6"
12,451.4,183.0,9.87,10476679.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,451.4 -> 183.0,1630,18:0 / 20:1n-3 / 21:1 n-4,10476679.0,cereb,5xFAD,FAD231,m2,9.87,cereb_FAD231_5xFAD_18:0 / 20:1n-3 / 21:1 n-4
13,449.4,183.0,8.67,496649.0,11192023_5xFAD-m1-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,449.4 -> 183.0,1580,18:1,496649.0,cereb,5xFAD,FAD231,m1,8.67,cereb_FAD231_5xFAD_18:1
14,379.3,183.0,7.51,12889.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,379.3 -> 183.0,790,"18:2 (9Z,12Z)n-6 / 18:3 (9Z,12Z,15Z))n-3.n-6",12889.0,cereb,5xFAD,FAD231,m2,7.51,"cereb_FAD231_5xFAD_18:2 (9Z,12Z)n-6 / 18:3 (9Z,12Z,15Z))n-3.n-6"
