Lipid,Average_Retention_Time,Parent_Ion,Product_Ion
[TG(50:3)]_FA18:1,13.33,846.8,547.5
[TG(52:5)]_FA16:1,12.0,870.8,599.5
[TG(54:5)]_FA18:1,13.24,898.8,599.5
[TG(54:6)]_FA18:1,12.13,896.8,597.5
"[TG(55:10),TG(54:3)]_FA18:1",15.64,902.8,603.5
"[TG(55:11),TG(54:4)]_FA18:1",14.48,900.8,601.5
"[TG(55:8),TG(54:1)]_FA18:1",16.88,906.8,607.5
"[TG(55:9),TG(54:2)]_FA18:1",16.88,904.8,605.5
[TG(56:6)]_FA18:1,13.72,924.8,625.5
"[TG(56:7),TG(55:0)]_FA18:1",13.15,922.9,623.6
"[TG(57:10),TG(56:3)]_FA18:1",16.65,930.6,631.5
"[TG(57:11),TG(56:4)]_FA18:1",15.59,928.8,629.5
"[TG(57:12),TG(56:5)]_FA18:1",14.52,926.8,627.5
"[TG(57:9),TG(56:2)]_FA18:1",17.94,932.9,633.6
