Lipid,Average_Retention_Time,Parent_Ion,Product_Ion
[TG(50:3)]_FA18:1,14.0,846.8,547.5
[TG(52:5)]_FA16:1,12.75,870.8,599.5
[TG(52:6)]_FA18:2,11.55,868.8,571.5
[TG(54:5)]_FA18:1,13.91,898.8,599.5
[TG(54:6)]_FA18:1,12.8,896.8,597.5
"[TG(55:10),TG(54:3)]_FA18:1",16.26,902.8,603.5
"[TG(55:11),TG(54:4)]_FA16:1",15.01,900.8,629.5
"[TG(55:11),TG(54:4)]_FA18:1",15.1,900.8,601.5
"[TG(55:8),TG(54:1)]_FA18:1",18.61,906.8,607.5
"[TG(55:9),TG(54:2)]_FA18:1",17.5,904.8,605.5
"[TG(56:10),TG(55:3)]_FA18:1",16.79,916.8,617.5
"[TG(56:11),TG(55:4)]_FA18:1",15.68,914.8,615.5
[TG(56:6)]_FA18:1,14.43,924.8,625.5
"[TG(56:7),TG(55:0)]_FA16:1",13.15,922.9,651.6
"[TG(56:7),TG(55:0)]_FA18:1",13.81,922.9,623.6
"[TG(57:10),TG(56:3)]_FA18:1",17.28,930.6,631.5
"[TG(57:11),TG(56:4)]_FA18:1",16.17,928.8,629.5
"[TG(57:12),TG(56:5)]_FA18:1",14.97,926.8,627.5
"[TG(57:9),TG(56:2)]_FA18:1",18.47,932.9,633.6
"[TG(58:7),TG(57:0)]_FA18:1",14.3,950.9,651.6
"[TG(59:11),TG(58:4)]_FA18:1",17.23,956.9,657.6
