Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Biology,Genotype,FAC,TG,Group,Max_Intensity,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,Mouse,SLBG_group
"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,818.7,629.5,14.94,9752.0,liver,5xFAD,FA16:1,"TG(54:4), TG(55:11)",134,9752.0,14.936950000000001,0.0730499999999985,1116.0,1056.0,0.0,FAD173_M1,32
"[TG(56:7),]_FA16:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,840.8,651.6,13.02,836.0,liver,5xFAD,FA16:1,TG(56:7),270,836.0,13.022966666666667,0.12703333333333333,126.0,141.0,0.0,DOD73_M2,63
"[TG(56:7),]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,840.8,651.6,13.07,1236.0,liver,5xFAD,FA16:1,TG(56:7),271,1236.0,13.067400000000001,0.08259999999999934,202.0,230.0,0.34,FAD131_M1,64
"[TG(56:7),]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,812.8,651.6,13.03,808.0,liver,5xFAD,FA16:1,TG(56:7),276,808.0,13.02945,0.12054999999999971,102.0,79.0,0.34,FAD131_M1,64
"[TG(56:7),]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,840.8,651.6,13.07,1568.0,liver,5xFAD,FA16:1,TG(56:7),272,1568.0,13.067683333333333,0.08231666666666726,225.0,245.0,0.41,FAD131_M2,65
"[TG(56:7),]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,812.8,651.6,13.12,1275.0,liver,5xFAD,FA16:1,TG(56:7),277,1275.0,13.118283333333334,0.03171666666666617,110.0,100.0,0.41,FAD131_M2,65
"[TG(56:7),]_FA16:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,840.8,651.6,12.98,577.0,liver,5xFAD,FA16:1,TG(56:7),273,577.0,12.978583333333335,0.17141666666666566,74.0,99.0,0.0,FAD131_M4,66
"[TG(56:7),]_FA16:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,840.8,651.6,12.9,1222.0,liver,5xFAD,FA16:1,TG(56:7),274,1222.0,12.978616666666667,0.171383333333333,131.0,128.0,0.7,FAD173_M1,67
"[TG(56:7),]_FA16:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,812.8,651.6,12.99,689.0,liver,5xFAD,FA16:1,TG(56:7),279,689.0,12.985066666666667,0.16493333333333382,84.0,90.0,0.7,FAD173_M1,67
[TG(50:3)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-10,722.7,547.5,13.94,354.0,liver,5xFAD,FA18:1,TG(50:3),0,354.0,,,55.0,19.0,6.98,DOD73_M2,0
[TG(50:3)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,764.7,547.5,13.89,1214.0,liver,5xFAD,FA18:1,TG(50:3),10,1214.0,13.887266666666667,0.11273333333333291,217.0,262.0,6.98,DOD73_M2,0
[TG(50:3)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,736.7,547.5,13.94,13197.0,liver,5xFAD,FA18:1,TG(50:3),15,13197.0,13.937266666666668,0.0627333333333322,2147.0,1829.0,6.98,DOD73_M2,0
[TG(50:3)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-10,722.7,547.5,14.03,472.0,liver,5xFAD,FA18:1,TG(50:3),1,472.0,14.027283333333335,0.02728333333333488,78.0,72.0,10.1,FAD131_M1,1
[TG(50:3)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,764.7,547.5,13.93,2417.0,liver,5xFAD,FA18:1,TG(50:3),11,2417.0,13.931683333333334,0.06831666666666614,527.0,463.0,10.1,FAD131_M1,1
[TG(50:3)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,736.7,547.5,13.98,32075.0,liver,5xFAD,FA18:1,TG(50:3),16,32075.0,13.981683333333335,0.018316666666665427,4972.0,4676.0,10.1,FAD131_M1,1
[TG(50:3)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-10,722.7,547.5,13.94,395.0,liver,5xFAD,FA18:1,TG(50:3),2,395.0,,,54.0,34.0,11.2,FAD131_M2,2
[TG(50:3)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,764.7,547.5,13.93,4463.0,liver,5xFAD,FA18:1,TG(50:3),12,4463.0,13.931700000000001,0.06829999999999892,758.0,622.0,11.2,FAD131_M2,2
[TG(50:3)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,736.7,547.5,13.98,44610.0,liver,5xFAD,FA18:1,TG(50:3),17,44610.0,13.9817,0.018299999999999983,7830.0,6964.0,11.2,FAD131_M2,2
[TG(50:3)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,764.7,547.5,13.89,1084.0,liver,5xFAD,FA18:1,TG(50:3),13,1084.0,13.887283333333334,0.11271666666666569,148.0,115.0,7.7,FAD131_M4,3
[TG(50:3)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,736.7,547.5,13.98,7339.0,liver,5xFAD,FA18:1,TG(50:3),18,7339.0,13.981683333333335,0.018316666666665427,1005.0,886.0,7.7,FAD131_M4,3
[TG(50:3)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,764.7,547.5,13.89,1142.0,liver,5xFAD,FA18:1,TG(50:3),14,1142.0,13.887300000000002,0.11269999999999847,207.0,208.0,11.92,FAD173_M1,4
[TG(50:3)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,736.7,547.5,13.94,15215.0,liver,5xFAD,FA18:1,TG(50:3),19,15215.0,13.9373,0.06269999999999953,2641.0,2480.0,11.92,FAD173_M1,4
"[TG(52:7),]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,756.7,567.5,17.0,587.0,liver,5xFAD,FA18:1,TG(52:7),56,587.0,16.99755,0.06244999999999834,77.0,44.0,,FAD131_M1,10
"[TG(52:7),]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,756.7,567.5,17.0,952.0,liver,5xFAD,FA18:1,TG(52:7),57,952.0,16.997566666666668,0.06243333333333112,94.0,99.0,,FAD131_M2,11
"[TG(52:7),]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,756.7,567.5,17.04,430.0,liver,5xFAD,FA18:1,TG(52:7),59,430.0,17.041983333333334,0.01801666666666435,58.0,58.0,,FAD173_M1,12
[TG(54:5)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.78,5788.0,liver,5xFAD,FA18:1,TG(54:5),70,5788.0,13.783183333333334,0.12681666666666658,673.0,705.0,7.17,DOD73_M2,13
[TG(54:5)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.84,38262.0,liver,5xFAD,FA18:1,TG(54:5),75,38262.0,13.836116666666667,0.07388333333333286,5026.0,5054.0,7.17,DOD73_M2,13
[TG(54:5)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.83,9143.0,liver,5xFAD,FA18:1,TG(54:5),71,9143.0,13.8276,0.0823999999999998,1435.0,1256.0,5.64,FAD131_M1,14
[TG(54:5)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.88,52768.0,liver,5xFAD,FA18:1,TG(54:5),76,52768.0,13.880266666666667,0.029733333333332723,7612.0,7085.0,5.64,FAD131_M1,14
[TG(54:5)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-10,774.6,599.5,13.88,588.0,liver,5xFAD,FA18:1,TG(54:5),62,588.0,13.88495,0.02505000000000024,53.0,21.0,7.74,FAD131_M2,15
[TG(54:5)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.78,12026.0,liver,5xFAD,FA18:1,TG(54:5),72,12026.0,13.7832,0.12679999999999936,1318.0,1130.0,7.74,FAD131_M2,15
[TG(54:5)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.88,58631.0,liver,5xFAD,FA18:1,TG(54:5),77,58631.0,13.880283333333335,0.029716666666665503,8982.0,8745.0,7.74,FAD131_M2,15
[TG(54:5)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-10,774.6,599.5,13.88,486.0,liver,5xFAD,FA18:1,TG(54:5),63,486.0,13.884933333333334,0.025066666666665682,43.0,14.0,6.75,FAD131_M4,16
[TG(54:5)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.78,5135.0,liver,5xFAD,FA18:1,TG(54:5),73,5135.0,13.7832,0.12679999999999936,543.0,540.0,6.75,FAD131_M4,16
[TG(54:5)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.88,30665.0,liver,5xFAD,FA18:1,TG(54:5),78,30665.0,13.880533333333334,0.029466666666666086,3836.0,3646.0,6.75,FAD131_M4,16
[TG(54:5)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.78,8106.0,liver,5xFAD,FA18:1,TG(54:5),74,8106.0,13.783216666666668,0.12678333333333214,551.0,464.0,11.81,FAD173_M1,17
[TG(54:5)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.84,45432.0,liver,5xFAD,FA18:1,TG(54:5),79,45432.0,13.8359,0.07409999999999961,5568.0,5480.0,11.81,FAD173_M1,17
[TG(54:6)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,814.7,597.5,12.76,597.0,liver,5xFAD,FA18:1,TG(54:6),90,597.0,12.762400000000001,0.03759999999999941,109.0,86.0,15.22,DOD73_M2,18
[TG(54:6)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,786.7,597.5,12.77,10734.0,liver,5xFAD,FA18:1,TG(54:6),95,10734.0,12.77065,0.029350000000000875,1419.0,1309.0,15.22,DOD73_M2,18
[TG(54:6)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,814.7,597.5,12.72,1291.0,liver,5xFAD,FA18:1,TG(54:6),91,1291.0,12.718016666666667,0.08198333333333352,98.0,42.0,38.98,FAD131_M1,19
[TG(54:6)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,786.7,597.5,12.82,10041.0,liver,5xFAD,FA18:1,TG(54:6),96,10041.0,12.815083333333334,0.015083333333333115,1513.0,1637.0,38.98,FAD131_M1,19
[TG(54:6)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,814.7,597.5,12.76,1439.0,liver,5xFAD,FA18:1,TG(54:6),92,1439.0,12.762433333333334,0.03756666666666675,180.0,155.0,8.69,FAD131_M2,20
[TG(54:6)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,786.7,597.5,12.77,7895.0,liver,5xFAD,FA18:1,TG(54:6),97,7895.0,12.770683333333334,0.029316666666666436,1268.0,1347.0,8.69,FAD131_M2,20
[TG(54:6)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,814.7,597.5,12.67,709.0,liver,5xFAD,FA18:1,TG(54:6),93,709.0,12.673616666666668,0.12638333333333307,116.0,98.0,6.0,FAD131_M4,21
[TG(54:6)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,786.7,597.5,12.73,4295.0,liver,5xFAD,FA18:1,TG(54:6),98,4295.0,12.726266666666668,0.0737333333333332,537.0,588.0,6.0,FAD131_M4,21
[TG(54:6)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,814.7,597.5,12.67,1020.0,liver,5xFAD,FA18:1,TG(54:6),94,1020.0,12.673633333333333,0.12636666666666763,127.0,80.0,14.58,FAD173_M1,22
[TG(54:6)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,786.7,597.5,12.77,7405.0,liver,5xFAD,FA18:1,TG(54:6),99,7405.0,12.770700000000001,0.029299999999999216,1191.0,1166.0,14.58,FAD173_M1,22
"[TG(55:10),TG(54:3)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,820.7,603.5,16.14,16109.0,liver,5xFAD,FA18:1,"TG(54:3), TG(55:10)",110,16109.0,16.135316666666668,0.12468333333333348,1635.0,1537.0,10.64,DOD73_M2,23
"[TG(55:10),TG(54:3)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,792.7,603.5,16.19,130171.0,liver,5xFAD,FA18:1,"TG(54:3), TG(55:10)",115,130171.0,16.187933333333334,0.07206666666666806,16852.0,16354.0,10.64,DOD73_M2,23
"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-10,778.6,603.5,16.24,1124.0,liver,5xFAD,FA18:1,"TG(54:3), TG(55:10)",101,1124.0,16.23646666666667,0.023533333333332962,169.0,173.0,6.57,FAD131_M1,24
