Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Biology,Genotype,FAC,TG,Group,Max_Intensity,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,Mouse,SLBG_group
[TG(52:5)]_FA16:1,11292023_DOD93_F4_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.24,447.0,cereb,5xFAD,FA16:1,TG(52:5),144,447.0,12.237250000000001,0.16274999999999906,54.0,83.0,0.0,DOD93_F4,18
[TG(52:5)]_FA16:1,11292023_DOD94_F4_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.24,1418.0,cereb,5xFAD,FA16:1,TG(52:5),145,1418.0,12.2375,0.16249999999999964,198.0,191.0,0.0,DOD94_F4,20
[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.24,1340.0,cereb,5xFAD,FA16:1,TG(52:5),146,1340.0,12.237483333333333,0.16251666666666686,177.0,165.0,0.0,FAD185_M1,22
[TG(52:5)]_FA16:1,11292023_FAD185_M3_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.28,627.0,cereb,5xFAD,FA16:1,TG(52:5),147,1314.0,12.237216666666667,0.1627833333333335,49.0,43.0,0.0,FAD185_M3,26
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.28,27260.0,cereb,5xFAD,FA16:1,TG(52:5),148,27260.0,12.281633333333334,0.11836666666666673,2709.0,2726.0,0.07,FAD189_M1,27
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-9,760.7,599.5,12.42,1812.0,cereb,5xFAD,FA16:1,TG(52:5),172,1812.0,12.422766666666668,0.02276666666666749,249.0,198.0,0.07,FAD189_M1,27
[TG(52:5)]_FA16:1,11292023_FAD189_M2_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.19,1890.0,cereb,5xFAD,FA16:1,TG(52:5),149,1890.0,12.192816666666667,0.20718333333333305,75.0,65.0,0.0,FAD189_M2,31
[TG(52:5)]_FA16:1,11292023_DOD94_F4_5xFAD_cortex_O3on_01,n-7,788.7,599.5,12.24,931.0,cortex,5xFAD,FA16:1,TG(52:5),151,931.0,12.237216666666667,0.1627833333333335,109.0,107.0,0.0,DOD94_F4,21
[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_cortex_O3on_01,n-7,788.7,599.5,12.28,2509.0,cortex,5xFAD,FA16:1,TG(52:5),152,2509.0,12.2819,0.1181000000000001,166.0,168.0,0.0,FAD185_M1,23
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-7,788.7,599.5,12.28,30704.0,cortex,5xFAD,FA16:1,TG(52:5),154,30704.0,12.281616666666666,0.11838333333333395,4227.0,4048.0,0.08,FAD189_M1,28
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-9,760.7,599.5,12.33,2195.0,cortex,5xFAD,FA16:1,TG(52:5),178,2195.0,12.333916666666667,0.06608333333333327,326.0,318.0,0.08,FAD189_M1,28
[TG(52:5)]_FA16:1,11292023_DOD93_F4_5xFAD_dienc_O3on_01,n-7,788.7,599.5,12.24,586.0,dienc,5xFAD,FA16:1,TG(52:5),156,586.0,12.237483333333333,0.16251666666666686,77.0,78.0,0.0,DOD93_F4,19
[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_dienc_O3on_01,n-7,788.7,599.5,12.24,906.0,dienc,5xFAD,FA16:1,TG(52:5),158,906.0,12.237216666666667,0.1627833333333335,100.0,119.0,0.0,FAD185_M1,24
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_dienc_O3on_01,n-7,788.7,599.5,12.33,5355.0,dienc,5xFAD,FA16:1,TG(52:5),160,5355.0,12.326316666666667,0.07368333333333332,668.0,636.0,0.06,FAD189_M1,29
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_dienc_O3on_01,n-9,760.7,599.5,12.38,640.0,dienc,5xFAD,FA16:1,TG(52:5),184,640.0,12.378366666666667,0.021633333333333837,58.0,39.0,0.06,FAD189_M1,29
[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_hippo_O3on_01,n-7,788.7,599.5,12.33,603.0,hippo,5xFAD,FA16:1,TG(52:5),164,603.0,12.326316666666667,0.07368333333333332,57.0,120.0,0.0,FAD185_M1,25
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_hippo_O3on_01,n-7,788.7,599.5,12.33,934.0,hippo,5xFAD,FA16:1,TG(52:5),166,934.0,12.326033333333333,0.07396666666666718,146.0,144.0,0.0,FAD189_M1,30
[TG(50:3)]_FA18:1,11292023_DOD94_F4_5xFAD_cereb_O3on_01,n-9,736.7,547.5,13.49,2048.0,cereb,5xFAD,FA18:1,TG(50:3),73,2048.0,13.58205,0.1479499999999998,569.0,552.0,,DOD94_F4,3
[TG(50:3)]_FA18:1,11292023_FAD185_M1_5xFAD_cereb_O3on_01,n-9,736.7,547.5,13.49,695.0,cereb,5xFAD,FA18:1,TG(50:3),74,695.0,13.937283333333333,0.20728333333333282,103.0,148.0,,FAD185_M1,7
