Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Biology,Genotype,FAC,TG,Group,Max_Intensity,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,Mouse,SLBG_group
[TG(52:5)]_FA16:1,11292023_DOD93_F4_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.24,447.0,cereb,5xFAD,FA16:1,TG(52:5),144,447.0,12.237250000000001,0.16274999999999906,58.0,84.0,0.0,DOD93_F4,19
[TG(52:5)]_FA16:1,11292023_DOD94_F4_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.24,1418.0,cereb,5xFAD,FA16:1,TG(52:5),145,1418.0,12.2375,0.16249999999999964,198.0,191.0,0.0,DOD94_F4,21
[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.24,1340.0,cereb,5xFAD,FA16:1,TG(52:5),146,1340.0,12.237483333333333,0.16251666666666686,177.0,165.0,0.0,FAD185_M1,23
[TG(52:5)]_FA16:1,11292023_FAD185_M3_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.02,32122.0,cereb,5xFAD,FA16:1,TG(52:5),147,32122.0,12.237216666666667,0.1627833333333335,3054.0,3055.0,0.0,FAD185_M3,27
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.28,27260.0,cereb,5xFAD,FA16:1,TG(52:5),148,27260.0,12.281633333333334,0.11836666666666673,3469.0,3488.0,0.06,FAD189_M1,29
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-9,760.7,599.5,12.42,1812.0,cereb,5xFAD,FA16:1,TG(52:5),172,1812.0,12.422766666666668,0.02276666666666749,253.0,198.0,0.06,FAD189_M1,29
[TG(52:5)]_FA16:1,11292023_FAD189_M2_5xFAD_cereb_O3on_01,n-7,788.7,599.5,11.97,28614.0,cereb,5xFAD,FA16:1,TG(52:5),149,28614.0,12.192816666666667,0.20718333333333305,3744.0,3755.0,0.0,FAD189_M2,33
[TG(52:5)]_FA16:1,11292023_DOD94_F4_5xFAD_cortex_O3on_01,n-7,788.7,599.5,12.24,931.0,cortex,5xFAD,FA16:1,TG(52:5),151,931.0,12.237216666666667,0.1627833333333335,109.0,104.0,0.0,DOD94_F4,22
[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_cortex_O3on_01,n-7,788.7,599.5,12.28,2509.0,cortex,5xFAD,FA16:1,TG(52:5),152,2509.0,12.2819,0.1181000000000001,301.0,314.0,0.0,FAD185_M1,24
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-7,788.7,599.5,12.28,30704.0,cortex,5xFAD,FA16:1,TG(52:5),154,30704.0,12.281616666666666,0.11838333333333395,4331.0,4269.0,0.06,FAD189_M1,30
