Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Match_Group,Correct_RT,Max_Intensity,Cage,Mouse,Genotype,Biology,FAC,TG,Group,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,SLBG_group
[TG(52:5)]_FA16:1,11292023_DOD94_F4_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.24,1418.0,1468,13.48,3508.0,DOD94,DOD94_F4,5xFAD,cereb,FA16:1,TG(52:5),48,12.24,0.10999999999999943,196.0,178.0,0.0,8
[TG(52:5)]_FA16:1,11292023_FAD185_M3_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.15,3997.0,1476,13.26,33090.0,FAD185,FAD185_M3,5xFAD,cereb,FA16:1,TG(52:5),49,12.15,0.1999999999999993,279.0,281.0,0.07,9
[TG(52:5)]_FA16:1,11292023_FAD185_M3_5xFAD_cereb_O3on_01,n-9,760.7,599.5,12.16,748.0,876,12.11,1845.0,FAD185,FAD185_M3,5xFAD,cereb,FA16:1,TG(52:5),55,12.16,0.1899999999999995,40.0,19.0,0.07,9
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.28,27260.0,1480,12.28,27260.0,FAD189,FAD189_M1,5xFAD,cereb,FA16:1,TG(52:5),50,12.28,0.07000000000000028,3151.0,2988.0,0.07,11
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-9,760.7,599.5,12.42,1812.0,880,12.42,1812.0,FAD189,FAD189_M1,5xFAD,cereb,FA16:1,TG(52:5),56,12.42,0.07000000000000028,238.0,209.0,0.07,11
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-7,788.7,599.5,12.41,7934.0,1481,12.28,30704.0,FAD189,FAD189_M1,5xFAD,cortex,FA16:1,TG(52:5),51,12.41,0.0600000000000005,542.0,524.0,0.09,12
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-9,760.7,599.5,12.33,2195.0,881,12.33,2195.0,FAD189,FAD189_M1,5xFAD,cortex,FA16:1,TG(52:5),57,12.33,0.019999999999999574,61.0,48.0,0.09,12
[TG(52:5)]_FA16:1,11292023_FAD189_M2_5xFAD_cortex_O3on_01,n-7,788.7,599.5,12.24,308.0,1485,13.26,6331.0,FAD189,FAD189_M2,5xFAD,cortex,FA16:1,TG(52:5),52,12.24,0.10999999999999943,15.0,0.0,,13
[TG(52:5)]_FA16:1,11292023_FAD189_M2_5xFAD_cortex_O3on_01,n-9,760.7,599.5,12.16,247.0,885,12.11,1003.0,FAD189,FAD189_M2,5xFAD,cortex,FA16:1,TG(52:5),58,12.16,0.1899999999999995,17.0,0.0,,13
[TG(52:5)]_FA16:1,11292023_FAD185_M3_5xFAD_dienc_O3on_01,n-7,788.7,599.5,12.15,2151.0,1478,13.26,25065.0,FAD185,FAD185_M3,5xFAD,dienc,FA16:1,TG(52:5),53,12.15,0.1999999999999993,92.0,75.0,0.0,10
"[TG(55:11),TG(54:4)]_FA16:1",11292023_FAD185_M3_5xFAD_dienc_O3on_01,n-7,818.7,629.5,14.4,1822.0,2174,15.56,1895.0,FAD185,FAD185_M3,5xFAD,dienc,FA16:1,"TG(54:4), TG(55:11)",274,14.4,0.03999999999999915,169.0,145.0,0.0,63
[TG(50:3)]_FA18:1,11292023_DOD94_F4_5xFAD_cereb_O3on_01,n-9,736.7,547.5,13.49,2048.0,508,13.49,2048.0,DOD94,DOD94_F4,5xFAD,cereb,FA18:1,TG(50:3),27,13.49,0.0600000000000005,412.0,374.0,,0
[TG(50:3)]_FA18:1,11292023_FAD185_M3_5xFAD_cereb_O3on_01,n-10,722.7,547.5,13.58,408.0,420,13.58,408.0,FAD185,FAD185_M3,5xFAD,cereb,FA18:1,TG(50:3),1,13.58,0.02999999999999936,33.0,26.0,,2
[TG(50:3)]_FA18:1,11292023_FAD185_M3_5xFAD_cereb_O3on_01,n-12,694.6,547.5,13.81,222.0,300,12.47,535.0,FAD185,FAD185_M3,5xFAD,cereb,FA18:1,TG(50:3),10,13.81,0.2599999999999998,21.0,0.0,,2
[TG(50:3)]_FA18:1,11292023_FAD185_M3_5xFAD_cereb_O3on_01,n-9,736.7,547.5,13.54,773.0,516,12.12,4220.0,FAD185,FAD185_M3,5xFAD,cereb,FA18:1,TG(50:3),28,13.54,0.010000000000001563,79.0,58.0,,2
[TG(50:3)]_FA18:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-9,736.7,547.5,13.49,1339.0,520,12.38,7101.0,FAD189,FAD189_M1,5xFAD,cereb,FA18:1,TG(50:3),29,13.49,0.0600000000000005,112.0,163.0,,4
[TG(50:3)]_FA18:1,11292023_DOD94_F4_5xFAD_cortex_O3on_01,n-9,736.7,547.5,13.58,1122.0,509,13.58,1122.0,DOD94,DOD94_F4,5xFAD,cortex,FA18:1,TG(50:3),30,13.58,0.02999999999999936,200.0,155.0,,1
[TG(50:3)]_FA18:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-7,764.7,547.5,13.49,406.0,953,14.73,465.0,FAD189,FAD189_M1,5xFAD,cortex,FA18:1,TG(50:3),22,13.49,0.0600000000000005,49.0,53.0,12.17,5
[TG(50:3)]_FA18:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-9,736.7,547.5,13.63,4647.0,521,12.34,6363.0,FAD189,FAD189_M1,5xFAD,cortex,FA18:1,TG(50:3),31,13.63,0.08000000000000007,746.0,645.0,12.17,5
[TG(50:3)]_FA18:1,11292023_FAD189_M2_5xFAD_cortex_O3on_01,n-9,736.7,547.5,13.67,326.0,525,13.98,771.0,FAD189,FAD189_M2,5xFAD,cortex,FA18:1,TG(50:3),32,13.67,0.11999999999999922,35.0,25.0,,6
[TG(50:3)]_FA18:1,11292023_FAD185_M3_5xFAD_dienc_O3on_01,n-9,736.7,547.5,13.4,2396.0,518,13.4,2396.0,FAD185,FAD185_M3,5xFAD,dienc,FA18:1,TG(50:3),33,13.4,0.15000000000000036,312.0,294.0,,3
