Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Match_Group,Cage,Mouse,Genotype,Biology,Group_Sample,FAC,TG,Group,Max_Intensity,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,SLBG_group
[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.74,419.0,130,DOD73,DOD73_M2,5xFAD,liver,-1,FA16:1,TG(52:5),20,737.0,12.7368,0.11680000000000135,22.0,42.0,0.03,5
[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,788.7,599.5,12.64,49192.0,305,DOD73,DOD73_M2,5xFAD,liver,-1,FA16:1,TG(52:5),30,49192.0,12.636866666666668,0.016866666666668806,5717.0,5660.0,0.03,5
[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,760.7,599.5,12.69,5585.0,180,DOD73,DOD73_M2,5xFAD,liver,-1,FA16:1,TG(52:5),35,20182.0,12.689166666666667,0.06916666666666771,163.0,142.0,0.03,5
[TG(52:5)]_FA16:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.43,439.0,131,FAD131,FAD131_M1,5xFAD,liver,-1,FA16:1,TG(52:5),21,954.0,12.425716666666668,0.19428333333333114,35.0,57.0,,6
[TG(52:5)]_FA16:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-12,718.6,599.5,12.3,1723.0,81,FAD131,FAD131_M1,5xFAD,liver,-1,FA16:1,TG(52:5),26,1969.0,12.295716666666667,0.3242833333333319,190.0,171.0,,6
[TG(52:5)]_FA16:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.78,376.0,132,FAD131,FAD131_M2,5xFAD,liver,-1,FA16:1,TG(52:5),22,737.0,12.78125,0.16125000000000078,35.0,27.0,0.38,7
[TG(52:5)]_FA16:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,788.7,599.5,12.64,44874.0,307,FAD131,FAD131_M2,5xFAD,liver,-1,FA16:1,TG(52:5),32,49192.0,12.6369,0.01690000000000147,6147.0,5736.0,0.38,7
[TG(52:5)]_FA16:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,760.7,599.5,12.73,20182.0,182,FAD131,FAD131_M2,5xFAD,liver,-1,FA16:1,TG(52:5),37,20182.0,12.733616666666668,0.11361666666666892,2435.0,2151.0,0.38,7
[TG(52:5)]_FA16:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.74,267.0,133,FAD131,FAD131_M4,5xFAD,liver,-1,FA16:1,TG(52:5),23,665.0,12.781233333333335,0.16123333333333534,13.0,0.0,0.05,8
[TG(52:5)]_FA16:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,788.7,599.5,12.64,31804.0,308,FAD131,FAD131_M4,5xFAD,liver,-1,FA16:1,TG(52:5),33,31804.0,12.63715,0.017150000000000887,3375.0,3347.0,0.05,8
[TG(52:5)]_FA16:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,760.7,599.5,12.69,6253.0,183,FAD131,FAD131_M4,5xFAD,liver,-1,FA16:1,TG(52:5),38,6253.0,12.689183333333334,0.06918333333333493,182.0,160.0,0.05,8
[TG(52:5)]_FA16:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.43,292.0,134,FAD173,FAD173_M1,5xFAD,liver,-1,FA16:1,TG(52:5),24,954.0,12.42575,0.19424999999999848,18.0,10.0,0.28,9
[TG(52:5)]_FA16:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,788.7,599.5,12.64,50976.0,309,FAD173,FAD173_M1,5xFAD,liver,-1,FA16:1,TG(52:5),34,50976.0,12.636916666666668,0.01691666666666869,5904.0,5620.0,0.28,9
[TG(52:5)]_FA16:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,760.7,599.5,12.69,16993.0,184,FAD173,FAD173_M1,5xFAD,liver,-1,FA16:1,TG(52:5),39,16993.0,12.689216666666667,0.06921666666666759,1682.0,1583.0,0.28,9
"[TG(55:11),TG(54:4)]_FA16:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,818.7,629.5,14.98,6641.0,450,DOD73,DOD73_M2,5xFAD,liver,-1,FA16:1,"TG(54:4), TG(55:11)",134,10225.0,14.981583333333335,0.011583333333334167,642.0,636.0,0.0,26
"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,818.7,629.5,14.94,12478.0,451,FAD131,FAD131_M1,5xFAD,liver,-1,FA16:1,"TG(54:4), TG(55:11)",135,12478.0,14.936916666666667,0.0330833333333338,1335.0,1016.0,0.12,27
"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,790.7,629.5,15.08,1716.0,321,FAD131,FAD131_M1,5xFAD,liver,-1,FA16:1,"TG(54:4), TG(55:11)",140,1752.0,15.078366666666668,0.10836666666666694,73.0,127.0,0.12,27
"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,818.7,629.5,14.94,10225.0,452,FAD131,FAD131_M2,5xFAD,liver,-1,FA16:1,"TG(54:4), TG(55:11)",136,10225.0,14.936933333333334,0.03306666666666658,1324.0,1361.0,0.0,28
"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,790.7,629.5,14.99,577.0,322,FAD131,FAD131_M2,5xFAD,liver,-1,FA16:1,"TG(54:4), TG(55:11)",141,2796.0,15.033966666666668,0.0639666666666674,19.0,0.0,0.0,28
"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,818.7,629.5,14.94,4048.0,453,FAD131,FAD131_M4,5xFAD,liver,-1,FA16:1,"TG(54:4), TG(55:11)",137,4048.0,14.937183333333333,0.03281666666666716,402.0,397.0,0.0,29
"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,818.7,629.5,14.94,9752.0,454,FAD173,FAD173_M1,5xFAD,liver,-1,FA16:1,"TG(54:4), TG(55:11)",138,12478.0,14.936950000000001,0.03304999999999936,1056.0,1061.0,0.0,30
"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,790.7,629.5,15.03,185.0,324,FAD173,FAD173_M1,5xFAD,liver,-1,FA16:1,"TG(54:4), TG(55:11)",143,1752.0,15.033983333333333,0.06398333333333284,14.0,0.0,0.0,30
"[TG(56:7),]_FA16:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,840.8,651.6,12.89,1356.0,520,DOD73,DOD73_M2,5xFAD,liver,-1,FA16:1,TG(56:7),274,1568.0,12.890016666666668,0.119983333333332,107.0,126.0,0.0,60
"[TG(56:7),]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,840.8,651.6,12.93,1283.0,521,FAD131,FAD131_M1,5xFAD,liver,-1,FA16:1,TG(56:7),275,1283.0,12.934183333333333,0.07581666666666642,239.0,265.0,0.13,61
"[TG(56:7),]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,812.8,651.6,13.03,808.0,421,FAD131,FAD131_M1,5xFAD,liver,-1,FA16:1,TG(56:7),280,808.0,13.02945,0.019450000000000855,44.0,34.0,0.13,61
"[TG(56:7),]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,840.8,651.6,13.07,1568.0,522,FAD131,FAD131_M2,5xFAD,liver,-1,FA16:1,TG(56:7),276,1568.0,13.067683333333333,0.05768333333333331,223.0,201.0,0.43,62
"[TG(56:7),]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,812.8,651.6,13.12,1275.0,422,FAD131,FAD131_M2,5xFAD,liver,-1,FA16:1,TG(56:7),281,1275.0,13.118283333333334,0.1082833333333344,104.0,87.0,0.43,62
"[TG(56:7),]_FA16:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,840.8,651.6,13.07,484.0,523,FAD131,FAD131_M4,5xFAD,liver,-1,FA16:1,TG(56:7),277,577.0,12.978583333333335,0.031416666666665094,51.0,64.0,0.0,63
"[TG(56:7),]_FA16:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,840.8,651.6,12.98,1008.0,524,FAD173,FAD173_M1,5xFAD,liver,-1,FA16:1,TG(56:7),278,1283.0,12.978616666666667,0.03138333333333243,95.0,122.0,0.89,64
"[TG(56:7),]_FA16:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,812.8,651.6,12.99,689.0,424,FAD173,FAD173_M1,5xFAD,liver,-1,FA16:1,TG(56:7),283,808.0,12.985066666666667,0.024933333333333252,72.0,109.0,0.89,64
[TG(50:3)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,764.7,547.5,13.89,1214.0,195,DOD73,DOD73_M2,5xFAD,liver,-1,FA18:1,TG(50:3),10,4463.0,13.887266666666667,0.0627333333333322,163.0,86.0,19.45,0
[TG(50:3)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,736.7,547.5,13.94,13197.0,105,DOD73,DOD73_M2,5xFAD,liver,-1,FA18:1,TG(50:3),15,44610.0,13.937266666666668,0.012733333333331487,1758.0,1673.0,19.45,0
[TG(50:3)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-10,722.7,547.5,14.03,472.0,86,FAD131,FAD131_M1,5xFAD,liver,-1,FA18:1,TG(50:3),1,559.0,14.027283333333335,0.07728333333333559,41.0,16.0,15.6,1
[TG(50:3)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,764.7,547.5,13.93,2417.0,196,FAD131,FAD131_M1,5xFAD,liver,-1,FA18:1,TG(50:3),11,2417.0,13.931683333333334,0.018316666666665427,359.0,204.0,15.6,1
[TG(50:3)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,736.7,547.5,13.98,32075.0,106,FAD131,FAD131_M1,5xFAD,liver,-1,FA18:1,TG(50:3),16,32075.0,13.981683333333335,0.031683333333335284,3778.0,3183.0,15.6,1
[TG(50:3)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,764.7,547.5,13.93,4463.0,197,FAD131,FAD131_M2,5xFAD,liver,-1,FA18:1,TG(50:3),12,4463.0,13.931700000000001,0.018299999999998207,635.0,547.0,9.88,2
[TG(50:3)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,736.7,547.5,13.98,44610.0,107,FAD131,FAD131_M2,5xFAD,liver,-1,FA18:1,TG(50:3),17,44610.0,13.9817,0.03170000000000073,5757.0,5407.0,9.88,2
[TG(50:3)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,764.7,547.5,13.93,881.0,198,FAD131,FAD131_M4,5xFAD,liver,-1,FA18:1,TG(50:3),13,1084.0,13.887283333333334,0.06271666666666498,51.0,29.0,25.52,3
[TG(50:3)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,736.7,547.5,13.98,7339.0,108,FAD131,FAD131_M4,5xFAD,liver,-1,FA18:1,TG(50:3),18,7339.0,13.981683333333335,0.031683333333335284,842.0,740.0,25.52,3
[TG(50:3)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,764.7,547.5,13.89,1142.0,199,FAD173,FAD173_M1,5xFAD,liver,-1,FA18:1,TG(50:3),14,2417.0,13.887300000000002,0.06269999999999776,142.0,161.0,13.05,4
[TG(50:3)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,736.7,547.5,13.94,15215.0,109,FAD173,FAD173_M1,5xFAD,liver,-1,FA18:1,TG(50:3),19,32075.0,13.9373,0.012699999999998823,2153.0,2101.0,13.05,4
"[TG(52:7),]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,756.7,567.5,17.0,952.0,162,FAD131,FAD131_M2,5xFAD,liver,-1,FA18:1,TG(52:7),63,952.0,16.997566666666668,0.022433333333331973,93.0,115.0,,10
[TG(54:5)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-10,774.6,599.5,13.84,202.0,230,DOD73,DOD73_M2,5xFAD,liver,-1,FA18:1,TG(54:5),64,774.0,13.840516666666668,0.019483333333331743,29.0,25.0,10.67,11
[TG(54:5)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.78,5788.0,435,DOD73,DOD73_M2,5xFAD,liver,-1,FA18:1,TG(54:5),74,12026.0,13.783183333333334,0.07681666666666587,415.0,405.0,10.67,11
[TG(54:5)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.84,38262.0,305,DOD73,DOD73_M2,5xFAD,liver,-1,FA18:1,TG(54:5),79,58631.0,13.836116666666667,0.023883333333332146,4176.0,4322.0,10.67,11
[TG(54:5)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.83,9143.0,436,FAD131,FAD131_M1,5xFAD,liver,-1,FA18:1,TG(54:5),75,9143.0,13.8276,0.032399999999999096,1065.0,1048.0,5.01,12
[TG(54:5)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.88,52768.0,306,FAD131,FAD131_M1,5xFAD,liver,-1,FA18:1,TG(54:5),80,52768.0,13.880266666666667,0.020266666666667987,5778.0,5254.0,5.01,12
[TG(54:5)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-10,774.6,599.5,13.88,588.0,232,FAD131,FAD131_M2,5xFAD,liver,-1,FA18:1,TG(54:5),66,774.0,13.88495,0.024950000000000472,50.0,21.0,4.88,13
[TG(54:5)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.78,12026.0,437,FAD131,FAD131_M2,5xFAD,liver,-1,FA18:1,TG(54:5),76,12026.0,13.7832,0.07679999999999865,1240.0,1130.0,4.88,13
[TG(54:5)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.88,58631.0,307,FAD131,FAD131_M2,5xFAD,liver,-1,FA18:1,TG(54:5),81,58631.0,13.880283333333335,0.020283333333335207,6881.0,5518.0,4.88,13
[TG(54:5)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-10,774.6,599.5,13.88,486.0,233,FAD131,FAD131_M4,5xFAD,liver,-1,FA18:1,TG(54:5),67,486.0,13.884933333333334,0.024933333333335028,33.0,14.0,6.7,14
[TG(54:5)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.78,5135.0,438,FAD131,FAD131_M4,5xFAD,liver,-1,FA18:1,TG(54:5),77,5135.0,13.7832,0.07679999999999865,376.0,401.0,6.7,14
[TG(54:5)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.88,30665.0,308,FAD131,FAD131_M4,5xFAD,liver,-1,FA18:1,TG(54:5),82,30665.0,13.880533333333334,0.020533333333334625,3350.0,2687.0,6.7,14
[TG(54:5)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-10,774.6,599.5,13.93,159.0,234,FAD173,FAD173_M1,5xFAD,liver,-1,FA18:1,TG(54:5),68,442.0,13.929366666666667,0.06936666666666724,19.0,7.0,10.34,15
[TG(54:5)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.78,8106.0,439,FAD173,FAD173_M1,5xFAD,liver,-1,FA18:1,TG(54:5),78,9143.0,13.783216666666668,0.07678333333333143,536.0,464.0,10.34,15
[TG(54:5)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.84,45432.0,309,FAD173,FAD173_M1,5xFAD,liver,-1,FA18:1,TG(54:5),83,52768.0,13.8359,0.0240999999999989,4712.0,4800.0,10.34,15
[TG(54:6)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,814.7,597.5,12.76,597.0,425,DOD73,DOD73_M2,5xFAD,liver,-1,FA18:1,TG(54:6),94,1439.0,12.762400000000001,0.012400000000001299,86.0,50.0,22.66,16
[TG(54:6)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,786.7,597.5,12.77,10734.0,300,DOD73,DOD73_M2,5xFAD,liver,-1,FA18:1,TG(54:6),99,10734.0,12.77065,0.020649999999999835,1309.0,1133.0,22.66,16
[TG(54:6)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,814.7,597.5,12.72,1291.0,426,FAD131,FAD131_M1,5xFAD,liver,-1,FA18:1,TG(54:6),95,1291.0,12.718016666666667,0.03198333333333281,167.0,135.0,8.19,17
[TG(54:6)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,786.7,597.5,12.82,10041.0,301,FAD131,FAD131_M1,5xFAD,liver,-1,FA18:1,TG(54:6),100,10041.0,12.815083333333334,0.06508333333333383,1094.0,1106.0,8.19,17
[TG(54:6)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,814.7,597.5,12.76,1439.0,427,FAD131,FAD131_M2,5xFAD,liver,-1,FA18:1,TG(54:6),96,1439.0,12.762433333333334,0.012433333333333962,205.0,195.0,4.51,18
[TG(54:6)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,786.7,597.5,12.77,7895.0,302,FAD131,FAD131_M2,5xFAD,liver,-1,FA18:1,TG(54:6),101,10734.0,12.770683333333334,0.020683333333334275,802.0,880.0,4.51,18
