Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Match_Group,Correct_RT,Max_Intensity,Cage,Mouse,Genotype,Biology,FAC,TG,Group,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,SLBG_group
[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.74,419.0,130,11.67,1444.0,DOD73,DOD73_M2,5xFAD,liver,FA16:1,TG(52:5),20,12.74,0.120000000000001,20.0,43.0,0.13,5
[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,788.7,599.5,12.64,49192.0,305,12.64,49192.0,DOD73,DOD73_M2,5xFAD,liver,FA16:1,TG(52:5),30,12.64,0.02000000000000135,4785.0,4721.0,0.13,5
[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,760.7,599.5,12.69,5585.0,180,12.69,5585.0,DOD73,DOD73_M2,5xFAD,liver,FA16:1,TG(52:5),35,12.69,0.07000000000000028,635.0,614.0,0.13,5
[TG(52:5)]_FA16:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.43,439.0,131,11.72,1623.0,FAD131,FAD131_M1,5xFAD,liver,FA16:1,TG(52:5),21,12.43,0.1899999999999995,40.0,34.0,6.91,6
[TG(52:5)]_FA16:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,788.7,599.5,12.59,9876.0,306,13.88,52768.0,FAD131,FAD131_M1,5xFAD,liver,FA16:1,TG(52:5),31,12.59,0.02999999999999936,201.0,201.0,6.91,6
[TG(52:5)]_FA16:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,760.7,599.5,12.73,14527.0,181,12.73,14527.0,FAD131,FAD131_M1,5xFAD,liver,FA16:1,TG(52:5),36,12.73,0.11000000000000121,1529.0,1389.0,6.91,6
[TG(52:5)]_FA16:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.78,376.0,132,11.67,1624.0,FAD131,FAD131_M2,5xFAD,liver,FA16:1,TG(52:5),22,12.78,0.16000000000000014,31.0,14.0,0.38,7
[TG(52:5)]_FA16:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,788.7,599.5,12.64,44874.0,307,13.88,58631.0,FAD131,FAD131_M2,5xFAD,liver,FA16:1,TG(52:5),32,12.64,0.02000000000000135,6089.0,5734.0,0.38,7
[TG(52:5)]_FA16:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,760.7,599.5,12.73,20182.0,182,12.73,20182.0,FAD131,FAD131_M2,5xFAD,liver,FA16:1,TG(52:5),37,12.73,0.11000000000000121,2483.0,2164.0,0.38,7
[TG(52:5)]_FA16:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.78,360.0,133,12.96,665.0,FAD131,FAD131_M4,5xFAD,liver,FA16:1,TG(52:5),23,12.78,0.16000000000000014,29.0,13.0,0.2,8
