Lipid,Class,DOD73-5xFAD-M2liver_x,FAD131-5xFAD-M1liver_x,FAD131-5xFAD-M2liver_x,FAD131-5xFAD-M4liver_x,FAD173-5xFAD-M1liver_x,DOD73-5xFAD-M2liver_y,FAD131-5xFAD-M1liver_y,FAD131-5xFAD-M2liver_y,FAD131-5xFAD-M4liver_y,FAD173-5xFAD-M1liver_y,blank_033123,Title1,Title2,Title,length1,length2,Blank_name
C28:0,FA,9509.200622558594,8957.880760192871,8603.660606384277,7908.40047454834,9930.70068359375,9509.200622558594,8957.880760192871,8603.660606384277,7908.40047454834,9930.70068359375,7490.180568695068,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
C34:0,FA,4688.840328216553,5685.300399780273,4910.900318145752,5078.140312194824,4569.480339050293,4688.840328216553,5685.300399780273,4910.900318145752,5078.140312194824,4569.480339050293,4113.740310668945,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
"Cer(d14:2(4E,6E)/16:0)",Cer,9602.800636291504,10676.380744934082,10004.140781402588,9362.640663146973,10919.260772705078,9602.800636291504,10676.380744934082,10004.140781402588,9362.640663146973,10919.260772705078,9271.500667572021,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
"Cer(d14:2(4E,6E)/18:1(9Z))",Cer,8877.34058380127,9065.98062133789,8242.180576324463,9463.62068939209,8823.32063293457,8877.34058380127,9065.98062133789,8242.180576324463,9463.62068939209,8823.32063293457,9305.580654144287,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
"Cer(d14:2(4E,6E)/20:1(11Z))",Cer,9588.000774383545,8384.140560150146,9394.840728759766,9376.880599975586,10126.280773162842,9588.000774383545,8384.140560150146,9394.840728759766,9376.880599975586,10126.280773162842,7719.740535736084,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:0/14:0),Cer,25765.101806640625,27174.66177368164,27573.721923828125,33188.58248901367,28044.021850585938,25765.101806640625,27174.66177368164,27573.721923828125,33188.58248901367,28044.021850585938,34274.90231323242,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:0/16:0),Cer,58309.224060058594,60306.48455810547,56995.40399169922,58995.843994140625,58613.80438232422,58309.224060058594,60306.48455810547,56995.40399169922,58995.843994140625,58613.80438232422,56594.28405761719,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:0/18:0),Cer,24366.841735839844,22575.58154296875,25362.461791992188,24789.76187133789,24749.58187866211,24366.841735839844,22575.58154296875,25362.461791992188,24789.76187133789,24749.58187866211,23245.48162841797,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:0/20:0),Cer,26695.201568603516,27162.281951904297,27039.78204345703,24958.421905517578,25847.02197265625,26695.201568603516,27162.281951904297,27039.78204345703,24958.421905517578,25847.02197265625,25149.04183959961,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:0/22:0),Cer,27776.181610107422,26963.74200439453,29960.862182617188,23600.981903076172,26645.24203491211,27776.181610107422,26963.74200439453,29960.862182617188,23600.981903076172,26645.24203491211,26890.841842651367,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:0/24:0),Cer,73688.32458496094,74258.60498046875,69665.18505859375,66611.94506835938,71716.94543457031,73688.32458496094,74258.60498046875,69665.18505859375,66611.94506835938,71716.94543457031,66752.74438476562,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:0/26:0),Cer,37811.342834472656,40761.34289550781,41659.062927246094,40781.38299560547,39170.762634277344,37811.342834472656,40761.34289550781,41659.062927246094,40781.38299560547,39170.762634277344,39880.14288330078,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Cer(d18:0/h24:0),Cer,66100.90417480469,71615.50500488281,64478.46472167969,66853.72485351562,69527.86511230469,66100.90417480469,71615.50500488281,64478.46472167969,66853.72485351562,69527.86511230469,64089.364990234375,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
