Lipid,Class,DOD73-5xFAD-M2liver,FAD173-5xFAD-M1liver,blank_033123,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,333833.80224609375,405221.28759765625,447168.9921875,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"(11Z,14Z)-eicosadienoylcarnitine",CAR,323973.94287109375,393336.70947265625,435177.21435546875,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"(13Z,16Z)-docosadienoylcarnitine",CAR,228522.23498535156,267345.19873046875,261170.6397705078,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,339255.2021484375,329208.5830078125,284662.72021484375,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,173395.271484375,216482.55639648438,196940.693359375,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,212029.17529296875,258782.97802734375,246472.37866210938,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
1-O-behenoyl-Cer(d18:1/16:0),Cer,34993.262214660645,35531.70199584961,7376.800495147705,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
1-O-carboceroyl-Cer(d18:1/16:0),Cer,113573.20904159546,188823.78869247437,8982.840637207031,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
1-O-carboceroyl-Cer(d18:1/18:0),Cer,7887.820468902588,8970.620422363281,5592.080406188965,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
1-O-cerotoyl-Cer(d18:1/16:0),Cer,56626.68326950073,91505.28868865967,7552.680511474609,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
1-O-cerotoyl-Cer(d18:1/18:0),Cer,16180.161041259766,29125.741970062256,7564.720527648926,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,11178.260723114014,11770.480796813965,8472.50059890747,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,128046.36904907227,214795.79314422607,8005.880531311035,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
1-O-myristoyl-Cer(d18:1/16:0),Cer,11886.22095489502,12056.160987854004,12314.460899353027,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
1-O-palmitoyl-Cer(d18:1/16:0),Cer,10560.500732421875,11511.2407913208,10434.58071899414,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
1-O-stearoyl-Cer(d18:1/16:0),Cer,12832.000988006592,12726.080932617188,11821.82080078125,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,135550.37031173706,214653.89820480347,8560.020622253418,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,5155.200401306152,4959.780361175537,4343.480308532715,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
14:0 Cholesteryl ester,CE,138263.32962036133,126091.40902709961,123091.90844726562,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,433084.33026123047,360613.8235473633,330769.78497314453,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
15:0 Cholesteryl ester,CE,500697.69384765625,403107.68908691406,379115.02587890625,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,535552.8375244141,444289.94982910156,403975.4073486328,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
15:1 Cholesteryl ester,CE,508496.5587158203,401359.5675048828,368784.46643066406,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,199009.5545654297,210059.57421875,184656.43280029297,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,540818.5389404297,451788.1934814453,407136.2296142578,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,294205.46014404297,399530.48626708984,180045.8325805664,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,294389.98150634766,393576.3296508789,181603.4130859375,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,195411.3134765625,203038.95428466797,184101.59344482422,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,280052.52032470703,394342.8669433594,183293.69299316406,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,288172.8215332031,387639.5881958008,178416.7725830078,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,818257.2954101562,754986.5549316406,659491.0073242188,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",CE,744249.513671875,683648.2700195312,593079.9626464844,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",CE,526446.7568359375,500443.7147216797,414314.4288330078,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
20:5 Cholesteryl ester,CE,265705.45834350586,271957.861907959,168557.25271606445,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",CE,199579.47518920898,261169.54040527344,109438.70770263672,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",CE,205946.43334960938,263308.8188018799,115260.68829345703,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",CE,760286.1535644531,756955.7144775391,574971.3216552734,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
22:5 Cholesteryl ester,CE,833841.4395751953,820390.6998291016,641116.5880126953,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
22:6 Cholesteryl ester,CE,839506.5385742188,822591.9149169922,646255.2060546875,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",CE,824907.5374908447,543776.3345565796,528169.9987487793,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",CAR,205186.65600585938,252873.6591796875,242191.39892578125,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",CAR,1152357.54296875,1485295.001953125,1345145.1572265625,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",CAR,331735.22265625,403509.2646484375,439075.671875,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
C12:0,FA,25020.86181640625,21423.401489257812,17639.9813079834,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
C12:1,FA,33992.34246826172,34995.642578125,31020.40203857422,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
C14:1,FA,319819.1005859375,307396.82080078125,283582.53955078125,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
C18:0,FA,74532.82543945312,56996.963623046875,49152.943603515625,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
C19:0,FA,107847.40795898438,82008.18530273438,69740.76489257812,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
C20:0,FA,51124.023498535156,102983.40768051147,120349.2088508606,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
C20:1,FA,50567.26362609863,61857.70422363281,51022.683654785156,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
C22:0,FA,69413.66516113281,61859.204833984375,53336.70373535156,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
C22:1,FA,30213.10223388672,28434.641967773438,27585.261749267578,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
C22:4,FA,40848.32287597656,33471.282344818115,28216.942092895508,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
C24:0,FA,16464.14109802246,14924.441024780273,12405.920883178711,Cage: DOD73,Cage: FAD173,Cage: DOD73 vs Cage: FAD173Extra Name,1,1,blank_033123
