Lipid,Class,FAD173-5xFAD-M1liver,FAD131-5xFAD-M1liver,FAD131-5xFAD-M2liver,FAD131-5xFAD-M4liver,blank_033123,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,405221.28759765625,330179.2646484375,360457.18359375,340042.5224609375,447168.9921875,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"(11Z,14Z)-eicosadienoylcarnitine",CAR,393336.70947265625,312251.02392578125,344173.2451171875,322782.0625,435177.21435546875,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"(13Z,16Z)-docosadienoylcarnitine",CAR,267345.19873046875,220136.9151611328,241193.7977294922,231012.71716308594,261170.6397705078,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,329208.5830078125,266274.33740234375,310373.0419921875,272216.9201660156,284662.72021484375,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,216482.55639648438,171719.25268554688,185115.91381835938,179216.03247070312,196940.693359375,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,258782.97802734375,203605.61474609375,223207.55737304688,211958.2744140625,246472.37866210938,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
1-O-behenoyl-Cer(d18:1/16:0),Cer,35531.70199584961,49269.7829246521,65962.30405426025,11506.880954742432,7376.800495147705,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
1-O-carboceroyl-Cer(d18:1/16:0),Cer,188823.78869247437,235828.2760810852,286637.5709724426,26846.222297668457,8982.840637207031,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
1-O-carboceroyl-Cer(d18:1/18:0),Cer,8970.620422363281,10345.180625915527,10388.600868225098,4972.780319213867,5592.080406188965,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
1-O-cerotoyl-Cer(d18:1/16:0),Cer,91505.28868865967,118284.70900344849,124009.04661560059,21522.681526184082,7552.680511474609,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
1-O-cerotoyl-Cer(d18:1/18:0),Cer,29125.741970062256,30063.662281036377,28952.962230682373,10819.9807472229,7564.720527648926,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,11770.480796813965,12303.560836791992,12328.060791015625,9729.480697631836,8472.50059890747,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,214795.79314422607,237023.6909790039,280851.90058898926,27560.402072906494,8005.880531311035,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
1-O-myristoyl-Cer(d18:1/16:0),Cer,12056.160987854004,10779.68073272705,13350.980964660645,10098.280784606934,12314.460899353027,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
1-O-palmitoyl-Cer(d18:1/16:0),Cer,11511.2407913208,11993.200759887695,11152.820747375488,9148.94063949585,10434.58071899414,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
1-O-stearoyl-Cer(d18:1/16:0),Cer,12726.080932617188,14251.620956420898,13927.140914916992,12235.580841064453,11821.82080078125,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,214653.89820480347,242584.0573272705,295372.82263565063,26276.462158203125,8560.020622253418,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,4959.780361175537,5557.080352783203,5012.480361938477,4540.9603271484375,4343.480308532715,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
14:0 Cholesteryl ester,CE,126091.40902709961,131750.8491821289,125663.4089050293,129830.98937988281,123091.90844726562,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,360613.8235473633,386755.9862060547,426680.9898071289,481075.57385253906,330769.78497314453,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
15:0 Cholesteryl ester,CE,403107.68908691406,423330.630859375,465915.3526611328,535240.1566162109,379115.02587890625,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,444289.94982910156,481713.9729003906,498225.01708984375,579250.8642578125,403975.4073486328,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
15:1 Cholesteryl ester,CE,401359.5675048828,438516.2509765625,455777.6730957031,537842.7579956055,368784.46643066406,Cage: FAD173,Cage: FAD131,Cage: FAD173 vs Cage: FAD131Extra Name,1,3,blank_033123
