Lipid,Class,FAD185_M1_Male_5xFAD_cortex ,FAD185_M3_Male_5xFAD_cortex ,FAD189_M1_Male_5xFAD_cortex ,FAD189_M2_Male_5xFAD_cortex ,FAD185_M4_Male_WT_cortex ,FAD189_M3_Male_WT_cortex ,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(10:0)_QUAL,CAR,1471178.2422294617,1420216.2540550232,1469332.7677192688,1504513.7513008118,1553006.9069480896,1552883.4630699158,1358931.08203125,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:1),CAR,456883.1327896118,465105.2358818054,458949.93338775635,462073.65295410156,472870.6527290344,465064.4133415222,634009.9052734375,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:1)_QUAL,CAR,1161861.2991142273,1133688.3053627014,1159647.3601074219,1178396.0200195312,1223388.7229423523,1205198.602191925,1046036.49609375,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:2),CAR,466466.7318916321,460608.39392089844,473931.9167480469,477851.7532348633,477107.171875,486582.8288574219,642041.1708984375,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:2)_QUAL,CAR,686649.5900878906,652079.5024414062,665449.4080810547,632789.7221069336,639425.8439941406,651245.6447753906,585456.421875,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:3),CAR,467282.83181762695,451108.0492782593,459617.4909515381,461934.0142211914,465020.26988220215,472539.2971191406,611447.3291015625,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,746274.6158752441,682222.3889465332,736102.3311386108,659423.4671554565,670706.4097900391,702346.127243042,633677.9819335938,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(11:0),CAR,217638.55546569824,220808.29425430298,215391.51430511475,219324.81494140625,228364.27590179443,222769.0371246338,307762.5842285156,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(11:0)_QUAL,CAR,934787.2282104492,918568.4296531677,939842.6645050049,949083.5850601196,971594.3958740234,989258.5668106079,870968.1220703125,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(12:0),CAR,6607863.245319366,6664555.5596961975,6635573.870006561,6636016.132194519,6697081.9528160095,6676301.0075035095,6397297.76171875,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(12:0)_QUAL,CAR,1231349.6988372803,1221284.5914916992,1306356.8415679932,1193412.1874275208,1241054.7493286133,1213965.2067642212,1316580.955078125,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:0),CAR,341709.0861778259,339953.44495010376,334817.0441246033,338206.9849281311,354997.76723480225,339063.7844963074,372286.30517578125,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,727281.4342269897,761418.1294593811,741924.6730957031,751814.8503990173,764294.6153945923,748432.934261322,886736.28125,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:1),CAR,347182.0241088867,358554.5650444031,343123.0645942688,346077.24448013306,366983.22721481323,361806.10680389404,368998.52587890625,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,724341.1519584656,733591.5547332764,719726.5105552673,758138.393913269,756387.4721946716,754983.6320800781,902707.2607421875,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:2),CAR,381633.790145874,381604.8462371826,378694.58573150635,378606.2049293518,391972.246257782,382274.2672729492,397565.60986328125,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,767176.1962928772,789051.5732498169,774223.9913330078,761149.5116081238,802263.0186004639,808655.4323120117,898668.984375,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:0),CAR,251473.47735977173,255412.83624649048,250881.0977783203,247474.23796463013,255909.8370552063,260033.4383468628,283562.06005859375,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,761272.3086395264,757181.172039032,763946.3106689453,721392.4711380005,714538.5910606384,742535.4524078369,743383.630859375,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:1),CAR,238651.93688964844,247915.0375175476,235559.25829696655,240942.0760192871,256811.7780532837,249647.53729248047,271161.9794921875,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:1)_QUAL,CAR,758423.3161010742,721346.4516448975,812565.5787582397,735076.952545166,703302.6930923462,754551.427898407,740003.9345703125,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:2),CAR,243046.63777923584,242045.73767089844,235517.69748687744,232855.4962463379,251063.47832870483,248387.97706222534,256414.337890625,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:2)_QUAL,CAR,701309.7100067139,716002.735786438,733708.4512557983,684801.8274307251,688396.1675071716,689735.8322143555,720453.970703125,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(17:0),CAR,1353571.8726654053,1272498.4499282837,1295091.9070358276,1300291.628364563,1404791.521724701,1350500.256099701,1142501.9833984375,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(17:0)_QUAL,CAR,539171.1168403625,537797.8213729858,535650.5117263794,540114.2405166626,565967.7417640686,566670.0461387634,595367.421875,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:0),CAR,3212707.112350464,3266554.9107894897,3156970.6100082397,3147100.541255951,3499383.6750068665,3332275.1471939087,3204698.263671875,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:0)_QUAL,CAR,702674.0927810669,704641.5527000427,682358.8477783203,700399.5262145996,733856.613407135,733271.0139122009,760985.4560546875,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:1),CAR,3163711.5511016846,3209502.482975006,3061767.8464126587,3129870.37625885,3355950.292663574,3248227.794692993,3208659.5,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:1)_QUAL,CAR,684254.9703979492,680631.1444206238,659237.9448890686,681394.0701217651,728707.2491493225,684351.1671180725,735194.3125,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:2),CAR,3233295.9546928406,3293080.086883545,3153841.6593818665,3171208.575946808,3450073.6081314087,3378507.9884414673,3252238.28515625,Genotype: 5xFAD | Brain Region: cortex  | Sex: Male,Genotype: WT | Brain Region: cortex  | Sex: Male,Genotype: 5xFAD__Brain Region: cortex __Sex: Male vs Genotype: WT__Brain Region: cortex __Sex: Male,4,2,Blank_Blank_Blank_Blank_Blank
