,Unnamed: 0,Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,Unnamed: 0.1,n-7,n-9,n-10,n-12,db_pos
5,65720,TAG,[TG(50:3)]_FA18:1,522.0,846.8,547.5,18.35,11282023_DOD94_F3_WT_cereb_O3on_01,846.8 -> 547.5,65720,764.8,736.8,722.8,694.8,
601,12240,,[TG(50:3)]_FA18:1,549.0,736.7,547.5,18.6,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12240,654.7,626.7,612.7,584.7,n-9
602,12240,,[TG(50:3)]_FA18:1,549.0,736.7,547.5,18.6,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12240,654.7,626.7,612.7,584.7,n-9
603,12240,,[TG(50:3)]_FA18:1,549.0,736.7,547.5,18.6,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12240,654.7,626.7,612.7,584.7,n-9
604,12240,,[TG(50:3)]_FA18:1,549.0,736.7,547.5,18.6,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12240,654.7,626.7,612.7,584.7,n-9
605,12240,,[TG(50:3)]_FA18:1,549.0,736.7,547.5,18.6,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12240,654.7,626.7,612.7,584.7,n-9
606,12240,,[TG(50:3)]_FA18:1,549.0,736.7,547.5,18.6,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12240,654.7,626.7,612.7,584.7,n-9
607,12240,,[TG(50:3)]_FA18:1,549.0,736.7,547.5,18.6,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12240,654.7,626.7,612.7,584.7,n-9
608,12240,,[TG(50:3)]_FA18:1,549.0,736.7,547.5,18.6,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12240,654.7,626.7,612.7,584.7,n-9
609,12240,,[TG(50:3)]_FA18:1,549.0,736.7,547.5,18.6,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12240,654.7,626.7,612.7,584.7,n-9
