type,Down,Up
CAR,0,0
CE,0,0
Cer,0,0
DAG,5,9
FA,44,0
PC,0,6
PE,1,3
PG,0,2
PI,3,2
PS,0,2
SM,0,0
TAG,25,22
TAG | DAG,0,0
