Lipid,Chain length,DB Number,DB Location,DBs in front,FA mass,[FA+AMP]+,n-1,n-2,n-3,n-4,n-5
FA(7:6),7,6,<BBBBB>,0,118.1,285.2,,,,,
FA(7:6),7,6,<BBBBF>,1,118.1,285.2,,,,,
FA(7:6),7,6,<BBBFF>,2,118.1,285.2,,,,,
FA(7:6),7,6,<BBFFF>,3,118.1,285.2,,,,,
FA(7:6),7,6,<BFFFF>,4,118.1,285.2,,,,,
FA(7:6),7,6,<FFFFF>,5,118.1,285.2,,,,,
FA(7:5),7,5,<BBBB>,0,120.1,287.2,289.2,,,,
FA(7:5),7,5,<BBBF>,1,120.1,287.2,,277.2,,,
FA(7:5),7,5,<BBFF>,2,120.1,287.2,,,265.2,,
FA(7:5),7,5,<BFFF>,3,120.1,287.2,,,,253.2,
FA(7:5),7,5,<FFFF>,4,120.1,287.2,,,,,241.2
FA(7:4),7,4,<BBB>,0,122.1,289.2,291.2,277.2,,,
FA(7:4),7,4,<BBF>,1,122.1,289.2,,279.2,265.2,,
FA(7:4),7,4,<BFF>,2,122.1,289.2,,,267.2,253.2,
FA(7:4),7,4,<FFF>,3,122.1,289.2,,,,255.2,241.2
FA(7:3),7,3,<BB>,0,124.1,291.2,293.2,279.2,265.2,,
FA(7:3),7,3,<BF>,1,124.1,291.2,,281.2,267.2,253.2,
FA(7:3),7,3,<FF>,2,124.1,291.2,,,269.2,255.2,241.2
FA(7:2),7,2,<B>,0,126.1,293.2,295.2,281.2,267.2,253.2,
FA(7:2),7,2,<F>,1,126.1,293.2,,283.2,269.2,255.2,241.2
FA(7:1),7,1,<>,0,128.1,295.2,297.2,283.2,269.2,255.2,241.2
