Lipid,Chain length,DB Number,DB Location,DBs in front,FA mass,[FA+AMP]+,n-1,n-2,n-3,n-4,n-5,n-6,n-7,n-8,n-9,n-10,n-11,n-12,n-13,n-14,n-15,n-16,n-17
FA(19:6),19,6,<BBBBB>,0,286.2,453.29999999999995,455.29999999999995,441.29999999999995,427.29999999999995,413.29999999999995,399.29999999999995,385.29999999999995,371.29999999999995,357.29999999999995,343.29999999999995,329.29999999999995,315.29999999999995,301.29999999999995,,,,,
FA(19:6),19,6,<BBBBF>,1,286.2,453.29999999999995,,443.29999999999995,429.29999999999995,415.29999999999995,401.29999999999995,387.29999999999995,373.29999999999995,359.29999999999995,345.29999999999995,331.29999999999995,317.29999999999995,303.29999999999995,289.29999999999995,,,,
FA(19:6),19,6,<BBBFF>,2,286.2,453.29999999999995,,,431.29999999999995,417.29999999999995,403.29999999999995,389.29999999999995,375.29999999999995,361.29999999999995,347.29999999999995,333.29999999999995,319.29999999999995,305.29999999999995,291.29999999999995,277.29999999999995,,,
FA(19:6),19,6,<BBFFF>,3,286.2,453.29999999999995,,,,419.29999999999995,405.29999999999995,391.29999999999995,377.29999999999995,363.29999999999995,349.29999999999995,335.29999999999995,321.29999999999995,307.29999999999995,293.29999999999995,279.29999999999995,265.29999999999995,,
FA(19:6),19,6,<BFFFF>,4,286.2,453.29999999999995,,,,,407.29999999999995,393.29999999999995,379.29999999999995,365.29999999999995,351.29999999999995,337.29999999999995,323.29999999999995,309.29999999999995,295.29999999999995,281.29999999999995,267.29999999999995,253.29999999999995,
FA(19:6),19,6,<FFFFF>,5,286.2,453.29999999999995,,,,,,395.29999999999995,381.29999999999995,367.29999999999995,353.29999999999995,339.29999999999995,325.29999999999995,311.29999999999995,297.29999999999995,283.29999999999995,269.29999999999995,255.29999999999995,241.29999999999995
FA(19:5),19,5,<BBBB>,0,288.2,455.29999999999995,457.29999999999995,443.29999999999995,429.29999999999995,415.29999999999995,401.29999999999995,387.29999999999995,373.29999999999995,359.29999999999995,345.29999999999995,331.29999999999995,317.29999999999995,303.29999999999995,289.29999999999995,,,,
FA(19:5),19,5,<BBBF>,1,288.2,455.29999999999995,,445.29999999999995,431.29999999999995,417.29999999999995,403.29999999999995,389.29999999999995,375.29999999999995,361.29999999999995,347.29999999999995,333.29999999999995,319.29999999999995,305.29999999999995,291.29999999999995,277.29999999999995,,,
FA(19:5),19,5,<BBFF>,2,288.2,455.29999999999995,,,433.29999999999995,419.29999999999995,405.29999999999995,391.29999999999995,377.29999999999995,363.29999999999995,349.29999999999995,335.29999999999995,321.29999999999995,307.29999999999995,293.29999999999995,279.29999999999995,265.29999999999995,,
FA(19:5),19,5,<BFFF>,3,288.2,455.29999999999995,,,,421.29999999999995,407.29999999999995,393.29999999999995,379.29999999999995,365.29999999999995,351.29999999999995,337.29999999999995,323.29999999999995,309.29999999999995,295.29999999999995,281.29999999999995,267.29999999999995,253.29999999999995,
FA(19:5),19,5,<FFFF>,4,288.2,455.29999999999995,,,,,409.29999999999995,395.29999999999995,381.29999999999995,367.29999999999995,353.29999999999995,339.29999999999995,325.29999999999995,311.29999999999995,297.29999999999995,283.29999999999995,269.29999999999995,255.29999999999995,241.29999999999995
FA(19:4),19,4,<BBB>,0,290.2,457.29999999999995,459.29999999999995,445.29999999999995,431.29999999999995,417.29999999999995,403.29999999999995,389.29999999999995,375.29999999999995,361.29999999999995,347.29999999999995,333.29999999999995,319.29999999999995,305.29999999999995,291.29999999999995,277.29999999999995,,,
FA(19:4),19,4,<BBF>,1,290.2,457.29999999999995,,447.29999999999995,433.29999999999995,419.29999999999995,405.29999999999995,391.29999999999995,377.29999999999995,363.29999999999995,349.29999999999995,335.29999999999995,321.29999999999995,307.29999999999995,293.29999999999995,279.29999999999995,265.29999999999995,,
FA(19:4),19,4,<BFF>,2,290.2,457.29999999999995,,,435.29999999999995,421.29999999999995,407.29999999999995,393.29999999999995,379.29999999999995,365.29999999999995,351.29999999999995,337.29999999999995,323.29999999999995,309.29999999999995,295.29999999999995,281.29999999999995,267.29999999999995,253.29999999999995,
FA(19:4),19,4,<FFF>,3,290.2,457.29999999999995,,,,423.29999999999995,409.29999999999995,395.29999999999995,381.29999999999995,367.29999999999995,353.29999999999995,339.29999999999995,325.29999999999995,311.29999999999995,297.29999999999995,283.29999999999995,269.29999999999995,255.29999999999995,241.29999999999995
