Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Match_Group,Cage,Mouse,Genotype,Biology,Group_Sample,FAC,TG,Group,Max_Intensity,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,SLBG_group
[TG(52:5)]_FA16:1,11292023_DOD94_F4_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.24,1418.0,1468,DOD94,DOD94_F4,5xFAD,cereb,-1,FA16:1,TG(52:5),48,1418.0,12.2375,0.11249999999999893,211.0,205.0,0.0,8
[TG(52:5)]_FA16:1,11292023_FAD185_M3_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.02,32122.0,1476,FAD185,FAD185_M3,5xFAD,cereb,-1,FA16:1,TG(52:5),49,32122.0,12.015183333333335,0.334816666666665,2813.0,2745.0,0.05,9
[TG(52:5)]_FA16:1,11292023_FAD185_M3_5xFAD_cereb_O3on_01,n-9,760.7,599.5,12.11,1845.0,876,FAD185,FAD185_M3,5xFAD,cereb,-1,FA16:1,TG(52:5),55,1845.0,12.1119,0.2380999999999993,152.0,127.0,0.05,9
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.28,27260.0,1480,FAD189,FAD189_M1,5xFAD,cereb,-1,FA16:1,TG(52:5),50,27260.0,12.281633333333334,0.06836666666666602,3551.0,3417.0,0.06,11
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-9,760.7,599.5,12.42,1812.0,880,FAD189,FAD189_M1,5xFAD,cereb,-1,FA16:1,TG(52:5),56,1812.0,12.422766666666668,0.0727666666666682,257.0,218.0,0.06,11
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-7,788.7,599.5,12.28,30704.0,1481,FAD189,FAD189_M1,5xFAD,cortex,-1,FA16:1,TG(52:5),51,30704.0,12.281616666666666,0.06838333333333324,4033.0,3458.0,0.08,12
[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-9,760.7,599.5,12.33,2195.0,881,FAD189,FAD189_M1,5xFAD,cortex,-1,FA16:1,TG(52:5),57,2195.0,12.333916666666667,0.01608333333333256,276.0,261.0,0.08,12
[TG(52:5)]_FA16:1,11292023_FAD189_M2_5xFAD_cortex_O3on_01,n-7,788.7,599.5,12.02,5244.0,1485,FAD189,FAD189_M2,5xFAD,cortex,-1,FA16:1,TG(52:5),52,5244.0,12.015183333333335,0.334816666666665,398.0,383.0,0.15,13
[TG(52:5)]_FA16:1,11292023_FAD189_M2_5xFAD_cortex_O3on_01,n-9,760.7,599.5,12.11,1003.0,885,FAD189,FAD189_M2,5xFAD,cortex,-1,FA16:1,TG(52:5),58,1003.0,12.111883333333333,0.23811666666666653,84.0,58.0,0.15,13
[TG(52:5)]_FA16:1,11292023_FAD185_M3_5xFAD_dienc_O3on_01,n-7,788.7,599.5,12.02,18752.0,1478,FAD185,FAD185_M3,5xFAD,dienc,-1,FA16:1,TG(52:5),53,18752.0,12.015466666666667,0.3345333333333329,1439.0,1360.0,0.04,10
[TG(52:5)]_FA16:1,11292023_FAD185_M3_5xFAD_dienc_O3on_01,n-9,760.7,599.5,12.11,734.0,878,FAD185,FAD185_M3,5xFAD,dienc,-1,FA16:1,TG(52:5),59,734.0,12.111916666666668,0.2380833333333321,81.0,55.0,0.04,10
