Lipid,Class,DOD100-M1-WT-cerebellum10x_01202023,DOD100-M1-WT-cortex10x_01202023_x,DOD100-M1-WT-diencephalon10x_01202023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,DOD99-M2-WT-cortex10x_01202023_x,DOD99-M2-WT-diencephalon10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,M5FAD173-WT-Cortex10x_01192023_x,M5FAD173-WT-Diencephalon10x_01192023,M5FAD173-WT-Hippo10x_01192023,DOD100-M1-WT-cortex10x_01202023_y,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023_y,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,M5FAD173-WT-Cortex10x_01192023_y,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1410061.365234375,1450974.412109375,1300758.2841796875,1456478.2348632812,1453789.9145507812,1446175.0439453125,1356376.1943359375,1413134.9760742188,1548320.9340820312,1469500.5795898438,1553075.8388671875,1427365.9682617188,1450974.412109375,1461574.3852539062,1395572.740234375,1446175.0439453125,1457662.7182617188,1408961.5532226562,1469500.5795898438,1770335.1005859375,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1408351.625,1464825.83203125,1332756.2084960938,1450859.4833984375,1448199.4814453125,1445031.9301757812,1313436.7885742188,1382104.2397460938,1567602.6728515625,1422254.4301757812,1536662.2856445312,1351883.9409179688,1464825.83203125,1429124.1762695312,1350856.4809570312,1445031.9301757812,1431788.9677734375,1357653.3920898438,1422254.4301757812,1833013.6752929688,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
"(13Z,16Z)-docosadienoylcarnitine",CAR,1334500.4373779297,1547859.026428223,1284612.1057128906,1468483.6235961914,1392547.188293457,1384342.3704833984,1277668.0494384766,1328693.3626708984,2235124.575866699,1401085.4095458984,1509455.984741211,1344775.7668457031,1547859.026428223,1420361.1004638672,1281745.7750854492,1384342.3704833984,1508125.2795410156,1349872.0334472656,1401085.4095458984,1846519.2565917969,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,2215148.1447753906,2341072.076904297,3004035.1204833984,2338786.4896240234,2234323.5102539062,2281951.5776367188,2011026.9294433596,2207064.514526367,2256080.6622314453,2132253.7890625,2188599.0122070312,2303434.271972656,2341072.076904297,2184246.087890625,2205746.576171875,2281951.5776367188,2470854.001464844,2018780.2897949216,2132253.7890625,2077579.7651367188,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,97017264.0888672,75825428.85351562,15439015.444335938,26782130.58300781,62660995.83984375,29749622.64453125,37982357.49316406,71101793.19970703,69671289.73339844,40969587.21484375,18655737.47460937,66282272.07910156,75825428.85351562,29948597.337890625,26648913.84375,29749622.64453125,16632944.549316406,65346110.588378906,40969587.21484375,1785924.2541503906,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1807297.3984375,1808904.2744140625,1685194.9013671875,1825433.856201172,1819888.0288085935,1820135.4990234373,1660596.78125,1740083.2781982422,2113105.662841797,1873401.7072753904,1881966.8132324216,1721781.189453125,1808904.2744140625,1770713.409423828,1717515.307861328,1820135.4990234373,1811327.671875,1667394.3842773438,1873401.7072753904,2578376.07409668,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1186263.4771728516,1355693.1580810547,1148186.4895019531,1245549.2482910156,1201712.4168701172,1244091.2459716797,1091271.1774902344,1155280.1492919922,1592147.222290039,1216621.2817382812,1370722.953857422,1153606.4608154297,1355693.1580810547,1260946.1431884766,1137990.1825561523,1244091.2459716797,1271184.7647705078,1143505.6591796875,1216621.2817382812,1684194.2908935547,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,14309309.020996094,11026079.612304688,25626555.60546875,16846448.53515625,14130034.278320312,19093728.143554688,21029996.70898437,17096836.13671875,13802748.841796877,15453683.57763672,8047711.172851562,17868681.639160156,11026079.612304688,17311510.770996094,20298427.10791016,19093728.143554688,20722991.56201172,21033323.51171875,15453683.57763672,2395006.220703125,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,5710127.011474609,4689957.828857422,8561014.840332031,6432831.161865234,5824302.932617188,7210002.552490234,7636011.399658203,6656555.244384766,5732824.095458984,6411734.287353516,4199385.319580078,6981670.763916016,4689957.828857422,6556788.756103516,7579394.700439453,7210002.552490234,7847061.452392578,7985043.280273437,6411734.287353516,2817110.0759277344,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,13681185.669433594,10508922.293945312,24808766.91748047,16027996.416015623,13360938.161621094,17918375.471679688,19723779.49658203,16234431.17919922,13065989.963378906,14634731.657226562,7436995.044921875,16859631.28076172,10508922.293945312,16470506.173828123,19040901.25390625,17918375.471679688,19527801.96728516,19669121.095703125,14634731.657226562,2155070.9477539062,Genotype: WT | Sex: Male,Brain Region: cortex,Genotype: WT__Sex: Male vs Brain Region: cortexBlank1,12,7,10xBlank_01202023
