Lipid,Class,DOD100-M1-WT-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M5FAD173-WT-Cortex10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1450974.412109375,1446175.0439453125,1469500.5795898438,1456478.2348632812,1413134.9760742188,1427365.9682617188,1770335.1005859375,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1464825.83203125,1445031.9301757812,1422254.4301757812,1450859.4833984375,1382104.2397460938,1351883.9409179688,1833013.6752929688,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"(13Z,16Z)-docosadienoylcarnitine",CAR,1547859.0264282227,1384342.3704833984,1401085.4095458984,1468483.6235961914,1328693.3626708984,1344775.7668457031,1846519.2565917969,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,2341072.076904297,2281951.5776367188,2132253.7890625,2338786.4896240234,2207064.514526367,2303434.2719726562,2077579.7651367188,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,75825428.85351562,29749622.64453125,40969587.21484375,26782130.583007812,71101793.19970703,66282272.07910156,1785924.2541503906,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1808904.2744140625,1820135.4990234375,1873401.7072753906,1825433.8562011719,1740083.2781982422,1721781.189453125,2578376.0740966797,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1355693.1580810547,1244091.2459716797,1216621.2817382812,1245549.2482910156,1155280.1492919922,1153606.4608154297,1684194.2908935547,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,11026079.612304688,19093728.143554688,15453683.577636719,16846448.53515625,17096836.13671875,17868681.639160156,2395006.220703125,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,4689957.828857422,7210002.552490234,6411734.287353516,6432831.161865234,6656555.244384766,6981670.763916016,2817110.0759277344,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,10508922.293945312,17918375.471679688,14634731.657226562,16027996.416015625,16234431.179199219,16859631.28076172,2155070.9477539062,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-behenoyl-Cer(d18:1/16:0),Cer,33323.14264297485,36546.822441101074,39283.802684783936,31600.96230316162,38293.782245635986,37147.423122406006,22294.401321411133,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/16:0),Cer,119585.86815261841,86770.38639831543,115558.20627593994,61262.46444320679,92696.36716842651,134329.46858596802,49086.90395736694,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/18:0),Cer,24480.881874084473,23461.22156906128,21810.941791534424,21668.40147781372,23203.34190750122,21004.281448364258,32565.38228225708,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),Cer,100954.56726074219,83571.66579055786,98255.28512954712,82006.22617340088,104129.10850906372,99503.34856796265,104272.36771011353,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),Cer,304801.284576416,276514.42039108276,285917.71657562256,280969.05976486206,300359.0815124512,259670.51651763916,544596.580368042,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,38517.28271102905,40629.2631149292,37163.8623008728,29833.582180023193,35027.162464141846,34894.54271697998,28402.641986846924,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,104923.82834243774,79647.96742630005,97751.66666412354,54778.024196624756,81422.12617874146,112472.52647018433,19274.341342926025,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),Cer,55029.08363342285,50479.26407623291,45911.8233833313,46942.16307449341,50195.963748931885,49277.52336502075,43334.30277252197,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),Cer,41975.34289932251,43672.76354598999,43771.94339752197,41863.74258804321,41158.282787323,40904.52328491211,50665.82361602783,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-stearoyl-Cer(d18:1/16:0),Cer,44340.323066711426,49289.16366195679,44351.12351226807,34317.60231781006,35969.52249908447,40138.9030418396,32940.40257644653,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,45042.482692718506,47179.88382720947,49861.92351913452,36280.562450408936,43573.80286026001,47277.84367752075,21537.66153717041,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,13229.820877075195,10774.420791625977,11459.260730743408,10864.320823669434,11811.08076095581,10880.960796356201,12759.900817871094,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,3537992.9995117188,4869216.183105469,3993657.2543945312,4530618.3974609375,4468202.2490234375,4224210.512207031,2428656.8916015625,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
12:0 Cholesteryl ester,CE,184184.01274108887,194290.03338623047,57300.26417160034,186232.69366455078,183007.07179260254,49461.103244781494,158999.98956298828,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
12:0 Cholesteryl ester_2,CE,194223.2352294922,194121.27363967896,55628.72424697876,189840.21322631836,177894.63215637207,54207.28388977051,163044.15301513672,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
14:0 Cholesteryl ester,CE,174361.71353149414,103502.50770568848,44501.422870635986,104420.42792510986,109004.62704467773,49358.223373413086,85346.74568939209,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
