Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Match_Group,Cage,Mouse,Genotype,Biology,Group_Sample,FAC,TG,Group,Max_Intensity,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,SLBG_group
[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,788.7,599.5,12.02,26428.0,1232,FAD185,FAD185_M4,WT,cereb,-1,FA16:1,TG(52:5),47,26428.0,12.015183333333335,0.015183333333334659,2988.0,2903.0,0.09,9
[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,760.7,599.5,12.07,2939.0,732,FAD185,FAD185_M4,WT,cereb,-1,FA16:1,TG(52:5),52,2939.0,12.0675,0.06750000000000078,287.0,271.0,0.09,9
[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_cortex_O3on_01,n-7,788.7,599.5,12.02,1126.0,1221,DOD94,DOD94_F3,WT,cortex,-1,FA16:1,TG(52:5),48,1126.0,12.0152,0.015200000000000102,84.0,59.0,0.0,7
[TG(52:5)]_FA16:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-7,788.7,599.5,12.02,3221.0,1225,FAD184,FAD184_F3,WT,cortex,-1,FA16:1,TG(52:5),49,3221.0,12.015450000000001,0.015450000000001296,279.0,273.0,0.0,8
[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-7,788.7,599.5,12.02,16896.0,1233,FAD185,FAD185_M4,WT,cortex,-1,FA16:1,TG(52:5),50,16896.0,12.0152,0.015200000000000102,1701.0,1677.0,0.15,10
[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,760.7,599.5,12.07,3054.0,733,FAD185,FAD185_M4,WT,cortex,-1,FA16:1,TG(52:5),55,3054.0,12.0675,0.06750000000000078,270.0,253.0,0.15,10
"[TG(55:11),TG(54:4)]_FA16:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-7,818.7,629.5,14.4,1018.0,1813,FAD185,FAD185_M4,WT,cortex,-1,FA16:1,"TG(54:4), TG(55:11)",218,1018.0,14.404050000000002,0.03594999999999793,120.0,109.0,0.0,44
[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-9,736.7,547.5,13.32,559.0,420,DOD94,DOD94_F3,WT,cereb,-1,FA18:1,TG(50:3),27,559.0,13.3156,0.025600000000000733,138.0,163.0,,0
[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,764.7,547.5,13.27,881.0,792,FAD185,FAD185_M4,WT,cereb,-1,FA18:1,TG(50:3),20,881.0,13.265583333333334,0.02441666666666542,91.0,56.0,18.55,4
[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,736.7,547.5,13.36,5801.0,432,FAD185,FAD185_M4,WT,cereb,-1,FA18:1,TG(50:3),29,5801.0,13.359983333333334,0.06998333333333484,1077.0,1039.0,18.55,4
[TG(50:3)]_FA18:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-9,736.7,547.5,13.23,2524.0,425,FAD184,FAD184_F3,WT,cortex,-1,FA18:1,TG(50:3),31,2524.0,13.226783333333334,0.06321666666666559,457.0,427.0,,2
