Lipid,Parent_Ion,Product_Ion,Transition
LPC(2:0),300.1,184.1,300.1 -> 184.1
LPC(3:1),312.1,184.1,312.1 -> 184.1
"LPC(3:0),PC(O-3:0)",314.1,184.1,314.1 -> 184.1
"LPC(4:0),PC(O-4:0),PC(O-5:0)",328.2,184.1,328.2 -> 184.1
"PC(4:0),LPC(5:0)",342.2,184.1,342.2 -> 184.1
LPC(6:0),356.2,184.1,356.2 -> 184.1
"PC(6:0),LPC(7:0)",370.2,184.1,370.2 -> 184.1
LPC(8:0),384.2,184.1,384.2 -> 184.1
LPC(O-10:1),396.3,184.1,396.3 -> 184.1
"PC(8:0),LPC(9:0)",398.2,184.1,398.2 -> 184.1
"LPC(10:0),PC(O-10:0)",412.2,184.1,412.2 -> 184.1
"PC(10:0),LPC(11:0)",426.3,184.1,426.3 -> 184.1
PC(O-12:1),438.3,184.1,438.3 -> 184.1
LPC(12:0),440.3,184.1,440.3 -> 184.1
PC(12:4),446.2,184.1,446.2 -> 184.1
"PC(O-13:1),LPC(P-14:0)",452.3,184.1,452.3 -> 184.1
"PC(12:0),LPC(13:0),LPC(O-14:0)",454.3,184.1,454.3 -> 184.1
"LPC(14:1),LPC(P-15:0)",466.3,184.1,466.3 -> 184.1
"LPC(14:0),PC(O-14:0),LPC(O-15:0)",468.3,184.1,468.3 -> 184.1
"LPC(15:1),LPC(O-16:1),LPC(P-16:0)",480.3,184.1,480.3 -> 184.1
"PC(14:0),LPC(15:0),LPC(O-16:0)",482.4,184.1,482.4 -> 184.1
"LPC(16:1),LPC(P-17:0)",494.4,184.1,494.4 -> 184.1
"LPC(16:0),PC(O-16:0),LPC(O-17:0)",496.4,184.1,496.4 -> 184.1
PC(16:4),502.3,184.1,502.3 -> 184.1
"LPC(17:2),LPC(P-18:1)",506.4,184.1,506.4 -> 184.1
"LPC(17:1),LPC(O-18:1),LPC(P-18:0)",508.4,184.1,508.4 -> 184.1
"PC(16:0),PC(O-17:0),LPC(O-18:0)",510.4,184.1,510.4 -> 184.1
