Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
P-PE,P-PC,P-PE -> P-PC,"CEPT1,CHPT1,PLD1,PLPP1,PLPP2",85,1,0.6692643834062162
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,0.314326016892379
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,0.6504349282723949
LPG,PG,LPG -> PG,"CRLS1,LPGAT1",32,1,0.2028650922551543
PG,LPG,PG -> LPG,"CRLS1,PLA2G4D,PLA2G4F",33,1,0.5685311006026255
LPC,PC,LPC -> PC,"LPCAT1,LPCAT2,LPCAT3,LPCAT4",22,1,0.6247312660177003
LPC,PS,LPC -> PC -> PS,"LPCAT1,LPCAT2,LPCAT3,LPCAT4 ; PTDSS1",22 ; 9,2,1.0235507962772321
LPC,PE,LPC -> PC -> PS -> PE,"LPCAT1,LPCAT2,LPCAT3,LPCAT4 ; PTDSS1 ; PISD",22 ; 9 ; 6,3,0.9257162510998584
LPC,LPE,LPC -> PC -> PS -> PE -> LPE,"LPCAT1,LPCAT2,LPCAT3,LPCAT4 ; PTDSS1 ; PISD ; PLA2G4C",22 ; 9 ; 6 ; 27,4,1.1813832260273391
LPC,LPS,LPC -> PC -> PS -> LPS,"LPCAT1,LPCAT2,LPCAT3,LPCAT4 ; PTDSS1 ; PLA2G2A,PLA2G2E,PLA2G2F",22 ; 9 ; 31,3,0.8495130695907728
LPS,PS,LPS -> PS,"LPCAT3,LPCAT4,MBOAT1",30,1,0.2608807306615683
LPS,PE,LPS -> PS -> PE,"LPCAT3,LPCAT4,MBOAT1 ; PISD",30 ; 6,2,0.2946859683528641
LPS,PC,LPS -> PS -> PE -> PC,"LPCAT3,LPCAT4,MBOAT1 ; PISD ; PEMT",30 ; 6 ; 8,3,0.7309276502089317
LPS,LPC,LPS -> PS -> PE -> PC -> LPC,"LPCAT3,LPCAT4,MBOAT1 ; PISD ; PEMT ; PLA2G1B,PLA2G2A,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G4A,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4E,PLA2G4F",30 ; 6 ; 8 ; 23,4,1.0305934381021127
