lipid,type,DOD73-5xFAD-M2liver,FAD173-5xFAD-M1liver,blank_033123,logFC,logCPM,LR,PValue,FDR
PCo(34:1),PC,84975.02407836914,527289.858001709,49735.80355834961,-2.6833751276751348,11.455059439198052,15.260325563071731,9.36633043948727e-5,0.06103159023704657
PCo(34:2),PC,91591.66458129884,527287.5131225586,36122.46240234375,-2.575191452381643,11.415895438891503,14.178056736593135,1.6629861100012688e-4,0.06103159023704657
"(11Z,14Z)-eicosadienoylcarnitine",CAR,323973.94287109375,393336.70947265625,435177.2143554687,-0.3297787282597269,12.562358786009689,0.26068207016213396,0.6096519503039897,0.9998637537531944
(11Z)-eicoseneoylcarnitine,CAR,333833.80224609375,405221.28759765625,447168.9921875,-0.3294716015644539,12.60338337465377,0.2601980012126942,0.6099841579618852,0.9998637537531944
"(13Z,16Z)-docosadienoylcarnitine",CAR,228522.23498535156,267345.19873046875,261170.6397705078,-0.27626086750857054,11.924458195932537,0.18305442206477363,0.668761353062804,0.9998637537531944
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,339255.2021484375,329208.5830078125,284662.72021484375,-0.006522819338304727,12.209685856574984,1.0220641317610865e-4,0.9919337489004197,0.9998637537531944
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,212029.17529296875,258782.97802734375,246472.37866210935,-0.3373715273336487,11.845567386975356,0.2727926966445584,0.6014645303529269,0.9998637537531944
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,173395.271484375,216482.5563964844,196940.693359375,-0.3700777514207388,11.548264569350778,0.32809380489714773,0.5667836864621234,0.9998637537531944
1-O-behenoyl-Cer(d18:1/16:0),Cer,34993.262214660645,35531.70199584961,7376.800495147705,-0.07192114031774542,8.375879505601267,0.012421373616327513,0.9112585482566464,0.9998637537531944
1-O-carboceroyl-Cer(d18:1/16:0),Cer,113573.20904159546,188823.78869247437,8982.840637207031,-0.7833089852369078,10.300998133017842,1.456112102054167,0.2275497404579132,0.9998637537531944
1-O-carboceroyl-Cer(d18:1/18:0),Cer,7887.820468902588,8970.620422363281,5592.080406188965,-0.23546871206254438,6.7525537256387125,0.1328941428676734,0.715449965025184,0.9998637537531944
1-O-cerotoyl-Cer(d18:1/16:0),Cer,56626.68326950073,91505.28868865968,7552.680511474609,-0.7422633641107069,9.324660927317899,1.309018555140951,0.25257242818419884,0.9998637537531944
