lipid,logFC,logCPM,LR,PValue,FDR,type,DOD73-5xFAD-M2liver_x,FAD131-5xFAD-M1liver_x,FAD131-5xFAD-M2liver_x,FAD131-5xFAD-M4liver_x,FAD173-5xFAD-M1liver_x,DOD73-5xFAD-M2liver_y,FAD131-5xFAD-M1liver_y,FAD131-5xFAD-M2liver_y,FAD131-5xFAD-M4liver_y,FAD173-5xFAD-M1liver_y,blank_033123
"(11Z,14Z)-eicosadienoylcarnitine",0,12.117524749200424,0,1,1,CAR,323973.94287109375,312251.02392578125,344173.2451171875,322782.0625,393336.70947265625,323973.94287109375,312251.02392578125,344173.2451171875,322782.0625,393336.70947265625,435177.2143554687
(11Z)-eicoseneoylcarnitine,0,12.175817825539006,0,1,1,CAR,333833.80224609375,330179.2646484375,360457.18359375,340042.5224609375,405221.28759765625,333833.80224609375,330179.2646484375,360457.18359375,340042.5224609375,405221.28759765625,447168.9921875
"(13Z,16Z)-docosadienoylcarnitine",0,11.57881065200543,0,1,1,CAR,228522.23498535156,220136.9151611328,241193.7977294922,231012.7171630859,267345.19873046875,228522.23498535156,220136.9151611328,241193.7977294922,231012.7171630859,267345.19873046875,261170.6397705078
"(5Z,8Z)-tetradecadienoylcarnitine",0,11.908599215142328,0,1,1,CAR,339255.2021484375,266274.33740234375,310373.0419921875,272216.9201660156,329208.5830078125,339255.2021484375,266274.33740234375,310373.0419921875,272216.9201660156,329208.5830078125,284662.72021484375
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0,11.481763109999669,0,1,1,CAR,212029.17529296875,203605.61474609375,223207.55737304688,211958.2744140625,258782.97802734375,212029.17529296875,203605.61474609375,223207.55737304688,211958.2744140625,258782.97802734375,246472.37866210935
"(7Z,10Z)-hexadecadienoylcarnitine",0,11.214389539045975,0,1,1,CAR,173395.271484375,171719.25268554688,185115.91381835935,179216.03247070312,216482.5563964844,173395.271484375,171719.25268554688,185115.91381835935,179216.03247070312,216482.5563964844,196940.693359375
1-O-behenoyl-Cer(d18:1/16:0),0,8.838483901009159,2.000888343900442e-11,0.9999964309593978,1,Cer,34993.262214660645,49269.7829246521,65962.30405426025,11506.880954742432,35531.70199584961,34993.262214660645,49269.7829246521,65962.30405426025,11506.880954742432,35531.70199584961,7376.800495147705
1-O-carboceroyl-Cer(d18:1/16:0),0,10.926347497164837,2.1827872842550278e-10,0.9999882118468625,1,Cer,113573.20904159546,235828.2760810852,286637.5709724426,26846.222297668457,188823.78869247437,113573.20904159546,235828.2760810852,286637.5709724426,26846.222297668457,188823.78869247437,8982.840637207031
1-O-carboceroyl-Cer(d18:1/18:0),0,6.705745931417154,0,1,1,Cer,7887.820468902588,10345.180625915527,10388.600868225098,4972.780319213867,8970.620422363281,7887.820468902588,10345.180625915527,10388.600868225098,4972.780319213867,8970.620422363281,5592.080406188965
1-O-cerotoyl-Cer(d18:1/16:0),0,9.887742330860474,0,1,1,Cer,56626.68326950073,118284.70900344849,124009.0466156006,21522.68152618408,91505.28868865968,56626.68326950073,118284.70900344849,124009.0466156006,21522.68152618408,91505.28868865968,7552.680511474609
1-O-cerotoyl-Cer(d18:1/18:0),0,8.091552685999575,0,1,1,Cer,16180.161041259766,30063.662281036377,28952.962230682373,10819.9807472229,29125.741970062256,16180.161041259766,30063.662281036377,28952.962230682373,10819.9807472229,29125.741970062256,7564.720527648926
1-O-eicosanoyl-Cer(d18:1/16:0),0,7.151780869645699,0,1,1,Cer,11178.260723114014,12303.560836791992,12328.060791015623,9729.480697631836,11770.480796813965,11178.260723114014,12303.560836791992,12328.060791015623,9729.480697631836,11770.480796813965,8472.50059890747
1-O-lignoceroyl-Cer(d18:1/16:0),0,10.987862470176692,0,1,1,Cer,128046.36904907228,237023.6909790039,280851.90058898926,27560.402072906498,214795.79314422607,128046.36904907228,237023.6909790039,280851.90058898926,27560.402072906498,214795.79314422607,8005.880531311035
1-O-myristoyl-Cer(d18:1/16:0),0,7.218208275661238,0,1,1,Cer,11886.22095489502,10779.68073272705,13350.980964660645,10098.280784606934,12056.160987854004,11886.22095489502,10779.68073272705,13350.980964660645,10098.280784606934,12056.160987854004,12314.460899353027
1-O-palmitoyl-Cer(d18:1/16:0),0,7.107288551070953,0,1,1,Cer,10560.500732421877,11993.200759887695,11152.820747375488,9148.94063949585,11511.2407913208,10560.500732421877,11993.200759887695,11152.820747375488,9148.94063949585,11511.2407913208,10434.58071899414
1-O-stearoyl-Cer(d18:1/16:0),0,7.37777109287735,0,1,1,Cer,12832.000988006592,14251.620956420898,13927.140914916992,12235.580841064451,12726.080932617188,12832.000988006592,14251.620956420898,13927.140914916992,12235.580841064451,12726.080932617188,11821.82080078125
1-O-tricosanoyl-Cer(d18:1/16:0),0,11.029330688320925,0,1,1,Cer,135550.37031173706,242584.0573272705,295372.82263565063,26276.462158203125,214653.89820480347,135550.37031173706,242584.0573272705,295372.82263565063,26276.462158203125,214653.89820480347,8560.020622253418
1-O-tricosanoyl-Cer(d18:1/18:0),0,5.986686613797081,0,1,1,Cer,5155.200401306152,5557.080352783203,5012.480361938477,4540.9603271484375,4959.780361175537,5155.200401306152,5557.080352783203,5012.480361938477,4540.9603271484375,4959.780361175537,4343.480308532715
14:0 Cholesteryl ester,0,10.69062591030857,0,1,1,CE,138263.32962036133,131750.8491821289,125663.4089050293,129830.9893798828,126091.4090270996,138263.32962036133,131750.8491821289,125663.4089050293,129830.9893798828,126091.4090270996,123091.90844726562
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,0,12.350353107632168,0,1,1,CE,433084.33026123047,386755.9862060547,426680.9898071289,481075.57385253906,360613.8235473633,433084.33026123047,386755.9862060547,426680.9898071289,481075.57385253906,360613.8235473633,330769.78497314453
15:0 Cholesteryl ester,0,12.51083110106808,0,1,1,CE,500697.69384765625,423330.630859375,465915.3526611328,535240.1566162109,403107.68908691406,500697.69384765625,423330.630859375,465915.3526611328,535240.1566162109,403107.68908691406,379115.02587890625
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,0,12.63317723505881,0,1,1,CE,535552.8375244141,481713.9729003906,498225.01708984375,579250.8642578125,444289.9498291016,535552.8375244141,481713.9729003906,498225.01708984375,579250.8642578125,444289.9498291016,403975.4073486328
15:1 Cholesteryl ester,0,12.515666503695039,0,1,1,CE,508496.5587158203,438516.2509765625,455777.6730957031,537842.7579956055,401359.5675048828,508496.5587158203,438516.2509765625,455777.6730957031,537842.7579956055,401359.5675048828,368784.46643066406
16:0 Campesteryl ester | 17:0 Cholesteryl ester,0,11.347777781082375,0,1,1,CE,199009.5545654297,216457.89544677737,214115.87481689453,194121.4539794922,210059.57421875,199009.5545654297,216457.89544677737,214115.87481689453,194121.4539794922,210059.57421875,184656.43280029297
"16:2 Cholesteryl ester, zymosteryl palmitoleate",0,12.640103105371216,0,1,1,CE,540818.5389404297,480845.1545410156,502827.8940429687,574575.4202880859,451788.1934814453,540818.5389404297,480845.1545410156,502827.8940429687,574575.4202880859,451788.1934814453,407136.2296142578
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",0,12.042393876949538,0,1,1,CE,294205.46014404297,404242.4270019531,389475.8056640625,253274.03649902344,399530.48626708984,294205.46014404297,404242.4270019531,389475.8056640625,253274.03649902344,399530.48626708984,180045.8325805664
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",0,12.047240835561617,0,1,1,CE,294389.98150634766,410220.330078125,391361.0276489258,256653.89776611328,393576.3296508789,294389.98150634766,410220.330078125,391361.0276489258,256653.89776611328,393576.3296508789,181603.4130859375
17:1 Cholesteryl ester; 16:1 Campesteryl ester,0,11.319590937255233,0,1,1,CE,195411.3134765625,210506.57543945312,207816.4150390625,195112.27380371097,203038.95428466797,195411.3134765625,210506.57543945312,207816.4150390625,195112.27380371097,203038.95428466797,184101.59344482425
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",0,12.045626681673298,0,1,1,CE,280052.52032470703,416777.9912109375,390900.9848632813,261129.95727539065,394342.8669433594,280052.52032470703,416777.9912109375,390900.9848632813,261129.95727539065,394342.8669433594,183293.6929931641
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",0,12.014621134603217,0,1,1,CE,288172.8215332031,384476.5457763672,390682.3272705078,255557.0780029297,387639.5881958008,288172.8215332031,384476.5457763672,390682.3272705078,255557.0780029297,387639.5881958008,178416.7725830078
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",0,13.268964395386046,0,1,1,CE,818257.29541015625,784583.0559082031,775899.55322265625,798375.93896484375,754986.5549316406,818257.29541015625,784583.0559082031,775899.55322265625,798375.93896484375,754986.5549316406,659491.00732421875
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",0,13.11801459862034,0,1,1,CE,744249.513671875,705850.90966796875,698721.30859375,709757.3095703125,683648.27001953125,744249.513671875,705850.90966796875,698721.30859375,709757.3095703125,683648.27001953125,593079.9626464844
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",0,12.635695422157498,0,1,1,CE,526446.7568359375,515568.9758300781,510220.7159423828,489595.0556640625,500443.7147216797,526446.7568359375,515568.9758300781,510220.7159423828,489595.0556640625,500443.7147216797,414314.4288330078
20:5 Cholesteryl ester,0,11.719248479278535,0,1,1,CE,265705.45834350586,281842.11810302734,304873.80361938477,251556.2190246582,271957.861907959,265705.45834350586,281842.11810302734,304873.80361938477,251556.2190246582,271957.861907959,168557.25271606445
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",0,11.461258343112242,0,1,1,CE,199579.47518920896,276432.15826416016,283204.7405395508,150922.0499267578,261169.54040527344,199579.47518920896,276432.15826416016,283204.7405395508,150922.0499267578,261169.54040527344,109438.70770263672
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",0,11.489348584610726,0,1,1,CE,205946.43334960935,276739.91984558105,293973.599899292,152646.49005126953,263308.8188018799,205946.43334960935,276739.91984558105,293973.599899292,152646.49005126953,263308.8188018799,115260.68829345705
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",0,13.21040149518673,0,1,1,CE,760286.1535644531,790383.5528564453,806346.02099609375,698403.88818359375,756955.7144775391,760286.1535644531,790383.5528564453,806346.02099609375,698403.88818359375,756955.7144775391,574971.3216552734
22:5 Cholesteryl ester,0,13.333286973757115,0,1,1,CE,833841.4395751953,859656.3221435547,865545.3397216797,763276.31396484375,820390.6998291016,833841.4395751953,859656.3221435547,865545.3397216797,763276.31396484375,820390.6998291016,641116.5880126953
22:6 Cholesteryl ester,0,13.343723147557958,0,1,1,CE,839506.53857421875,856592.9573974609,880891.1201171875,773070.3527832031,822591.9149169922,839506.53857421875,856592.9573974609,880891.1201171875,773070.3527832031,822591.9149169922,646255.2060546875
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",0,13.088842577296491,0,1,1,CE,824907.5374908447,575996.6803588867,666587.8192596436,879547.0318374634,543776.3345565796,824907.5374908447,575996.6803588867,666587.8192596436,879547.0318374634,543776.3345565796,528169.9987487793
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",0,11.440139617330962,0,1,1,CAR,205186.65600585935,200550.57446289065,213322.51489257812,204572.1142578125,252873.6591796875,205186.65600585935,200550.57446289065,213322.51489257812,204572.1142578125,252873.6591796875,242191.39892578125
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",0,13.971343155185574,0,1,1,CAR,1152357.54296875,1170740.322265625,1251187.7265625,1192738.005859375,1485295.001953125,1152357.54296875,1170740.322265625,1251187.7265625,1192738.005859375,1485295.001953125,1345145.1572265625
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",0,12.156868649730546,0,1,1,CAR,331735.22265625,325016.705078125,355353.60498046875,332265.26416015625,403509.2646484375,331735.22265625,325016.705078125,355353.60498046875,332265.26416015625,403509.2646484375,439075.671875
C12:0,0,8.19526720667709,0,1,1,FA,25020.86181640625,25642.541717529297,21358.921325683594,24290.981689453125,21423.401489257812,25020.86181640625,25642.541717529297,21358.921325683594,24290.981689453125,21423.401489257812,17639.9813079834
C12:1,0,8.776444826737528,0,1,1,FA,33992.34246826172,36459.182189941406,33573.602294921875,34736.72253417969,34995.642578125,33992.34246826172,36459.182189941406,33573.602294921875,34736.72253417969,34995.642578125,31020.40203857422
C14:1,0,11.950486059271997,0,1,1,FA,319819.1005859375,318049.23974609375,305547.70166015625,315566.4853515625,307396.82080078125,319819.1005859375,318049.23974609375,305547.70166015625,315566.4853515625,307396.82080078125,283582.53955078125
C18:0,0,9.760647422383652,0,1,1,FA,74532.825439453125,80053.16662597656,65888.664794921875,72870.60485839844,56996.963623046875,74532.825439453125,80053.16662597656,65888.664794921875,72870.60485839844,56996.963623046875,49152.943603515625
C19:0,0,10.341124857872654,0,1,1,FA,107847.40795898438,109346.90881347656,115323.8074951172,111864.2081298828,82008.185302734375,107847.40795898438,109346.90881347656,115323.8074951172,111864.2081298828,82008.185302734375,69740.764892578125
C20:0,0,9.87408465495966,0,1,1,FA,51124.02349853515,30520.202072143555,88291.20574951172,69975.42487716675,102983.40768051147,51124.02349853515,30520.202072143555,88291.20574951172,69975.42487716675,102983.40768051147,120349.2088508606
C20:1,0,9.458178809297403,0,1,1,FA,50567.26362609863,37218.88252258301,66577.18469238281,61702.344398498535,61857.70422363281,50567.26362609863,37218.88252258301,66577.18469238281,61702.344398498535,61857.70422363281,51022.68365478515
C22:0,0,9.708080742671045,0,1,1,FA,69413.66516113281,70126.16491699219,65914.54406738281,67336.18518066406,61859.204833984375,69413.66516113281,70126.16491699219,65914.54406738281,67336.18518066406,61859.204833984375,53336.70373535156
C22:1,0,8.527173217942904,0,1,1,FA,30213.10223388672,29934.22198486328,26990.041778564453,29742.282104492188,28434.64196777344,30213.10223388672,29934.22198486328,26990.041778564453,29742.282104492188,28434.64196777344,27585.261749267574
C22:4,0,8.902720998564027,0,1,1,FA,40848.32287597656,42451.36297607422,36462.06268310547,39453.18273925781,33471.282344818115,40848.32287597656,42451.36297607422,36462.06268310547,39453.18273925781,33471.282344818115,28216.942092895508
