lipid,logFC,logCPM,LR,PValue,FDR,type,DOD73-5xFAD-M2liver_x,FAD131-5xFAD-M1liver_x,FAD131-5xFAD-M2liver_x,FAD131-5xFAD-M4liver_x,FAD173-5xFAD-M1liver_x,DOD73-5xFAD-M2liver_y,FAD131-5xFAD-M1liver_y,FAD131-5xFAD-M2liver_y,FAD131-5xFAD-M4liver_y,FAD173-5xFAD-M1liver_y,blank_033123
[TG(37:0)]_FA14:0,0,5.930150671570254,0,1,1,TAG,43299.3427734375,47605.24353027344,45072.822998046875,44037.62292480469,46373.44323730469,43299.3427734375,47605.24353027344,45072.822998046875,44037.62292480469,46373.44323730469,43573.58312988281
[TG(37:0)]_FA16:0,0,5.772771343746464,0,1,1,TAG,43394.8229675293,39051.902587890625,41322.72271728515,37832.16278076172,39781.74267578125,43394.8229675293,39051.902587890625,41322.72271728515,37832.16278076172,39781.74267578125,41936.28283691406
[TG(37:0)]_FA18:0,0,1.048251047470848,0,1,1,TAG,1547.200122833252,1579.220115661621,1486.4401054382324,1567.5001068115234,1482.240104675293,1547.200122833252,1579.220115661621,1486.4401054382324,1567.5001068115234,1482.240104675293,1470.5401153564453
[TG(38:0)]_FA14:0,0,8.3305418376249,0,1,1,TAG,232766.77685546875,246076.1767578125,237300.73681640625,232932.578125,245236.93701171875,232766.77685546875,246076.1767578125,237300.73681640625,232932.578125,245236.93701171875,231334.69580078125
[TG(38:0)]_FA16:0,0,7.369167166234012,0,1,1,TAG,124430.36889648438,120685.36865234376,122445.96850585938,123732.76953125,120494.48876953124,124430.36889648438,120685.36865234376,122445.96850585938,123732.76953125,120494.48876953124,120770.34814453124
[TG(38:0)]_FA18:0,0,7.2066770581532,0,1,1,TAG,117003.40844726562,113975.16821289062,108464.087890625,103671.6279296875,105464.46728515624,117003.40844726562,113975.16821289062,108464.087890625,103671.6279296875,105464.46728515624,105275.9072265625
[TG(38:1)]_FA14:0,0,6.438584221877578,0,1,1,TAG,63297.74475097656,69753.405029296875,64211.844482421875,63302.16442871094,63123.40441894531,63297.74475097656,69753.405029296875,64211.844482421875,63302.16442871094,63123.40441894531,59026.063903808594
[TG(38:1)]_FA16:0 | DG(40:8)|DG(39:1)_C16:0,0,6.65582548592111,0,1,1,TAG | DAG,80071.25537109375,73554.09503173828,72494.84521484375,74448.16516113281,73777.15509033203,80071.25537109375,73554.09503173828,72494.84521484375,74448.16516113281,73777.15509033203,71371.79510498047
[TG(38:1)]_FA16:1 | DG(40:8)|DG(39:1)_C16:1,0,7.894814198525634,0,1,1,TAG | DAG,182494.04321289065,179296.40234375,172978.7322998047,169881.8721923828,177070.3524169922,182494.04321289065,179296.40234375,172978.7322998047,169881.8721923828,177070.3524169922,172967.73193359375
[TG(38:1)]_FA18:0 | DG(40:8)|DG(39:1)_C18:0,0,5.694435557589533,0,1,1,TAG | DAG,41581.66290283203,37381.11274719238,38098.51284790039,37633.382720947266,37847.1727142334,41581.66290283203,37381.11274719238,38098.51284790039,37633.382720947266,37847.1727142334,36251.52244567871
[TG(38:1)]_FA18:1 | DG(40:8)|DG(39:1)_C18:1,0,8.0276374535526,0,1,1,TAG | DAG,202062.13415527344,191170.43383789065,194404.6844482422,188287.30322265625,192105.15368652344,202062.13415527344,191170.43383789065,194404.6844482422,188287.30322265625,192105.15368652344,187312.86328125
[TG(39:0)]_FA14:0,0,5.666997490593983,0,1,1,TAG,35573.86248779297,39931.242736816406,37315.48260498047,36673.60241699219,39112.34289550781,35573.86248779297,39931.242736816406,37315.48260498047,36673.60241699219,39112.34289550781,36372.86260986328
[TG(39:0)]_FA16:0,0,5.990091715008493,0,1,1,TAG,44737.00354003906,47845.98352050781,47217.88317871094,48051.34326171875,48089.32385253906,44737.00354003906,47845.98352050781,47217.88317871094,48051.34326171875,48089.32385253906,45220.50305175781
[TG(39:0)]_FA18:0,0,6.136619935177948,0,1,1,TAG,54000.72351074219,51888.603942871094,53392.603759765625,51731.583557128906,50118.20324707031,54000.72351074219,51888.603942871094,53392.603759765625,51731.583557128906,50118.20324707031,50224.14373779297
[TG(39:1)]_FA14:0,0,5.179549480043171,0,1,1,TAG,26144.101928710938,27481.26202392578,27744.182037353516,26493.34194946289,27730.961975097656,26144.101928710938,27481.26202392578,27744.182037353516,26493.34194946289,27730.961975097656,24070.281631469727
[TG(39:1)]_FA16:0,0,5.609293949980797,0,1,1,TAG,36068.20251464844,36639.82238769531,39355.382568359375,35085.682556152344,35164.922607421875,36068.20251464844,36639.82238769531,39355.382568359375,35085.682556152344,35164.922607421875,33197.382232666016
