lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_cortex,FAD185_M4_Male_WT_cortex,FAD189_M1_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_cortex,FAD189_M3_Male_WT_cortex,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_hippocampus,FAD185_M4_Male_WT_hippocampus,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_hippocampus,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank
[TG(52:4)]_FA18:1,4.537719232157248,11.778777791559353,134.78550450360575,3.6783547672485514e-31,3.013345928016297e-28,TAG,5626821.361938477,61478889.60229492,70296941.2565918,54357812.58581543,5759141.515991211,11241055.045776367,480507.1959228516,3048758.300048828,490399.4801025391,1759397.2177734375,1406246.5223388672,307894.99853515625,58547.94396972656
[TG(52:5)]_FA18:2,4.576645355057133,11.945653871291455,136.59762326947907,1.4767204736272453e-31,3.013345928016297e-28,TAG,5772919.682006836,64636999.1986084,81014291.99475098,62752440.40319824,6413930.635253906,13529584.66394043,609678.9426269531,3055530.0986328125,530499.2723388672,1987049.8947753904,1656412.9576416016,348189.2839355469,78901.92565917969
[TG(53:10)|TG(52:3)]_FA18:0,4.537063878258215,11.464376972281448,134.75507320124416,3.7351669389727883e-31,3.013345928016297e-28,TAG,4418807.720214844,47912478.7388916,56717513.642578125,46450229.65490723,4850849.13293457,8042670.727294922,330622.6237792969,2440891.6110839844,355478.10314941406,1430675.9760742188,1249673.1489257812,247270.6571044922,57188.86389160156
[TG(54:7)|TG(53:0)]_FA20:4,4.55954718478133,11.936101902873768,135.8011725823318,2.2054498164325764e-31,3.013345928016297e-28,TAG,6310383.049072266,65467723.62414551,78990358.76385498,64068630.50793457,6682291.739868164,11902736.585632324,521969.0993652344,3339410.2775878906,456974.0891723633,2030912.6160888672,1661824.3194580078,301656.88299560547,66943.44445800781
[TG(52:6)]_FA18:3,4.466473423777205,12.000789143648081,131.47975915461387,1.9444693960221185e-30,1.2549605481926752e-27,TAG,6537739.233154297,67544753.99487305,83779573.427734375,63891511.45605469,6476403.616088867,14086206.553100586,580164.64306640625,3525627.8376464844,581404.1058349609,2354001.740722656,1782272.3612060547,359956.2410888672,91084.34631347656
PI(36:3)|PI(P-37:2),4.372266517586207,11.864128453999133,127.13137536888573,1.7387409721759622e-29,9.351528528686384e-27,PI,5443784.540649414,66877751.630615234,79352000.62548828,53845530.97094727,5091914.101928711,8850493.547668457,630803.6973876953,3184005.4140625,913372.6286621094,1947539.044555664,1350169.4668579102,524562.6205444336,65510.98474121094
PI(34:3)|PI(P-35:2),4.2412551868416415,9.267573071282275,121.1294222008658,3.5799848162156876e-28,1.650373000275432e-25,PI,964597.995300293,8971060.303283691,12892826.270263672,8839751.747314453,1106563.4711914062,2960242.4587402344,163651.2928466797,484257.8126220703,131434.34930419922,378868.98596191406,285133.3436279297,107566.08758544922,40319.40286254883
[TG(50:4)]_FA16:1,4.223915611346542,9.713328427275757,120.33957720795698,5.330792946921092e-28,2.1503086049642955e-25,TAG,1294889.2313232422,11772072.088134766,17625293.951049805,12465006.221191406,1478699.6036987305,4066789.887145996,242451.65600585935,719104.41650390625,169359.73095703125,450083.90625,419803.1105957031,145093.9105834961,43220.64306640625
[TG(50:3)]_FA16:0,4.213040296318279,9.604682690490058,119.84453859941203,6.841776409147921e-28,2.4531569413689264e-25,TAG,1161025.8165283203,11366578.553344728,16187863.686950684,11702466.59588623,1316573.490234375,3525087.6692504883,235974.1995849609,643743.7599487305,159739.41235351562,472080.2287597656,383342.9462890625,118483.32818603516,39421.5026550293
[TG(56:9)|TG(55:2)]_FA20:4,4.099756290882486,10.049449228950794,114.7129942745435,9.095294974341978e-27,2.9350516882201564e-24,TAG,1967763.5524902344,19739522.83642578,15195345.26107788,24614767.76434326,1730545.5935058594,1451106.3138427734,260268.75659179688,1159066.430419922,159858.5714111328,812095.219543457,525815.5386352539,122788.88848876952,48443.04309082031
