lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cortex,DOD94_F3_Female_WT_cortex,DOD94_F4_Female_5xFAD_cortex,FAD184_F3_Female_WT_cortex,FAD184_F4_Female_WT_cortex,FAD185_M1_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_cortex,FAD185_M4_Male_WT_cortex,FAD189_M1_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_cortex,FAD189_M3_Male_WT_cortex,DOD93_F4_Female_5xFAD_cerebellum,DOD94_F3_Female_WT_cerebellum,DOD94_F4_Female_5xFAD_cerebellum,FAD184_F3_Female_WT_cerebellum,FAD184_F4_Female_WT_cerebellum,FAD185_M1_Male_5xFAD_cerebellum,FAD185_M3_Male_5xFAD_cerebellum,FAD185_M4_Male_WT_cerebellum,FAD189_M1_Male_5xFAD_cerebellum,FAD189_M2_Male_5xFAD_cerebellum,FAD189_M3_Male_WT_cerebellum,Blank_Blank_Blank_Blank_Blank
[TG(60:13)|TG(59:6)]_FA22:5,3.3194983304572876,8.702100119323365,107.12745351427134,4.174411231691706e-25,1.3470825044669136e-21,TAG,432459.3494873047,1476578.274169922,636547.6641235352,5006692.261291504,468631.6297607422,5124024.193603516,4144828.5814819336,7972292.2341918945,3038763.270385742,451908.2137451172,7195262.272033691,179459.3328857422,180241.59185791016,224781.07653808597,223348.51489257807,138756.02947998047,438044.2922363281,471909.6710205078,313516.4440917969,480066.0971679688,648210.3052368164,255734.5986328125,53200.70385742188
[TG(60:14)|TG(59:7)|TG(58:0)]_FA22:6,3.1671380857018145,8.760516018815533,98.84950569567683,2.724380890638019e-23,4.395788567044444e-20,TAG,498476.6548461914,1567117.0953979492,657984.2404785156,4912454.311706543,499520.81744384766,5563803.180603027,4428502.7599487305,7820687.160888672,3110837.784790039,517850.45892333984,7613255.686950684,215889.2960205078,218788.5317993164,281865.9797363281,178274.57299804688,184081.9330444336,519417.1007080078,515906.0116577149,357825.82470703125,586006.72314453125,778063.2781982422,259232.5401611328,69407.06466674805
[TG(58:12)|TG(57:5)]_FA20:4,2.4296220787246074,8.265457721966095,61.85327650423278,3.700261748787863e-15,3.980248221112812e-12,TAG,346676.7258300781,970408.9857177734,429139.6723022461,3079960.5739746094,352631.5078125,3226479.6328125,3081779.358642578,5767369.647827148,2556454.357055664,437030.0534057617,4611952.990356445,162295.43200683594,136685.80987548828,267119.8381347656,151783.33074951172,191838.4944458008,370528.8040161133,670685.5679931641,566137.6820068359,1073659.8557128906,868432.5059814453,195099.01300048828,75362.9658203125
[TG(58:13)|TG(57:6)]_FA22:5,2.2820266757637886,7.963351257951761,55.18082340030378,1.0993608830976091e-13,8.869093924389962e-11,TAG,288470.1831665039,585397.839050293,353139.2077026367,1784769.2811889648,318252.34259033203,2868490.0872192383,2614160.3379821777,4409908.527130127,1996384.7830810547,695498.2810668945,4321198.254821777,223615.63641357425,192004.2344360352,278087.53997802734,177772.1925048828,174594.83251953125,539606.4006347656,525608.4533081055,303454.72106933594,592963.7178955078,756523.4511108398,262069.3389892578,51019.72317504883
[TG(58:14)|TG(57:7)|TG(56:0)]_FA22:6,2.1544787883868155,8.013014888045653,49.64518291389687,1.8422184783362796e-12,1.188967805918235e-9,TAG,317053.0040283203,610036.925994873,347005.6685180664,1724266.3339233398,335521.6834716797,3101187.4287719727,2746162.305908203,4258806.063018799,2009165.6282348635,724911.0132446289,4524875.015258789,273790.2589111328,211548.81536865237,302370.0607910156,152939.4512939453,196818.2354736328,629693.8023071289,529171.8972167969,307165.0008544922,639575.6089477539,945971.31103515625,300974.03747558594,51446.98388671875
DG(40:10)|DG(39:3)_C18:0,1.988604169596103,3.5849311947290574,42.783234279788985,6.115404175656094e-11,3.289068212473703e-8,DAG,4340.680313110352,2589.300205230713,12429.50089263916,11740.800819396973,10730.2007522583,162299.21299362183,14495.061027526855,14801.721046447754,16362.201206207275,1000045.3145713806,11472.880821228027,3283.4002380371094,8911.440658569336,48637.26238250733,16221.381072998049,13053.840934753418,21454.76149368286,18276.901279449463,42642.4428062439,15597.841064453123,15486.941066741943,10314.880699157717,3224.120246887207
[TG(62:13)|TG(61:6)]_FA22:5,1.8393855658414666,7.434088762193242,36.96931436853811,1.2000304358212653e-9,5.532140309136033e-7,TAG,302103.15838623047,460370.1953735352,430287.6340332031,2093858.7861328125,273313.73986816406,1737206.712890625,1414935.2547607422,2366014.321166992,1118189.143798828,462481.6513671875,2079199.7133789065,266485.68127441406,244896.31744384769,307510.54498291016,219564.07397460935,167076.09118652344,480051.7138671875,413773.4343261719,221931.11572265625,382445.48693847656,530861.9366455078,229898.41650390625,72452.70501708984
[TG(62:14)|TG(61:7)|TG(60:0)]_FA22:6,1.8121221536080445,7.4974491184949725,35.94396062370714,2.030748433051378e-9,8.191531491820996e-7,TAG,335519.5446777344,504334.2941894531,450336.0925292969,2144943.286010742,293471.1612548828,1883089.5119628904,1521949.8424072266,2360231.7893066406,1139254.7166748047,481705.76989746094,2157497.986694336,289345.67932128906,277098.4211425781,335500.4426269531,199407.6936035156,182056.79235839844,514109.33740234375,429088.0696411133,224720.85595703125,425442.7260742188,573329.4163818359,232546.6375732422,78801.34576416016
[TG(60:12)|TG(59:5)]_FA20:4,1.5630265788442927,7.042493415683961,27.144141978899825,1.8883653099200814e-7,6.770838727902337e-5,TAG,264225.53857421875,333892.88513183594,283665.0798339844,1274625.2016601562,207449.9952392578,1219035.4858398438,1064297.1088867188,1846392.3701171875,999247.4278564452,473001.4139404297,1460565.5405273438,180343.6112060547,119625.02795410156,202264.27465820312,127197.10803222656,175845.71215820312,338072.044921875,388260.1885986328,250783.21838378903,579391.3011474609,644150.2662353516,147848.4111328125,69197.26501464844
[TG(64:14)|TG(63:7)|TG(62:0)]_FA22:5,1.4791047411862792,5.6903584569293155,24.420225458928602,7.745128938076339e-7,2.4993531083172344e-4,TAG,127817.38928222656,130351.72897338869,159688.69229125977,679034.864074707,112478.12756347656,434030.651184082,342889.0230102539,603617.1785888672,319237.76498413086,134268.7497253418,472079.83627319336,92338.12689208984,96346.22686767578,116230.8077697754,88509.10607910156,75377.18533325195,148623.7297668457,148357.65002441406,90540.32650756836,121617.62939453124,160619.89025878906,90673.7862548828,29459.982055664062
