lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cortex,DOD94_F4_Female_5xFAD_cortex,DOD94_F3_Female_WT_cortex,FAD184_F3_Female_WT_cortex,FAD184_F4_Female_WT_cortex,Blank_Blank_Blank_Blank_Blank
DG(O-38:9)|DG(36:2)_C18:2,-4.300700006896018,6.761808895864103,71.64213764821636,2.5798801587594388e-17,8.247876867553926e-14,DAG,4575.620296478272,3260.920238494873,187964.4136619568,11845.860782623293,3242.3402366638184,940433.7267990112
DG(35:6)_C16:0,-4.197678926823693,3.2963266245990375,68.99962180208894,9.848232399626554e-17,1.5742399490803047e-13,DAG,2623.2201919555664,2630.7801818847656,44525.6035118103,2629.5001792907715,87727.64617919922,2623.120189666748
DG(34:0)_C16:0,-4.014841099680287,4.169408821750959,64.4244613111473,1.0030509853885866e-15,1.0689180000957705e-12,DAG,6686.820503234863,4413.720336914063,134117.96994018555,2630.620174407959,106689.14765548706,3417.0002250671387
DG(36:3)_C16:1,2.700511602542976,5.847702843272867,41.557985466999526,1.1442613337985727e-10,9.145508710385092e-8,DAG,343017.6452636719,329497.80101776123,74434.1650390625,33302.52237701416,32338.66215133667,48801.16325378418
DG(39:6)_C18:0,-2.4951621397642527,3.3245933825373464,29.310171215432096,6.167113314925375e-8,3.9432522535632844e-5,DAG,2590.060199737549,2588.020191192627,29284.34208297729,7143.780544281006,2590.360195159912,69420.62530517578
DG(38:3)_C18:1,-2.2716032474900563,2.298846185352891,24.87803922000057,6.10742147138013e-7,3.2542377406670465e-4,DAG,5515.740428924561,3421.38024520874,2930.100204467773,26991.88175201416,29198.021995544437,2901.940200805664
[TG(60:13)|TG(59:6)]_FA22:5,-2.2535918829716204,9.149628825962882,24.55427874386078,7.224573956587767e-7,3.299566134173013e-4,TAG,432459.3494873047,636547.6641235352,1476578.274169922,5006692.261291504,468631.6297607422,53200.70385742188
[TG(60:14)|TG(59:7)|TG(58:0)]_FA22:6,-2.150370391733736,9.172058640187904,22.592497126479433,2.0026516715121843e-6,8.003096742280567e-4,TAG,498476.6548461914,657984.2404785156,1567117.0953979492,4912454.311706543,499520.81744384766,69407.06466674805
FA(15:2),1.9272135823139567,10.34023540450243,21.82939490879653,2.9799957631915144e-6,0.001058560717213697,FA,2058713.6491699216,11833325.024902344,522685.6975097656,2689719.373413086,2046973.4653930664,63076.88415527344
[TG(58:12)|TG(57:5)]_FA20:4,-2.06366957248182,8.530385967460552,20.98951098421094,4.618047419428352e-6,0.001476389759991244,TAG,346676.7258300781,429139.6723022461,970408.9857177734,3079960.5739746094,352631.5078125,75362.9658203125
DG(38:4)_C18:1,-1.9740058570550336,2.198550558761315,19.358423523846795,1.0834028159369515e-5,0.003148762547773122,DAG,7123.9404792785645,2892.22021484375,2890.1001892089844,23758.24155807495,26636.50194168091,3023.700225830078
