lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_hippocampus,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_hippocampus,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_hippocampus,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank
LPE(20:2),5.218186842529308,4.573691610166206,223.7953285275606,1.3444883784141056e-50,4.338663997142319e-47,PE,2251.5601539611816,2216.220146179199,386055.4677848816,342430.14724731445,10192.700828552246,2125.4401359558105,2058.2001457214355,2127.5601501464844,2265.580150604248,3187.380271911621,2087.800148010254,2000.340129852295
LPE(20:1),3.7907982518688716,3.186879677481418,136.47396449060193,1.5716084154536222e-31,2.5357901783344196e-28,PE,2481.9801902771,2274.4601516723637,86616.38613510132,171943.6100578308,7805.120422363281,3642.240261077881,2763.5001945495605,2040.1801376342771,2231.1801376342773,2318.440174102783,2107.780139923096,2031.0601501464844
LPE(20:3),3.092968267092733,2.894901190540412,97.40825753862742,5.641028947591923e-23,6.067866804626378e-20,PE,2451.740146636963,2885.7402000427246,118867.42853164671,77489.36529541016,7855.660625457764,2019.980136871338,2139.6401557922363,3120.4002113342285,2212.4001693725586,5207.5804443359375,2098.780143737793,2059.740146636963
[TG(61:12)|TG(60:5)]_FA22:6,2.864812541763773,10.722380736468581,85.52252079225582,2.290776844942948e-20,1.848084219657723e-17,TAG,1964597.0122070312,480614.39709472656,19410951.02148437,13619564.489135742,5246253.037353516,7045603.99520874,453621.83193969727,1570971.2520751953,760355.5217895508,579936.9184265137,640968.4714355469,153794.44931030273
LPE(20:0),2.849905835925485,2.2233989182595684,84.61863959830525,3.6183786639377985e-20,2.3353015897054552e-17,PE,2217.220146179199,2188.8401527404785,62723.90397262573,54680.84397888184,4801.900329589844,2571.800178527832,2034.1601486206052,2124.74015045166,2062.580146789551,2132.360145568848,2257.8401527404785,2168.840148925781
[TG(61:11)|TG(60:4)]_FA22:5,2.8154730748332586,10.51530611316025,82.99134739791224,8.241334264629114e-20,4.432464278659692e-17,TAG,1755738.7368164062,440731.9926757813,16195405.749633787,11820811.877563477,4717405.499389648,6291816.236877441,385300.46588134766,1397400.684326172,662964.7284240723,549390.8406982422,584445.1047363281,137564.6700744629
DG(37:4)_C16:1,2.4826503940665345,8.525849227577838,66.56011350656628,3.393843501922949e-16,1.5645618543864796e-13,DAG,1786008.5904846191,137014.44999694824,1954716.955535889,734521.1391487122,3176351.913017273,1948034.9388694763,39429.50277709961,37313.78267669678,784492.0373497009,133211.84944915771,36455.42232513428,43886.56324768066
DG(34:4)|DG(dO-36:4)_C16:1,2.2749934034376826,8.819938004959031,56.93934189158608,4.4946362528571705e-14,1.813023898496261e-11,DAG,1857368.0333251955,329758.5263786316,5684061.168457031,1107847.4912452698,689285.7465057373,1830091.190093994,69864.04468536377,78258.94566726685,559346.867111206,676689.3136062622,72187.6453666687,77399.72564697266
DG(31:1)_C16:1,2.239851447993718,9.22064043193241,55.36404233534996,1.0015184309778478e-13,3.590999974183905e-11,DAG,3142247.3413085938,368648.7060852051,4106221.7010498047,2292516.308959961,1884771.9234046936,1665236.3315429688,125250.8090171814,143884.9900894165,945925.6959571838,393086.95028305054,140743.26978302002,988632.05859375
DG(32:3)_C16:1,2.2322801970060286,8.324698436109486,55.026145085066666,1.18937127739679e-13,3.838101112159441e-11,DAG,1658128.8932495115,200632.7957611084,2129486.633422852,1116295.9083862305,1133135.9825210571,994220.6136779784,72543.48545837402,76907.56525039673,504374.49139404297,210910.21404647827,78990.96538925171,532644.7174072266
