lipid,logFC,logCPM,LR,PValue,FDR,type,DOD94_F3_Female_WT_cortex,FAD184_F3_Female_WT_cortex,FAD184_F4_Female_WT_cortex,FAD185_M4_Male_WT_cortex,FAD189_M3_Male_WT_cortex,DOD93_F4_Female_5xFAD_cortex,DOD94_F4_Female_5xFAD_cortex,FAD185_M1_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_cortex,FAD189_M1_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_cortex,Blank_Blank_Blank_Blank_Blank
LPE(20:2),-5.090398018018736,3.4639192243069776,94.70824989235271,2.206178093068627e-22,7.119336706332459e-19,PE,2104.0001525878906,2855.6202278137207,2177.340148925781,2187.74015045166,2173.5601692199707,2140.8401527404785,2055.260139465332,552806.6551513672,111081.00933074953,86580.92544937134,5080.360347747803,2000.340129852295
DG(40:10)|DG(39:3)_C18:0,-3.66515817675287,4.167885351278064,56.76015108453271,4.9234280026421667e-14,7.943951082263137e-11,DAG,2589.300205230713,11740.800819396973,10730.2007522583,14801.721046447754,11472.880821228027,4340.680313110352,12429.50089263916,162299.21299362183,14495.061027526855,16362.201206207275,1000045.3145713806,3224.120246887207
LPE(20:1),-3.1429949130459636,1.7396224957039632,43.94837668218182,3.371518528613668e-11,3.0115376072355185e-8,PE,2632.7401847839355,2424.5601692199707,2335.320152282715,2575.700180053711,2460.460163116455,2401.66015625,2268.1601524353027,132247.60803985596,37634.5627822876,30525.00203704834,4573.460258483887,2031.0601501464844
LPE(20:3),-3.1344546902084027,1.9205004661517813,43.74907691711633,3.7329254505553375e-11,3.0115376072355185e-8,PE,2204.24015045166,4398.340377807617,2424.300148010254,2821.360221862793,2089.3801498413086,3510.120292663574,2667.400157928467,154099.91077041626,44359.44305801392,28154.30215072632,4231.86022567749,2059.740146636963
DG(36:3)_C18:0,-2.9236396964944964,6.149607875274546,38.86724552116994,4.5362859250884096e-10,2.927718936052059e-7,DAG,58645.66415786743,59841.54425430298,56077.08395767212,62208.74425125122,64007.36476135254,56192.32408905029,57656.14430618286,931371.2541313173,63198.22480773926,60623.46455001831,3222199.0540618896,65619.12463378906
DG(37:4)_C16:1,-2.836229890071551,8.304919256580504,36.88591453860863,1.2524753344078673e-9,6.736229840223647e-7,DAG,542675.7545471191,36888.88260650635,34804.762592315674,760026.1086730957,162884.57500076294,766270.7359771729,255512.80290222168,8200150.804519653,5743482.041870117,103009.04527282716,4309899.743774414,43886.56324768066
LPE(20:0),-2.7174070151326455,1.1044676417250674,34.217169242585236,4.9292140848379624e-9,2.2723676931103007e-6,PE,2104.6001472473145,1964.2201461791992,2012.6401329040527,2056.340148925781,2132.100143432617,2069.4001502990723,2071.8001403808594,71327.20523071289,28689.922233581543,20198.2014503479,3630.240203857422,2168.840148925781
LPE(20:4),-2.684410369670313,2.4930726644554846,33.510089984860315,7.089525315227841e-9,2.8597372740300305e-6,PE,3832.840297698975,13525.22087097168,2845.580192565918,3242.400260925293,2589.7201538085938,6735.740474700928,3850.160335540772,264536.8984298706,42672.74304962158,18893.04136657715,2492.0801582336426,2961.640182495117
DG(O-38:9)|DG(36:2)_C18:2,2.255598232521202,5.746794790772706,26.74856054725751,2.317242822455291e-7,8.308602875625805e-5,DAG,187964.4136619568,11845.860782623293,3242.3402366638184,230581.25721740723,3236.6802368164062,4575.620296478272,3260.920238494873,6379.320491790772,13213.320667266846,151216.47158813477,3237.9602279663086,940433.7267990112
DG(35:4)|DG(O-36:4)|DG(dO-37:4)_C16:1,-2.2698160434001724,1.2789940565340292,24.870572208226577,6.131124008503466e-7,1.9785137175440685e-4,DAG,2930.920207977295,2925.6802253723145,2994.740207672119,3185.740234375,3054.280235290528,2965.4802169799805,13078.760986328123,18257.84135055542,4564.260383605957,4662.000331878662,87828.32587814331,2929.0802116394043
[TG(61:11)|TG(60:4)]_FA22:5,-1.9327142348532174,9.091216806106404,18.56552561492481,1.6416267921225475e-5,0.004815936052890419,TAG,1173045.948059082,482631.3127441406,438117.9112548828,1296124.043701172,1053492.7370605469,1170944.4728393557,907871.4001464844,8521712.768066406,4608218.761413574,10325682.837280272,5724398.009887695,137564.6700744629
[TG(61:12)|TG(60:5)]_FA22:6,-1.9170188000796597,9.26997292790383,18.288569665366595,1.8984285530088315e-5,0.005105190783799583,TAG,1369124.905090332,530313.7134399414,486219.5783691406,1433235.3274230957,1254910.9294433594,1424490.3291015625,998759.9576416016,9870692.794921877,5181720.438232422,11158015.578308104,6604237.154663086,153794.44931030273
PE(40:6)|PE(dO-40:0),-1.758109357715431,11.661249665608924,15.577966220078702,7.917183940443466e-5,0.019652886596777743,PE,3489119.844482422,4432735.776367188,9505223.0205078125,8038495.532470703,3376109.065185547,15191566.969482422,3431023.107910156,43347592.783691406,31246872.606933597,51209255.81933594,34694237.58496094,183418.73315429688
PI(38:4),-1.7124026688344987,10.521378889749272,14.830824975726566,1.1759758590597465e-4,0.027106243551327156,PI,1776969.6245117188,2063641.091796875,3898993.835205078,4279395.711425781,1512645.3295898438,5742859.923706055,2109606.07421875,18964249.315185547,16849076.783203125,23123847.909423828,14071898.182006836,67657.58447265625
[TG(55:11)|TG(54:4)]_FA16:0,-1.6900727365460866,10.493809843309242,14.471264130969933,1.4231408453161673e-4,0.02870297192397045,TAG,1606772.1477661133,2259594.576416016,3477323.428466797,4731802.588012695,1488280.5549316406,5927175.963745117,1948502.0974121091,18014893.56103516,17120540.081298828,23811293.59033203,12255546.647460938,59198.84399414063
PE(38:4),-1.6939281649327538,10.972964869358897,14.53308828019692,1.3771931219848786e-4,0.02870297192397045,PE,2465664.9471435547,2664567.080078125,6141552.260253906,5163527.187744141,2087434.925048828,10397772.046875,2355764.881103516,27268403.8125,19092853.46899414,31245602.11767578,19068376.90673828,85672.04602050781
PE(40:4),-1.6769793876202708,8.607594723120487,14.262080315151254,1.5903673794573947e-4,0.03018891490299419,PE,498830.63818359375,552232.2177734375,1085930.3853759766,954276.1706542968,509846.5017089844,1771396.681640625,486563.8381347656,5156349.554321289,3654582.1630859375,6057575.626220703,3967990.270507813,98494.9072265625
PE(38:6),-1.6574900139112465,10.146172558954442,13.953114963045786,1.874268354197818e-4,0.033601466549979774,PE,1301386.884765625,1740542.4760742188,3367245.0888671875,2917959.9802246094,1302656.1987304688,5047215.410400391,1359327.8920898438,15037976.588867188,10983687.037109377,17349277.5859375,11787906.68725586,125977.90869140624
[TG(54:5)]_FA16:1,-1.639922954349185,10.393551033018637,13.676998527248104,2.1709732551746089e-4,0.035028653472242315,TAG,1500615.077758789,2053373.1634521484,3364039.373046875,4635697.680175781,1521280.9294433594,5704877.237548828,1964871.592041016,16958184.77001953,14953420.697875977,21246502.786376957,12163959.627197266,50920.82379150391
PE(40:5),-1.6460443982463124,8.95063907269376,13.772932749777747,2.062870207738582e-4,0.035028653472242315,PE,602433.2048339844,713340.54931640625,1438955.0966796875,1262407.2348632812,639283.82275390625,2344075.2465820312,643073.9892578125,6389070.266113281,4653219.323486328,7480201.199951172,5042232.229125977,122497.78845214844
DG(36:3)_C16:1,-1.597087707626841,5.741938495393067,13.01307766581704,3.0932314131349695e-4,0.047532656048507364,DAG,74434.1650390625,33302.52237701416,32338.66215133667,368930.0072631836,52217.42389297485,343017.6452636719,329497.80101776123,486105.276184082,509943.0180358887,148940.02978897095,653151.9675445557,48801.16325378418
PS(40:6),-1.5756055186246838,12.69166814809344,12.685702268995689,3.6846217934317536e-4,0.05404670239729213,PS,8979179.66015625,7561599.554710388,21840351.5546875,17076816.54296875,7583059.552734375,28633114.78125,13590343.8203125,76398576.09375,75990235.078125,78843048.484375,64728846.71875,5027281.986328125
PS(40:5),-1.5685198772607838,9.75417263139593,12.578390931324668,3.902325623696795e-4,0.05475132516378069,PS,1179678.2250976562,956047.6093788148,2838107.3564453125,2247580.670898437,1062075.83984375,3891333.376953125,1815814.046875,10077343.0390625,9741415.49609375,10119040.55078125,8324860.8505859375,656079.64892578125
FA(18:2),1.4749953043299746,6.449899446266317,11.873149868482876,5.694901439196274e-4,0.06958785765827614,FA,353681.74938964844,84620.44519042969,109838.74688720705,2289840.9837646484,194293.45635986328,174883.3123779297,298758.0430908203,73112.46588134766,52096.063415527344,883728.8199462891,90337.70544433594,92326.447265625
LPE(18:4),-1.5185369368811528,4.808641223259617,11.831933830094385,5.822349416713529e-4,0.06958785765827614,PE,51492.88330078125,47761.20330810547,49976.36376953125,47077.783203125,60453.204345703125,52224.92346191406,49601.64385986328,82219.50634765625,1005620.4807128906,60744.32434082031,73540.64447021484,56470.204345703125
PE(38:3),-1.528114501601443,8.07110302127645,11.973842591288756,5.395256766704612e-4,0.06958785765827614,PE,372071.2834472656,390681.7878417969,824770.82275390625,720438.8970947266,379877.4064941406,1360535.1088867188,366301.8857421875,3420122.5803222656,2445326.789794922,3938309.053222656,2513095.718017578,87890.98571777344
PG(40:6),-1.5274433521422963,13.049700940974066,11.963955827604593,5.42395956237774e-4,0.06958785765827614,PG,8951768.888671875,16144537.72265625,21708278.05078125,23102026.1640625,13995563.025390623,35941538.203125,16318027.291015623,91332560.65625,86909209.125,122695345.265625,80955134.140625,6247493.1796875
PG(40:5),-1.5006719851421162,10.237552669223984,11.57050922687042,6.700606560511366e-4,0.07722449060989349,PG,1287889.1137695312,2316902.014648437,3103028.116210937,3317074.04296875,2102062.8798828125,5296196.798828125,2459894.5283203125,12990467.689453123,12140071.599609377,17123154.8359375,11258568.373046877,911319.083984375
PE(38:5),-1.4871287212606814,8.715554205306159,11.373588961894246,7.449579556725815e-4,0.0824938625523466,PE,598200.7032470703,622375.3010253906,1370444.770263672,1176950.8321533203,535431.5792236328,2222563.019897461,704204.1866455078,5405551.490600586,3822759.138305664,6043773.176269531,3553550.383422852,90965.40686035156
PS(44:10),-1.4834051949221936,7.332072165360321,11.319656072897486,7.669091653456456e-4,0.0824938625523466,PS,266842.44091796875,214642.7950630188,428408.1923828125,425464.2678222656,259238.83850097656,641092.24072265625,345416.46423339844,1755101.0349731443,1924792.956298828,1813574.4926757808,1501847.7849121094,178567.05322265625
[TG(60:13)|TG(59:6)]_FA22:5,1.4278385673592189,9.356962047699712,11.14448832316942,8.428171746053629e-4,0.0877345491113389,TAG,1476578.274169922,5006692.261291504,468631.6297607422,7972292.2341918945,7195262.272033691,432459.3494873047,636547.6641235352,5124024.193603516,4144828.5814819336,3038763.270385742,451908.2137451172,53200.70385742188
PE(37:6)|PE(O-38:6)|PE(P-38:5),-1.4567302609571782,7.315881704389857,10.936856225278461,9.426999066523743e-4,0.09244899037243305,PE,237175.61572265625,259109.55615234372,465625.9736328125,395321.00744628906,276625.79919433594,745007.6301269531,210001.71362304688,2072888.4025878904,1414588.7409667969,2123818.973876953,1590561.8583984375,87416.285888671875
PS(40:4),-1.4563544232490728,8.766864348219727,10.931550603250361,9.454033722622532e-4,0.09244899037243305,PS,635715.2255859375,511712.8385543823,1519825.486328125,1158994.94921875,578633.96435546875,2035990.462890625,989768.6083984376,4976274.620117188,4757635.73046875,5086891.26953125,3696157.09765625,383398.1474609375
PE(40:7)|PE(39:0)|PE(O-40:0),-1.447876146128205,8.490486321185942,10.811085639730663,0.0010089412014748576,0.09576038991645192,PE,519877.1125488281,576350.87939453125,1067736.5004882812,946431.9060058594,665234.53173828125,1561211.3298339844,676361.0720214844,4343308.433349609,3566598.883300781,4985810.662597656,3418156.8325195312,96693.20751953124
PG(40:4),-1.4423602382783858,9.07264598772006,10.733033443858897,0.001052397846986547,0.09703108149215962,PG,634237.32421875,963610.7668457032,1474767.2685546875,1506665.7421875,978264.73681640625,2493463.6215820312,1177726.2592773438,5736583.612304688,5233927.9609375,7657596.0546875,4491225.3916015625,462435.61083984375
[TG(57:11)|TG(56:4)]_FA18:0,-1.4380456156484631,10.392147305139792,10.672160167770308,0.0010876003161252334,0.09749128389267023,TAG,1379161.2879638672,1880239.676513672,2806493.59753418,7629215.138183594,1546564.6716308594,4832760.173217773,1761593.2873535156,14239368.055419922,17517204.248046875,22275028.104492188,10521773.92138672,70663.724853515625
PG(44:10),-1.4166818092636362,7.583270084574802,10.37279848298931,0.0012788555156322218,0.10860175655118894,PG,255423.93798828125,395361.4685058594,408634.56884765625,529206.7170410156,385704.8481445313,744821.0944824219,389888.1271972656,1921570.922241211,2041307.1669921875,2616082.8555908203,1722463.9986572266,225876.27685546875
PI(38:5),-1.4197962841297544,8.325217635532141,10.416229745431338,0.0012491264832688953,0.10860175655118894,PI,423277.7694091797,498361.8754272461,779560.6536254883,1352134.7801208496,490867.3954467773,1119096.808959961,515557.4985961914,3686723.4069213863,3856433.2319335938,4789882.901916504,2799331.3391723637,48350.22351074219
[TG(56:6)]_FA18:2,-1.3932598351384882,10.504813616128402,10.048954267997342,0.001524344470874948,0.12612973352598605,TAG,1427898.8934631348,1977272.6573486328,3125846.0353393555,8579042.205688477,1862816.550415039,5174941.485107422,1875696.3706054688,14824561.268554688,19141378.685546875,23916602.868164062,11449713.509399414,73558.2855834961
[TG(60:14)|TG(59:7)|TG(58:0)]_FA22:6,1.3481147177551496,9.400922089627441,9.960574702035565,0.0015992812373209642,0.12902201382086878,TAG,1567117.0953979492,4912454.311706543,499520.81744384766,7820687.160888672,7613255.686950684,498476.6548461914,657984.2404785156,5563803.180603027,4428502.7599487305,3110837.784790039,517850.45892333984,69407.06466674805
[TG(57:12)|TG(56:5)]_FA18:1,-1.34863563734737,10.46656715145426,9.444244012824509,0.0021181278845935395,0.1667121630142281,TAG,1484045.8963623047,2025860.334350586,3073813.681762696,8459174.358520508,1841414.9481201167,5272141.137939453,1894808.1474609373,14890686.978149414,18582394.400878903,22294989.740722656,10630071.40222168,56143.94445800781
[TG(56:7)|TG(55:0)]_FA18:3,-1.333156328385788,10.548461246015556,9.238318260405894,0.002370025214664913,0.17192084171279293,TAG,1578622.8901367188,2134664.323486328,3310466.8178710938,9046845.160888672,1936158.3298339844,5426749.87890625,1865521.9798583984,15740141.481933594,19629600.48779297,24100626.41357422,11055952.15649414,82315.86602783203
[TG(58:12)|TG(57:5)]_FA20:4,1.29839478482054,8.811272472511773,9.253335837624032,0.002350668462053024,0.17192084171279293,TAG,970408.9857177734,3079960.5739746094,352631.5078125,5767369.647827148,4611952.990356445,346676.7258300781,429139.6723022461,3226479.6328125,3081779.358642578,2556454.357055664,437030.0534057617,75362.9658203125
PE(34:1)|PE(O-35:1)|PE(P-35:0),-1.3315693663013335,8.081461208929028,9.217284501486576,0.002397408700674212,0.17192084171279293,PE,395656.6053466797,381315.8688964844,976025.5106201172,819113.8359375,425985.3041992188,1480760.4100341797,415527.7700195313,3483166.6595458984,2151868.8321533203,3730881.174682617,2204433.140991211,129344.28930664062
PE(36:4)|PE(O-37:4),-1.3373539104734975,8.02891212160132,9.293927533180977,0.0022991470064686608,0.17192084171279293,PE,414488.7325439453,421888.1517333984,863531.0770263672,755541.5720214844,422999.6525878906,1346798.0341796875,415863.3293457031,3307400.5643310547,2280871.6212158203,3512245.492675781,2218425.670898437,98054.26770019533
FA(21:0),1.2803048223511273,9.826362083529244,9.0020485673471,0.0026967714713923055,0.18918438126484718,FA,10091469.951171877,1284533.8189697266,2653263.0649414062,9940246.5185546875,3065077.2026367188,5132891.686767578,2378260.6767578125,1641074.6489257812,802351.0339355469,6025232.510253906,1411071.6573486328,227035.07763671875
[TG(54:5)]_FA16:0,-1.3121121033620335,8.392884086035817,8.96153450793804,0.002757232070275343,0.1893103806548624,TAG,390061.08447265625,549514.2028808594,709402.1491699219,1878019.436645508,508651.7344970703,1171736.9924316406,497345.7489013672,3547548.057006836,4376900.6455078125,5260067.856201172,2447693.9404907227,40556.68292236328
FA(22:7),1.2636093137460345,9.347265206112592,8.77296759527147,0.0030572762558857347,0.20553813495298473,FA,7156085.592529297,812427.5235595703,1658935.2374267578,7778849.842285156,2031319.7890625,3449798.106567383,1753404.581298828,1097702.2104492188,549234.8453369141,4970265.036865234,889459.32421875,193464.1936035156
PE(O-38:8)|PE(36:1)|PE(O-37:1)|PE(P-37:0),-1.2817583685642604,8.332047862915536,8.568886599954565,0.0034195620779409698,0.22520258827582673,PE,450333.2120361328,402430.1301269531,1261961.9608154297,1005253.7857666016,603787.3037109375,1753980.5989990234,443790.9528808594,3834475.800415039,2347836.34765625,5200978.193603516,2562225.8247070312,91276.406005859375
PS(44:12),-1.271852451060277,6.69236864258352,8.442368371059274,0.003665785231630725,0.236589778849447,PS,191090.1131591797,178387.31309127808,272674.2999267578,254802.5400390625,225075.19396972656,393392.50390625,216815.9754638672,1007226.6348876952,1232946.00390625,963961.2912597656,1039946.0678710938,147182.3505859375
DG(O-38:8)|DG(36:1)_C18:2,1.2223183617430333,3.147901088849724,8.213856955854737,0.004157169358267719,0.25311670790811186,DAG,3238.9002227783203,3231.380229949951,3242.120220184326,37739.122661590576,3237.1402168273926,3257.020236968994,3236.080238342285,3230.420238494873,3237.940242767334,17045.881072998047,3237.2602500915527,166867.05351257324
PE(39:6)|PE(O-40:6)|PE(P-40:5),-1.254067202581629,7.992544404337748,8.217478481736634,0.00414888095783275,0.25311670790811186,PE,467438.4957275391,472563.2149658203,651361.5799560547,720396.8547363281,561026.2607421875,960872.0323486328,488905.7979736328,2965650.240966797,2179750.1737060547,3169389.4306640625,2592859.2263183594,231214.3924560547
PG(44:12),-1.2550258804402434,6.965020676110613,8.229497701146101,0.004121493521148273,0.25311670790811186,PG,184608.53247070312,296162.4587402344,259631.19775390625,323762.8416748047,324561.5417480469,477882.8159179688,271692.2392578125,1129622.182006836,1313712.0927734375,1443875.1848144531,1268822.0268554688,162836.79052734375
DG(35:3)_C18:0,-1.2392327238070264,4.014525049071587,8.031367264419487,0.004597412223218902,0.2554103149282043,DAG,30461.782146453857,33993.402267456055,31971.382320404053,33583.262435913086,34489.16237640381,34434.20234298706,31385.68217086792,47902.40325164795,34273.122608184814,32607.862270355225,541101.714630127,45704.34292602539
DG(O-38:9)|DG(36:2)_C18:0,-1.2368640173918384,3.7736863270157524,8.001819182100462,0.004673037758518829,0.2554103149282043,DAG,29541.042068481445,28224.32202148437,27394.961990356445,28226.101947784424,27929.86191558838,28494.122257232662,26703.62189102173,125610.08701324464,29447.34225082397,31279.10215377808,380014.9611053467,32929.36228942871
FA(16:2),1.2048654941029924,4.9916031358344455,7.988704258110374,0.004707009005395079,0.2554103149282043,FA,163644.79333496094,58518.84477233887,41617.62307739258,510933.7736816406,45933.54287719727,46851.96337890625,123172.34985351562,38776.343017578125,30418.662078857426,268117.97399902344,28859.40200805664,141914.6102294922
FA(20:0),1.2137223117601807,9.56125128529646,8.104985456864934,0.004414367584425841,0.2554103149282043,FA,8562945.333984375,1036863.5219726562,1890347.124145508,8125364.66015625,2367332.5908203125,4115184.8583984375,2230263.399902344,1309922.0490722656,681317.8017578125,5437064.0361328125,1111918.1818847656,258155.2587890625
FA(22:0),1.2070758500293097,9.119277738318141,8.017841325636255,0.004631874666194195,0.2554103149282043,FA,5696791.430175781,918275.8037109376,1997989.267578125,5561232.562744141,2066467.6014404297,3176324.888671875,1802088.4720458984,1076329.3959960938,579338.4577636719,3189613.0620117188,938636.0021972656,158888.591796875
