Lipid,Class,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1498962.5366210938,1640511.7080078125,1468215.3647460938,1455302.6083984375,1517652.2963867188,1300758.2841796875,1356376.1943359375,1553075.8388671875,1770335.1005859375,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1490627.2612304688,1620460.4702148438,1434255.701171875,1426995.7827148438,1442118.8286132812,1332756.2084960938,1313436.7885742188,1536662.2856445312,1833013.6752929688,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"(13Z,16Z)-docosadienoylcarnitine",CAR,1468592.0839233398,1801727.1483154297,1494908.485961914,1415503.9500732422,1514023.7989501953,1284612.1057128906,1277668.0494384766,1509455.984741211,1846519.2565917969,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,2392796.6845703125,2414485.858154297,2782494.2834472656,2515677.2600097656,2177589.061767578,3004035.1204833984,2011026.9294433596,2188599.0122070312,2077579.7651367188,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,24583201.19921875,20847168.3828125,28155528.892578125,22671427.51611328,34723637.06933594,15439015.444335938,37982357.49316406,18655737.47460937,1785924.2541503906,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1929676.493652344,1850445.7600097656,1793115.135986328,1852051.1657714844,1707312.4143066406,1685194.9013671875,1660596.78125,1881966.8132324216,2578376.07409668,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1291661.7513427734,1585961.4837646484,1354965.4031982422,1177180.6912841797,1447871.6550292969,1148186.4895019531,1091271.1774902344,1370722.953857422,1684194.2908935547,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,16167813.693847656,18424387.296875,16605329.997558594,25047980.522460938,24543649.78955078,25626555.60546875,21029996.70898437,8047711.172851562,2395006.220703125,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,6473824.611083984,7022553.862060547,6461878.519042969,9142425.646728516,9132833.381347656,8561014.840332031,7636011.399658203,4199385.319580078,2817110.0759277344,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,15425044.841796877,17616816.35986328,15560660.842773438,23578611.47607422,23004359.768066406,24808766.91748047,19723779.49658203,7436995.044921875,2155070.9477539062,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
1-O-behenoyl-Cer(d18:1/16:0),Cer,34723.00240325928,36657.50228881836,39095.64287948608,48923.5634727478,37555.88233184815,41078.122703552246,41187.70300292969,27728.001831054688,22294.401321411133,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/16:0),Cer,95524.1658706665,72723.06428146362,87146.86511993408,155467.693359375,73221.06582641602,63072.24443435669,96314.38687133788,71027.58568572998,49086.90395736694,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/18:0),Cer,22350.52140426636,19638.42140197754,19103.36149597168,21265.18152618408,19184.941383361816,16931.921321868896,20784.1814994812,21460.881801605225,32565.38228225708,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),Cer,77170.1263885498,71760.08392715454,66176.30462646484,109173.28615570068,77536.20505905151,63247.98458099365,78392.94470977783,111197.36640167236,104272.36771011353,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),Cer,260292.91549301147,226606.41647338867,224349.4774131775,218882.65203475952,217872.79592895508,157930.9115447998,228741.71733093265,339689.64263916016,544596.580368042,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,40271.942752838135,48901.74348449707,79985.14546966553,45007.06316757202,38794.08239746094,40477.462688446045,47302.34348678589,36310.98204803467,28402.641986846924,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,88004.54573059082,67973.50408935547,83376.7452545166,147981.1301498413,69986.14563369751,70156.98491287231,90403.96683502196,53195.04327392578,19274.341342926025,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),Cer,48533.30375289917,53109.183780670166,59416.14421081543,49433.40335083008,43722.223094940186,44181.50326156616,49011.963397979736,45070.7234954834,43334.30277252197,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),Cer,42280.12342071533,51340.90389251709,57042.14367675781,44925.50315475464,38691.3226890564,39518.76318740845,44456.16331863403,41486.06307220459,50665.82361602783,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
1-O-stearoyl-Cer(d18:1/16:0),Cer,45861.98350524902,60920.96372222901,108743.84694671632,58732.24412536621,43761.36296844482,51899.82354354858,56296.36441421509,42019.50308609009,32940.40257644653,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,42481.76253890991,46389.883586883545,47993.66288375855,85672.64553451538,45309.76321029663,42341.26301193237,47969.623191833496,34593.72241592407,21537.66153717041,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,9886.160655975342,11597.380840301514,10146.580741882324,12243.720832824709,8869.920574188232,9018.440578460692,11086.620765686035,10810.2406539917,12759.900817871094,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,4456442.3203125,4906805.72265625,4376553.2001953125,5851287.732910156,5240845.183105469,5983760.49609375,5044906.811035156,2897261.4868164062,2428656.8916015625,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
12:0 Cholesteryl ester,CE,197889.75340271,192208.85467529297,196251.07221984863,46403.643058776855,45492.56311035156,169429.59413146973,191839.97328186035,48507.40311431885,158999.98956298828,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
12:0 Cholesteryl ester_2,CE,188985.39365386963,191529.11226654053,181537.25415039065,43779.26319885254,49127.3635559082,170046.1913909912,177208.31147766113,51444.80327987671,163044.15301513672,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
14:0 Cholesteryl ester,CE,107592.74710083008,111948.30752563477,95863.90637207033,37085.942611694336,34170.76250457764,99233.18690490724,90300.9059906006,40449.28260803223,85346.74568939209,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
14:1 Cholesteryl ester,CE,105616.70771789552,114755.32794189452,89815.82641601562,36128.2225151062,35097.92267227173,93945.5266494751,94580.62687683104,39776.48303985596,91728.62675476074,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: WT | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: WT__Brain Region: diencephalonBlank1,5,3,10xBlank_01202023
