Lipid,Class,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1498962.5366210938,1640511.7080078125,1468215.3647460938,1455302.6083984375,1517652.2963867188,1324620.29296875,1469218.4106445312,1479341.6264648438,1496397.3359375,1650848.89453125,1770335.1005859375,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1490627.2612304688,1620460.4702148438,1434255.701171875,1426995.7827148438,1442118.8286132812,1322329.38671875,1437470.2348632812,1481437.8369140625,1510009.1274414062,1611557.333984375,1833013.6752929688,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"(13Z,16Z)-docosadienoylcarnitine",CAR,1468592.0839233398,1801727.1483154297,1494908.485961914,1415503.9500732422,1514023.7989501953,1265010.6803588867,1427897.3614501953,1472655.911315918,1561466.8793945312,1541192.444946289,1846519.2565917969,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,2392796.6845703125,2414485.858154297,2782494.2834472656,2515677.2600097656,2177589.061767578,2194784.690185547,2492220.4825439453,2412503.1643066406,2579735.21484375,2093678.0153808594,2077579.7651367188,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,24583201.19921875,20847168.3828125,28155528.892578125,22671427.51611328,34723637.06933594,30582186.538085938,28337082.129882812,139608184.45239258,26376597.729492188,25367756.571044922,1785924.2541503906,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1929676.4936523438,1850445.7600097656,1793115.1359863281,1852051.1657714844,1707312.4143066406,1606353.2426757812,1873921.4216308594,1902876.1496582031,2005393.2492675781,1818268.4250488281,2578376.0740966797,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1291661.7513427734,1585961.4837646484,1354965.4031982422,1177180.6912841797,1447871.6550292969,1110796.737915039,1253343.1610107422,1276397.7185058594,1314163.5539550781,1433375.4030761719,1684194.2908935547,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,16167813.693847656,18424387.296875,16605329.997558594,25047980.522460938,24543649.78955078,23314671.77001953,12741658.968261719,19088064.09716797,16634745.890625,15611679.194824219,2395006.220703125,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,6473824.611083984,7022553.862060547,6461878.519042969,9142425.646728516,9132833.381347656,8245887.214111328,5412256.6162109375,7534727.410644531,6695696.98828125,6682941.8681640625,2817110.0759277344,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,15425044.841796875,17616816.35986328,15560660.842773438,23578611.47607422,23004359.768066406,22132601.1640625,12139073.696289062,18102972.64501953,15758916.812988281,14440797.770507812,2155070.9477539062,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-behenoyl-Cer(d18:1/16:0),Cer,34723.00240325928,36657.50228881836,39095.642879486084,48923.5634727478,37555.882331848145,42416.122787475586,30153.32243347168,25673.94190979004,38013.282623291016,29481.562602996826,22294.401321411133,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/16:0),Cer,95524.1658706665,72723.06428146362,87146.86511993408,155467.693359375,73221.06582641602,63292.42442703247,81261.78657150269,59303.043910980225,157176.4503211975,59104.12437057495,49086.90395736694,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: diencephalon vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
