Lipid,Class,DOD100-M1-WT-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M5FAD173-WT-Cortex10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1450974.412109375,1446175.0439453125,1469500.5795898438,1300758.2841796875,1356376.1943359375,1553075.8388671875,1770335.1005859375,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1464825.83203125,1445031.9301757812,1422254.4301757812,1332756.2084960938,1313436.7885742188,1536662.2856445312,1833013.6752929688,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"(13Z,16Z)-docosadienoylcarnitine",CAR,1547859.0264282227,1384342.3704833984,1401085.4095458984,1284612.1057128906,1277668.0494384766,1509455.984741211,1846519.2565917969,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,2341072.076904297,2281951.5776367188,2132253.7890625,3004035.1204833984,2011026.9294433594,2188599.0122070312,2077579.7651367188,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,75825428.85351562,29749622.64453125,40969587.21484375,15439015.444335938,37982357.49316406,18655737.474609375,1785924.2541503906,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1808904.2744140625,1820135.4990234375,1873401.7072753906,1685194.9013671875,1660596.78125,1881966.8132324219,2578376.0740966797,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1355693.1580810547,1244091.2459716797,1216621.2817382812,1148186.4895019531,1091271.1774902344,1370722.9538574219,1684194.2908935547,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,11026079.612304688,19093728.143554688,15453683.577636719,25626555.60546875,21029996.708984375,8047711.1728515625,2395006.220703125,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,4689957.828857422,7210002.552490234,6411734.287353516,8561014.840332031,7636011.399658203,4199385.319580078,2817110.0759277344,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,10508922.293945312,17918375.471679688,14634731.657226562,24808766.91748047,19723779.49658203,7436995.044921875,2155070.9477539062,Genotype: WT | Brain Region: cortex,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cortex vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
