Lipid,Class,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1300758.2841796875,1356376.1943359375,1553075.8388671875,1456478.2348632812,1413134.9760742188,1427365.9682617188,1770335.1005859375,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1332756.2084960938,1313436.7885742188,1536662.2856445312,1450859.4833984375,1382104.2397460938,1351883.9409179688,1833013.6752929688,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"(13Z,16Z)-docosadienoylcarnitine",CAR,1284612.1057128906,1277668.0494384766,1509455.984741211,1468483.6235961914,1328693.3626708984,1344775.7668457031,1846519.2565917969,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,3004035.1204833984,2011026.9294433594,2188599.0122070312,2338786.4896240234,2207064.514526367,2303434.2719726562,2077579.7651367188,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,15439015.444335938,37982357.49316406,18655737.474609375,26782130.583007812,71101793.19970703,66282272.07910156,1785924.2541503906,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1685194.9013671875,1660596.78125,1881966.8132324219,1825433.8562011719,1740083.2781982422,1721781.189453125,2578376.0740966797,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1148186.4895019531,1091271.1774902344,1370722.9538574219,1245549.2482910156,1155280.1492919922,1153606.4608154297,1684194.2908935547,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,25626555.60546875,21029996.708984375,8047711.1728515625,16846448.53515625,17096836.13671875,17868681.639160156,2395006.220703125,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,8561014.840332031,7636011.399658203,4199385.319580078,6432831.161865234,6656555.244384766,6981670.763916016,2817110.0759277344,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,24808766.91748047,19723779.49658203,7436995.044921875,16027996.416015625,16234431.179199219,16859631.28076172,2155070.9477539062,Genotype: WT | Brain Region: diencephalon,Genotype: WT | Brain Region: hippo,Genotype: WT__Brain Region: diencephalon vs Genotype: WT__Brain Region: hippoBlank1,3,3,10xBlank_01202023
