Lipid,Class,DOD100-M1-WT-cerebellum10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
1-O-carboceroyl-Cer(d18:1/16:0),Cer,92730.02653503418,82360.3857345581,87016.90506744385,63072.24443435669,96314.38687133789,71027.58568572998,49086.90395736694,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/18:0),Cer,23910.721534729004,21830.84148788452,21737.881813049316,16931.921321868896,20784.1814994812,21460.881801605225,32565.38228225708,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),Cer,97478.24760437012,85335.76477050781,105676.1282157898,63247.98458099365,78392.94470977783,111197.36640167236,104272.36771011353,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),Cer,305559.53926086426,284533.3180465698,315078.30672073364,157930.9115447998,228741.71733093262,339689.64263916016,544596.580368042,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,50221.263679504395,97699.06726837158,35528.922370910645,40477.462688446045,47302.34348678589,36310.98204803467,28402.641986846924,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,77242.60544967651,81890.94709014893,73431.82516098022,70156.98491287231,90403.96683502197,53195.04327392578,19274.341342926025,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),Cer,55769.94352340698,59503.92415237427,51984.18327713013,44181.50326156616,49011.963397979736,45070.7234954834,43334.30277252197,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),Cer,42922.682651519775,68184.54487991333,40714.48252868652,39518.76318740845,44456.16331863403,41486.06307220459,50665.82361602783,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-stearoyl-Cer(d18:1/16:0),Cer,61475.42427444458,137949.04893875122,43658.14338684082,51899.823543548584,56296.36441421509,42019.50308609009,32940.40257644653,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,43802.02247619629,44314.10312652588,45363.443408966064,42341.26301193237,47969.623191833496,34593.72241592407,21537.66153717041,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,11110.9609375,11287.780799865723,10400.820728302002,9018.440578460693,11086.620765686035,10810.2406539917,12759.900817871094,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
