Lipid,Class,BlankBrain_NA_x,C-1BrainF,C-2BrainF,C-3BrainF,C-4BrainM,C-5BrainM,C-6BrainM,E-1BrainF,E-2BrainF,E-3BrainF,E-4BrainM,E-5BrainM,E-6BrainM,BlankPlasma_NA,C-1BMVF,C-1PlasmaF,C-2BMVF,C-2PlasmaF,C-3BMVF,C-3PlasmaF,C-4BMVM,C-4PlasmaM,C-5BMVM,C-5PlasmaM,C-6BMVM,C-6PlasmaM,E-1BMVF,E-1PlasmaF,E-2BMVF,E-2PlasmaF,E-3BMVF,E-3PlasmaF,E-4BMVM,E-4PlasmaM,E-5BMVM,E-5PlasmaM,E-6BMVM,E-6PlasmaM,blankBMV_NA,BlankBrain_NA_y,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,1125.580078125,1127.0000762939453,1204.1000747680664,1129.4000816345215,1178.8200721740723,1127.8600769042969,1125.5800743103027,1121.980079650879,1128.0800704956055,1125.2800788879395,1167.240089416504,1128.4800720214844,1132.6600799560547,1206.5800857543945,1126.0200843811035,1187.8400802612305,1127.8800773620605,1127.860065460205,1128.7200775146484,1129.5000801086426,1125.6200904846191,1131.2600746154785,1125.3800811767578,1126.8000717163086,1127.62007522583,1127.160083770752,1192.0600814819336,1128.0400772094727,1128.6400756835938,1127.54008102417,1158.1800727844238,1166.660068511963,1126.340072631836,1197.6000938415527,1124.3800773620605,1125.2400817871094,1121.3800888061523,1135.1800651550293,1124.080078125,1125.580078125,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
1-O-carboceroyl-Cer(d18:1/18:0),Cer,1126.0800819396973,1162.3800811767578,1126.660083770752,1130.1000709533691,1129.2000846862793,1127.6000785827637,1199.9000816345215,1121.3000869750977,1173.12007522583,1126.2000694274902,1203.8000831604004,1128.2800750732422,1183.4400749206543,1125.7400741577148,1177.220085144043,1125.4800720214844,1128.580078125,1128.3600730895996,1129.4600677490234,1210.9600868225098,1125.3200759887695,1130.8200759887695,1153.3200874328613,1127.0400886535645,1152.7400741577148,1126.340072631836,1124.7200736999512,1128.4800758361816,1128.4400749206543,1207.5400848388672,1128.3000679016113,1129.1800689697266,1125.0800819396973,1237.7400932312012,1187.2600860595703,1168.3600883483887,1121.5600814819336,1125.940086364746,1123.9000816345215,1126.0800819396973,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
1-O-cerotoyl-Cer(d18:1/16:0),Cer,1126.1400833129883,1126.3600730895996,1126.7800788879395,1130.2000732421875,1129.0200729370117,1127.760066986084,1125.420078277588,1121.2200927734375,1128.8600692749023,1125.8800811767578,1140.7600784301758,1128.0400733947754,1131.9200706481934,1126.2400741577148,1126.5800819396973,1125.1400909423828,1127.7200775146484,1127.5200843811035,1128.6000709533691,1222.580078125,1126.2600784301758,1213.8200798034668,1125.7800750732422,1127.3400650024414,1126.9200820922852,1126.3600769042969,1186.420093536377,1160.4800758361816,1142.100082397461,1153.1800727844238,1128.5200729370117,1129.1200828552246,1126.1000862121582,1124.4000816345215,1125.0400886535645,1177.6600761413574,1121.9800910949707,1125.54008102417,1124.4600830078125,1126.1400833129883,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
1-O-cerotoyl-Cer(d18:1/18:0),Cer,1128.12007522583,1126.9800758361816,1126.9400787353516,1130.0600776672363,1154.1200866699219,1126.980079650879,1125.9800910949707,1121.6600723266602,1127.9800720214844,1126.020076751709,1125.0800971984863,1128.4800834655762,1132.0200805664062,1126.020076751709,1135.880084991455,1125.3800811767578,1128.6600875854492,1163.5400848388672,1128.7800827026367,1129.1400718688965,1125.3000755310059,1131.6000785827637,1126.000087738037,1126.900074005127,1127.9000816345215,1126.7200813293457,1125.1400756835938,1128.200080871582,1128.0600776672363,1183.04008102417,1128.4800834655762,1129.12007522583,1125.9200744628906,1124.3600807189941,1124.8200759887695,1154.4400749206543,1121.5800857543945,1125.380084991455,1124.520076751709,1128.12007522583,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,1083.3200721740723,1085.4000778198242,1084.6600723266602,1127.6000785827637,1086.8800735473633,1116.720069885254,1083.4400787353516,1156.5400733947754,1086.4600677490234,1084.0200729370117,1099.7400741577148,1085.6800804138184,1089.7400703430176,1084.0400695800781,1146.320083618164,1084.0200805664062,1172.420078277588,1086.2600746154785,1129.1800842285156,1086.9600563049316,1083.2600860595703,1089.640064239502,1083.9200706481934,1151.1000785827637,1086.200080871582,1084.920066833496,1199.600082397461,1147.0200805664062,1195.8400917053223,1120.2600746154785,1087.2000770568848,1086.8800621032715,1083.9200897216797,1104.0800743103027,1082.6600723266602,1098.2000732421875,1080.7600708007812,1084.2600708007812,1082.12007522583,1083.3200721740723,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,1125.9000854492188,1162.500072479248,1146.7200775146484,1130.4400825500488,1128.5400657653809,1127.8000755310059,1125.2800827026367,1121.8600845336914,1128.1600799560547,1125.3400840759277,1124.9000778198242,1128.3800735473633,1132.1400756835938,1126.5400695800781,1126.3000755310059,1163.4400939941406,1127.640079498291,1127.380069732666,1176.0000915527344,1129.7600708007812,1125.3000831604004,1131.8600769042969,1125.5800743103027,1126.9000854492188,1127.1800804138184,1156.5400772094727,1124.940086364746,1128.0200729370117,1128.180076599121,1126.920078277588,1128.3400764465332,1128.760082244873,1125.4000816345215,1123.880069732666,1156.4000854492188,1124.1800727844238,1122.0600700378418,1134.4000854492188,1124.7800827026367,1125.9000854492188,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,1184.060073852539,1126.6600761413574,1127.280071258545,1158.160083770752,1200.2000846862793,1126.8800735473633,1126.1400909423828,1121.4000778198242,1128.62007522583,1153.080078125,1125.1800727844238,1127.8400688171387,1190.6400871276855,1125.8600692749023,1126.5200805664062,1207.340087890625,1174.3400802612305,1168.4800834655762,1128.7200775146484,1191.5000762939453,1133.0400772094727,1171.2600784301758,1283.280086517334,1126.7600746154785,1128.0800743103027,1134.180088043213,1126.0200805664062,1128.400074005127,1292.8200874328613,1127.0600852966309,1188.1800727844238,1155.7800827026367,1125.6600723266602,1123.8200874328613,1124.4400901794434,1125.1400756835938,1122.0800704956055,1175.8000869750977,1175.4200859069824,1184.060073852539,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,1199.3000755310059,1126.8600730895996,1127.2200775146484,1130.1400718688965,1143.3200912475586,1127.9400749206543,1176.7600860595703,1121.3800735473633,1128.1600875854492,1134.0000839233398,1125.1600799560547,1259.460090637207,1131.980079650879,1125.5400772094727,1126.780086517334,1125.7800750732422,1127.4800758361816,1143.2800827026367,1129.1800804138184,1196.0800857543945,1160.4800872802734,1234.9400901794434,1180.8000869750977,1127.3200721740723,1127.580078125,1154.5000801086426,1129.5400772094727,1128.1000862121582,1128.8800735473633,1127.3800811767578,1128.980068206787,1157.1200790405273,1177.1600952148438,1205.6401100158691,1163.180076599121,1194.920093536377,1153.5000801086426,1125.7600746154785,1227.2200813293457,1199.3000755310059,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,1125.6400871276855,1126.520076751709,1126.5200843811035,1129.8600730895996,1129.280071258545,1127.2600708007812,1125.440086364746,1121.3200874328613,1183.3200721740723,1125.3600845336914,1124.9600791931152,1128.2800788879395,1131.8800811767578,1125.8200759887695,1125.8400764465332,1126.0600776672363,1128.3400840759277,1127.6400871276855,1128.8600769042969,1145.9000778198242,1125.4200859069824,1131.3200874328613,1125.8000755310059,1126.2600898742676,1128.1600723266602,1126.5400695800781,1125.2200736999512,1127.9800758361816,1128.5000801086426,1127.0800895690918,1128.8400802612305,1128.520076751709,1125.8000793457031,1123.7400970458984,1124.4200744628906,1133.2000732421875,1122.240077972412,1125.4600715637207,1123.9800834655762,1125.6400871276855,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
CAR,CAR,2588.7201652526855,3006.0402069091797,2701.640167236328,2605.360179901123,2640.9401931762695,2790.120216369629,3324.70023727417,2805.4601974487305,2757.0001945495605,2313.840160369873,2679.300178527832,2940.120220184326,2954.2202072143555,2805.740177154541,2819.8002014160156,2770.080207824707,3173.440231323242,2712.500171661377,2818.1002197265625,2876.740177154541,3000.4402084350586,2699.6401748657227,2633.220188140869,2393.9001693725586,2737.6601905822754,2740.600170135498,2673.12020111084,3075.4402084350586,3053.7802352905273,2831.2202110290527,2612.62020111084,2855.920196533203,2818.4201850891113,2472.320198059082,2630.860179901123,2327.9201736450195,2832.4801902770996,2791.3402252197266,2793.380195617676,2588.7201652526855,Type: Brain,Type: Plasma BMV,Type: Brain vs Type: Plasma BMV,13,26,BlankBrain_NA
