Lipid,Class,E-4BMVM,E-4BrainM,E-4LiverM,E-4PlasmaM,E-4RetinaM,E-5BMVM,E-5BrainM,E-5LiverM,E-5PlasmaM,E-5RetinaM,BlankBrain_NA,Title1,Title2,Title,length1,length2,Blank_name
CAR(17:0)_QUAL,CAR,10467.120693206787,11329.100791931152,11407.220905303955,11326.500888824463,8920.8205909729,12070.24091720581,12518.940940856934,10776.10075378418,12144.080940246582,12948.200981140137,15632.661148071289,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(18:0),CAR,7457.360576629639,7254.900463104248,7311.440517425537,7176.9205322265625,5569.780406951904,7266.980457305908,7339.5604820251465,7184.260517120361,7567.240566253662,8060.160587310791,8575.28059387207,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(18:0)_QUAL,CAR,7636.600574493408,8217.340572357178,7571.840530395508,7782.500492095947,7411.2604904174805,7194.160549163818,8224.780582427979,8365.82069015503,7761.520553588867,8811.260650634766,14055.081008911133,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(18:1),CAR,3740.5002784729004,3204.3002433776855,3092.1402130126953,3351.18021774292,3395.060245513916,3708.020248413086,3766.800247192383,3897.2002754211426,3567.200222015381,3386.5802688598633,6257.400451660156,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(18:1)_QUAL,CAR,9640.32075881958,11081.580795288086,10619.560771942139,10867.54080581665,8377.800552368164,10590.88070678711,11089.240760803223,11080.540824890137,9980.000694274902,10329.56069946289,13669.480964660645,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(18:2),CAR,7315.660541534424,8071.420539855957,8084.540622711182,7816.080593109131,5813.920375823975,7643.340522766113,8123.300621032715,7852.220527648926,7434.000564575195,7008.1804847717285,15570.361053466797,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(18:2)_QUAL,CAR,6826.540496826172,6954.900421142578,6127.480445861816,6741.320514678955,5809.000465393066,6042.100421905518,6873.660469055176,7209.400444030762,6575.760478973389,7839.380573272705,7260.000568389893,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(18:3),CAR,6923.200477600098,6923.940498352051,7169.50048828125,5825.220413208008,4922.900341033936,6182.300457000732,6061.020431518555,6579.920394897461,6502.6804275512695,7775.420558929443,6574.480445861816,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(18:3)_QUAL,CAR,9562.600681304932,10364.800796508789,9967.600734710693,10160.340675354004,7626.480522155762,9164.240699768066,9489.60062789917,10545.400764465332,8643.820705413818,10566.220764160156,10625.70080947876,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(18:4),CAR,8225.120590209961,7959.980571746826,7970.780662536621,7421.860546112061,4252.580261230469,7798.4205894470215,6602.180438995361,7590.58056640625,8040.440525054932,6526.480491638184,8512.540561676025,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(18:4)_QUAL,CAR,9681.900737762451,10198.260719299316,10076.640743255615,8577.940586090088,8047.860542297363,10374.980766296387,10306.040767669678,10112.340721130371,10327.720718383789,12092.56078338623,11509.580810546875,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(20:0),CAR,2846.800189971924,2821.200183868408,3770.320297241211,2784.500202178955,2336.4601516723633,3437.2002487182617,3558.300266265869,3989.840316772461,2723.660167694092,3461.2002449035645,4040.3802795410156,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(20:0)_QUAL,CAR,11306.460765838623,11829.720798492432,11215.320793151855,11480.240726470947,11682.140869140625,13326.121002197266,12211.72089767456,10999.100769042969,10224.180686950684,13586.280990600586,10983.14079284668,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(20:1),CAR,5882.8004150390625,5183.040355682373,5395.7003746032715,6079.220401763916,4781.80037689209,5195.300342559814,5221.860347747803,4785.540321350098,4904.040370941162,5754.800354003906,10238.260486602783,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(20:1)_QUAL,CAR,6168.720485687256,6293.960472106934,6473.900444030762,6369.780387878418,5255.50040435791,5787.360431671143,6292.260448455811,6580.040435791016,6856.940475463867,7702.360488891602,6994.920455932617,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(20:2),CAR,8536.360607147217,8745.8205909729,8125.300586700439,7930.300556182861,5299.480377197266,8859.880603790283,8633.48062133789,9417.200630187988,8187.040626525879,8698.16056060791,11362.280754089355,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(20:2)_QUAL,CAR,7083.060489654541,5892.5204429626465,5285.300422668457,5722.360382080078,4367.100330352783,5689.28035736084,4768.040351867676,6231.200420379639,6178.760482788086,6471.300537109375,6046.840408325195,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(20:4),CAR,4216.200275421143,3700.7402687072754,3627.560291290283,3660.8002319335938,2921.080207824707,4174.680316925049,3922.700294494629,4039.1602897644043,3901.7602920532227,3451.5002479553223,4425.940315246582,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(20:4)_QUAL,CAR,6735.100498199463,6965.900520324707,7533.160556793213,6859.560543060303,5846.620384216309,7382.82052230835,7866.280563354492,7508.180522918701,8465.060623168945,8353.800510406494,8200.92056274414,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(22:0),CAR,4248.160297393799,5010.900310516357,4879.340328216553,4323.060272216797,3684.360294342041,5454.080425262451,5575.320419311523,5168.700347900391,5023.500339508057,5152.940361022949,7062.320465087891,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(22:0)_QUAL,CAR,5113.860305786133,6636.2204513549805,6056.8604164123535,6048.300380706787,4655.500373840332,6312.400436401367,7060.080474853516,6843.10041809082,5577.220386505127,7040.2805252075195,6993.86051940918,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(22:2),CAR,4486.780303955078,5188.980377197266,4581.180347442627,4336.400310516357,3333.820224761963,5094.460361480713,4592.820331573486,4978.400375366211,4804.060348510742,4998.260353088379,5427.660346984863,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(22:2)_QUAL,CAR,10169.380683898926,10275.38070678711,10726.200855255127,10244.14070892334,9736.88069152832,11244.080833435059,10957.920795440674,10830.260799407959,11546.900909423828,10743.620685577393,11603.960777282715,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(22:4),CAR,4635.3403244018555,5960.900436401367,4475.960308074951,5854.460380554199,3433.5402450561523,5723.780426025391,6419.000461578369,6005.780479431152,5237.060321807861,6068.32043838501,4460.2802810668945,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(22:4)_QUAL,CAR,8889.98062133789,9888.320671081543,8398.600551605225,9749.30065536499,7362.560501098633,9210.26065826416,10337.120704650879,10532.220672607422,10710.620677947998,10458.760738372803,9533.180648803711,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(22:5),CAR,3610.8202590942383,4959.600337982178,4213.260326385498,4152.720287322998,3414.0402450561523,4146.0402755737305,3867.34029006958,3580.7802505493164,4469.42032623291,4864.480319976807,4361.300304412842,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(22:5)_QUAL,CAR,18624.281295776367,21520.12168121338,18969.26134109497,19585.061408996582,14362.660926818848,20983.30166244507,19974.40134048462,20228.981380462646,18992.161415100098,22754.621551513672,20664.5414352417,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(22:6),CAR,6868.780487060547,7899.080581665039,7215.0205001831055,7259.820568084717,4750.200370788574,7191.280506134033,6882.900447845459,7625.440601348877,7442.380527496338,8417.840648651123,10166.90071105957,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(22:6)_QUAL,CAR,8461.440502166748,9405.160705566406,8871.160568237305,9623.100749969482,7447.300552368164,9800.200679779053,9756.440704345703,9092.640647888184,9957.240783691406,10872.120780944824,14327.981048583984,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(26:0),CAR,9133.66072845459,9888.760749816895,8430.30061340332,9190.520641326904,7049.940460205078,8759.060642242432,8445.600563049316,8532.720558166504,9226.560684204102,9998.240737915039,11135.580696105957,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(26:0)_QUAL,CAR,3803.3002967834473,4568.380352020264,4446.520313262939,4296.400276184082,4341.8002853393555,4504.540332794189,4468.840286254883,4135.680313110352,3954.980281829834,5983.50040435791,4934.44030380249,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(2:0),CAR,223975.396774292,238187.23596954346,232166.49808502197,239500.59897994995,90780.80589675903,240486.1158027649,256874.50066375732,237539.95714950562,237409.557762146,237730.43705749512,228032.9575805664,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(2:0)_QUAL,CAR,2545.4401931762695,2430.7601737976074,2074.2001457214355,2736.480178833008,1889.4401245117188,2838.4001808166504,2839.4602127075195,2463.880168914795,2763.900161743164,2000.480136871338,2918.3402252197266,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(3:0),CAR,9477.380683898926,9021.860637664795,9260.880626678467,9081.660675048828,5050.020332336426,9632.720703125,9769.360660552979,9346.460689544678,8597.000545501709,8549.640663146973,9091.040565490723,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(3:0)_QUAL,CAR,2067.700149536133,2475.760181427002,2326.860164642334,3129.9602279663086,1759.880126953125,2730.520217895508,2432.64017868042,2290.580177307129,2652.3202018737793,2777.9602088928223,2514.3801879882812,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(3:1),CAR,20623.481441497803,22542.6814994812,21322.121517181396,20756.26153945923,11676.560897827148,20548.961532592773,22533.161911010742,21938.10152053833,20139.661460876465,19850.881492614746,20445.221389770508,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(3:1)_QUAL,CAR,2698.660202026367,2926.960189819336,2711.4602241516113,2603.8602027893066,2096.660140991211,2623.2601890563965,3021.1602058410645,2575.9201850891113,2585.5601692199707,2709.6001892089844,2529.4601860046387,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(4:0),CAR,19191.72127532959,18384.381439208984,19619.30136489868,18130.4613571167,8954.160606384277,18690.12128829956,19315.68133544922,18804.101188659668,20199.621242523193,17548.28133392334,19013.361404418945,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(4:0)_QUAL,CAR,2228.0801429748535,1791.2601318359375,2060.8801498413086,1948.080135345459,1750.9401206970215,1895.3201370239258,2076.7801475524902,2090.8801498413086,2173.9201698303223,2168.800163269043,2224.0001487731934,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(4:1),CAR,21093.78147125244,21256.881580352783,19648.681484222412,20426.80139541626,11681.260807037354,20512.341499328613,22913.421684265137,20499.58141708374,21089.641609191895,21193.001426696777,24590.70191192627,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(4:1)_QUAL,CAR,2551.1601943969727,2554.7801780700684,2785.240177154541,2884.3601875305176,1817.9601287841797,3170.4602088928223,3083.5801963806152,2819.200168609619,2707.9401931762695,2719.0802001953125,2918.6601791381836,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(5:0),CAR,7538.900543212891,7490.940448760986,7697.120555877686,7938.240528106689,4084.0203170776367,8059.060615539551,8409.740493774414,8077.300582885742,8032.920558929443,8781.480602264404,7615.000579833984,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(5:0)_QUAL,CAR,2047.20015335083,2212.5401458740234,1816.3601417541504,2000.0801277160645,1723.260124206543,1894.080150604248,2151.9001426696777,2253.8401489257812,2198.1201782226562,2376.120162963867,1868.100112915039,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(5:1),CAR,32607.74253463745,34405.58224487305,34418.00242996216,33935.88227844238,16622.961029052734,34345.82224273682,36072.682666778564,34845.14261627197,35714.58271026611,35441.222564697266,33777.04251098633,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(5:1)_QUAL,CAR,3398.460231781006,4042.4602966308594,3703.800266265869,3348.540237426758,3033.6201972961426,3721.240234375,3612.480281829834,4381.080307006836,3681.4802627563477,3737.7802200317383,4210.700294494629,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(6:0),CAR,5059.120330810547,6697.46049118042,5873.240440368652,5834.420375823975,3723.4602966308594,5727.280387878418,5786.100399017334,6185.6404457092285,5585.900375366211,6807.8404541015625,5583.1604080200195,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(6:0)_QUAL,CAR,2860.6002044677734,2682.9002075195312,2755.700183868408,3038.300205230713,1805.9601211547852,2771.200222015381,2634.760181427002,2521.5001907348633,2698.560188293457,2752.8402099609375,3132.6002235412598,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(6:1),CAR,16065.181133270264,18073.781272888184,16366.241329193115,18347.901294708252,12586.140972137451,16454.921272277832,17045.701305389404,17405.60118484497,17591.721214294434,17409.761150360107,17376.281272888184,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(6:1)_QUAL,CAR,3593.040271759033,3656.1202697753906,4048.7402725219727,4752.240306854248,3602.36026763916,3758.760269165039,4086.8602714538574,3693.440284729004,5472.940383911133,4699.060363769531,4855.040306091309,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(7:0),CAR,4176.8203048706055,4711.400360107422,4759.720359802246,4470.700309753418,3341.720241546631,4350.040321350098,4231.380279541016,4848.320323944092,4788.000305175781,4959.500370025635,5580.160404205322,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(7:0)_QUAL,CAR,3280.720241546631,3867.8202629089355,2717.720169067383,3227.3802223205566,2730.7201766967773,3103.300205230713,3275.7402114868164,3205.3201866149902,3350.7002143859863,3594.5002822875977,3669.4202575683594,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(8:0),CAR,4361.100311279297,4123.68030166626,4108.040279388428,4317.020313262939,3058.200183868408,4675.0402908325195,4558.8603515625,3997.7402725219727,4085.6603088378906,4009.0002937316895,5171.540340423584,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(8:0)_QUAL,CAR,2221.440174102783,3090.8602333068848,3026.200222015381,3410.8602294921875,2623.6401710510254,3570.32027053833,2916.120216369629,2837.6402168273926,3028.380199432373,2856.540210723877,3078.620185852051,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(8:1),CAR,5301.700393676758,5899.840400695801,5447.800380706787,5644.16036605835,4158.220294952393,5745.200454711914,5156.7803382873535,6795.360462188721,4910.220363616943,5421.8603515625,5277.780342102051,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(8:1)_QUAL,CAR,5093.32035446167,5412.060340881348,4545.420307159424,5689.300437927246,4668.180335998535,5025.260303497314,5530.080421447754,5709.820407867432,5016.960338592529,5764.820407867432,6877.800483703613,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(9:0),CAR,3158.8602180480957,3098.8002014160156,3241.9602394104004,2780.560188293457,2080.780143737793,3478.140251159668,3346.1602325439453,3532.76025390625,2867.380195617676,3847.940269470215,3386.9002265930176,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
