Lipid,Class,E-4BMVM,E-4BrainM,E-4LiverM,E-4PlasmaM,E-4RetinaM,E-5BMVM,E-5BrainM,E-5LiverM,E-5PlasmaM,E-5RetinaM,BlankBrain_NA,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,1126.340072631836,1167.240089416504,1177.3000831604004,1197.6000938415527,1126.0600852966309,1124.3800773620605,1128.4800720214844,1235.0800743103027,1125.2400817871094,1126.9400787353516,1125.580078125,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
1-O-carboceroyl-Cer(d18:1/18:0),Cer,1125.0800819396973,1203.8000831604004,1126.920078277588,1237.7400932312012,1126.0600662231445,1187.2600860595703,1128.2800750732422,1124.9600715637207,1168.3600883483887,1125.5600814819336,1126.0800819396973,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
1-O-cerotoyl-Cer(d18:1/16:0),Cer,1126.1000862121582,1140.7600784301758,1126.740077972412,1124.4000816345215,1126.720069885254,1125.0400886535645,1128.0400733947754,1141.9800872802734,1177.6600761413574,1181.2000885009766,1126.1400833129883,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
1-O-cerotoyl-Cer(d18:1/18:0),Cer,1125.9200744628906,1125.0800971984863,1127.3800735473633,1124.3600807189941,1125.4600715637207,1124.8200759887695,1128.4800834655762,1125.0400772094727,1154.4400749206543,1126.1000862121582,1128.12007522583,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,1083.9200897216797,1099.7400741577148,1084.8200721740723,1104.0800743103027,1086.880084991455,1082.6600723266602,1085.6800804138184,1082.940071105957,1098.2000732421875,1084.4000663757324,1083.3200721740723,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,1125.4000816345215,1124.9000778198242,1209.7600860595703,1123.880069732666,1125.9800758361816,1156.4000854492188,1128.3800735473633,1124.660083770752,1124.1800727844238,1155.740077972412,1125.9000854492188,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,1125.6600723266602,1125.1800727844238,1181.9000778198242,1123.8200874328613,1126.4400787353516,1124.4400901794434,1127.8400688171387,1124.7800636291504,1125.1400756835938,1126.6000785827637,1184.060073852539,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,1177.1600952148438,1125.1600799560547,1127.520076751709,1205.6401100158691,1340.700096130371,1163.180076599121,1259.460090637207,1158.500087738037,1194.920093536377,1126.680076599121,1199.3000755310059,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,1125.8000793457031,1124.9600791931152,1126.7600746154785,1123.7400970458984,1126.1000747680664,1124.4200744628906,1128.2800788879395,1124.420078277588,1133.2000732421875,1126.1000747680664,1125.6400871276855,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR,CAR,2818.4201850891113,2679.300178527832,2762.18017578125,2472.320198059082,2246.040142059326,2630.860179901123,2940.120220184326,2854.3201942443848,2327.9201736450195,3083.800220489502,2588.7201652526855,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(10:0),CAR,3331.260238647461,3360.320266723633,2903.9001998901367,3217.960220336914,2681.6401901245117,3230.0202102661133,3226.20023727417,2959.8401947021484,3303.8402366638184,3446.140209197998,3689.7602729797363,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(10:0)_QUAL,CAR,18446.961349487305,19621.44150543213,17121.460975646973,17404.10136795044,11937.14073562622,18662.761306762695,18662.30125427246,19003.141410827637,19206.461170196533,21289.94147491455,19356.50132751465,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(10:1),CAR,6041.700412750244,6166.220386505127,5653.460369110107,5854.620407104492,3586.3002586364746,5648.4404296875,5727.700412750244,5827.640434265137,6269.380443572998,6107.820426940918,6174.940448760986,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(10:1)_QUAL,CAR,4690.020347595215,5106.680400848389,4367.76033782959,4913.380355834961,3897.3803100585938,4958.440372467041,4142.520286560059,4263.740287780762,4365.240325927734,5784.000396728516,4806.960353851318,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(10:2),CAR,5080.240341186523,4778.120323181152,4535.180335998535,5214.140300750732,3020.0602416992188,5243.280376434326,5540.060390472412,4687.760341644287,5986.580410003662,6440.760410308838,6771.000469207764,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(10:2)_QUAL,CAR,25864.40184402466,26043.181922912598,27366.181732177734,26497.301803588867,21316.701610565186,27945.08187866211,28126.181911468506,26358.96174621582,27397.642086029053,25562.041927337646,32151.52230834961,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(10:3),CAR,7767.680511474609,7768.940544128418,7929.440567016602,5707.2404136657715,4745.320301055908,7036.380535125732,9071.500732421875,6978.520462036133,7513.640552520752,9543.9206199646,9761.660720825195,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(10:3)_QUAL,CAR,4783.160343170166,5162.780376434326,5000.700355529785,5407.5604248046875,3701.30025100708,4560.0402908325195,4454.100318908691,4822.760307312012,5032.840347290039,4067.080310821533,9963.06069946289,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(11:0),CAR,4352.700305938721,3749.400260925293,4827.860389709473,3843.580276489258,2998.8802337646484,4206.800296783447,4882.880336761475,4224.620288848877,4185.880271911621,4778.6603355407715,4856.380348205566,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(11:0)_QUAL,CAR,5349.480388641357,6339.440452575684,6463.660411834717,6432.3204345703125,4626.900302886963,6337.760475158691,6185.000492095947,5808.740417480469,5293.8004150390625,6529.820529937744,5877.420421600342,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(12:0),CAR,2767.340156555176,2853.6602096557617,2335.500160217285,2569.0401573181152,2076.9001426696777,2622.220188140869,2321.540168762207,2164.5201568603516,3192.28023147583,2419.200164794922,3984.22029876709,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(12:0)_QUAL,CAR,6165.340435028076,6407.360431671143,6213.0604820251465,6727.180465698242,4653.080341339111,6289.380477905273,6576.24044418335,6356.860408782959,6853.340538024902,7638.940505981445,6072.34049987793,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(14:0),CAR,3575.0002632141113,3294.5802268981934,3249.9002227783203,3528.920249938965,2448.860179901123,3503.3602561950684,3203.3401985168457,3117.0201988220215,2813.5001945495605,3658.300235748291,3739.8202896118164,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(14:0)_QUAL,CAR,7245.5205001831055,7988.600528717041,7644.58056640625,9029.380641937256,6176.600456237793,7807.280570983887,8283.560562133789,7681.080471038818,7813.420600891113,9894.160781860352,10098.500709533691,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(14:1),CAR,8960.540599822998,9618.0207862854,9702.060661315918,7792.380500793457,4324.080284118652,9551.340663909912,8247.840579986572,8364.960620880127,9395.860717773438,8983.080707550049,8637.660598754883,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(14:1)_QUAL,CAR,6794.640430450439,8554.980564117432,6793.180515289307,6765.860481262207,6399.080467224121,7442.160552978516,6808.720413208008,7359.680515289307,6673.460479736328,7240.940559387207,9287.540687561035,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(14:2),CAR,5509.260383605957,6052.340408325195,5130.400352478027,5134.8003578186035,4820.90034866333,6101.30046081543,5902.460376739502,6246.540454864502,6619.420444488525,5332.7604331970215,9306.600570678711,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(14:2)_QUAL,CAR,64461.58485412598,63761.66422653198,64701.64421081543,62887.10453796387,49587.2833442688,65224.76443481445,64953.98435211182,67799.34468078613,67073.8051147461,63887.26514053345,80536.3257446289,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(16:0),CAR,2864.680206298828,3078.5602264404297,3282.960235595703,3215.000232696533,2797.240188598633,3684.740245819092,2994.380226135254,3359.020248413086,3195.4202308654785,3416.2002601623535,4314.000267028809,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(16:0)_QUAL,CAR,9953.800735473633,9618.180652618408,10065.360786437988,8665.48066329956,7632.3005027771,9995.260791778564,10090.540729522705,9309.48066329956,9997.760723114014,9321.700714111328,10733.06078338623,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(16:1),CAR,4125.7602615356445,4139.180294036865,2817.0602073669434,3542.4202461242676,3333.720272064209,4376.680328369141,3288.7602500915527,3348.0202255249023,3870.5802841186523,4397.880302429199,5797.720478057861,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(16:1)_QUAL,CAR,5221.940376281738,7115.600532531738,6625.080455780029,6600.140453338623,5858.060375213623,6549.700481414795,6322.220432281494,6373.840469360352,6624.360469818115,7343.020565032959,11013.300758361816,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(16:2),CAR,3629.5402641296387,3581.8602294921875,4336.180320739746,3342.2802124023438,2820.5201988220215,3909.5802574157715,3511.3602561950684,4396.6403160095215,2889.120220184326,4142.46028137207,6465.920524597168,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(16:2)_QUAL,CAR,4382.8803062438965,4030.4402618408203,4873.800327301025,4516.560359954834,3319.000255584717,4874.900356292725,5138.8403968811035,4672.300312042236,4399.800319671631,5430.300380706787,5021.320365905762,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
CAR(17:0),CAR,17984.74122238159,17699.141227722168,16836.261108398438,17270.901264190674,12249.000930786133,18507.261363983154,19725.641441345215,18389.801193237305,17812.92136001587,21623.961429595947,19686.281394958496,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,5,5,BlankBrain_NA
