Lipid,Class,BlankBrain_NA_x,C-1BrainF_x,C-2BrainF_x,C-3BrainF_x,C-4BrainM_x,C-5BrainM_x,C-6BrainM_x,E-1BrainF_x,E-2BrainF_x,E-3BrainF_x,E-4BrainM_x,E-5BrainM_x,E-6BrainM_x,BlankBrain_NA_y,C-1BrainF_y,C-2BrainF_y,C-3BrainF_y,C-4BrainM_y,C-5BrainM_y,C-6BrainM_y,E-1BrainF_y,E-2BrainF_y,E-3BrainF_y,E-4BrainM_y,E-5BrainM_y,E-6BrainM_y,BlankBrain_NA,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,1125.580078125,1127.0000762939453,1204.1000747680664,1129.4000816345215,1178.8200721740723,1127.8600769042969,1125.5800743103027,1121.980079650879,1128.0800704956055,1125.2800788879395,1167.240089416504,1128.4800720214844,1132.6600799560547,1125.580078125,1127.0000762939453,1204.1000747680664,1129.4000816345215,1178.8200721740723,1127.8600769042969,1125.5800743103027,1121.980079650879,1128.0800704956055,1125.2800788879395,1167.240089416504,1128.4800720214844,1132.6600799560547,1125.580078125,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
1-O-carboceroyl-Cer(d18:1/18:0),Cer,1126.0800819396973,1162.3800811767578,1126.660083770752,1130.1000709533691,1129.2000846862793,1127.6000785827637,1199.9000816345215,1121.3000869750977,1173.12007522583,1126.2000694274902,1203.8000831604004,1128.2800750732422,1183.4400749206543,1126.0800819396973,1162.3800811767578,1126.660083770752,1130.1000709533691,1129.2000846862793,1127.6000785827637,1199.9000816345215,1121.3000869750977,1173.12007522583,1126.2000694274902,1203.8000831604004,1128.2800750732422,1183.4400749206543,1126.0800819396973,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
1-O-cerotoyl-Cer(d18:1/16:0),Cer,1126.1400833129883,1126.3600730895996,1126.7800788879395,1130.2000732421875,1129.0200729370117,1127.760066986084,1125.420078277588,1121.2200927734375,1128.8600692749023,1125.8800811767578,1140.7600784301758,1128.0400733947754,1131.9200706481934,1126.1400833129883,1126.3600730895996,1126.7800788879395,1130.2000732421875,1129.0200729370117,1127.760066986084,1125.420078277588,1121.2200927734375,1128.8600692749023,1125.8800811767578,1140.7600784301758,1128.0400733947754,1131.9200706481934,1126.1400833129883,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
1-O-cerotoyl-Cer(d18:1/18:0),Cer,1128.12007522583,1126.9800758361816,1126.9400787353516,1130.0600776672363,1154.1200866699219,1126.980079650879,1125.9800910949707,1121.6600723266602,1127.9800720214844,1126.020076751709,1125.0800971984863,1128.4800834655762,1132.0200805664062,1128.12007522583,1126.9800758361816,1126.9400787353516,1130.0600776672363,1154.1200866699219,1126.980079650879,1125.9800910949707,1121.6600723266602,1127.9800720214844,1126.020076751709,1125.0800971984863,1128.4800834655762,1132.0200805664062,1128.12007522583,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,1083.3200721740723,1085.4000778198242,1084.6600723266602,1127.6000785827637,1086.8800735473633,1116.720069885254,1083.4400787353516,1156.5400733947754,1086.4600677490234,1084.0200729370117,1099.7400741577148,1085.6800804138184,1089.7400703430176,1083.3200721740723,1085.4000778198242,1084.6600723266602,1127.6000785827637,1086.8800735473633,1116.720069885254,1083.4400787353516,1156.5400733947754,1086.4600677490234,1084.0200729370117,1099.7400741577148,1085.6800804138184,1089.7400703430176,1083.3200721740723,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,1125.9000854492188,1162.500072479248,1146.7200775146484,1130.4400825500488,1128.5400657653809,1127.8000755310059,1125.2800827026367,1121.8600845336914,1128.1600799560547,1125.3400840759277,1124.9000778198242,1128.3800735473633,1132.1400756835938,1125.9000854492188,1162.500072479248,1146.7200775146484,1130.4400825500488,1128.5400657653809,1127.8000755310059,1125.2800827026367,1121.8600845336914,1128.1600799560547,1125.3400840759277,1124.9000778198242,1128.3800735473633,1132.1400756835938,1125.9000854492188,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,1184.060073852539,1126.6600761413574,1127.280071258545,1158.160083770752,1200.2000846862793,1126.8800735473633,1126.1400909423828,1121.4000778198242,1128.62007522583,1153.080078125,1125.1800727844238,1127.8400688171387,1190.6400871276855,1184.060073852539,1126.6600761413574,1127.280071258545,1158.160083770752,1200.2000846862793,1126.8800735473633,1126.1400909423828,1121.4000778198242,1128.62007522583,1153.080078125,1125.1800727844238,1127.8400688171387,1190.6400871276855,1184.060073852539,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,1199.3000755310059,1126.8600730895996,1127.2200775146484,1130.1400718688965,1143.3200912475586,1127.9400749206543,1176.7600860595703,1121.3800735473633,1128.1600875854492,1134.0000839233398,1125.1600799560547,1259.460090637207,1131.980079650879,1199.3000755310059,1126.8600730895996,1127.2200775146484,1130.1400718688965,1143.3200912475586,1127.9400749206543,1176.7600860595703,1121.3800735473633,1128.1600875854492,1134.0000839233398,1125.1600799560547,1259.460090637207,1131.980079650879,1199.3000755310059,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,1125.6400871276855,1126.520076751709,1126.5200843811035,1129.8600730895996,1129.280071258545,1127.2600708007812,1125.440086364746,1121.3200874328613,1183.3200721740723,1125.3600845336914,1124.9600791931152,1128.2800788879395,1131.8800811767578,1125.6400871276855,1126.520076751709,1126.5200843811035,1129.8600730895996,1129.280071258545,1127.2600708007812,1125.440086364746,1121.3200874328613,1183.3200721740723,1125.3600845336914,1124.9600791931152,1128.2800788879395,1131.8800811767578,1125.6400871276855,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR,CAR,2588.7201652526855,3006.0402069091797,2701.640167236328,2605.360179901123,2640.9401931762695,2790.120216369629,3324.70023727417,2805.4601974487305,2757.0001945495605,2313.840160369873,2679.300178527832,2940.120220184326,2954.2202072143555,2588.7201652526855,3006.0402069091797,2701.640167236328,2605.360179901123,2640.9401931762695,2790.120216369629,3324.70023727417,2805.4601974487305,2757.0001945495605,2313.840160369873,2679.300178527832,2940.120220184326,2954.2202072143555,2588.7201652526855,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(10:0),CAR,3689.7602729797363,3072.320209503174,3397.100257873535,3490.2602577209473,2933.1202087402344,3471.0402488708496,3318.640239715576,3446.300220489502,3024.560188293457,3281.180233001709,3360.320266723633,3226.20023727417,3118.540210723877,3689.7602729797363,3072.320209503174,3397.100257873535,3490.2602577209473,2933.1202087402344,3471.0402488708496,3318.640239715576,3446.300220489502,3024.560188293457,3281.180233001709,3360.320266723633,3226.20023727417,3118.540210723877,3689.7602729797363,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(10:0)_QUAL,CAR,19356.50132751465,17154.961280822754,18484.181339263916,20160.42151260376,20858.641452789307,19791.401485443115,18488.02127456665,19051.381298065186,19263.661403656006,19472.421325683594,19621.44150543213,18662.30125427246,17832.421253204346,19356.50132751465,17154.961280822754,18484.181339263916,20160.42151260376,20858.641452789307,19791.401485443115,18488.02127456665,19051.381298065186,19263.661403656006,19472.421325683594,19621.44150543213,18662.30125427246,17832.421253204346,19356.50132751465,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(10:1),CAR,6174.940448760986,5044.020389556885,5254.600399017334,5625.040416717529,5558.220420837402,5532.740421295166,4755.080360412598,4970.860363006592,5415.380432128906,5643.820415496826,6166.220386505127,5727.700412750244,6244.700435638428,6174.940448760986,5044.020389556885,5254.600399017334,5625.040416717529,5558.220420837402,5532.740421295166,4755.080360412598,4970.860363006592,5415.380432128906,5643.820415496826,6166.220386505127,5727.700412750244,6244.700435638428,6174.940448760986,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(10:1)_QUAL,CAR,4806.960353851318,4411.720287322998,4846.360382080078,4901.480358123779,5035.240310668945,4052.860248565674,5011.980327606201,4747.500385284424,4344.42032623291,4998.920364379883,5106.680400848389,4142.520286560059,4318.020313262939,4806.960353851318,4411.720287322998,4846.360382080078,4901.480358123779,5035.240310668945,4052.860248565674,5011.980327606201,4747.500385284424,4344.42032623291,4998.920364379883,5106.680400848389,4142.520286560059,4318.020313262939,4806.960353851318,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(10:2),CAR,6771.000469207764,4407.040309906006,5486.020401000977,4699.080299377441,4692.860328674316,5298.220344543457,4725.5602951049805,5126.160362243652,5108.220348358154,5757.460388183594,4778.120323181152,5540.060390472412,4694.580341339111,6771.000469207764,4407.040309906006,5486.020401000977,4699.080299377441,4692.860328674316,5298.220344543457,4725.5602951049805,5126.160362243652,5108.220348358154,5757.460388183594,4778.120323181152,5540.060390472412,4694.580341339111,6771.000469207764,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(10:2)_QUAL,CAR,32151.52230834961,26743.22173309326,27356.201942443848,27550.522003173828,28230.742038726807,27532.101928710938,25560.541915893555,26171.12204360962,26338.741771697998,26185.581924438477,26043.181922912598,28126.181911468506,27818.102020263672,32151.52230834961,26743.22173309326,27356.201942443848,27550.522003173828,28230.742038726807,27532.101928710938,25560.541915893555,26171.12204360962,26338.741771697998,26185.581924438477,26043.181922912598,28126.181911468506,27818.102020263672,32151.52230834961,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
CAR(10:3),CAR,9761.660720825195,7520.62056350708,7607.520454406738,7114.3005027771,8091.300514221191,7685.400527954102,7449.060493469238,8619.560604095459,8044.380577087402,7190.020538330078,7768.940544128418,9071.500732421875,8280.640628814697,9761.660720825195,7520.62056350708,7607.520454406738,7114.3005027771,8091.300514221191,7685.400527954102,7449.060493469238,8619.560604095459,8044.380577087402,7190.020538330078,7768.940544128418,9071.500732421875,8280.640628814697,9761.660720825195,Type: Brain,Type: Brain,Type: Brain vs Type: Brain,13,13,BlankBrain_NA
