Lipid,Class,BlankBrain_NA_x,C-1BrainF,C-2BrainF,C-3BrainF,C-4BrainM,C-5BrainM,C-6BrainM,E-1BrainF,E-2BrainF,E-3BrainF,E-4BrainM,E-5BrainM,E-6BrainM,BlankRetina_NA,C-1RetinaF,C-2RetinaF,C-3RetinaF,C-4RetinaM,C-5RetinaM,C-6RetinaM,E-1RetinaF,E-2RetinaF,E-3RetinaF,E-4RetinaM,E-5RetinaM,E-6RetinaM,BlankBrain_NA_y,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,1125.580078125,1127.0000762939453,1204.1000747680664,1129.4000816345215,1178.8200721740723,1127.8600769042969,1125.5800743103027,1121.980079650879,1128.0800704956055,1125.2800788879395,1167.240089416504,1128.4800720214844,1132.6600799560547,1197.3000755310059,1127.1000785827637,1156.5400733947754,1172.1200866699219,1168.3800926208496,1144.4400825500488,1128.6600723266602,1126.6200790405273,1130.700080871582,1126.6400680541992,1126.0600852966309,1126.9400787353516,1129.5400733947754,1125.580078125,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
1-O-carboceroyl-Cer(d18:1/18:0),Cer,1126.0800819396973,1162.3800811767578,1126.660083770752,1130.1000709533691,1129.2000846862793,1127.6000785827637,1199.9000816345215,1121.3000869750977,1173.12007522583,1126.2000694274902,1203.8000831604004,1128.2800750732422,1183.4400749206543,1129.0400733947754,1126.240077972412,1124.0000801086426,1128.5600891113281,1126.3600807189941,1126.4600791931152,1159.6800842285156,1126.1000785827637,1130.6000747680664,1125.5400619506836,1126.0600662231445,1125.5600814819336,1123.4800720214844,1126.0800819396973,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
1-O-cerotoyl-Cer(d18:1/16:0),Cer,1126.1400833129883,1126.3600730895996,1126.7800788879395,1130.2000732421875,1129.0200729370117,1127.760066986084,1125.420078277588,1121.2200927734375,1128.8600692749023,1125.8800811767578,1140.7600784301758,1128.0400733947754,1131.9200706481934,1128.460075378418,1140.500087738037,1171.280086517334,1128.200080871582,1126.0000762939453,1126.7000694274902,1129.7200813293457,1126.3800811767578,1130.1000747680664,1126.180076599121,1126.720069885254,1181.2000885009766,1207.9200820922852,1126.1400833129883,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
1-O-cerotoyl-Cer(d18:1/18:0),Cer,1128.12007522583,1126.9800758361816,1126.9400787353516,1130.0600776672363,1154.1200866699219,1126.980079650879,1125.9800910949707,1121.6600723266602,1127.9800720214844,1126.020076751709,1125.0800971984863,1128.4800834655762,1132.0200805664062,1128.7200660705566,1125.6000709533691,1123.7000885009766,1127.9400749206543,1125.6600723266602,1127.080078125,1129.9600715637207,1126.240077972412,1130.62007522583,1165.160083770752,1125.4600715637207,1126.1000862121582,1123.760082244873,1128.12007522583,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,1083.3200721740723,1085.4000778198242,1084.6600723266602,1127.6000785827637,1086.8800735473633,1116.720069885254,1083.4400787353516,1156.5400733947754,1086.4600677490234,1084.0200729370117,1099.7400741577148,1085.6800804138184,1089.7400703430176,1086.9600715637207,1084.900074005127,1109.960075378418,1087.7600746154785,1084.1200790405273,1141.8000755310059,1095.700080871582,1238.0200881958008,1143.000072479248,1084.0400695800781,1086.880084991455,1084.4000663757324,1081.880084991455,1083.3200721740723,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,1125.9000854492188,1162.500072479248,1146.7200775146484,1130.4400825500488,1128.5400657653809,1127.8000755310059,1125.2800827026367,1121.8600845336914,1128.1600799560547,1125.3400840759277,1124.9000778198242,1128.3800735473633,1132.1400756835938,1129.180076599121,1127.1600761413574,1123.5800819396973,1155.6200714111328,1160.7200736999512,1127.1600761413574,1129.680076599121,1125.8600730895996,1153.4400672912598,1126.3800811767578,1125.9800758361816,1155.740077972412,1123.4400939941406,1125.9000854492188,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,1184.060073852539,1126.6600761413574,1127.280071258545,1158.160083770752,1200.2000846862793,1126.8800735473633,1126.1400909423828,1121.4000778198242,1128.62007522583,1153.080078125,1125.1800727844238,1127.8400688171387,1190.6400871276855,1194.060073852539,1126.6000900268555,1123.820083618164,1128.9000778198242,1147.1400871276855,1127.5200729370117,1130.2600784301758,1180.2200889587402,1130.280071258545,1126.1600723266602,1126.4400787353516,1126.6000785827637,1123.5400733947754,1184.060073852539,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,1199.3000755310059,1126.8600730895996,1127.2200775146484,1130.1400718688965,1143.3200912475586,1127.9400749206543,1176.7600860595703,1121.3800735473633,1128.1600875854492,1134.0000839233398,1125.1600799560547,1259.460090637207,1131.980079650879,1180.9200859069824,1127.3000679016113,1242.7800827026367,1188.7000846862793,1125.3800773620605,1146.8200759887695,1129.3800773620605,1191.3000755310059,1195.1600761413574,1125.6000785827637,1340.700096130371,1126.680076599121,1167.600082397461,1199.3000755310059,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,1125.6400871276855,1126.520076751709,1126.5200843811035,1129.8600730895996,1129.280071258545,1127.2600708007812,1125.440086364746,1121.3200874328613,1183.3200721740723,1125.3600845336914,1124.9600791931152,1128.2800788879395,1131.8800811767578,1128.3800735473633,1126.3400764465332,1124.000087738037,1127.8600845336914,1125.9000854492188,1125.720085144043,1129.3800735473633,1127.2400703430176,1130.5000762939453,1126.3000793457031,1126.1000747680664,1126.1000747680664,1123.2600746154785,1125.6400871276855,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
CAR,CAR,2588.7201652526855,3006.0402069091797,2701.640167236328,2605.360179901123,2640.9401931762695,2790.120216369629,3324.70023727417,2805.4601974487305,2757.0001945495605,2313.840160369873,2679.300178527832,2940.120220184326,2954.2202072143555,3060.260223388672,2583.5602111816406,3183.6402168273926,2763.0601921081543,3096.3802223205566,3065.5202140808105,2750.320156097412,2775.360206604004,2602.7001762390137,2848.9002227783203,2246.040142059326,3083.800220489502,2355.340156555176,2588.7201652526855,Type: Brain,Type: Retina,Type: Brain vs Type: Retina,13,13,BlankBrain_NA
